,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laala's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Minor Detail,"Shibli, Adania",1913097188,9781913097189,B088ZRFY43,109        pp,4.19,"18,598","Jun 19, 2017","May 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 19, 2023",,Kindle Edition,view,/book/show/53653696-minor-detail
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A River Enchanted        (Elements of Cadence, #1)","Ross, Rebecca*",0063055988,9780063055988,0063055988,480        pp,4.11,"52,500","Feb 15, 2022","Feb 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Hardcover,view,/book/show/58132544-a-river-enchanted
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All About Love: New Visions,"hooks, bell",0688168442,9780688168445,0688168442,240        pp,4.06,"86,240","Dec 22, 1999","Dec 22, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2023",,Hardcover,view,/book/show/17607.All_About_Love
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,574","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2022",,Hardcover,view,/book/show/57945316-babel
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ain't Burned All the Bright,"Reynolds, Jason",1534439463,9781534439467,1534439463,384        pp,4.43,"15,640","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2022",,Hardcover,view,/book/show/58437699-ain-t-burned-all-the-bright
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brilliant, Brilliant, Brilliant Brilliant Brilliant","Golby, Joel",052556277X,9780525562771,052556277X,304        pp,3.53,"2,235","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2022",,Paperback,view,/book/show/40819522-brilliant-brilliant-brilliant-brilliant-brilliant
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writers & Lovers,"King, Lily*",1529033136,9781529033137,1529033136,324        pp,4.02,"142,123","Mar 03, 2020","Feb 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2022",,Paperback,view,/book/show/55810331-writers-lovers
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,"Frank, Britt",0593419448,9780593419441,0593419448,272        pp,4.06,"1,379",Mar 2022,"Mar 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2022",,Hardcover,view,/book/show/58395061-the-science-of-stuck
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will to Change: Men, Masculinity, and Love","hooks, bell",0743456084,9780743456081,0743456084,208        pp,4.38,"18,427","Dec 30, 2003","Dec 21, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2022",,Mass Market Paperback,view,/book/show/17601.The_Will_to_Change
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If In Doubt, Wash Your Hair: A Manual for Life","Hindmarch, Anya",1526629720,9781526629722,B08SMN9P61,257        pp,3.68,"1,175",unknown,"May 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2022",,Kindle Edition,view,/book/show/57239420-if-in-doubt-wash-your-hair
