,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Zinta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sipelgad ei alistu,"Sekora, Ondřej",,9789949170142,,88        pp,4.32,56,1954,2008,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 08, 2018",,Hardcover,view,/book/show/15723857-sipelgad-ei-alistu
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love & Vodka: My Surreal Adventures in Ukraine,"Fox, R J*",0989908712,9780989908719,,295        pp,3.81,85,unknown,"Oct 29, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Love, science reveals, is really just another form of madness. The brain undergoes similar changes, from the rational into the irrational, and the resLove, science reveals, is really just another form of madness. The brain undergoes similar changes, from the rational into the irrational, and the resulting pheromone chemical soup tastes like insanity. Dearborn-native (Michigan) and author R.J. Fox would probably not debate any of that. It took all of twenty minutes for him to fall in love with a foreign exchange student he spotted in a line for an amusement park ride. When she returned to her native Ukraine, he followed her, engagement ring in his pocket. And more madness ensued.In his memoir, Love and Vodka: My Surreal Adventures in Ukraine (Fish Out of Water Books, October 2015), Fox recounts that initial meeting with Katya and the trip he took to Ukraine a year later to bring her back to the States again—as his wife. His adventures on foreign soil as he works up the nerve toward a marriage proposal and earn the blessing of Katya’s family are both outrageous and hilarious. Babushka-wearing old women curse him, snarl and chase him, threaten to splatter him with bleach. Well-meaning hosts force vodka on him in toast after toast that he finds he cannot deny, resulting in drunken stupors, cold outdoor showers, and barefoot walks across sharp-edged rocks in his underwear. And so the story unfolds as Fox learns about a culture and a world far different than his own. Within its traditions and people, he finds himself in comical situations, but he also learns lessons about himself, love, and home.What has remained with him from that mad and maddening journey these many years later, Fox says, “is the immersive experience of being in a whole other world than the one I know. Out in general public, people had a distrust toward me because I was not from Ukraine. This was in 2001, so not too far removed from the Soviet years when Ukraine was the center of missile-building during the Cold War. The distrust—it was the closest to feeling discriminated against that I’d ever known in my lifetime.”In inner circles of what would increasingly become family, however, Fox found warmth, love, and family connection, not unlike what one would find in any family anywhere, and all liberally christened with yet more vodka. Although the resulting marriage would last only eight years—Fox is now remarried and has two children—he holds his memories of his Ukraine adventure close to his heart. The memoir is the first publication of a new Ann Arbor-based publisher, Fish Out of Water, run by Jon and Laurie Wilson. ...more",Notes are private!,0,7,1,not set,not set,"Mar 23, 2016",,ebook,view (with text),/book/show/27485039-love-vodka
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Painting of Sara de Vos,"Smith, Dominic*",0374714045,9780374714048,,304        pp,3.87,"29,450","Apr 05, 2016","Apr 05, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Novelists, Dominic Smith says, are not so very unlike forgers. Both fake reality. Both create new worlds out of elements of the world that already exiNovelists, Dominic Smith says, are not so very unlike forgers. Both fake reality. Both create new worlds out of elements of the world that already exists. In his newest and fourth novel, The Last Painting of Sara de Vos (Sarah Crichton Books, April 2016), Smith introduces the reader to the world of a master forger while excelling at being a master forger himself, bringing history to life on the written page. A modern day forger, an Australian art history student takes on the task of replicating a painting by Sara de Vos, a 17th-century painter who lived in the Dutch Golden Age. She replicates the painting for an art dealer of questionable ethics. Her work as a forger is threatened with exposure when the real painting is scheduled to arrive at the same exhibit at the same time. Sara de Vos has only one painting attributed to her: “At the Edge of the Wood.” During a time in history when women artists were hidden or nonexistent, those few who painted usually chose still lifes as subjects. That may well be because, at that time, a woman’s place was indoors, preferably in the kitchen or nursery. Sara de Vos chose a landscape. Her work is exquisite (as well as Smith’s descriptions of it), and it is more than just a painting. It is a statement of rebellion about a woman’s place in the world. Smith describes “At the Edge of the Wood”: “A winter scene at twilight. The girl stands in the foreground against a silver birch, a pale hand pressed to its bark, staring out at the skaters on the frozen river. There are half a dozen of them, bundled against the cold, flecks of brown and yellow cloth floating above the ice. A brindled dog trots beside a boy as he arcs into a wide turn. One mitten in the air, he’s beckoning to the girl, to us …”Through de Vos’s work and her rule-breaking, Smith tells the story of the Dutch Golden Age, of the struggles of women to earn a living when single or widowed, and he writes of the inner workings of artist guilds. Juxtaposed over the modern day, Smith also unveils the extraordinary skill and techniques that go into a forgery. “I read this memoir by master forger, Ken Perenyi,” Smith says. “It was called Caveat Emptor, and I was fascinated by it. At one point, I emailed him, and that was one of the stranger moments of writing this book—emailing a master forger to have him authenticate a painting that was by a fictitious character.”Perenyi responded, and he guided Smith with the finer points of forgery. At least half of what a forger does, Smith learned, was not about the technical aspect, but has more to do with the narrative or storytelling of the painting. Perenyi taught the author about putting blue chalk marks on the back of the canvas to suggest past auction sales. Fake fly specks suggest passage of time and a painting that has languished in an attic for many years if not decades because flies are drawn to the sugars in varnish. Oil paint that normally takes many years to thoroughly dry undergoes special drying techniques to speed up the process. With great detail, with the careful brushstrokes of his words, Smith duplicates the seventeenth century with the same authenticity as today, applying his layers of word-magic that accomplish what every writer hopes to achieve: a reader who loses herself in time and within the written page. ...more",Notes are private!,0,6,1,not set,not set,"Mar 08, 2016",,ebook,view (with text),/book/show/26529615-the-last-painting-of-sara-de-vos
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Painting of Sara de Vos,"Smith, Dominic*",0374106681,9780374106683,0374106681,304        pp,3.87,"29,450","Apr 05, 2016","Apr 05, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2016",,Hardcover,view,/book/show/25664459-the-last-painting-of-sara-de-vos
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lovers Set Down Their Spoons,"Slomski, Heather A.*",160938282X,9781609382827,160938282X,146        pp,3.90,87,"Oct 01, 2014","Oct 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read in preparation for upcoming author interview.,Notes are private!,0,1,1,not set,not set,"Oct 20, 2014",,Paperback,view (with text),/book/show/21975756-the-lovers-set-down-their-spoons
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Shards of Someplace Else: Stories        (Flannery O'Connor Award for Short Fiction Ser.),"McFawn, Monica*",082034687X,9780820346878,082034687X,176        pp,3.58,128,"Jan 01, 2014","Sep 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review pending.,Notes are private!,0,0,1,"Aug 22, 2014","Oct 20, 2014","Aug 22, 2014",,Hardcover,view (with text),/book/show/20786434-bright-shards-of-someplace-else
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Course of Human Events,"Harvkey, Mike*",161902294X,9781619022942,161902294X,320        pp,3.77,86,"Mar 17, 2014","Apr 15, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review pending.,Notes are private!,0,1,1,"Aug 11, 2014","Aug 22, 2014","Aug 11, 2014",,Hardcover,view (with text),/book/show/18596550-in-the-course-of-human-events
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Glass Sea,"Weil, Josh*",0802122159,9780802122155,0802122159,474        pp,3.46,495,"Jul 01, 2014","Jul 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review pending.,Notes are private!,0,1,1,"Aug 06, 2014","Aug 22, 2014","Aug 06, 2014",,Hardcover,view (with text),/book/show/18492640-the-great-glass-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strange Love,"Lenzo, Lisa",0814340172,9780814340172,0814340172,240        pp,4.07,43,"May 01, 2014","May 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Pending .,Notes are private!,0,0,1,"Jun 27, 2014","Aug 06, 2014","Jun 27, 2014",,Paperback,view (with text),/book/show/20913643-strange-love
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Oar: A Journey With Alzheimer's,"Bahlke, Marie",0975383302,9780975383308,0975383302,38        pp,4.33,6,unknown,"Jan 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Now in her 90s, writer and poet Marie Bahlke began her writing career when she was in her 70s. She is living proof that it is never too late to chase Now in her 90s, writer and poet Marie Bahlke began her writing career when she was in her 70s. She is living proof that it is never too late to chase and catch a dream. Alas, her poetry collection One Oar was inspired by the painful and difficult experience of living through her husband Harold’s struggle with Alzheimer’s and eventual demise. Writing is often likened to therapy for its healing powers, and that refers not only to the writer, surely, but to the attentive reader. Bahlke’s courage in sharing her and her husband’s journey allows us to enter their intimate world, the world of a caring marriage, where one partner must gradually learn to let go of the other. With her poetry, her skill, her open heart, she allows us to feel along with her the bewilderment, the frustration, the grief, the loneliness, the desire to go on. In the poem “Balancing,” Bahlke writes:Half there, half goneone oar in the our boatwhat do I do—crawl to the bowand paddle from there?Move my pillowto the middle of the bed?How do I deal withfaucets that weep,too many potatoes,the Christmas tree stand,a stranger’s kiss,that shoebox full of foreign coins?Filling out medical forms, the poet hesitates before checking off: widow. She sleeps in a half empty bed. Her damaged heart spreads its pain through her chest and catches in her throat. As we read, we know these emotions and sensations, too, and we know them in direct transfusion from her clear and unsentimental, brutally yet beautifully honest writing. One poem leads into the other to tell the story of this journey, and it is done with the rich beauty of a successful marriage, wife to husband and poet to words. Interspersed between the poems are the black and white photographs of Steve Bahlke, lending poignant images of nature that offer both metaphor and healing. One Oar was the winner of Writer’s Digest International Self-Published Book Awards. Bahlke continues to write, currently at work on her memoir. ...more",Notes are private!,0,2,1,not set,not set,"Jun 09, 2014",,Paperback,view (with text),/book/show/6716936-one-oar
