,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Schooled: Confessions of a Rookie Vice Principal,"Hirsch, Lenore*",,,B09M918YBQ,233        pp,4.67,6,unknown,"Nov 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Apr 2024,"Apr 01, 2024",,Kindle Edition,view,/book/show/59982674-schooled
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart's Invisible Furies,"Boyne, John*",,,,582        pp,4.51,"162,331","Feb 09, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 24, 2024",not set,"Feb 24, 2024",,Hardcover,view,/book/show/33253215-the-heart-s-invisible-furies
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Booth,"Fowler, Karen Joy*",0593331435,9780593331439,0593331435,470        pp,3.84,"12,980","Mar 08, 2022","Mar 08, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read Booth over the course of a few days; usually a book like this would take me weeks. I simply didn’t expect a 469 page historical novel to hold mI read Booth over the course of a few days; usually a book like this would take me weeks. I simply didn’t expect a 469 page historical novel to hold me in such a tight grip.Historical facts are historical facts (who went where and why); it’s Fowler’s attention to detail and exquisite prose that make the book an experience. A trip across the Isthmus of Panama is as vivid as any movie; we see the flecks of dandruff in Mary Booth’s hair.A long ago teacher of mine said that there can be greater suspense in knowing what’s going to happen than in not knowing. (Think of the 1975 movie The Hindenburg.) Booth confirms that: Since we know about the story’s grim conclusion, there’s tension on every page, even when the characters are farming, riding, or visiting Niagara Falls. I knew nothing about the Booth family beyond being vaguely aware that the Edwin Booth Theater in New York was named for a relative of the most infamous Booth. Now I know that the patriarch was Junious Booth, himself a famous actor in his day, and Edwin was John W.’s brother. That still leaves another eight siblings to talk about, since Junious and Mary Booth had ten children, six of whom survived to adulthood.What’s most fascinating is how closely knit the family was. Various siblings often lived together, and Edwin rescued the family financially. Two other brothers, June and John W., went on the stage, and the three brothers once performed together. So how does what happened happen? If we knew that, maybe we could prevent it happening again. And again. And again....more",Notes are private!,0,3,1,"Jan 12, 2024","Jan 15, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/58502673-booth
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All-Night Pharmacy,"Madievsky, Ruth*",,9781646221509,,304        pp,3.53,"4,912","Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 19, 2023","Feb 23, 2024","Oct 19, 2023",,ebook,view,/book/show/58349243-all-night-pharmacy
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,119","Sep 26, 2023","Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*The Nix* was one of my favorite books of 2016. I listened to it in on CD (remember those?) and I’ll stop for a special “wow…just wow” for Ari Fliakos*The Nix* was one of my favorite books of 2016. I listened to it in on CD (remember those?) and I’ll stop for a special “wow…just wow” for Ari Fliakos, the sole narrator, who created a distinct voice for each of many (many) characters, from self-satisfied high school teacher to Norwegian immigrant. Best. Narrator. Ever.I went old school with Wellness, thanks to receiving a free copy from NetGalley. It’s a little less epic in scope, but the same way that *The Iliad* is less epic than *The Odyssey.*Jack Baker and Elizabeth Augustine meet in Chicago as college students. They come from opposite ends of the unhappy childhood spectrum: She, the daughter of old, corrupt money, and he, the son of Nebraska farmers, living out bleak lives on a bleak landscape. (Note: the “bleakness” here is a judgment call from this er, who is herself a “coastal,” if not necessarily “elite,” and prejudiced against the Flyover.) Jack believes he and Elizabeth are soulmates, fated to be together; his belief will be tested in years to come, but Wellness is in large part about the nature of belief itself.Twenty years on, Jack and Elizabeth are living, in some ways, ordinary middle-class lives, working, raising a son, and looking forward to when they can move into their “forever home,” a condo to be built in a new building.But Hill’s gift (I’m tempted to say “genius,” but the term gets overused – let’s put that a temporary hold on that one) is zeroing in on what we many of us deal with every day, from helicopter moms to Facebook junkies to juice cleanses, exposing both the hilarity and the humanity.Wellness never reads as satire, though – just really good storytelling. ...more",Notes are private!,0,2,1,not set,"Aug 16, 2023","Aug 16, 2023",,Hardcover,view (with text),/book/show/65650229-wellness
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,August Blue,"Levy, Deborah",0241421314,9780241421314,0241421314,256        pp,3.68,"4,948","May 04, 2023","Apr 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I fear I’m neither smart nor patient enough to fully enjoy a book of this type. I kept wanting the story to cohere in a more traditional, yes, HollywoI fear I’m neither smart nor patient enough to fully enjoy a book of this type. I kept wanting the story to cohere in a more traditional, yes, Hollywood-network sitcom way. And why are there interspersions of an unseen voice saying “Maybe I am”? Oh, wait, I think that’s our heroine talking to herself. However, even I couldn’t dodge the talent behind the elliptical story. In between readings, the sound of Levy’s writing stayed with me, narrating my own world with her authority and intelligence.Thanks to NetGalley for an opportunity to challenge myself a little with this unusual novel....more",Notes are private!,0,0,1,"Feb 20, 2023","Feb 20, 2023","Feb 20, 2023",,Hardcover,view (with text),/book/show/61860312-august-blue
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterword,"Schuyler, Nina*",,9781955904704,,229        pp,4.36,91,unknown,"May 23, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved this book. That’s not very specific, is it? Well, let me start by saying that I’m familiar with Ms. Schuyler’s books on “stunning sentences,” I loved this book. That’s not very specific, is it? Well, let me start by saying that I’m familiar with Ms. Schuyler’s books on “stunning sentences,” so I was expecting an eloquently written novel, and this is indeed a most eloquently written novel. The stunning sentences never get in the way, though, of a tight plot and an original story. Virginia, 76 now, lives with Haru, an AI program she built based on the math professor who tutored her when she was a teen. Haru fills her every emotional need. But in classic “Frankenstein’s monster” form, he’s evolved beyond what she can control.Anything else I say might diminish the joy of peeling back the layers of Virginia’s and Haru’s stories. So I’ll shut up. It goes without saying that this exploration of Artificial Intelligence is fascinating and timely. Thank you to Edelweiss and Clash books for an advance reader copy....more",Notes are private!,0,5,1,"Feb 09, 2023","Feb 09, 2023","Feb 09, 2023",,Paperback,view (with text),/book/show/63320466-afterword
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Magic to Do: Pippin's Fantastic, Fraught Journey to Broadway and Beyond","Gardner, Elysa",1493064363,9781493064366,,250        pp,3.72,88,"Nov 01, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a book for Broadway musical nerds of a certain age. I am both.Pippin has never been a favorite musical of mine, but after reading the book, I’This is a book for Broadway musical nerds of a certain age. I am both.Pippin has never been a favorite musical of mine, but after reading the book, I’m planning both to watch the 1982 production filmed for Showtime, and listen to the original cast album for the first time in decades, so Gardner has definitely done something right. At times I was bogged down by the level of detail about each performer/creative involved in not only the first, but subsequent productions of this ground-breaking musical, but then, there isn’t a test on what information I retain, so no harm done. Thank you to NetGalley for a free digital copy in exchange for this ....more",Notes are private!,0,2,2,not setnot set,"Oct 31, 2022not set","Oct 31, 2022",,ebook,view (with text),/book/show/60413637-magic-to-do
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Playing with Myself,"Rainbow, Randy",125027625X,9781250276254,125027625X,256        pp,4.32,"4,074","Apr 19, 2022","Apr 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Do you grok Randy Rainbow? Gurl, where have you been? Open your laptop and go to YouTube – NOW!I am not a celebrity junkie. I don’t care who’s marriedDo you grok Randy Rainbow? Gurl, where have you been? Open your laptop and go to YouTube – NOW!I am not a celebrity junkie. I don’t care who’s married, or divorced, or how many children they have. In fact, I stay away from such news, because if I admire an artist, I don’t want to find out that they’re jerks IRL. I am a fan of musical theater, though, and I love Randy Rainbow’s videos, in which he creates new lyrics for Broadway tunes, so I took a chance on *Playing,* even though I risked learning that James Corden is a secret pickpocket.Come to find out that Mr. Rainbow only has praise for everyone. (A little suspiciously so, but maybe that’s me. I don’t like nearly as many people as Randy does.) He even became friends with Anthony Scaramucci. As Mr. Rainbow concludes from that episode, “Life is weird.”The book is, in part, a true memoir: Rainbow describes a problematic childhood (with the name “Randy Rainbow,” his parents might as well have written “please bully me” on his birth certificate), but never with self-pity or bitterness. I particularly appreciated his loving portrayals of the women in his life, beginning with his mother and grandmother. He also details the labor-intensive process of putting together his latter-day, highly polished videos. It’s even harder than it looks, and it looks hard.Extra points for his occasional use of Yiddish, including one word that most non-Jews will have to look up.Thank you to #NetGalley and #StMartinsPress for an advance copy in exchange for an honest . I was honestly thrilled with it....more",Notes are private!,0,5,1,"Mar 25, 2022","Mar 26, 2022","Mar 26, 2022",,Hardcover,view (with text),/book/show/58977365-playing-with-myself
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How I Learned to Cook: And Other Writings on Complex Mother-Daughter Relationships,"Perin, Margo*",1585422916,9781585422913,1585422916,322        pp,3.30,86,"Mar 30, 2004","Mar 30, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 20, 2021",,Paperback,view,/book/show/139040.How_I_Learned_to_Cook
