,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divinos Rivais        (Divinos Rivais, #1)","Ross, Rebecca*",6585348311,9786585348317,,464        pp,4.23,"364,897","Apr 04, 2023","Nov 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 ⭐️",Notes are private!,0,23,1,not set,"Apr 07, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/200821134-divinos-rivais
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Instinto materno,"Abel, Barbara",655987141X,9786559871414,B0CM3XSC6M,299        pp,3.76,"3,118",2003,"Dec 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,21,1,"Apr 04, 2024","Apr 04, 2024","Apr 04, 2024",,Kindle Edition,view,/book/show/201294105-instinto-materno
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,De Repente Adulta,"Turner, Sarah",6559242196,9786559242191,6559242196,0        pp,4.34,"7,331","Mar 01, 2022","Jan 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,23,1,not set,"Apr 04, 2024","Apr 03, 2024",,Paperback,view,/book/show/199963709-de-repente-adulta
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A tempestade que criamos,"Chan, Vanessa*",8584393730,9788584393732,B0CQ3VHSXN,374        pp,3.94,"8,792","Jan 02, 2024","Feb 20, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,52,1,"Mar 08, 2024","Mar 10, 2024","Mar 08, 2024",,Kindle Edition,view,/book/show/203928269-a-tempestade-que-criamos
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sem saída        (DI Adam Fawley, #3)","Hunter, Cara*",,,B0C9N98NR4,377        pp,4.19,"12,178","Feb 19, 2019","Aug 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Kindle Edition,view,/book/show/181643251-sem-sa-da
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Em um porão escuro        (DI Adam Fawley, #2)","Hunter, Cara*",6589132232,9786589132233,6589132232,376        pp,4.21,"17,585","Jul 12, 2018","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Eu li esse livro todinho hoje e tô assim:,Notes are private!,0,111,1,"Jan 17, 2024","Jan 17, 2024","Jan 17, 2024",,Paperback,view (with text),/book/show/60739949-em-um-por-o-escuro
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Me encontre no lago,"Fortune, Carley*",6553932506,9786553932500,B0C79YF6YR,unknown,3.71,"199,527","May 02, 2023","Jul 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2,5⭐️",Notes are private!,1,43,1,"Jan 05, 2024","Jan 08, 2024","Jan 05, 2024",,Kindle Edition,view (with text),/book/show/174749095-me-encontre-no-lago
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Escritores & amantes,"King, Lily*",6555680814,9786555680812,B0C5Y4P914,318        pp,4.02,"142,132","Mar 03, 2020","Jun 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/158826547-escritores-amantes
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,265","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Meal,"Washington, Bryan",0593421094,9780593421093,0593421094,320        pp,3.60,"6,057","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/123414019-family-meal
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"242,036","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/63241104-tom-lake
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As sete mortes de Evelyn Hardcastle,"Turton, Stuart*",6555530073,9786555530070,6555530073,480        pp,3.83,"374,994","Feb 08, 2018","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/55180863-as-sete-mortes-de-evelyn-hardcastle
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O clã das mulheres Weyward,"Hart, Emilia",6556220639,9786556220642,B0C87DQF2K,368        pp,4.09,"140,297","Feb 02, 2023","Jul 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/177134642-o-cl-das-mulheres-weyward
