,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,elle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Veronica,"Gaitskill, Mary",178125592X,9781781255926,178125592X,272        pp,3.43,"6,205","Oct 11, 2005",Dec 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/33225387-veronica
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Any Person Is the Only Self: Essays,"Gabbert, Elisa*",0374605890,9780374605896,0374605890,240        pp,3.77,22,unknown,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,thank you fsg for the arc!,Notes are private!,0,1,0,not set,not set,"Mar 11, 2024",,Paperback,view (with text),/book/show/195790626-any-person-is-the-only-self
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Way of Life, Like Any Other","O'Brien, Darcy",094032279X,9780940322790,094032279X,176        pp,3.56,"1,189",1977,"Aug 09, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/439731.A_Way_of_Life_Like_Any_Other
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parade,"Cusk, Rachel",0374610045,9780374610043,0374610045,208        pp,3.95,40,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,thank you fsg for the arc!,Notes are private!,0,0,1,not set,not set,"Mar 09, 2024",,Hardcover,view (with text),/book/show/195790675-parade
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Love: Essays on Friendship,"Dancyger, Lilly*",0593447573,9780593447574,0593447573,224        pp,4.45,71,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,thank you random house for the arc!,Notes are private!,0,1,0,not set,not set,"Mar 09, 2024",,Hardcover,view (with text),/book/show/195888551-first-love
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passing,"Larsen, Nella",0241472717,9780241472712,0241472717,114        pp,3.93,"65,251",Apr 1929,"Oct 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/52692595-passing
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Laughter and Forgetting,"Kundera, Milan",0060932147,9780060932145,0060932147,313        pp,3.96,"49,435",1979,"May 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/240976.The_Book_of_Laughter_and_Forgetting
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Summer in the City,"Calligarich, Gianfranco",0374600155,9780374600150,0374600155,192        pp,3.67,"6,173",1970,"Aug 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/54785501-last-summer-in-the-city
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Live the Post Horn!,"Hjorth, Vigdis",,,,240        pp,3.69,"2,489","Oct 09, 2012","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,ebook,view,/book/show/53168757-long-live-the-post-horn
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Came Like Swallows,"Maxwell, William",1860469280,9781860469282,1860469280,174        pp,4.05,"3,326",1937,"Dec 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/791973.They_Came_Like_Swallows
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Weight of Things,"Fritz, Marianne",1786632969,9781786632968,1786632969,140        pp,3.86,904,1978,Sep 2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/37557252-the-weight-of-things
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Sisters,"Mellors, Coco*",000862299X,9780008622992,000862299X,304        pp,4.39,347,"Apr 25, 2024","May 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,thank you random house for the arc!,Notes are private!,1,45,0,not set,not set,"Mar 08, 2024",,Hardcover,view (with text),/book/show/206173765-blue-sisters
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Must I Go,"Li, Yiyun",0241978688,9780241978689,0241978688,368        pp,3.06,"1,778","Jul 28, 2020","Aug 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/58410934-must-i-go
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milkman,"Burns, Anna",,,,352        pp,3.54,"61,604","May 15, 2018","Sep 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,heard this was 400 pages of introspective monologue and i fear that it may be a five star read just from that.,Notes are private!,0,54,1,"Mar 10, 2024",not set,"Mar 05, 2024",,Paperback,view (with text),/book/show/41086837-milkman
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mothers, Fathers, and Others","Hustvedt, Siri",1982187891,9781982187897,1982187891,320        pp,3.85,786,"Dec 02, 2021","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/58730737-mothers-fathers-and-others
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Life of One's Own: Nine Women Writers Begin Again,"Biggs, Joanna",0063073102,9780063073104,0063073102,272        pp,4.04,625,"May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/61982340-a-life-of-one-s-own
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Committed: On Meaning and Madwomen,"Scanlon, Suzanne*",0593469100,9780593469101,0593469100,368        pp,4.65,31,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/191746769-committed
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intermezzo,"Rooney, Sally*",0374602638,9780374602635,0374602638,432        pp,4.44,9,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,brothers??? one is a loner??? one is in love with two women??? grief?? despair??welcome back dostoyevsky,Notes are private!,3,433,0,not set,not set,"Feb 29, 2024",,Hardcover,view (with text),/book/show/208931300-intermezzo
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea, The Sea","Murdoch, Iris",1784875198,9781784875190,1784875198,587        pp,3.95,"21,835",1978,"Jul 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/42185853-the-sea-the-sea
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A School for Fools,"Sokolov, Sasha",0941423077,9780941423076,0941423077,232        pp,4.08,"1,793",1976,"Jan 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/722134.A_School_for_Fools
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deerbrook,"Martineau, Harriet",0141439394,9780141439396,0141439394,656        pp,3.77,379,1838,"Jun 28, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/1339655.Deerbrook
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Love,"Turgenev, Ivan",,,B00F10Z4WS,107        pp,3.77,"19,210",1860,"Mar 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Kindle Edition,view,/book/show/21119814-first-love
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Daughter,"Ferrante, Elena",1787704181,9781787704183,1787704181,140        pp,3.73,"47,034","Jan 01, 2006","Nov 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“the hardest things to talk about are the ones we ourselves can't understand.”recently i've been loving books on motherhood, mothers and d“the hardest things to talk about are the ones we ourselves can't understand.”recently i've been loving books on motherhood, mothers and daughters, and one's identity as such (and without). elena ferrante's books are beautiful, atmospheric, and haunting—this one was no different. ...more",Notes are private!,0,72,1,"Feb 16, 2024","Feb 16, 2024","Feb 16, 2024",,Paperback,view (with text),/book/show/59684725-the-lost-daughter
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trouble with Happiness,"Ditlevsen, Tove",024153738X,9780241537381,024153738X,192        pp,3.90,"1,595","Mar 03, 2022","Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/61242253-the-trouble-with-happiness
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Ditch,"Emecheta, Buchi",0241578124,9780241578124,B0BWDBNQ55,143        pp,4.03,455,1972,"Aug 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/63907048-in-the-ditch
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Love: Essays and Conversations,"Nelson, Maggie",1644452812,9781644452813,1644452812,336        pp,3.94,36,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,thank you graywolf press for the arc!,Notes are private!,0,2,0,not set,not set,"Feb 16, 2024",,Hardcover,view (with text),/book/show/127282370-like-love
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Journals and Letters,"Burney, Frances",0140436243,9780140436242,0140436243,590        pp,4.10,166,1840,"Nov 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/198498.Journals_and_Letters
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Enchanted April,"Arnim, Elizabeth von",1590172256,9781590172254,1590172256,247        pp,3.92,"30,180",1922,"Apr 03, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/398352.The_Enchanted_April
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,820","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/139400713-martyr
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Look Now,"du Maurier, Daphne",1590172884,9781590172889,1590172884,346        pp,4.04,"2,891","Mar 07, 2007","Oct 28, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/2871390-don-t-look-now
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Midnight,"Keun, Irmgard",0241391822,9780241391822,0241391822,144        pp,3.89,"1,506",1937,"Apr 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/50879839-after-midnight
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Up at the Villa,"Maugham, W. Somerset",0099478323,9780099478324,0099478323,128        pp,3.74,"6,900",1941,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/59551.Up_at_the_Villa
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eros the Bittersweet,"Carson, Anne",1628973862,9781628973860,1628973862,209        pp,4.46,"4,515",1986,"Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/62247868-eros-the-bittersweet
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie John,"Kincaid, Jamaica",0374525102,9780374525101,0374525102,160        pp,3.71,"10,222","Jun 01, 1985","Jun 30, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/386336.Annie_John
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,About Looking,"Berger, John",0747599572,9780747599579,B007YWGG8M,224        pp,4.08,"8,400",1980,"Apr 20, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/6335233-about-looking
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glimpses of the Moon,"Wharton, Edith",0020383053,9780020383055,0020383053,269        pp,3.86,"4,091",1922,"Apr 28, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/2796156-glimpses-of-the-moon
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ice Palace,"Vesaas, Tarjei",0241321212,9780241321218,0241321212,139        pp,3.86,"11,529",1963,"Jun 26, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/36200536-the-ice-palace
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoner,"Williams, John",1590171993,9781590171998,1590171993,288        pp,4.33,"166,249",1965,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/166997.Stoner
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,August Blue,"Levy, Deborah",,,,208        pp,3.68,"4,955","May 04, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/62039277-august-blue
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pond,"Bennett, Claire-Louise",0399575898,9780399575891,0399575898,195        pp,3.54,"7,694","Apr 23, 2015","Jul 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/27774632-pond
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lie With Me,"Besson, Philippe",1501197878,9781501197871,1501197878,149        pp,4.26,"39,896","Jan 05, 2017","Apr 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/40539136-lie-with-me
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vile Bodies,"Waugh, Evelyn",0141182873,9780141182872,0141182873,288        pp,3.73,"15,831",1930,"Feb 03, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/36169504-vile-bodies
