,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Дмитрий's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,HHhH,"Binet, Laurent",2246760011,9782246760016,B00EAS0ZPS,442        pp,4.06,"25,500","Jan 13, 2010",Jan 2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/7992363-hhhh
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La luna e i falò,"Pavese, Cesare",8883379454,9788883379451,8883379454,157        pp,3.77,"15,254",1950,"Jan 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/57580002-la-luna-e-i-fal
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Violent Delights,"Nemerever, Micah*",,,B082J3H6GS,463        pp,3.99,"17,684","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/53549678-these-violent-delights
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dictionary of the Khazars,"Pavić, Milorad",067972754X,9780679727545,067972754X,352        pp,4.17,"6,983",1983,"Oct 28, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/321567.Dictionary_of_the_Khazars
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tous les hommes sont mortels,"Beauvoir, Simone de",,,,526        pp,4.12,"6,214","Dec 17, 1946","Mar 01, 1974",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Mass Market Paperback,view,/book/show/1041367.Tous_les_hommes_sont_mortels
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Forest        (The Three-Body Problem, #2)","Liu, Cixin*",,,,512        pp,4.42,"144,644",unknown,"Aug 11, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024",not set,"Mar 30, 2024",,Hardcover,view,/book/show/23168817-the-dark-forest
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Задача трех тел        (В память о прошлом Земли #1),"Liu, Cixin*",5040891121,9785040891122,5040891121,464        pp,4.09,"332,342",May 2006,Oct 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 29, 2024","Mar 30, 2024","Mar 29, 2024",,Hardcover,view,/book/show/36617389
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Война с саламандрами. Рассказы,"Čapek, Karel",,,,416        pp,4.15,170,unknown,1980,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 09, 2024","Mar 31, 2024","Mar 09, 2024",,Paperback,view,/book/show/15742542
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Friend,"Tartt, Donna",1400031699,9781400031696,1400031699,624        pp,3.47,"69,748","Oct 22, 2002","Oct 28, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024",not set,"Feb 26, 2024",,Paperback,view,/book/show/775346.The_Little_Friend
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Hunger,"Ollikainen, Aki",1908670207,9781908670205,1908670207,136        pp,3.56,"2,263",Mar 2012,"Mar 01, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2024","Feb 10, 2024","Feb 06, 2024",,Paperback,view,/book/show/23697987-white-hunger
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'innocente [the Victim],"D'Annunzio, Gabriele",0781800064,9780781800068,0781800064,220        pp,3.73,786,1892,"Feb 01, 1992",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"oh, boy, this book didn't age well one might think. Ma mi è piaciuto perché il libro è facile nonostante essere scritto da un autore classico. Comunquoh, boy, this book didn't age well one might think. Ma mi è piaciuto perché il libro è facile nonostante essere scritto da un autore classico. Comunque le novelle di D'Annunzio che avevo letto prima mi sono sembrate più interessanti....more",Notes are private!,0,1,1,"Feb 04, 2024","Feb 26, 2024","Feb 04, 2024",,Paperback,view (with text),/book/show/1520340.L_innocente_the_Victim_
