,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rachel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.22,"10,755","Mar 05, 2024","Mar 05, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/174156145-the-hunter
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Searcher,"French, Tana*",073522465X,9780735224650,073522465X,451        pp,3.79,"125,723","Oct 06, 2020","Oct 06, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,2,1,"Mar 24, 2024","Mar 24, 2024","Mar 24, 2024",,Hardcover,view,/book/show/52661162-the-searcher
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middle of the Night,"Sager, Riley*",0593472373,9780593472378,0593472373,384        pp,4.09,325,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/199026522-middle-of-the-night
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enter Ghost,"Hammad, Isabella*",080216238X,9780802162380,080216238X,336        pp,4.08,"2,108","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/59725231-enter-ghost
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"River East, River West","Lescure, Aube Rey",0063257858,9780063257856,0063257858,352        pp,4.04,888,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/127823210-river-east-river-west
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Western Lane,"Maroo, Chetna",0374607494,9780374607494,0374607494,160        pp,3.53,"5,949","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/60784812-western-lane
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightbloom,"Medie, Peace Adzo",1643752847,9781643752846,1643752847,352        pp,3.96,"1,268","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/62874316-nightbloom
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maiden,"Foster, Kate*",1529091721,9781529091724,1529091721,384        pp,4.10,"1,951","Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/63106877-the-maiden
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,8 Lives of a Century-Old Trickster,"Lee, Mirinae",0063240424,9780063240421,0063240424,304        pp,3.95,"1,041","May 04, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/62949047-8-lives-of-a-century-old-trickster
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry Henry,"Bratton, Allen",196188402X,9781961884021,196188402X,336        pp,3.61,76,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/182108722-henry-henry
