,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mary Helene's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Twist of a Knife        (Hawthorne & Horowitz, #4)","Horowitz, Anthony*",0062938185,9780062938183,0062938185,373        pp,4.09,"25,168",2022,"Nov 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was looking for something fun and on the recommendation of the librarian, this was! The author himself is the main character and he is sweetly befudI was looking for something fun and on the recommendation of the librarian, this was! The author himself is the main character and he is sweetly befuddled. To appease his ego: 5 stars.p.s. The cover of silver, the embossed handle, the X - worth noting. ...more",Notes are private!,0,0,1,not set,"Mar 27, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/60461888-the-twist-of-a-knife
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Amen Effect: Ancient Wisdom to Mend Our Broken Hearts and World,"Brous, Sharon",0593543319,9780593543313,0593543319,240        pp,4.61,471,unknown,"Jan 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I am hoping that the practices at the back of the book will spark action when our book club discussed this. The stories themselves are brief - and ricI am hoping that the practices at the back of the book will spark action when our book club discussed this. The stories themselves are brief - and rich. ...more,Notes are private!,0,0,1,not set,"Mar 13, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/127482688-the-amen-effect
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dust        (Richard Jury, #21)","Grimes, Martha*",0670037869,9780670037865,0670037869,342        pp,3.67,"3,779","Jan 16, 2007","Jan 16, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No. While the author clearly is gifted, she ran out of steam here. To start with, one needs to have read all of Henry James. It would help, too, to haNo. While the author clearly is gifted, she ran out of steam here. To start with, one needs to have read all of Henry James. It would help, too, to have read the previous 20 books in this series. There are characters introduced in the last chapters and that still doesn’t make sense of the ending. No. ...more",Notes are private!,0,0,1,not set,"Feb 19, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/25170.Dust
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry for the Future,"Robinson, Kim Stanley",0316300136,9780316300131,0316300136,563        pp,3.88,"31,430","Oct 06, 2020","Oct 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"HOPE! That is a gift the author gives. Different chapters, different voices and this sense that all is not lost. The author did set out to teach us soHOPE! That is a gift the author gives. Different chapters, different voices and this sense that all is not lost. The author did set out to teach us something; I am willing to learn. Thank you. ...more",Notes are private!,0,0,1,"Feb 13, 2024","Feb 13, 2024","Feb 12, 2024",,Hardcover,view (with text),/book/show/50998056-the-ministry-for-the-future
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,167","Apr 20, 2021","Apr 20, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A loving tribute to her mother and to Korean food. The romanization of Korean words was strange to me; a parallel book with the words in hangul would A loving tribute to her mother and to Korean food. The romanization of Korean words was strange to me; a parallel book with the words in hangul would be delightful and probably appealing to a broader audience than one might think. ...more,Notes are private!,0,0,1,not set,"Jan 04, 2024","Jan 04, 2024",,Hardcover,view (with text),/book/show/54814676-crying-in-h-mart
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,394","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful. Beautiful. I was reading it in a hurry and on pg.20 there was such a resonant description of making a cake in an ordinary setting that I saBeautiful. Beautiful. I was reading it in a hurry and on pg.20 there was such a resonant description of making a cake in an ordinary setting that I said to. myself ""A woman wrote this"" and went back to the beginning and read the rest of the way more slowly, savoring the internal shift of mercy, resisted by fear. I just want to say thank you to the author.p.s. ""Surely they have only as much power as we give them?"" p.99...more",Notes are private!,0,0,1,not set,"Dec 06, 2023","Dec 06, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Defiance        (Foreigner #22),"Cherryh, C.J.*",,,B0BSKLB97H,423        pp,4.37,475,"Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Kindle Edition,view,/book/show/83172514-defiance
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poet X,"Acevedo, Elizabeth*",,,B0727TNBDH,368        pp,4.39,"127,380","Mar 06, 2018","Mar 06, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't give out too many 5 Star ratings. This book was exceptional from various facets. (1) As a coming of age story, it tracked with my own experienI don't give out too many 5 Star ratings. This book was exceptional from various facets. (1) As a coming of age story, it tracked with my own experience as a 16 year old girl. (2) The language was lovely. (3) She deftly handles a bilingual story. (I just admired her sheer technique. ) (4) It was respectful of the Catholic Church while being honest. (5) Various characters had a chance to grow. (6) The ugly was not ignored and yet did not overwhelm. I was surprised by the explicitness of some of the passages. Even so: would I pass this book to my granddaughters? Yes. ...more",Notes are private!,1,0,1,not set,"Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view (with text),/book/show/33294200-the-poet-x
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Number One Is Walking: My Life in the Movies and Other Diversions,"Martin, Steve*",1250815290,9781250815293,1250815290,256        pp,3.71,"3,008","Nov 15, 2022","Nov 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes and no. Short, sweet.",Notes are private!,0,0,1,not set,"Nov 13, 2023","Nov 13, 2023",,Hardcover,view (with text),/book/show/59808205-number-one-is-walking
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boy with the Cuckoo-Clock Heart[BOY W/THE CUCKOO-CLOCK HEART][Paperback],MathiasMalzieu,,,B00QPVOYWS,0        pp,4.50,4,unknown,"Nov 30, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It started off with some amazing language and a wild idea and then it faltered and finally just gave up. Was it the translation? What happened to the It started off with some amazing language and a wild idea and then it faltered and finally just gave up. Was it the translation? What happened to the plot? Did I miss something? But for the exqusite beginning and middle - I give it 3 stars. ...more,Notes are private!,0,0,2,not setnot set,"Nov 08, 2023not set","Nov 08, 2023",,Paperback,view (with text),/book/show/167677045-the-boy-with-the-cuckoo-clock-heart-boy-w-the-cuckoo-clock-heart-paperb
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boy with the Cuckoo-Clock Heart,"Malzieu, Mathias",0307271684,9780307271686,0307271684,172        pp,3.59,"28,219",2007,"Mar 02, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 08, 2023",,Hardcover,view,/book/show/6713166-the-boy-with-the-cuckoo-clock-heart
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gingerbread Girl,"Tobin, Paul*",1603090800,9781603090803,1603090800,112        pp,3.11,489,"Jun 07, 2011","Jul 05, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Confused. I'm trying to get a sense of the genre and read books that my grandchildren would like. Problem: I don't like this one. People don't treat eConfused. I'm trying to get a sense of the genre and read books that my grandchildren would like. Problem: I don't like this one. People don't treat each other very nicely....more,Notes are private!,0,0,1,not set,not set,"Oct 22, 2023",,Deluxe Flexicover,view (with text),/book/show/10729075-gingerbread-girl
