,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kemper's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Study in Scarlet        (Sherlock Holmes, #1)","Doyle, Arthur Conan",0140439080,9780140439083,0140439080,144        pp,4.14,"444,508",1887,"Oct 01, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sherlock Holmes is a dick. And I don’t mean that as a reference to the character being a private detective. Sure, he may be brilliant, but he’s also aSherlock Holmes is a dick. And I don’t mean that as a reference to the character being a private detective. Sure, he may be brilliant, but he’s also arrogant, condescending, cold, rude, self-absorbed and generally an insufferable douche bag. If Watson wasn’t such a brown-noser, he’d have snapped and pimp slapped the shit out of Holmes about five minutes after meeting him. It’d been a long time since I’d read any of the stories, and I thought I’d check some out after watching Robert Downey Jr. play Holmes. And while RDJ’s version was an action hero that made Holmes purists bleed from the eyes and ears, at least he was a likeable rogue. Where as reading original recipe Holmes makes you want to jump into the book and strangle him just for being such a prick.But I guess that’s part of the mythos around the character as the cool analytical logic junkie. I may have liked him better if this was one of the stories where he was freebasing cocaine out of boredom because at least he would have come across as more human then.Holmes may be a key character in crime fiction, and while I actually found the mystery and detailed background of the motives in this pretty interesting, I was cringing every time Sherlock opened his mouth....more",Notes are private!,0,3,2,not setnot set,"May 28, 2010not set","Jun 20, 2023",,Paperback,view (with text),/book/show/22056752-a-study-in-scarlet
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ultimate Comics Spider-Man, Vol. 1","Bendis, Brian Michael",0785157131,9780785157137,0785157131,136        pp,4.26,"5,167",unknown,"Aug 14, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What's up, danger?I’ve been meaning to read this title for years, but it took the utterly amazing Spider-Man: Into the Spider-Verse movie to finally mWhat's up, danger?I’ve been meaning to read this title for years, but it took the utterly amazing Spider-Man: Into the Spider-Verse movie to finally motivate me to get to it. And I’ve really been missing out.The idea of a new Spider-Man could have been yet another cheap gimmick. Yet the old Marvel Ultimate universe allowed them to take some chances like killing off Peter Parker for realsies, and then introducing Miles Morales as the new kid under the mask. It turns out that actual consequences make for good drama in stories. Who knew?Bendis did a great job of crafting a new character as well as coming up with a plot that mirrors the the classic Spider-Man origin story yet still has a fresh and original feel to it. Miles has many of the same qualities that Peter has, but he’s not just a clone of him. (Which is good because Spidey doesn’t have a great history with clones.) I was also surprised to discover that the new Marvel movie version of Peter Parker pretty much lifted the idea of Miles’ best friend who knows his secret. Only steal from the best, even when stealing from yourself.It’s a great take on Spider-Man, and I can’t wait to read more about Miles and his adventures.Merged :What's up, danger?I’ve been meaning to read this title for years, but it took the utterly amazing Spider-Man: Into the Spider-Verse movie to finally motivate me to get to it. And I’ve really been missing out.The idea of a new Spider-Man could have been yet another cheap gimmick. Yet the old Marvel Ultimate universe allowed them to take some chances like killing off Peter Parker for realsies, and then introducing Miles Morales as the new kid under the mask. It turns out that actual consequences make for good drama in stories. Who knew?Bendis did a great job of crafting a new character as well as coming up with a plot that mirrors the the classic Spider-Man origin story yet still has a fresh and original feel to it. Miles has many of the same qualities that Peter has, but he’s not just a clone of him. (Which is good because Spidey doesn’t have a great history with clones.) I was also surprised to discover that the new Marvel movie version of Peter Parker pretty much lifted the idea of Miles’ best friend who knows his secret. Only steal from the best, even when stealing from yourself.It’s a great take on Spider-Man, and I can’t wait to read more about Miles and his adventures....more",Notes are private!,0,2,2,"Jan 20, 2019not set","Jan 20, 2019not set","Apr 11, 2023",,Paperback,view (with text),/book/show/13528705-ultimate-comics-spider-man-vol-1
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adventures in the Screen Trade: A Personal View of Hollywood and Screenwriting,"Goldman, William",0446391174,9780446391177,0446391174,608        pp,4.12,"7,605",1983,"Mar 10, 1989",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"William Goldman was apparently good at two things, writing and holding grudges. With this book he gets to show off some of the writing skill while alsWilliam Goldman was apparently good at two things, writing and holding grudges. With this book he gets to show off some of the writing skill while also burning a whole lot of bridges by dishing out a lot of Hollywood gossip that make a lot of very famous people sound not so great. Along the way he also imparts some of the wisdom he picked up about movie making which really boils down to, “Nobody knows anything.”It's a fun book although it seems more than a little self-aggrandizing at times and like Goldman really enjoyed settling some scores. Since it was written in the early ‘80s there’s also a fun time-capsule quality to it, and while Goldman wasn’t 100% accurate when it came to predicting where the film industry would end up going, he was also right about a whole lot of things....more",Notes are private!,0,33,1,"Feb 18, 2023","Feb 18, 2023","Feb 18, 2023",,Paperback,view (with text),/book/show/459744.Adventures_in_the_Screen_Trade
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ozark Dogs,"Cranor, Eli*",1641294531,9781641294539,1641294531,312        pp,3.73,"2,026","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Eli Cranor delivers more top notch rural noir in his second book where old secrets and grudges in a small town lead to violence.,Notes are private!,2,46,1,"Nov 24, 2022","Feb 18, 2023","Nov 24, 2022",,Hardcover,view (with text),/book/show/61409932-ozark-dogs
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fletch's Fortune        (Fletch, #3)","McDonald, Gregory",0375713557,9780375713552,0375713557,256        pp,3.76,"2,274","Apr 01, 1978","Mar 12, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fletch gets blackmailed by the government to secretly bug and record journalists at a conference, but when an asshole media mogul gets murdered, FletcFletch gets blackmailed by the government to secretly bug and record journalists at a conference, but when an asshole media mogul gets murdered, Fletch ends up investigating that too. This is OK, but a little too cute for it's own good. Plus, it's really hard to believe that a supposedly smart guy like Fletch would be too dumb to ever pay his taxes. That's how they got Capone, ya know.......more",Notes are private!,0,23,1,"Nov 21, 2022","Nov 24, 2022","Nov 24, 2022",,Paperback,view (with text),/book/show/467079.Fletch_s_Fortune
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friend of the Devil        (Reckless, #2)","Brubaker, Ed",1534318364,9781534318366,1534318364,134        pp,4.31,"2,558","May 04, 2021","May 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another great crime comic from Brubaker. Nobody does it better.,Notes are private!,0,21,1,"Oct 30, 2022","Nov 24, 2022","Oct 30, 2022",,Hardcover,view (with text),/book/show/55843570-friend-of-the-devil
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Confess, Fletch        (Fletch, #2)","McDonald, Gregory",0375713484,9780375713484,0375713484,192        pp,3.89,"3,631","Mar 12, 1976","Mar 12, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fun stuff although the character of Fletch on the page always seems to be more asshole than hero to me. Also thoroughly enjoyed the recent film based Fun stuff although the character of Fletch on the page always seems to be more asshole than hero to me. Also thoroughly enjoyed the recent film based on with Jon Hamm....more,Notes are private!,0,26,1,"Oct 30, 2022","Nov 24, 2022","Oct 30, 2022",,Paperback,view (with text),/book/show/467074.Confess_Fletch
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heron,"Winslow, Don*",,,B0B69N768T,unknown,3.69,970,unknown,"Jul 28, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An accountant embezzled a bunch of money from a rich guy who is a major league asshole. Even worse, the accountant slept with his girlfriend. The accoAn accountant embezzled a bunch of money from a rich guy who is a major league asshole. Even worse, the accountant slept with his girlfriend. The accountant ends up living quietly in a small desert town where the residents have nicknamed him 'The Heron' due to his odd body shape and distinctive walk. When the wealthy jerk learns where The Heron is, he hires a hit man to finally get revenge, but the rich guy wants to be there to see it done.This is an Audible Original story read by Ed Harris who gives a great vocal performance. It's only about an hour long, but Winslow's writing and Harris' voice made me wish it was a full blown novel so I could have listened to it for longer. It's a very solid crime story that morphs into a genuine tragedy at some point. Well worth checking out for crime fans on Audible....more",Notes are private!,0,26,1,"Sep 29, 2022","Sep 29, 2022","Sep 29, 2022",,Audible Audio,view (with text),/book/show/61800034-the-heron
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Righteous Prey        (Lucas Davenport #32, Virgil Flowers #14)","Sandford, John",,,B09PQDNCML,416        pp,4.42,"25,226","Oct 04, 2022","Oct 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I received a free advance copy of this from NetGalley for .A group of Bitcoin billionaires calling themselves The Five have appointed themselvesI received a free advance copy of this from NetGalley for .A group of Bitcoin billionaires calling themselves The Five have appointed themselves to clean up America by personally killing people they think are ruining the country. Their first victims include a violent street criminal, a corrupt right wing congressman, and a rich woman who made herself richer by putting people out of work. Some might just call this asshole-on-asshole violence and be content to let it roll for a while, but it’s a bad idea to just let the billionaires move to their next natural phase of killing people because they’re bored. They’ll get there soon enough. With bodies dropping across the country followed by press releases from The Five bragging about what they’re doing, the inevitable media shitstorm has started. When the latest victim is killed in Minnesota, our favorite Sandford heroes, Lucas Davenport and Virgil Flowers, get called in to help the FBI, and the two cops end up following twisted trails across the US as they start running down The Five.This is once again Sandford doing his thing, and as usual, he does it well. It’s a solid page turner with an intriguing plot set-up, and there’s some fun character stuff with Lucas and Virgil as they entertain themselves by busting each other’s balls regularly. However, I’m still not sold on this idea of Sandford teaming up his two biggest characters and merging what used to be two books a year into one. I know the man has certainly earned a rest at this point, but it seems like splitting time between Lucas and Virgil does something to the flow of the story so that it doesn’t hum with quite the same energy that their solo books do.My other problem with this is one is that Lucas and Virgil don’t really do all that much. There’s a distinct lack of either of them coming up with any of their usual clever schemes or traps to draw out a bad guys, and most of their major breaks come from sheer luck. In fact, by the end of this one Lucas and Virgil seem like rubes who get caught flat footed again and again. Part of the appeal of the Sandford novels is that he has managed to take what could be outlandish action movie plots and ground them through the characters, so they don’t need to be heroes incapable of error. Both of them have made plenty of mistakes in their own books. It’s just in this one that they don’t really seem to impact the plot all that much other than just stumbling into a couple of things.Still, it’s a Sandford book, and those just make me happy so I won’t bitch too much....more",Notes are private!,0,27,1,"Sep 26, 2022","Oct 05, 2022","Sep 26, 2022",,Kindle Edition,view (with text),/book/show/60067154-righteous-prey
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burglar Who Met Fredric Brown        (Bernie Rhodenbarr #12),"Block, Lawrence*",,,B0B4HM5C3G,292        pp,3.79,587,"Oct 18, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bernie Rhodenbarr is not happy about the state of the world. As a used bookseller his business has been pretty much destroyed by Amazon, and that usedBernie Rhodenbarr is not happy about the state of the world. As a used bookseller his business has been pretty much destroyed by Amazon, and that used to be less of a problem because he made most of his money in his second job as a burglar. However, the modern world is now filled with surveillance cameras and various forms of electronic security that can’t be cracked with old school lockpicking. When a rich jerk buys a priceless diamond and brags about keeping it in a nearby penthouse, it’s a score that Bernie would have once jumped at, but one quick look convinces him that he wouldn’t even be able to get into the building.Bernie grumbles about all this to his best friend Carol over drinks one night, and after going home he then tries to take his mind off it by reading a book by Fredric Brown about alternate universes. Something strange happens the next day though.The world seems mostly the same, but Bernie’s Metrocard has now been changed to a Subway Card. Even weirder, his bookstore is now doing a brisk business and Amazon doesn’t exist. Bernie also quickly notices that there are far less security cameras and high tech locks around. Only he and Carol seem aware that there’s been any changes, and Bernie can only guess that somehow they’ve shifted to an alternate universe that is lot more hospitable to a guy who sells books and breaks into places. Maybe he could even now manage to steal a priceless diamond.Getting a new Burglar novel at this point feels like a real treat precisely because of what Bernie himself is saying at the start of the story. It’s nigh on impossible to be a bookseller who just runs an actual store or be a professional burglar in modern times. So when the series is oriented around those as key traits of the main character, you’d think it’d be time to retire or maybe set the book in the past.So it’s a delight that Lawrence Block found a loophole with the idea of alternate realities, and then just transplants the whole concept to one in which Bernie can not only exist, but thrive. It’s a little odd because Mr. Block isn’t really associated with sci-fi, and to just have this happen in a series that’s been set in ‘reality’ requires a regular reader to shift into a different gear. Yet it completely worked for me because the alt-universe thing isn’t the point, it’s just a way for Mr. Block to tell us a story with Bernie again. Not only that, the story eventually becomes a kind of meta-commentary in which Bernie starts to become self-aware about how a lot of his burglary jobs become complicated and involve him playing an amatuer sleuth. Most importantly, this still feels like a Bernie book with him having his conservations with Carol, trying to steal something, and solving a mystery in a low-key grounded kind of way.Mr. Block has said that he’s retired from writing novels, but fortunately we exist in a reality where a new book like this can appear....more",Notes are private!,0,30,1,"Sep 07, 2022","Sep 07, 2022","Sep 07, 2022",,Kindle Edition,view (with text),/book/show/61351589-the-burglar-who-met-fredric-brown
