,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Surbhi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,772",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,West with Giraffes,"Rutledge, Lynda*",1542023351,9781542023351,B088FF4S7Q,381        pp,4.37,"128,581","Feb 01, 2021","Feb 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/56449476-west-with-giraffes
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Choosing to Run: A Memoir,"Linden, Des",0593186648,9780593186640,0593186648,272        pp,4.30,"8,826",Apr 2023,"Apr 04, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I feel bad rating a memoir because she’s obviously an amazing runner. The book itself just was dry and kind of a rehashing of her running logs? Maybe I feel bad rating a memoir because she’s obviously an amazing runner. The book itself just was dry and kind of a rehashing of her running logs? Maybe it’s because I listen to her podcast with Kara Goucher so I already knew a lot of the info in the book...more,Notes are private!,2,1,1,Apr 2024,"Apr 04, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/61420096-choosing-to-run
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598830,9780593598832,0593598830,304        pp,4.13,"103,590","May 30, 2023","May 30, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Took forever to actually get into because the premise of a single 26 year old wanting to adopt a 7 year old boy was very unrealistic. The rest of the Took forever to actually get into because the premise of a single 26 year old wanting to adopt a 7 year old boy was very unrealistic. The rest of the book was predictable and tried to tackle waaaaay too many issues and tie them all up with bows ...more,Notes are private!,0,1,1,"Mar 19, 2024","Mar 24, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/62926992-the-wishing-game
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Eve,"Johnson, Sadeqa*",1982197366,9781982197360,1982197366,384        pp,4.26,"75,074","Feb 07, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5. I just wanted more from this and the ending was too neat and sped up (but also not?). I read it fast and it held my attention but I am left with 3.5. I just wanted more from this and the ending was too neat and sped up (but also not?). I read it fast and it held my attention but I am left with questions. Maybe it’s just me but they kept referring to someone as an optometrist when they meant ophthalmologist and I couldn’t move past it ...more,Notes are private!,0,0,1,"Mar 16, 2024","Mar 18, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/61273858-the-house-of-eve
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horse,"Brooks, Geraldine*",0399562966,9780399562969,0399562966,401        pp,4.28,"128,836","Jun 14, 2022","Jun 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved it. So well written, I feel like I really knew each character and I loved how each different viewpoint tied together. Best book I’ve read in a wLoved it. So well written, I feel like I really knew each character and I loved how each different viewpoint tied together. Best book I’ve read in a while...more",Notes are private!,1,3,1,"Mar 10, 2024","Mar 15, 2024","Mar 10, 2024",,Hardcover,view (with text),/book/show/59109077-horse
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild: From Lost to Found on the Pacific Crest Trail,"Strayed, Cheryl*",0307592731,9780307592736,0307592731,315        pp,4.06,"796,770","Mar 20, 2012","Mar 20, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5. Makes me want to drop my life and hike the PCT based on her well written descriptions of the scenery and the emotions she felt throughout. It was3.5. Makes me want to drop my life and hike the PCT based on her well written descriptions of the scenery and the emotions she felt throughout. It was a little long though and I found myself glazing over some parts to get back to the chapters where she’s actually on the trail ...more,Notes are private!,0,1,2,"Feb 25, 2024not set","Mar 04, 2024not set","Mar 04, 2024",,Hardcover,view (with text),/book/show/12262741-wild
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh William!        (Amgash, #3)","Strout, Elizabeth*",0812989430,9780812989434,0812989430,240        pp,3.86,"80,116","Oct 19, 2021","Oct 19, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 I think. Definitely the best of the series so far. As usual, Strout’s writing leaves me unsettled but not in a bad way",Notes are private!,0,0,1,"Feb 29, 2024","Mar 04, 2024","Feb 29, 2024",,Hardcover,view (with text),/book/show/56294820-oh-william
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Anything Is Possible        (Amgash, #2)","Strout, Elizabeth*",0812989406,9780812989403,0812989406,254        pp,3.78,"66,298","Apr 27, 2017","Apr 25, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As usual, reading anything by Elizabeth Strout makes me feel slightly uncomfortable but it’s because she writes so well about the human condition and As usual, reading anything by Elizabeth Strout makes me feel slightly uncomfortable but it’s because she writes so well about the human condition and it’s uncomfortable to be alive. ...more",Notes are private!,0,1,1,"Feb 22, 2024","Feb 29, 2024","Feb 22, 2024",,Hardcover,view (with text),/book/show/32080126-anything-is-possible
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"XOXO, Cody: An Opinionated Homosexual's Guide to Self-Love, Relationships, and Tactful Pettiness","Rigsby, Cody",0593722531,9780593722534,0593722531,240        pp,4.07,"12,347","Sep 12, 2023","Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A fun read with some hilarious tidbits. It was interesting to hear his origin story but I don’t feel like I really connected with a lot of the contentA fun read with some hilarious tidbits. It was interesting to hear his origin story but I don’t feel like I really connected with a lot of the content. Entertaining nonetheless ...more,Notes are private!,0,1,1,"Feb 05, 2024","Feb 13, 2024","Feb 05, 2024",,Hardcover,view (with text),/book/show/123226898-xoxo-cody
