,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paul 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shogun        (Asian Saga, #1)","Clavell, James",,,,"1,140        pp",4.41,"180,093","Jun 01, 1975","Jun 20, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/18950065-shogun
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl and the Mountain        (Book of the Ice #2),"Lawrence, Mark*",0008284822,9780008284824,B08KFQZ88M,448        pp,4.14,"5,740","Apr 13, 2021","Apr 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/56925439-the-girl-and-the-mountain
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killing Moon,"Nesbø, Jo*",,,B0BGB5T4VF,491        pp,4.22,"17,138","Aug 30, 2022","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/63058868-killing-moon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medieval Horizons: Why the Middle Ages Matter,"Mortimer, Ian*",,,B0B4CCRQRP,249        pp,4.06,188,unknown,"Feb 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/70001785-medieval-horizons
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Max and the Multiverse        (Max and the Multiverse, #1)","Wheeler, Zachry*",,,B01MYGHQC1,197        pp,3.86,895,"Jan 27, 2017","Jan 27, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/57639951-max-and-the-multiverse
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Died,"Tuomainen, Antti*",1910633852,9781910633854,B06ZYW8BS3,301        pp,3.83,"4,345",Sep 2016,"Aug 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/34884878-the-man-who-died
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Special Purpose,"Boyne, John*",,,B0031RS3W6,478        pp,4.16,"12,944","May 15, 2009","May 07, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/13251866-the-house-of-special-purpose
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Babes in the Wood,"Atwood, Margaret*",,,B0B5CYXWQW,248        pp,3.71,"6,882","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/74818910-old-babes-in-the-wood
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blue Afternoon,"Boyd, William",0141929774,9780141929774,B00H03IE94,325        pp,3.78,"3,251","Sep 13, 1993","Dec 19, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/19840292-the-blue-afternoon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Song,"McCammon, Robert",0671741039,9780671741037,0671741039,956        pp,4.29,"68,112","Jun 01, 1987","Jun 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Mass Market Paperback,view,/book/show/11557.Swan_Song
