,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Francine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The struggle for survival: an historical, political and socioeconomic perspective of St. Lucia","Reynolds, Anderson",0970443226,9780970443229,0970443226,206        pp,4.00,13,Jan 2003,"Jan 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read this on the plane on my way home from a vacation in St. Lucia as I was trying to understand how it is possible that 737,000 people a year visit tRead this on the plane on my way home from a vacation in St. Lucia as I was trying to understand how it is possible that 737,000 people a year visit the island, but its major cities — Castries and in particular, Soufrière, show few signs of affluence. Soufrière was in terrible shape when we visited (March, 2024). It looked deserted and broken, cracked windows and front doors boarded up instead of replaced. Where were the people? Where was the commerce? The book, which does in fact, read like a well-paced novel, as others have noted, provided history and context. I liked that it was written from a distinct POV — this is not a cautious and objective recitation of the facts — it’s a passionate, insider account of the troubles that generations of St. Lucians have endured and continue to endure. I thought the author’s descriptions of the intensely physical labours performed by inhabitants over the centuries — from slavery to slinging coal and farming bananas — contained a level of detail one rarely encounters in history books and which may not have been recorded in any meaningful way at all, if not for this book. Reynolds has lived the history of which he speaks, and it makes for a riveting read. He did mention that the types of tourism that is popular in St. Lucia — cruise ships and all-inclusive resorts — do not result in trickle down prosperity. I would have liked to have heard his thoughts on that subject. To be fair, tourism was not the topic of his book, which was published in 2018. I finished the book feeling like I’d had a fascinating encounter with a thoughtful, highly educated and erudite resident of the island. I would recommend this book to anyone with an interest in Caribbean history or who is seeking to better understand events taking place in the Caribbean today. Haiti may be the first island nation to descend into lawlessness, but as this book makes clear, you can only keep people poor and oppressed for a finite amount of generations, even though those generations may be legion.The murder rate in St. Lucia is climbing — 39 homicides per 100,000 people a year in 2021, compared to about 2 in Canada and about 6 in the U.S. There were 75 homicides in St. Lucia in 2023.While tourists are not the target, it is hard not to see it as evidence that a new, dark chapter in the history of the island is about to be written....more",Notes are private!,0,1,1,not set,"Mar 22, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/3240493-the-struggle-for-survival
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,"Didion, Joan",0307264874,9780307264879,0307264874,"1,122        pp",4.44,"2,030","Oct 17, 2006","Oct 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/426.We_Tell_Ourselves_Stories_in_Order_to_Live
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,798","Oct 31, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"McDermott writes beautifully — a virtuoso in fact, as the book flap promises. The subject matter appealed to me — American wives, as did the place — VMcDermott writes beautifully — a virtuoso in fact, as the book flap promises. The subject matter appealed to me — American wives, as did the place — Vietnam, and the time period — the 1960s. But not enough happened. Or maybe not in the right order. I feel the book may better have held my interest if it had started with the main characters being stuck in a jeep in the pouring rain, night falling as fear of a Viet Cong attack grows, and then back-tracked to how they got there. Or maybe not, because the bottom line is, not enough happened to sustain my interest over 324 pages. Example: The narrator attaches so much importance to the “you” she’s addressing that you imagine she adopted her or that they became lovers or…something. But no. Nothing really happens. They move away. The last part of the book, supposedly written by a different person of a different generation has a voice almost identical to the first narrator. McDermott is making a point with this book, I suppose. A point about our instinct to help and how it can backfire, get warped, miss the point, make things worse, and how great good can come from great evil — the dodgy surgeon who goes on to pioneer life-saving heart surgery. Morality isn’t black-and-white — even people doing good can wreak harm. And sometimes the most important things that happen in our lives aren’t big events, but relatively small ones, that loom larger as they ripple across time, across generations. These are important ideas. But I was hoping for a story....more",Notes are private!,1,1,1,not set,"Mar 21, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/101404407-absolution
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Toward Bethlehem.,"Didion, Joan",,,B006DO90US,0        pp,4.19,"67,267",1968,"Jan 01, 1968",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A new favourite book for me, one to keep close by, on my desk or nightstand, so that when I am looking for inspiration I can find it right away.Her wrA new favourite book for me, one to keep close by, on my desk or nightstand, so that when I am looking for inspiration I can find it right away.Her writing reminds me of Hemingway in its truth, and Fitzgerald in beauty of execution, but her style is uniquely hers. Quietly musical....more",Notes are private!,0,1,1,not set,"Feb 23, 2024","Feb 23, 2024",,Paperback,view (with text),/book/show/133352243-slouching-toward-bethlehem
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ringolevio: A Life Played for Keeps,"Grogan, Emmett*",0806511680,9780806511689,0806511680,532        pp,4.12,492,"Jan 01, 1972","Jan 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/1069602.Ringolevio
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Chord,"Brooks, Geraldine*",0670025771,9780670025770,0670025771,302        pp,3.66,"19,632","Oct 06, 2015","Oct 06, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book started off strong for me, but I began losing interest about halfway through because I didn’t like any of the characters, not even David. BuThis book started off strong for me, but I began losing interest about halfway through because I didn’t like any of the characters, not even David. But I am keen to try Brooks’s other books. She’s a masterful writer. ...more",Notes are private!,0,1,1,not set,"Feb 14, 2024","Feb 14, 2024",,Hardcover,view (with text),/book/show/24611425-the-secret-chord
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slaughterhouse-Five,"Vonnegut, Kurt, Jr.",0385333846,9780385333849,0385333846,275        pp,4.10,"1,369,565","Mar 31, 1969","Jan 12, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Paperback,view,/book/show/4981.Slaughterhouse_Five
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greenwood,"Christie, Michael*",1984822004,9781984822000,1984822004,528        pp,4.34,"20,948","Sep 24, 2019","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 10, 2023","Dec 10, 2023",,Hardcover,view,/book/show/39328584-greenwood
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Turn of the Screw,"James, Henry",0140620613,9780140620610,0140620613,121        pp,3.39,"155,994",1898,"Apr 16, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a novella that takes as long to read as a novel. This is partly due to the writing. It’s dense and difficult. The sentences aren’t linear, theThis is a novella that takes as long to read as a novel. This is partly due to the writing. It’s dense and difficult. The sentences aren’t linear, they’re like crystals, refracting light in all directions. What does it all mean? That’s up to the reader. Was the governess slowly slipping deeper and deeper into mental illness? Or do ghosts exist? While Victorians may have been of one opinion, most modern readers would likely disagree. This is not a satisfying book, and it probably wasn’t meant to be. It is unsettling, and above all, ambiguous. ...more",Notes are private!,0,2,1,not set,"Nov 05, 2023","Nov 05, 2023",,Paperback,view (with text),/book/show/12948.The_Turn_of_the_Screw
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ladies' Lunch: and Other Stories,"Segal, Lore",1685891012,9781685891015,1685891012,144        pp,3.24,832,"Feb 20, 2017","Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some lovely short stories in this collection, informed by more than 90 decades of living. The world needs more older writers. The stories revolve arouSome lovely short stories in this collection, informed by more than 90 decades of living. The world needs more older writers. The stories revolve around a group of women with a long shared history who routinely meet for lunch. Some of the stories are too restrained, verging on cryptic, for my taste, but Segal has interesting insights and observations to share, including this one, in the last story, about the difficulty we have in disposing of pictures of people, even if we’ve forgotten who they are:“What vestige of the idea of the sacred prevents us from erasing a human person?”A fitting end to the story, the collection, and this . ...more",Notes are private!,1,1,1,not set,"Nov 04, 2023","Nov 04, 2023",,Paperback,view (with text),/book/show/125078349-ladies-lunch
