,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steve's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road,"McCarthy, Cormac",0307265439,9780307265432,0307265439,241        pp,3.99,"904,402","Sep 26, 2006","Oct 02, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2021",,Hardcover,view,/book/show/6288.The_Road
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Lies Between Us,"Munaweera, Nayomi*",1250043948,9781250043948,1250043948,310        pp,3.90,"2,244","Feb 16, 2016","Feb 16, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 13, 2019",,Hardcover,view,/book/show/25663781-what-lies-between-us
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,378","May 06, 2014","Jan 01, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 30, 2019","Jan 30, 2019","Jan 30, 2019",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Separation,"Kitamura, Katie*",039957610X,9780399576102,039957610X,231        pp,3.01,"16,408","Feb 07, 2017","Feb 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There's not a lot of external action in this novel. We spend a lot of time waiting for things to happen and then they don't. Even so I found myself coThere's not a lot of external action in this novel. We spend a lot of time waiting for things to happen and then they don't. Even so I found myself continuing to read because the main character is so interesting and there was promise of a problem waiting to be confronted and resolved. One  said this is a novel about consciousness. I won't argue with that. Everything is intensely observed. It's never extraneous or irrelevant. Events don't unfold in the way we might be expecting. Problems don't get resolved in quite the way we might have anticipated but then nothing ever happens the way we think it will and reality is much more complicated than even the best minds are capable of understanding. ...more,Notes are private!,0,0,1,"Jan 19, 2019","Jan 21, 2019","Jan 19, 2019",,Hardcover,view (with text),/book/show/30407998-a-separation
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Can Democracy Survive Global Capitalism?,"Kuttner, Robert",0393609936,9780393609936,0393609936,384        pp,4.11,311,"Apr 10, 2018","Apr 10, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Everyone ought to read this book.,Notes are private!,0,1,1,"Jun 28, 2018",Dec 2018,"Jun 28, 2018",,Hardcover,view (with text),/book/show/35167733-can-democracy-survive-global-capitalism
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The People's House        (Jack Sharpe #1),"Pepper, David*",,,,311        pp,4.13,"1,007","Aug 15, 2016","Aug 15, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Judy Woodruff of the PBS Newshour talked about this book and it wasn't a book  but a comment on a political thriller about Russians succeeding iJudy Woodruff of the PBS Newshour talked about this book and it wasn't a book  but a comment on a political thriller about Russians succeeding in tampering with congressional elections. It was written in 2015 but shows how tampering with voting machines is both possible and effective. It's an interesting story, quite plausible, and told by Pepper with a great deal of skill. I learned a lot....more",Notes are private!,0,3,1,"Jun 24, 2018","Jun 28, 2018","Jun 24, 2018",,Kindle Edition,view (with text),/book/show/31436179-the-people-s-house
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After I'm Gone,"Lippman, Laura*",0062083392,9780062083395,0062083392,334        pp,3.61,"16,804","Feb 11, 2014","Feb 11, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 24, 2018","Jun 24, 2018","Jun 24, 2018",,Hardcover,view,/book/show/18089975-after-i-m-gone
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wilde Lake,"Lippman, Laura*",0062083457,9780062083456,0062083457,352        pp,3.53,"11,481","May 03, 2016","May 03, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,4,"Jun 13, 2018not setnot setJun 13, 2018","Jun 18, 2018not setnot setnot set","Jun 24, 2018",,Hardcover,view,/book/show/26198780-wilde-lake
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And When She Was Good,"Lippman, Laura*",0061706876,9780061706875,B00BJEL1MM,320        pp,3.50,"13,982","Aug 01, 2012","Jan 01, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 02, 2018","Jun 24, 2018","Jun 02, 2018",,Hardcover,view,/book/show/13623815-and-when-she-was-good
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Country Girls        (The Country Girls Trilogy, #1)","O'Brien, Edna",0452283434,9780452283435,0452283434,175        pp,3.68,"6,737",1960,"Jun 25, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No one casts a more baleful eye on the Catholic suppression of sex than Edna O'Brien. In this novel of '50's Ireland, Mr Gentleman is the perfect emboNo one casts a more baleful eye on the Catholic suppression of sex than Edna O'Brien. In this novel of '50's Ireland, Mr Gentleman is the perfect embodiment of it with his pallor of a complexion, his cold hands and sad eyes and all that lust churning just below the surface. Like Iceland, or Irish Step Dancing with the more or less rigid upper body and arms straight down at the sides, and the legs and feet churning, churning just below. (Easy, Steve!) I was raised Catholic and am grateful my parents were not devout. But the nuns in grade school were (I liked them), and so were the Jesuits in high school and one year at Georgetown. There I realized I no longer believed one word of the doctrine. Not one word, except for the obvious stuff like treating others as you would like to be treated, and don't kill anyone.Edna O'Brien is wonderful in rendering that religious culture and the disastrous results (Mr. Gentleman on one extreme, the loutish drunks on the other) it produces. I'll read the rest of this trilogy later....more",Notes are private!,0,0,1,"May 29, 2018","Jun 02, 2018","May 29, 2018",,Paperback,view (with text),/book/show/517061.The_Country_Girls
