,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Greg's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Biography of X,"Lacey, Catherine*",037460617X,9780374606176,037460617X,416        pp,3.87,"7,400","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/60784729-biography-of-x
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perris, California","Stark, Rachel",0593656202,9780593656204,0593656202,368        pp,4.40,82,"Mar 26, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5, but I'm rounding up. Here we have the under-the-radar (so far) 2024 novel I'm going to be annoying about foisting on people. This is REALLY good.4.5, but I'm rounding up. Here we have the under-the-radar (so far) 2024 novel I'm going to be annoying about foisting on people. This is REALLY good. I love stories like this about salt-of-the-earth people just trying to get by. And this novel is full of them. But I thought this novel is exceptional for two reason:1) The voice of the narrator (and this is all third-person) perfectly matches the voice of these characters. The cadence and diction of people who live in places like Perris, California (or the rural south or small towns in the Midwest) are just different, and so unique. And Stark NAILS this. Authenticity is so crucial, and this feels authentic. Also, though this is not a thriller, Stark's writing pulls you along quickly and smoothly. The best compliment I know how to give a writer: I didn't even realize I was reading as I tore through novel this in three days. 2) The characters. They're complex. They're real. They're flawed. We know who we're supposed to root for and we do, despite the fact that they do things like yell at waitresses and meddle in the affairs of their family members. The exception here is the villains -- they're pretty villainous.Still, I loved this book. The bookstore's publishers sales rep recommended this to me as a book he thought I'd love, and give it up one more time for publishers sales reps who are the most underrated people in the publishing industry for getting it right 99.9 percent of the time.GIVE THIS BOOK A SHOT!...more",Notes are private!,0,4,1,"Apr 07, 2024","Apr 09, 2024","Apr 07, 2024",,Hardcover,view (with text),/book/show/179548545-perris-california
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deliver Me from Nowhere: The Making of Bruce Springsteen's Nebraska,"Zanes, Warren*",0593237412,9780593237410,0593237412,320        pp,4.43,"1,114",2023,"May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Hardcover,view,/book/show/61913599-deliver-me-from-nowhere
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How We Do It: Black Writers on Craft, Practice, and Skill","Brown, Jericho",0063278189,9780063278189,0063278189,352        pp,4.46,76,unknown,"Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Paperback,view,/book/show/62925084-how-we-do-it
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,220","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You don't need to reread Huckleberry Finn to love this novel. Less a retelling of Huck Finn, and more a fully new novel, James turns everything about You don't need to reread Huckleberry Finn to love this novel. Less a retelling of Huck Finn, and more a fully new novel, James turns everything about Huck Finn on its nose -- most notably, Jim is the hero here, and Huck is the dopey and naive sidekick. You'll laugh quite frequently reading this, it's clever AF. But you'll also feel deeply uncomfortable just as often. That's kind of Percival Everett's thing. I'm not Everett expert, I've only read one other of his novels. I'll fully admit to jumping on his bandwagon the last several months as his name has skyrocketed through the literary galaxy. And James will only accelerate that ascension. Maybe the best news is how prolific Everett has been -- a rich backlist to go back to and discover, which, like many readers I plan to do immediately!...more",Notes are private!,0,5,1,Apr 2024,"Apr 06, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/173754979-james
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Divorcées,"Beaird, Rowan*",,9781250896582,1250896584,272        pp,3.29,"1,025","Mar 19, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First appeared at: https://www.thenewdorkofbooks.c...If you're a woman in the 1950s and you want to get divorced, you go to Nevada, and hang outFirst appeared at: https://www.thenewdorkofbooks.c...If you're a woman in the 1950s and you want to get divorced, you go to Nevada, and hang out for six weeks at a ""divorce ranch"" -- a niche industry taking advantage of Nevada's laissez faire laws and catering to courageous (and usually wealthy) women who want out of their marriages. In Nevada, no one really cares about the reason for your divorce. Nevada will happily take your money, sever your connection, and send you on your way.This little-known corner of history is the backdrop behind The Divorcées, the terrific, juicy, gin-soaked debut novel by Rowan Beaird. Lois is a mid-20s woman living in Lake Forest, Illinois, and married to a fellow named Lawrence who she decidedly doesn't love. She only married him because that's what women do. They get married. After four years of marriage, Lois has decided, mostly because she doesn't want to have children (an even more courageous decision in mid-century America) and Lawrence does, along with a several other indignities to which he subjects her, she wants out of her marriage. So even though her father is furious, she goes to the Golden Yarrow, a divorce ranch in Reno, Nevada. After six weeks, she can establish Nevada residency, and get a divorce with very few questions asked. When urbane but mysterious socialite Greer arrives at the ranch, her face bruised and her past shrouded, all the girls are immediately drawn to her. But she chooses Lois, for reasons Lois can't begin to comprehend, as her confidante. Who is Greer? What's her story and what does she want? And will she help Lois forge her own path, or will she lead Lois to her demise?How society looked down its nose at divorced women is a major theme of this novel, as is the idea that women weren't truly free to choose their own best lives. The Nevada divorce ranches make for super fertile ground for exploring this idea through the characters of Lois, Greer, and several other women, each with her own reason for being there. We root for these women, even the ones who seem flighty and superficial, but we root the most for Lois. The novel slow burns through the first half, as Lois gets situated and attuned to the day-to-day of her new home. But the lushness of Beaird's writing carries us through. You truly have a sense of place at this desert ranch. When the story really gets going, it's tough to put down. In fact, I read the second half of this novel in one day. I couldn't wait to see whether Lois makes it or not.This is a really accomplished debut, and I can't wait to see what Beaird does next! ...more",Notes are private!,0,4,1,"Mar 27, 2024","Mar 31, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/127306119-the-divorc-es
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reading the Room: A Bookseller's Tale,"Yamazaki, Paul",1958846694,9781958846698,1958846694,100        pp,4.73,15,unknown,"May 08, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Words used by other booksellers and writers to describe Paul Yamazaki: demi-god, superhero, larger than life. The guy is a legend, plain and simply. AWords used by other booksellers and writers to describe Paul Yamazaki: demi-god, superhero, larger than life. The guy is a legend, plain and simply. After 50 years of selling books at San Francisco's iconic City Lights Bookstore (the last 40 as the store's principal buyer), Paul has learned a thing or two.In this slim volume, a conversation between Paul and another bookseller, Paul imparts his wisdom, discusses his rich history and the rich history of the bookstore, and explains his relationship to books and why books can save the world.This is a must-read not just for any bookseller, but for any person who loves books. ...more",Notes are private!,0,2,1,"Mar 19, 2024","Mar 27, 2024","Mar 19, 2024",,Paperback,view (with text),/book/show/204753751-reading-the-room
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The American Daughters,"Ruffin, Maurice Carlos*",0593729390,9780593729397,0593729390,304        pp,3.68,723,"Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love stories based on little-known facets of history about a small but brave band of heroic humans fighting against the forces of oppression. I meanI love stories based on little-known facets of history about a small but brave band of heroic humans fighting against the forces of oppression. I mean, who doesn't?That's exactly what Ruffin has going on here -- a small band of enslaved and free Black women in pre-Civil War New Orleans work to create chaos among the white gentry, forging documents, sabotaging shipments, and generally waging wars by any means necessary.Ruffin's got a few tricks up his sleeve, including an epilogue that examines the nature of storytelling itself. This is an important, fascinating story, and a terrific read....more",Notes are private!,1,5,1,"Mar 11, 2024","Mar 26, 2024","Mar 11, 2024",,Hardcover,view (with text),/book/show/174146851-the-american-daughters
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City and Its Uncertain Walls,"Murakami, Haruki",1787304477,9781787304475,1787304477,448        pp,3.83,711,"Apr 13, 2023","Nov 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/205358060-the-city-and-its-uncertain-walls
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There's Always This Year: On Basketball and Ascension,"Abdurraqib, Hanif",0593448790,9780593448793,0593448790,352        pp,4.62,463,"Mar 26, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. Tremendous.Have you ever been to an author event during which the author is talking about his book, but then goes off-script and enters into a loWow. Tremendous.Have you ever been to an author event during which the author is talking about his book, but then goes off-script and enters into a long diatribe about a topic which has clearly been needling him lately and about which he is clearly passionate? And then he does it again? And then again?... AND IT'S ALL FASCINATING! That's what it's like reading Hanif Aburraquib generally and this book specifically. But what's truly amazing about reading Abdurraquib is that he somehow is able to connect all these tangents into a cohesive whole. He'll start a paragraph about baldness or being a witness or any of a dozen other topics, that seemingly has nothing to do with the previous several pages, but by the end, he'll connect it to aging or his skepticism of religion or whatever it was he'd been talking about previously. And you're just kind of awed about how that worked. Here, Abdurraqib uses his hoops obsession as a take-off point for everything from biographical details of jail time and being unhoused to violence in his neighborhood to police brutality to ideas of aging, love, religion, racism, class divisions, inequality, and so much more. Also, LeBron. This is several degrees deeper than any sports book you've ever read. It's not even really a sports book, frankly. Basketball is just the bones. Even if you don't care a lick about the Cleveland Cavaliers or LeBron or basketball at all, there's still plenty here for you....more",Notes are private!,0,2,1,"Mar 05, 2024","Mar 18, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/181346634-there-s-always-this-year
