,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Monika's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power","Rodgers, Rachel",1400221625,9781400221622,1400221625,288        pp,4.20,"5,590","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2024,"Mar 31, 2024",,Hardcover,view,/book/show/54626274-we-should-all-be-millionaires
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dopamine Nation: Finding Balance in the Age of Indulgence,"Lembke, Anna",1524746738,9781524746735,1524746738,304        pp,3.92,"41,094","Jun 01, 2021","Jun 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024","Mar 25, 2024","Mar 25, 2024",,ebook,view,/book/show/55723020-dopamine-nation
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Two Weeks Notice: Find the Courage to Quit Your Job, Make More Money, Work Where You Want, and Change the World","Porterfield, Amy",1401969879,9781401969875,1401969879,304        pp,4.20,875,unknown,"Feb 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 22, 2024","Mar 25, 2024",,Hardcover,view,/book/show/61816370-two-weeks-notice
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love on the Brain,"Hazelwood, Ali*",1408725789,,B09JSDVS8Y,368        pp,3.92,"441,133","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Kindle Edition,view,/book/show/59571699-love-on-the-brain
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Party of Two        (The Wedding Date, #5)","Guillory, Jasmine*",0593100816,9780593100813,0593100816,312        pp,3.76,"49,145","Jun 23, 2020","Jun 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/49099926-party-of-two
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wedding Date        (The Wedding Date, #1)","Guillory, Jasmine*",0399587675,,B072LT1XT5,317        pp,3.58,"148,174","Jan 30, 2018","Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Kindle Edition,view,/book/show/33815781-the-wedding-date
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Altar Within: A Radical Devotional Guide to Liberate the Divine Self,"Diaz, Juliet*",1955905002,9781955905008,1955905002,264        pp,4.08,399,unknown,"Feb 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2024","Jan 30, 2024","Jan 20, 2024",,Hardcover,view,/book/show/58774657-the-altar-within
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Country Will Bring Us No Peace,"Simard, Matthieu",1552453936,9781552453933,1552453936,128        pp,3.70,"3,004","Sep 19, 2017","Sep 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/44000543-the-country-will-bring-us-no-peace
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradise Rot,"Hval, Jenny*",,,,148        pp,3.59,"15,236",2009,"Oct 02, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/39216527-paradise-rot
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come Closer,"Gran, Sara*",0425210316,9780425210314,0425210316,194        pp,3.66,"29,589","Jul 01, 2003","May 02, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/220772.Come_Closer
