,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tundra's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebel Island,"Clements, Jonathan",1915590272,9781915590275,1915590272,320        pp,3.67,12,unknown,"Apr 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/181848292-rebel-island
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thunderhead,"Darling, Miranda",1761380397,9781761380396,1761380397,160        pp,3.82,33,unknown,"Apr 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/179844474-thunderhead
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vladivostok Circus,"Dusapin, Elisa Shua",1761380850,9781761380853,1761380850,240        pp,3.55,370,unknown,"Apr 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/183935981-vladivostok-circus
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Every Radical Should Know About State Repression,", unknown",1761381067,9781761381065,1761381067,0        pp,0.00,0,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/210683207-what-every-radical-should-know-about-state-repression
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,215","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/173754979-james
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Expressway: Invitation stories by Australian writers from a painting by Jeffrey Smart,"Daniel, Helen",0140120947,9780140120943,0140120947,294        pp,3.73,11,"Jan 01, 1989","Aug 31, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/5634356-expressway
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maiden,"Foster, Kate*",,,B0BLCDTDV9,12        pp,4.10,"1,937","Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Audible Audio,view,/book/show/200988674-the-maiden
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Restless Dolly Maunder,"Grenville, Kate",1922791431,9781922791436,B0C2Y2SW9D,256        pp,4.07,"1,123","Jul 18, 2023","Jul 18, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. A lovely way to share, celebrate and reflect on Wood’s maternal family history. This reimagining of her grandmother, who lived through much3.5 stars. A lovely way to share, celebrate and reflect on Wood’s maternal family history. This reimagining of her grandmother, who lived through much of the the 20th century, provides considerable insight into how woman were confronted with limited life/career opportunities and choices. As Wood states she is not writing this because her grandmother led an extraordinary or exceptional life but rather to show a common story that represents many women....more",Notes are private!,0,1,1,"Mar 29, 2024","Apr 05, 2024","Mar 29, 2024",,Kindle Edition,view (with text),/book/show/135953596-restless-dolly-maunder
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone on This Train Is a Suspect,"Stevenson, Benjamin*",,,B0BBVYFT8N,9        pp,3.94,"19,357","Oct 17, 2023","Oct 17, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lots of laughs along the way with this literary crime caper. Writers are certainly a precious bunch! While this did have lots of interesting twists anLots of laughs along the way with this literary crime caper. Writers are certainly a precious bunch! While this did have lots of interesting twists and turns it didn’t quite hit the mark as competently as the previous story in this series. ...more,Notes are private!,0,1,1,"Mar 28, 2024","Mar 28, 2024","Mar 28, 2024",,Audible Audio,view (with text),/book/show/201651192-everyone-on-this-train-is-a-suspect
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loot,"James, Tania*",1787304167,9781787304161,1787304167,294        pp,3.83,"4,260","Jun 13, 2023","Jan 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/123220414-loot
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mater 2-10,"Hwang, Sok-yong",1913348954,9781913348953,1913348954,486        pp,3.80,118,"Jun 01, 2020","May 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/61921635-mater-2-10
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea, the Sea","Murdoch, Iris",1101495650,9781101495650,,495        pp,3.95,"21,836",1978,"Mar 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/9843479-the-sea-the-sea
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Me Tell You About A Man I Knew,"Fletcher, Susan",0349007632,9780349007632,0349007632,272        pp,4.04,596,2016,"Jun 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/35390371-let-me-tell-you-about-a-man-i-knew
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Atlas,"Mitchell, David",0375507256,9780375507250,B00A2M3QD4,509        pp,4.01,"248,794",Mar 2004,"Aug 17, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/49628.Cloud_Atlas
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Annie,"Quindlen, Anna",0593229800,9780593229804,0593229800,304        pp,4.16,"7,657","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/177185880-after-annie
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Loneliness,"Boyne, John*",0857520946,9780857520944,0857520946,384        pp,4.26,"15,613","Sep 04, 2014","Sep 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/19381635-a-history-of-loneliness
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,,15        pp,4.18,"297,565","Mar 14, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. This is a time compressed family drama where you are drawn into a tight family circle and then, with great dismay, watch it shatter. Each s3.5 stars. This is a time compressed family drama where you are drawn into a tight family circle and then, with great dismay, watch it shatter. Each sister has the strength to make choices that will help them to live the life they choose but the repercussions for themselves and the rest of the family ultimately become unbearable - they are family and need each other. It was also difficult to watch William’s actions as it seemed almost destined to create the same childhood trauma that he experienced. The ripple effect of individual decisions, outward and downward (generationally) has a devastating effect on every family member, and these events propel you through this novel.I liked the multiple viewpoints around which this novel was structured. At different points in time each character had their challenges and successes and it allowed you to feel intimately involved....more",Notes are private!,0,4,1,"Mar 03, 2024","Mar 18, 2024","Mar 03, 2024",,Audiobook,view (with text),/book/show/62234889-hello-beautiful
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mystery Writer,"Gentill, Sulari*",,,B0C5K294D6,352        pp,3.46,"1,883","Mar 01, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Kindle Edition,view,/book/show/157001116-the-mystery-writer
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Day,"Cunningham, Michael*",0008659990,9780008659998,,274        pp,3.62,"7,830","Nov 14, 2023","Nov 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought this was quite a beautiful and reflective novel about how we all imagine our lives to be entirely unique and how we imagine our futures. It I thought this was quite a beautiful and reflective novel about how we all imagine our lives to be entirely unique and how we imagine our futures. It is only on reflection that it might be possible to see that we ignored signs and mistook relationships. This day begins at the point of no return and ends with the aftermath of tragedy. It is felt significantly, but differently, by each character. I was also intrigued by the use of a fictional Instagram persona created by Robbie and sustained by Isabel. This is how an imaginary character can be created with a perfect life and exist for eternity. Followers seem to ‘choose’ to believe in a perfect existence despite obvious flaws in the posts of ‘Wolfe’....more",Notes are private!,0,11,1,"Feb 27, 2024","Mar 05, 2024","Feb 27, 2024",,Paperback,view (with text),/book/show/203326857-day
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Derangement: Climate Change and the Unthinkable,"Ghosh, Amitav",022632303X,9780226323039,022632303X,196        pp,4.06,"4,890","Jul 12, 2016","Sep 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/29362082-the-great-derangement
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Excellent Women,"Pym, Barbara",1844084515,9781844084517,1844084515,288        pp,3.92,"17,585",1952,"Sep 03, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. A gentle prod at the establishment, expectations women were required to adhere to and the self imposed limitation of being a single respect3.5 stars. A gentle prod at the establishment, expectations women were required to adhere to and the self imposed limitation of being a single respectable woman. Maybe I liked this because I could appreciate some amount of progress! ...more",Notes are private!,0,1,1,"Mar 22, 2024","Mar 29, 2024","Feb 20, 2024",,Paperback,view (with text),/book/show/6669354-excellent-women
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Code Dependent: Living in the Shadow of AI,"Murgia, Madhumita",1250867398,9781250867391,1250867398,320        pp,3.95,57,"Mar 21, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/127282778-code-dependent
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Singularity,"Karam, Balsam",1558611932,9781558611931,1558611932,200        pp,3.84,397,"Mar 04, 2021","Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/131870356-the-singularity
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Far Cry from Kensington,"Spark, Muriel",1441786945,9781441786944,1441786945,5        pp,3.83,"6,096",1988,"May 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A very witty story that had me chuckling. A feisty and sharp witted narrator make this story - her descriptions and unpacking of the quirky behavioursA very witty story that had me chuckling. A feisty and sharp witted narrator make this story - her descriptions and unpacking of the quirky behaviours of her colleagues and the members of her rooming house are clever because she is able to highlight people’s deficiencies (including her own) in a positive and humorous way....more,Notes are private!,5,4,1,"Feb 14, 2024","Feb 19, 2024","Feb 14, 2024",,Audio CD,view (with text),/book/show/9813005-a-far-cry-from-kensington
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Innocence,"Wharton, Edith",159308143X,9781593081430,159308143X,293        pp,3.97,"174,476",Oct 1920,"Aug 26, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/53835.The_Age_of_Innocence
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Western Lane,"Maroo, Chetna",,,B0BN6KRMX3,5        pp,3.53,"5,934","Feb 07, 2023","Feb 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was lovely story about a father daughter relationship. It develops as Gopi, her sisters and father come to terms with the death of their mother. This was lovely story about a father daughter relationship. It develops as Gopi, her sisters and father come to terms with the death of their mother. It felt like their mother/wife was the lynchpin and they are all struggling to seek a new balance of authority and autonomy. The analogy of squash players finding their inner strength and understanding of how to return difficult plays provides an interesting backdrop. I think I may have been expecting a bit more climactic ending, I felt it lost momentum at the very end and some important plot lines were left unresolved....more",Notes are private!,0,6,1,"Feb 10, 2024","Feb 14, 2024","Feb 10, 2024",,Audible Audio,view (with text),/book/show/201004538-western-lane
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Another,"Jones, Gail",1922790648,9781922790644,1922790648,256        pp,3.30,53,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Feb 08, 2024",,Paperback,view,/book/show/207948542-one-another
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven,"Hammer, Chris",,,B0CJ3WWMH5,unknown,4.25,"5,073","Oct 03, 2023","Oct 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As with Chris’s previous books in this series I really enjoy the way he creates layers of story and history. The different time lines are all relevantAs with Chris’s previous books in this series I really enjoy the way he creates layers of story and history. The different time lines are all relevant and provide continuum and context to how the crime has arisen. They are also important to understanding the mood of the community and distribution of land and wealth. I can imagine that the historical changes of land ownership really do tell a bigger picture in many parts of Australia but this information is quickly forgotten by many, and unknown by outsiders. Hammer’s journalistic skills are always apparent in his details and eye for a good story....more",Notes are private!,4,2,1,"Feb 20, 2024",Mar 2024,"Feb 07, 2024",,Audible Audio,view (with text),/book/show/199300228-the-seven
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Concierge,"Corson, Abby*",1761152971,9781761152979,B0CDR19BQ7,0        pp,3.67,251,"Jan 31, 2024","Jan 31, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. This was a fun book to read. Hector, the concierge, is a real charmer. The first person narration and ‘live creation’ of this book was a qu3.5 stars. This was a fun book to read. Hector, the concierge, is a real charmer. The first person narration and ‘live creation’ of this book was a quirky interesting method of delivery. As a debut novel it’s highly entertaining and successful and I’m sure we will be seeing more from Abby Corson.Thanks to Better Reading for my p copy....more",Notes are private!,0,4,1,"Feb 07, 2024","Feb 10, 2024","Feb 07, 2024",,Kindle Edition,view (with text),/book/show/195719877-the-concierge
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whalefall,"Kraus, Daniel*",1665918160,9781665918169,1665918160,327        pp,3.76,"15,759","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Where reality and fiction collide to create a story like this it is worth suspending disbelief and taking the ride. This is a truely unique experienceWhere reality and fiction collide to create a story like this it is worth suspending disbelief and taking the ride. This is a truely unique experience that is gritty and powerful in its determination to explore the power of desperation and the will to live. How and when do you decide to fight for your life is something Jay faces minute by minute in this exhilarating story. It also explores the spectacular diversity of underwater life and the threat posed by humans. ...more,Notes are private!,0,5,1,"Feb 05, 2024",not set,"Feb 05, 2024",,Hardcover,view (with text),/book/show/62919162-whalefall
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Big Rock Candy Mountain,"Stegner, Wallace",0140139397,9780140139396,0140139397,563        pp,4.19,"8,404",1943,"Mar 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/10801.The_Big_Rock_Candy_Mountain
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baumgartner,"Auster, Paul",,,,unknown,3.80,"4,607","Nov 07, 2023",2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. This is a rather quiet unassuming story about that period of your life when you have left middle age but are not yet ‘elderly’. Things are 3.5 stars. This is a rather quiet unassuming story about that period of your life when you have left middle age but are not yet ‘elderly’. Things are changing, you’re slowing down, forgetting occasionally, reflecting on life choices - retirement and what you still want to achieve. I can imagine that while this doesn’t happen suddenly the realisation that you have entered this zone might appear quite sudden and brutal. Baumgartner is in his early 70’s and has realised that he will probably never have another long term relationship and that while he grieved for his wife (who died unexpectedly early) he has not seized the opportunity to honour her memory. This realisation spurs him to make changes in his life and reflect on the depth of this relationship from its inception. A slow paced, quiet story but a lovely one....more",Notes are private!,0,5,1,"Jan 30, 2024","Feb 04, 2024","Jan 30, 2024",,Audiobook,view (with text),/book/show/201927426-baumgartner
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,620","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/123206645-the-fury
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On a Bright Hillside in Paradise,"Higgs, Annette*",1761049747,9781761049736,B0BVTCMP3F,unknown,3.78,148,unknown,Sep 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/198641024-on-a-bright-hillside-in-paradise
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gertrude Bell: Queen of the Desert, Shaper of Nations","Howell, Georgina",0374161623,9780374161620,0374161623,481        pp,3.97,"3,276",2006,"Apr 17, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/164972.Gertrude_Bell
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Book Will Save Your Life,"Homes, A.M.*",1862079331,9781862079335,1862079331,372        pp,3.68,"11,638",2006,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/553476.This_Book_Will_Save_Your_Life
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The North Light,"Yokoyama, Hideo",1529411130,9781529411133,1529411130,416        pp,3.95,224,"Feb 22, 2019","Oct 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m still thinking about why I enjoyed this book. It is not a book that I can easily quantify. On the one hand the story becomes quite bogged down in I’m still thinking about why I enjoyed this book. It is not a book that I can easily quantify. On the one hand the story becomes quite bogged down in detail, it frequently rehashes events and we spend a lot of time in the internal monologue of Aose, the protagonist. However, I also liked that it wasn’t trying to showcase literary ‘tricks’ or red herrings, it was a straightforward narrative that just required patience. I also thought the explanations of architecture as art were thoughtful and actually made me think about how design can really impact your vision or state of mind. This was definitely a palate cleanser and stylistically quite different from a lot of contemporary literary fiction....more",Notes are private!,0,3,1,"Jan 08, 2024","Jan 14, 2024","Jan 08, 2024",,Hardcover,view (with text),/book/show/102226076-the-north-light
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Country Girls Trilogy and Epilogue,"O'Brien, Edna",0452263948,9780452263949,0452263948,532        pp,3.89,"3,503",1986,"May 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/82955.The_Country_Girls_Trilogy_and_Epilogue
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crooked Seeds,"Jennings, Karen",0593597125,9780593597125,0593597125,240        pp,3.75,28,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/191746392-crooked-seeds
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collisions: Fictions of the Future,"McIntosh, Leah Jing",0648795217,9780648795216,B08F9XBSH2,248        pp,4.08,95,unknown,"Nov 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/56395689-collisions
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,But the Girl,"Yu, Jessica Zhan Mei",,,,unknown,3.73,332,"Mar 05, 2024",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. This is a thought provoking debut and Yu has really delved into what it means to be a second generation immigrant, to belong and not to bel3.5 stars. This is a thought provoking debut and Yu has really delved into what it means to be a second generation immigrant, to belong and not to belong to a country you have been born and raised in. Her character is also trying to understand how she fits into a literary world that is predominantly white and how we can view writers that came before us without cancelling everything that doesn’t fit our contemporary sensibility. While these are serious subjects there is also humour in how she exposes and explores her attempts to understand herself and the actions of others.I lived in Malaysia for a couple of years in my early 30’s and I have a deep affection for it. I had several flashbacks to my time there and the interactions that I had. I’m looking forward to reading Jessica Yu’s next book....more",Notes are private!,0,0,1,"Jan 07, 2024","Jan 11, 2024","Jan 07, 2024",,Audiobook,view (with text),/book/show/201067243-but-the-girl
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hotel World,"Smith, Ali",0140296794,9780140296792,0140296794,238        pp,3.59,"7,162","Apr 25, 2001","May 07, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/123036.Hotel_World
