,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paul's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fragile Threads of Power        (Threads of Power, #1)","Schwab, V.E.*",0765387492,9780765387493,0765387492,648        pp,4.34,"23,690","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/111673828-the-fragile-threads-of-power
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antarctica,"Keegan, Claire",0802139019,9780802139016,0802139019,224        pp,3.88,"7,084",1999,"May 02, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Top notch writing, with some disturbing stories in the mix",Notes are private!,0,0,1,"Mar 29, 2024","Apr 03, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/492459.Antarctica
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good for a Girl: A Woman Running in a Man's World,"Fleshman, Lauren",059329680X,9780593296806,059329680X,304        pp,4.49,"12,268","Jan 10, 2023","Jan 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A must read for anyone who is a woman, or a man, or is non-binary. has a woman or girl in their life, or cares about a women or girl, or about women oA must read for anyone who is a woman, or a man, or is non-binary. has a woman or girl in their life, or cares about a women or girl, or about women or girls in general. Seriously. Read it....more",Notes are private!,0,1,1,"Mar 15, 2024","Mar 23, 2024","Mar 15, 2024",,Paperback,view (with text),/book/show/200724283-good-for-a-girl
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are the Brennans,"Lange, Tracey*",1250796229,9781250796226,1250796229,274        pp,3.81,"74,542","Aug 03, 2021","Aug 03, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was different, and better, than I had expected based on the blurb and some s.It was different, and better, than I had expected based on the blurb and some s....more",Notes are private!,0,1,1,"Mar 12, 2024","Mar 14, 2024","Mar 12, 2024",,Hardcover,view (with text),/book/show/55169040-we-are-the-brennans
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wren, the Wren","Enright, Anne",1324005688,9781324005681,B0BWGJ8WQB,283        pp,3.58,"5,404","Sep 19, 2023","Sep 19, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm not sure what to make of this tale of three generations of an Irish family, struggling to live with the legacy of a grandfatherly poet with a(n unI'm not sure what to make of this tale of three generations of an Irish family, struggling to live with the legacy of a grandfatherly poet with a(n undeserved) reputation for tradition and brilliance. It fact, until the ending, the novel is a bit of a mess....more",Notes are private!,0,0,1,"Mar 02, 2024","Mar 10, 2024","Mar 02, 2024",,Hardcover,view (with text),/book/show/77265006-the-wren-the-wren
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walk the Blue Fields,"Keegan, Claire",0802170498,9780802170491,0802170498,168        pp,4.02,"5,605",2007,"Jun 28, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A melancholy collection of tales about ordinary Irish people making their ways through life.,Notes are private!,0,0,1,"Feb 20, 2024","Feb 24, 2024","Feb 20, 2024",,Paperback,view (with text),/book/show/2524702.Walk_the_Blue_Fields
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red Side Story        (Shades of Grey, #2)","Fforde, Jasper*",1641296283,9781641296281,1641296283,480        pp,4.57,"1,257","Feb 06, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/199353348-red-side-story
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glory,"Bulawayo, NoViolet",0525561153,9780525561156,0525561153,416        pp,3.71,"4,785","Mar 08, 2022","Feb 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I so wanted to like this fable of modern day Africa. So much so that I slogged through the first 325 pages of meandering prose that used too many wordI so wanted to like this fable of modern day Africa. So much so that I slogged through the first 325 pages of meandering prose that used too many words, before I stumbled on an uplifting, that made it all worthwhile....more",Notes are private!,0,0,1,"Feb 08, 2024","Feb 19, 2024","Feb 08, 2024",,Paperback,view (with text),/book/show/63876143-glory
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mermaid, the Witch, and the Sea","Tokuda-Hall, Maggie*",1406395501,9781406395501,1406395501,416        pp,3.81,"10,359","May 05, 2020","Sep 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mermaids and pirates and witches, oh my. A wonderful, compelling, and thought-provoking adeventure book for Young Adults, but wonderful for older adulMermaids and pirates and witches, oh my. A wonderful, compelling, and thought-provoking adeventure book for Young Adults, but wonderful for older adults like me....more",Notes are private!,0,0,1,"Jan 31, 2024","Feb 04, 2024","Jan 31, 2024",,Paperback,view (with text),/book/show/53986396-the-mermaid-the-witch-and-the-sea
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gloaming,"Finn, Melanie*",1937512479,9781937512477,1937512479,318        pp,3.83,"1,519","Mar 12, 2014","Sep 20, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It hard what to make of this book. The stories tend to be exaggerated. The main character almost feels like a cliche. The other are more real.It hard what to make of this book. The stories tend to be exaggerated. The main character almost feels like a cliche. The other are more real....more,Notes are private!,0,0,1,"Jan 26, 2024","Jan 30, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/28818623-the-gloaming
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Messy Lives of Book People,"Patrick, Phaedra*",0778312003,9780778312000,0778312003,352        pp,3.69,"23,106","May 31, 2022","May 31, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is just what I was looking for. It's light and fluffy, easy reading, and a good yarn. Also -- and dare I say this? -- it's uplifting and heart-waThis is just what I was looking for. It's light and fluffy, easy reading, and a good yarn. Also -- and dare I say this? -- it's uplifting and heart-warming...more",Notes are private!,0,0,1,"Jan 14, 2024","Jan 16, 2024","Jan 14, 2024",,Paperback,view (with text),/book/show/57938945-the-messy-lives-of-book-people
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Doors,"Brown, Gareth*",0063323982,9780063323988,0063323982,416        pp,4.05,"8,175","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/156009464-the-book-of-doors
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thirteen Ways of Looking: A Novella and Three Stories,"McCann, Colum*",081298658X,9780812986587,081298658X,272        pp,3.95,"6,689","Oct 13, 2015","Sep 20, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A novella and three short stories, mostly of middling interest, and mostly overwritten.A novella and three short stories, mostly of middling interest, and mostly overwritten....more",Notes are private!,0,0,1,"Jan 08, 2024","Jan 12, 2024","Jan 08, 2024",,Paperback,view (with text),/book/show/30090923-thirteen-ways-of-looking
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Space Between Here & Now,"Suk, Sarah*",0063255138,9780063255135,0063255138,320        pp,4.12,612,"Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/102188221-the-space-between-here-now
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day: Stories of Women and Men,"Keegan, Claire",0802160859,9780802160850,,128        pp,4.03,"10,987","Feb 22, 2022","Nov 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was almost a five-star rating, but the last story was kinda creepyIt was almost a five-star rating, but the last story was kinda creepy...more",Notes are private!,0,0,1,Jan 2024,"Jan 03, 2024","Jan 01, 2024",,Hardcover,view (with text),/book/show/126262032-so-late-in-the-day
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gwendy's Magic Feather        (The Button Box, #2)","Chizmar, Richard*",1587677318,9781587677311,1587677318,333        pp,3.78,"21,541","Nov 19, 2019","Nov 19, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The middle chapter of the Chizmar-King trilogy, which Chizmar wrote solo, is a fine if long-winded tale of Gwendy's button-box saga.The middle chapter of the Chizmar-King trilogy, which Chizmar wrote solo, is a fine if long-winded tale of Gwendy's button-box saga....more",Notes are private!,0,0,1,"Dec 26, 2023","Dec 28, 2023","Dec 27, 2023",,Hardcover,view (with text),/book/show/45428419-gwendy-s-magic-feather
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Siren, the Song, and the Spy","Tokuda-Hall, Maggie*",1536218057,9781536218053,,320        pp,4.25,244,2023,"Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fun, adventurous, and easy-to-read young adult novel with pirates and mermaids, along with colonizers, slavers, and their victims. But the world, anA fun, adventurous, and easy-to-read young adult novel with pirates and mermaids, along with colonizers, slavers, and their victims. But the world, and the sea, goes on....more",Notes are private!,0,0,1,"Dec 22, 2023","Dec 25, 2023","Dec 22, 2023",,Hardcover,view (with text),/book/show/146500640-the-siren-the-song-and-the-spy
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indigenous Continent: The Epic Contest for North America,"Hämäläinen, Pekka",1324094060,9781324094067,1324094060,571        pp,4.04,"1,644","Sep 20, 2022","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2023",not set,"Dec 13, 2023",,Paperback,view,/book/show/80341829-indigenous-continent
