,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Carol's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sing You Home,"Picoult, Jodi*",1439102724,9781439102725,1439102724,466        pp,3.81,"93,337","Mar 01, 2011","Mar 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"More a 3.5 for me. All the hallmarks of a Jodi Picoult novel-flawed, sympathetic characters revealed through multiple points of view, a significant anMore a 3.5 for me. All the hallmarks of a Jodi Picoult novel-flawed, sympathetic characters revealed through multiple points of view, a significant and timely social issue, and heartbreaking conflict.Zoe and Max's marriage fails after years of infertility, miscarriages and a shattering still birth. Zoe, a music therapist, finds solace in a new friend, Vanessa. Ultimately Vanessa becomes much more than a friend. Max relapses and starts drinking until his brother and wife help him find salvation in religion. The major conflict in the novel is over what to do with embryo's left over from Max and Zoe's infertility attempts. Instead of Max and Zoe deciding on their own, Max's church gets involves and elevates the situation to an anti-gay, pro-traditional marriage media event before Max finally realizes what is right and decides it's up to him to do the right thing....more",Notes are private!,0,12,1,not set,not set,"Nov 21, 2016",,Hardcover,view (with text),/book/show/8554005-sing-you-home
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Welcome to the World, Baby Girl!        (Elmwood Springs, #1)","Flagg, Fannie",044900578X,9780449005781,044900578X,480        pp,3.91,"26,615","Sep 22, 1998","Feb 27, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Baby Girl"" is Dena Nordstrom, who left her small town roots to become a respected TV star. The business is cutthroat and to rise, she learns to blind""Baby Girl"" is Dena Nordstrom, who left her small town roots to become a respected TV star. The business is cutthroat and to rise, she learns to blindside the people she interviews, doing whatever it takes to get the story. But she never learns to like it, and comes to a point where she just can't bring herself to destroy a good person, just for a story. She is haunted by her childhood, when her mother mysteriously left her, and decides it's time to learn what happened. I read Fried Green Tomatoes years ago and remember loving it, so was really looking forward to reading another Fannie Flagg book. I had a hard time with this one. Some of the characters felt like caricatures and the first half felt disjointed to me, not sure where the story was going, or even at times whose story it was. Second half was better but toward the end, there are some flashbacks in the POV that didn't work for me....more",Notes are private!,0,3,1,not set,not set,"Nov 14, 2016",,Paperback,view (with text),/book/show/84022.Welcome_to_the_World_Baby_Girl_
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fly Away Home,"Weiner, Jennifer*",0743294270,9780743294270,0743294270,401        pp,3.69,"47,874","Jun 28, 2010","Jul 13, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sylvie Serfer's husband, devotes her life to her husband, a senator. When an affair he has with an intern is made public, she flees their life for herSylvie Serfer's husband, devotes her life to her husband, a senator. When an affair he has with an intern is made public, she flees their life for her family's vacation home in Connecticut. Her adult daughters' lives are also in turmoil. Diana, the perfect successful one, makes a serious medical error that could have done serious harm if a nurse hadn't caught it. Her marriage is falling apart. Younger sister Lizzie is fresh our of rehab, again, living with Diana to care for your young son Milo. When she meets Jeff, who seems like a really nice guy, she is attracted to him and scared. What will he think of her when he learns she's an addict. Ultimately, all three women retreat to Connecticut to figure it all out.I usually like Jennifer Weiner's books more than I liked this one. The characters and plot felt cliché and predictable. It was an easy read that often just didn't hold my attention. ...more",Notes are private!,0,3,1,not set,not set,"Nov 10, 2016",,Hardcover,view (with text),/book/show/7227174-fly-away-home
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Into the Wilderness        (Wilderness, #1)","Donati, Sara",0553578529,9780553578522,B000OLEK10,876        pp,4.11,"41,081","Aug 03, 1998","Jan 01, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book intimidated me, first, it's 876 pages of small print, and in the opening there is a 3 page chart of characters--too many pages and too many This book intimidated me, first, it's 876 pages of small print, and in the opening there is a 3 page chart of characters--too many pages and too many characters, not my favorite kind of read.It's strength for me is the strong, well-written sense of time and place, this New York mountain village of the 1790's is so well drawn it's like another character in the book.I enjoyed the primary characters. Elizabeth Middleton who leaves England to join her father in this remote place. She is a 29 year old ""spinster"" determined to create a school for all the children of the village-slave owner's children, Mohawk, slaves, an idea that quickly creates conflict.She soon meets Nathaniel Bonner, a white Scotsman living among the Mohawks with his young daughter, Hannah, and his and Elizabeth's developing relationship keeps the story moving.With so many characters and sub-plot lines, there were many places the story was slow for me, but overall there was enough action and suspense to keep me reading to the mostly satisfying end...more",Notes are private!,0,10,1,not set,not set,"Nov 07, 2016",,Paperback,view (with text),/book/show/72854.Into_the_Wilderness
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Nicole: The Transformation of an American Family,"Nutt, Amy Ellis",,9780812995411,0812995414,279        pp,4.22,"12,562","Oct 20, 2015","Oct 20, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What sticks with me after reading this book is how Nicole knew from such a young age that she was in the wrong body and the courage it took for her anWhat sticks with me after reading this book is how Nicole knew from such a young age that she was in the wrong body and the courage it took for her and her family to step by step, learn about and work through her transition. This story made me see more clearly how the shifting attitudes about transgender people are the results of many brave transgender individuals having the courage to be themselves. It's their collective actions that help change our views about being transgender.The story started slowly for me. In the first half, it felt bogged down at times by backstory. But, from the beginning, I was drawn in by Nicole's sureness about who she was, and first her mother's and brother's and then her father's love and determination to support her....more",Notes are private!,0,5,1,not set,not set,"Nov 05, 2016",,Hardcover,view (with text),/book/show/25893681-becoming-nicole
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Twenty Years,"Scotch, Allison Winn*",1503935248,9781503935242,1503935248,332        pp,3.57,"11,064","Jul 01, 2016","Jul 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was grateful and excited to win 15 copies of In Twenty Years for my book club from Reading with Robyn. As a fan of relationship stories, the descripI was grateful and excited to win 15 copies of In Twenty Years for my book club from Reading with Robyn. As a fan of relationship stories, the description of a twenty year reunion of six college best friends interested me. I grew up in Philadelphia, so the Philly setting at Penn was another hook. The story is told from the six different points of view, two men and four women. The group reunites on the 40th birthday of Bea, who was their ringleader. Unfortunately, the characters fell flat for me and the story just didn't seem plausible or relatable--their antics during the reunion seem more like those of college students than forty year olds. I find it really hard to like a book when I don't relate to the characters. Colin, one of the men, was the only character I found likeable. This may appeal more to readers in their twenties and thirties....more",Notes are private!,0,6,1,not set,not set,"Oct 09, 2016",,Paperback,view (with text),/book/show/28135067-in-twenty-years
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl Who Wrote in Silk,"Estes, Kelli*",1492608335,9781492608332,1492608335,391        pp,4.10,"30,619","Jul 07, 2015","Jul 07, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I did not know about this disturbing period of history in the 1880's when Chinese were cruelly deported and worse. It's sad to see how often our histoI did not know about this disturbing period of history in the 1880's when Chinese were cruelly deported and worse. It's sad to see how often our history repeats itself. Mei Lien is the only member of her family to survive a forced deportation by sea from Washington Territory in 1886. She is rescued by a kind man named Joseph McElroy. Joseph promises to keep her safe in spite of the discrimination that prevails against Chinese in his community. Mei Lien is afraid to trust this white man, but sees no other choice.In present day, Inara Erickson discovers an intricately embroidered sleeve hidden in a staircase in the family estate she has just inherited from her aunt. Intrigued by the story told in pictures on the garment, she finds a historian named Daniel to help her interpret the meaning. Initally, Inara intends to sell the estate to pay off her college debt. Being back where she shared many family memories as a child, she quickly becomes attached and decides to honor her dead aunt's wish to convert the estate to a hotel. She persuades her father to invest in her dream. His actions are often infuriating until he somewhat lamely explains them at the end. The way Mei Lien, Inara, and other characters' lives entwine creates a richly textured, often sad story. It took me almost halfway through the novel to connect with the characters and that made it a slow read at first. The second half I was hooked, especially on Mei Lien's story which was more heartbreaking and less predictable than parts of Inara's. ...more",Notes are private!,0,10,1,not set,not set,"Oct 02, 2016",,Paperback,view (with text),/book/show/24481335-the-girl-who-wrote-in-silk
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Bright Places,"Niven, Jennifer*",0385755880,9780385755887,0385755880,378        pp,4.13,"564,458","Jan 06, 2015","Jan 06, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am a sucker for ""voicy"" YA novels about quirky, broken, sensitive, misfit adolescents and All the Bright Places is exactly that. The voice hooked meI am a sucker for ""voicy"" YA novels about quirky, broken, sensitive, misfit adolescents and All the Bright Places is exactly that. The voice hooked me from the first page and I was equally attached to Finch and Violet, the two troubled and likable narrators. In an accessible, non-preachy style, the author tackles bullying, mental illness, unlikely friendship, unbearable loss, and suicide. She skillfully writes a heartbreaking story while managing to avoid being overly sentimental. In spite of it's weighty themes, All the Bright Places is remarkably hopeful ...more",Notes are private!,0,6,1,not set,not set,"Sep 26, 2016",,Hardcover,view (with text),/book/show/18460392-all-the-bright-places
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storyteller,"Picoult, Jodi*",1439102767,9781439102763,1439102767,461        pp,4.30,"227,573","Feb 26, 2013","Feb 26, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 Like every Jodi Picoult novel I've read, The Storyteller takes on a relevant social issue, is well-researched, told from multiple points of view, 3.5 Like every Jodi Picoult novel I've read, The Storyteller takes on a relevant social issue, is well-researched, told from multiple points of view, and involves significant morale dilemmas. Sage Singer works as a baker at night so she can hide from people. She is self-conscious about a 3 scar that runs from her eye down the side of her face--it's origin clearly a source of regret but unknown for most of the book.At a grieve support group, she meets an old man named Josef. Uncharacteristically, they become friends and he asks her to do something extraordinary for him. This request leads her on a journey that involves digging into her grandmother's history and atrocious Nazi war crimes. The story started really slowly for me. Usually, Ms. Picoult's multiple points of view are seamless. For me, they weren't here and it took well into the second half of the book for me to connect with the characters. The last third of the book fully engaged me and made sticking with it worth it....more",Notes are private!,0,9,1,not set,not set,"Sep 23, 2016",,Hardcover,view (with text),/book/show/15753740-the-storyteller
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eight Hundred Grapes,"Dave, Laura*",,,1476789258,260        pp,3.64,"54,423","Jun 02, 2015","Jun 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A much needed lighter women's lit read after reading a few complex, dark books in a row. Just days before their wedding, Georgia learns Ben has been kA much needed lighter women's lit read after reading a few complex, dark books in a row. Just days before their wedding, Georgia learns Ben has been keeping a life-changing secret. Not sure she can get past it, she literally runs to her childhood home, the vineyard where here parents nurture very special wines.It's harvest time and the family, including Georgia's brothers Finn and Bobby are all gathered to help with this lifelong family tradition.Turns out, Ben isn't the only one with a secret. Every character has at least one, and it seems most of them are supposed to be with one person and pining after another. So much goes wrong, it's a bit of a stretch. The characters are likable enough to want to know how it turns out. The insights about wine-making deepen the characters and the plot...more",Notes are private!,0,2,1,not set,not set,"Sep 18, 2016",,Hardcover,view (with text),/book/show/23492613-eight-hundred-grapes
