,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Danielle ❤️ Pretty Mess Reading ❤️'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Promise Never        (Promise Me #3),"West, Symone*",,,B09GJW17R8,236        pp,4.19,104,unknown,"Nov 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/59231520-promise-never
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Breakup Lists,"Khorram, Adib*",0593616391,9780593616390,0593616391,336        pp,3.99,179,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/182484305-the-breakup-lists
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frequent Fliers,"Kirwan, Noué*",0369722191,9780369722195,,384        pp,3.71,51,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,ebook,view,/book/show/75252831-frequent-fliers
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fiery Romance        (Billionaire Dads, #7)","Arthurs, Nia*",,,B0BKRQBTSW,436        pp,4.02,"1,783","Oct 27, 2022","Oct 27, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is getting 2 stars because the writing was decent, but the storyline was trash.",Notes are private!,0,4,1,Jan 2024,Jan 2024,"Apr 02, 2024",,Kindle Edition,view (with text),/book/show/63119780-fiery-romance
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookshop Sisterhood,"Lindo-Rice, Michelle*",0369736133,9780369736130,B0C3MK6L6Y,320        pp,3.97,29,"Mar 26, 2024","Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Kindle Edition,view,/book/show/141508268-the-bookshop-sisterhood
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sisters with a Side of Greens,"Stimpson, Michelle*",1728271592,9781728271590,1728271592,368        pp,4.16,212,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/157020054-sisters-with-a-side-of-greens
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood Justice        (Blood Debts, #2)","Benton-Walker, Terry J*",1250825954,9781250825957,1250825954,480        pp,4.39,125,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/127280177-blood-justice
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Body,"Davenport, Nia",0063255715,9780063255715,0063255715,272        pp,4.12,270,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/150352486-out-of-body
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gamble at Sunset        (Betting Against the Duke #1),"Riley, Vanessa*",1420154850,9781420154856,1420154850,336        pp,4.00,13,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/181037645-a-gamble-at-sunset
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until The Last,"West, Symone*",,,B0841VCZRN,280        pp,4.48,147,unknown,"Feb 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Kindle Edition,view,/book/show/50609022-until-the-last
