,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tori's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gravity and Grace,"Weil, Simone",0415290015,9780415290012,0415290015,224        pp,4.29,"2,874",1947,"Sep 12, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Paperback,view,/book/show/730139.Gravity_and_Grace
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Battle of the Labyrinth        (Percy Jackson and the Olympians, #4)","Riordan, Rick*",,,,361        pp,4.42,"1,082,095","Mar 06, 2008","May 02, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I smiled. ""Maybe it's okay to still be a kid once in a while.""I LOVE THESE KIDS SO MUCH GAHDKDHSKXBDJSKgdjI smiled. ""Maybe it's okay to still be a kid once in a while.""I LOVE THESE KIDS SO MUCH GAHDKDHSKXBDJSKgdj...more",Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Kindle Edition,view (with text),/book/show/8130423-the-battle-of-the-labyrinth
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Shine,"Gratton, Tessa*",1534460772,9781534460775,1534460772,392        pp,3.77,501,"Sep 08, 2020","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2023",,Hardcover,view,/book/show/50892207-night-shine
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recording Angels: The Secret World of Women's Diaries,"Gristwood, Sarah*",0245546197,9780245546198,0245546197,256        pp,3.67,3,"Aug 25, 1988","Aug 25, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2023",,Hardcover,view,/book/show/693544.Recording_Angels
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whittling Workbook: 14 Simple Projects to Carve,"Miller, James Ray",1637410670,9781637410677,B09WJ8V9X3,341        pp,4.88,8,"May 24, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/62326845-whittling-workbook
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woodland Whittling,"Benson, Peter",,,B0876BH6JY,0        pp,4.75,4,unknown,"Apr 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/54399273-woodland-whittling
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The United States of Cryptids: A Tour of American Myths and Monsters,"Ocker, J.W.*",168369323X,9781683693239,B09PB3F56V,288        pp,3.90,"1,524","Sep 27, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/60377332-the-united-states-of-cryptids
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carmilla,"Le Fanu, J. Sheridan",1782275843,9781782275848,1782275843,160        pp,3.86,"113,866",1872,"Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Hardcover,view,/book/show/55648601-carmilla
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plain Bad Heroines,"Danforth, Emily M.*",,,B083SMWFSF,641        pp,3.65,"24,549","Oct 20, 2020","Oct 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/52702403-plain-bad-heroines
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hollow Kingdom        (Hollow Kingdom #1),"Buxton, Kira Jane*",,,B07L2V6H2M,321        pp,3.84,"21,445","Aug 06, 2019","Aug 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/43195784-hollow-kingdom
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rosewater        (The Wormwood Trilogy, #1)","Thompson, Tade",0316449059,9780316449052,0316449059,432        pp,3.75,"15,299","Feb 23, 2017","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Paperback,view,/book/show/38362809-rosewater
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hummingbird Salamander,"VanderMeer, Jeff*",,,B088DPRZPJ,336        pp,3.25,"9,870","Apr 06, 2021","Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Kindle Edition,view,/book/show/36353367-hummingbird-salamander
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ancillary Justice        (Imperial Radch #1),"Leckie, Ann*",0316565172,9780316565172,0316565172,448        pp,3.99,"106,173","Oct 01, 2013","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Paperback,view,/book/show/67302335-ancillary-justice
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moon Is Always Female: Poems,"Piercy, Marge",0394738594,9780394738598,0394738594,133        pp,4.22,"2,368","Mar 12, 1980","Mar 12, 1980",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Paperback,view,/book/show/129636.The_Moon_Is_Always_Female
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharp Objects,"Flynn, Gillian*",,,,254        pp,4.02,"1,041,052","Sep 26, 2006","Jul 31, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Paperback,view,/book/show/18045891-sharp-objects
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First Fifteen Lives of Harry August,"North, Claire",0316399620,9780316399623,0316399620,405        pp,4.03,"88,572","Apr 08, 2014","Oct 21, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Paperback,view,/book/show/20706317-the-first-fifteen-lives-of-harry-august
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Poems of Audre Lorde,"Lorde, Audre",0393319725,9780393319729,0393319725,489        pp,4.43,"3,566",1997,"Feb 17, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Paperback,view,/book/show/50680.The_Collected_Poems_of_Audre_Lorde
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All About Love: New Visions,"hooks, bell",0688168442,9780688168445,0688168442,240        pp,4.06,"86,237","Dec 22, 1999","Dec 22, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2023",,Hardcover,view,/book/show/17607.All_About_Love
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Traitor Baru Cormorant        (The Masquerade, #1)","Dickinson, Seth*",0765380722,9780765380722,0765380722,399        pp,4.05,"21,208","Sep 15, 2015","Sep 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 09, 2023",,Hardcover,view,/book/show/23444482-the-traitor-baru-cormorant
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wonder,"Donoghue, Emma*",0316393878,9780316393874,0316393878,291        pp,3.64,"86,233","Sep 20, 2016","Sep 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 09, 2023",,Hardcover,view,/book/show/28449257-the-wonder
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankissstein: A Love Story,"Winterson, Jeanette",1473563259,9781473563254,1473563259,344        pp,3.55,"12,737","May 28, 2019","May 28, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 04, 2023","May 08, 2023","May 04, 2023",,ebook,view,/book/show/42123790-frankissstein
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Websters' First New Intergalactic Wickedary of the English Language,"Daly, Mary",0807067334,9780807067338,0807067334,310        pp,4.16,153,"Oct 01, 1987","Oct 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Paperback,view,/book/show/1756910.Websters_First_New_Intergalactic_Wickedary_of_the_English_Language
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Second Sex,"Beauvoir, Simone de",0679724516,9780679724513,0679724516,746        pp,4.17,"41,624",1949,"Dec 17, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 17, 2023",,Paperback,view,/book/show/457264.The_Second_Sex
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Men,"Newman, Sandra*",,,B09JTS2RTL,272        pp,2.93,"1,832","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 17, 2023",,Kindle Edition,view,/book/show/55585992-the-men
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gideon the Ninth        (The Locked Tomb, #1)","Muir, Tamsyn*",1250313198,9781250313195,1250313198,448        pp,4.22,"134,008","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Hardcover,view,/book/show/42036538-gideon-the-ninth
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Marvellous Light        (The Last Binding #1),"Marske, Freya*",1250831792,9781250831798,1250831792,400        pp,3.97,"36,690","Oct 26, 2021","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Paperback,view,/book/show/59808132-a-marvellous-light
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bandit Queens,"Shroff, Parini",059349895X,9780593498958,059349895X,342        pp,3.93,"30,893","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Hardcover,view,/book/show/61065982-the-bandit-queens
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Feminism for Women: The Real Route to Liberation,"Bindel, Julie",,9781472132604,,256        pp,4.10,377,2021,"Sep 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2023",,Hardcover,view,/book/show/49636606-feminism-for-women
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sceptical Feminist: A Philosophical Enquiry,"Richards, Janet Radcliffe",0140174877,9780140174878,0140174877,480        pp,4.22,51,"Jan 01, 1980","Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2023",,Paperback,view,/book/show/2867523-the-sceptical-feminist
