,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bandit's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ones,"Bendis, Brian Michael",,,B0BDT6XVJ4,110        pp,3.33,109,unknown,"Nov 02, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Entertaining but underwhelming. Neat if overfamiliar concept of randos chosen to be The One, but these people are no Neo in the Matrix. After a propheEntertaining but underwhelming. Neat if overfamiliar concept of randos chosen to be The One, but these people are no Neo in the Matrix. After a prophecy and its bearer gather them together, most of the book is spend talking about which one of them is going to find a freshly reincarnated Satan. All for a comically quick actual battle.It’s funny, which is nice, and brightly drawn, but overall, too talky and too unoriginal to wow. ...more",Notes are private!,0,0,1,"Apr 08, 2024","Apr 08, 2024","Apr 09, 2024",,Kindle Edition,view (with text),/book/show/62927460-the-ones
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Devil's Replacement,"Clarke, Michael D.A.*",,,B0C2N4CKWF,243        pp,4.42,55,2023,"Apr 15, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Every so often there’s a decent random Kindle freebie out there. I’m not a huge fan of indie and tend to stay away from self-pub, but ever now and agaEvery so often there’s a decent random Kindle freebie out there. I’m not a huge fan of indie and tend to stay away from self-pub, but ever now and again, I check out what’s out there.This one was exactly as advertised. Convinced by his Machiavellian mustachioed and notoriously evil assistant, Devil, decides to retire and look for a replacement. Instead of promoting from within, he opts for recruiting out, settling on four potential candidates. Within the pages of the book, each is given an extensive backstory to show the reader just how worthy they are. Out of these, the disappointed superhero one is the most clever and resonant.Eventually the four gather together for an interview to vie for a job none had applied for. And yes, it will get dangerous.Pretty funny all around, decently written, quick read. It could do with a bit of editing, but the overall presentation is solid for a self-pub effort. The funny thing earns a rating rounding up. In fact, I wouldn’t be opposed to reading a sequel someday if it comes up as a freebie. ...more",Notes are private!,1,2,1,"Apr 08, 2024","Apr 08, 2024","Apr 09, 2024",,Kindle Edition,view (with text),/book/show/133380183-the-devil-s-replacement
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury Pictures Presents,"Marra, Anthony*",,,B09G9V5MJN,432        pp,3.68,"10,978","Jul 19, 2022","Aug 02, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Years ago, I read and loved Marra’s A Constellation of Vital Phenomena. So I was excited to see another book of his on Netgalley and requested it straYears ago, I read and loved Marra’s A Constellation of Vital Phenomena. So I was excited to see another book of his on Netgalley and requested it straight away. And then took ages to get to, because I don’t love fat books. That said, if there’s anyone worth ignoring personal preferences and braving well over 400 pages for, it’s Marra. The man is far from prolific, but books he does produce are masterpieces. I do not use the word lightly. This book, like ACoVP, is stunning. Luminous. It took me an inordinate (or me) time to get through in no small way because sometimes I would just pause in awe and the sheer staggering beauty of a sentence or a paragraph. The skill with which Marra can write a tragedy humorously, the casual grace with which the man can break and remake your soul while reading, it nothing short of remarkable.As a writer and a reader, I admit this was not merely a read but a lesson in how to do it. That such humorous notes can sparkle in such darkness, that such cleverness should string the narrative together while jumping all over the place, geographically and temporarily, is hugely impressive.And of course, I love books about movies, and this ode to the golden age of cinema juxtaposed against the turbulence of WWII was right up my alley. It follows a diverse, largely immigrant cast in the industry they were instrumental in building and sustaining in a time when and a place where being an immigrant was not only challenging but outright dangerous. (And you can read the news to see how tragically not far the nation has come since in attitudes and prevailing mentality.)Or don’t read it for politics, read it for the characters and their journeys. Read it for the sheer joy of learning about different times and lives. For fans of historical fiction, literature, and character driven stories, this is about as good as it gets. In fact, it is up there on par with one of my all-time favorites, The Amazing Adventures of Kavalier and Clay, which is about as high of a praise as I can dish out. Recommended. Recommended. Recommended. Thanks Netgalley.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,1,1,"Mar 25, 2024","Apr 07, 2024","Apr 09, 2024",,Kindle Edition,view (with text),/book/show/59747455-mercury-pictures-presents
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Karmen,"March, Guillem",1534319883,9781534319882,1534319883,160        pp,4.08,"1,029",2020,"May 17, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Presumably interested in trying something 180 from the superhero comic fare, March goes for a soul searching, metaphysical sort of story. And, for my Presumably interested in trying something 180 from the superhero comic fare, March goes for a soul searching, metaphysical sort of story. And, for my money, falls short.Death, once personified in far superior comics as a goth teenager, here is represented by various female characters with peculiar hairstyle choices and skintight bodysuits with organ designs. They are meant to escort the souls to the next level, but one of them, the eponymous Karmen, prefers a distinctly different, didactic approach, educating her “clients” on where they went wrong in life. She does this with her latest, a suicide victim, a particularly annoying young woman who is selfish and stupid, and accordingly decides to dispatch herself over a boy. Is she worth saving then? Well, Karmen thinks so, and therefore they begin to fly around the city and talk, talk, talk.The graphic novel is gorgeously drawn but written rather tediously. Too many words. Trying very desperately for some sort of profoundness. Plenty of gratuitous nudity just so you don’t forget you’re reading a European author. Ultimately, falls flat. Works as a picture book, but it’s a novel best seen than read....more",Notes are private!,0,1,1,"Apr 03, 2024","Apr 04, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/57286510-karmen
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sister Agatha: The World's Oldest Serial Killer,"O'Donoghue, Domhnall*",,,B09X21ZNY2,194        pp,4.15,286,"Aug 03, 2016","Apr 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is a certain and rather peculiar fiction subgenre out there about the quaint adventures of unusually old people. Presumably there is an audienceThere is a certain and rather peculiar fiction subgenre out there about the quaint adventures of unusually old people. Presumably there is an audience for it. And to be fair, a lot of old people are great and way better than new ones, so …In terms of age, you can’t beat Sister Agatha. She’s 118. Remarkably spry for her years too. Still, she is only the fifth oldest person in the world, and when she erroneously comes to think that she only has a week to live, she decides to go out on top as it were, by killing the other four contenders for the longest-lived throne.Yes, it doesn’t make much sense, but this is about quaintness and cuteness and whimsical Irish charm, not logistics. And so, Sister Agatha embarks on a globe-trotting adventure with a murderous gleam in her eye. True to the very impetus of her quest, what follows is also a comedy of errors, but she gets to go to exciting faraway places for the first time and meet all sorts of wacky characters. So, it’s fun and funny in a rather lightly amusing, inoffensive sort of way, and makes for a pretty quick and entertaining read. All in all, not too shabby for a random Kindle freebie. And right enough for April Fool's Day selection.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,0,1,Apr 2024,Apr 2024,"Apr 05, 2024",,Kindle Edition,view (with text),/book/show/60800558-sister-agatha
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lodge: A Horror Novel,"Eads, Jeremy",1959798200,9781959798200,1959798200,248        pp,3.58,140,unknown,"Jul 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Lodge isn’t the sort of horror book I normally enjoy. I tend to go for the more cerebral and psychological nightmares. But the concept of a demon-The Lodge isn’t the sort of horror book I normally enjoy. I tend to go for the more cerebral and psychological nightmares. But the concept of a demon-operated B&B intrigued sufficiently, and ... turns out it was fun. About as much fun as one might have expected from the description. Essentially, a B-movie in a book.Fun characters and a fun and funny demon to boot definitely elevate this evil-in-a-small-southern-town production.An entertaining and relatively quick read. Thanks Netgalley....more",Notes are private!,0,1,1,"Jul 21, 2023","Jul 21, 2023","Apr 04, 2024",,Paperback,view (with text),/book/show/195192194-the-lodge
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl in the Bog,"Donohue, Keith*",1639108491,9781639108497,1639108491,320        pp,3.80,5,"Aug 13, 2024","Aug 13, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’ve read all of Keith Donohue's novels and really liked them, except for June which was just okay. But this one was such a disappointment. And it’s sI’ve read all of Keith Donohue's novels and really liked them, except for June which was just okay. But this one was such a disappointment. And it’s strange, because I like all the individual components like the archaeology aspect and the use of the Irish historical and mythological figures. And I enjoy Donohue’s writing too. But altogether the book just really didn’t work for me.Despite the lovely writing, the book was sluggish, by turns dreamy or rambly. The characters were interesting, but at times ridiculous, saying wildly out of character/place/time things like “tushy”, which is just one of the ways in which this book has hit upon some really awkward raunchiness. The plot is busy, muddled, overdone. The book reads like a slog through a bog.It is no wonder that Donohue, whose books used to be released by top publishers with lovely covers and all, has done this one with the low-tier press like Crooked Lane and a cheap-looking cover. Let’s hope it’s a one off for a talented author and not a sign of things to come. Thanks Netgalley.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,3,1,"Mar 24, 2024","Mar 25, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/201632448-the-girl-in-the-bog
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ascension,"Binge, Nicholas*",0593539605,9780593539606,B0B7QM9FY1,352        pp,3.59,"8,400","Apr 25, 2023","Apr 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Every so often a book comes along and blows your mind. I’m not saying this lightly. I read a fair amount, and I’m a really tough critic, and … this boEvery so often a book comes along and blows your mind. I’m not saying this lightly. I read a fair amount, and I’m a really tough critic, and … this book was magnificent.It drew me in from the opening pages and never let go. It isn’t just the spectacular description and terrific character development, the taut suspense and the mind-boggling plot reveals, it’s all of that plus so much more, strung together by Binge’s great writing. A man lost in his own guilt, driven to the most impossible tasks and locations to distract himself from it, a mountain appearing seemingly out of nowhere from which none come back the same and where nothing makes sense. The two of them are destined to meet—each a stunning character in their own right—for a most memorable of reckonings. Cramming science, philosophy, and faith; crossing and blending genres, this sci-fi-nightmare of the most literary kind is a beauty to behold and an adventure like no other. I loved reading this book; it’s the sort of reading experience that makes you fall in love with books all over again. Entertaining, moving, and surprising by turns, the narrative is completely engaging, leaving you to want nothing but more. In fact, it’s been difficult to select books after this one, aware that they will likely pale in comparison.Terrific book. Well worth the climb. Recommended.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,4,1,"Mar 15, 2024","Mar 23, 2024","Mar 27, 2024",,ebook,view (with text),/book/show/65069845-ascension
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorry Men,"Bird, Daniel",1915531071,9781915531070,B0CW1H63V7,112        pp,3.70,10,unknown,"Mar 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The author of this slim book proclaims it will not restore your faith in men, and he’s right. In fact, he does his best to demolish it, one tiny storyThe author of this slim book proclaims it will not restore your faith in men, and he’s right. In fact, he does his best to demolish it, one tiny story after another. From misguidedness to awkward snafus, the protagonists of his tales are indeed a very sorry bunch of men.The stories themselves are fairly amusing and decently written. I’ve never heard of the author or this press before, and somehow the book has managed to gather a really bizarre lineup of praise, a lot of it from random actors and comedians. What’s even more bizarre is that someone compared it to Black Mirror. Um, no, this book is nowhere near Black Mirror. And it isn’t as funny as some of the praise might lead you to believe either. Amusing and funny are different things.These stories are more along slice of life situations with a bit of a twist in the end. For how brief of a read it is (maybe 105 minutes), it may entertain sufficiently with expectations properly adjusted. Thanks Netgalley....more",Notes are private!,0,1,1,"Mar 20, 2024","Mar 20, 2024","Mar 22, 2024",,Kindle Edition,view (with text),/book/show/209401128-sorry-men
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder on the Dodder        (The Lemon Man Book 2),"Bruton, Keith*",,,B0CP7LWTKF,254        pp,4.60,10,unknown,"Apr 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed The Lemon Man, both book and protagonist, enough to welcome the sequel, despite genuine preference for standalones. The thing with most sequI enjoyed The Lemon Man, both book and protagonist, enough to welcome the sequel, despite genuine preference for standalones. The thing with most sequels is that they don’t hold the candle to the original, and this one is no exception to the rule. It isn’t so much the book’s fault, it’s just that the crisp freshness of originality inevitably leaves the building when one takes to serializing. And so, the series tend to rely on the characters themselves, hoping the reader will form a strong enough attachment to sustain them. Does Lemon Man himself merit such an attachment? Well … first off, he doesn’t have OCD and the book should not advertise it. That just had to be said. You want to make your character quirky, hit some modern fiction prerequisites for diversity, sure, go for it. But don’t just mention a psychological disorder to check the box with nothing to back it up.That said, in the first book the protagonist had a baby and a new love interest to juggle, and that was fun. In this one, he only has the love interest (now a more permanent although difunctional situation). Yes, he still wears slippers to ride a bike, which makes no sense to anyone who rides bikes, unless slippers in Ireland are radically different from slippers elsewhere. Quirky, but is that enough?Since Lemon Man’s main appeal seems to be overcoming the odds, the author just layers on the abuse as heavily as he can. So instead of cushy paid assassin gigs, Lemon Man gets stuck doing random jobs and trying to save his bestie, while navigating a local gang war—the more he gets in, the more he gets beaten up. Violence is visited and revisited upon his person, until he can barely bike, though he preserves, of course, because he now is in the sequel, one that makes it very obvious a third book is planned.So, the plot didn’t do much for me. The writing is very, very plain. The opposite of literary fiction—commercial fiction, I suppose. Short plan sentences. One after another. It’s all like …This person walked in. They looked like * and wore * and did *. First person narration gives it a sort of engaging immediacy, so the book mainly coasts on that.My favorite thing about this was getting a bikeview tour of Dublin. That never gets old. The protagonist names every landmark and describes the city enough to make it into a character of its own, one likely more engaging that the rest put together. Overall, a quick, mildly entertaining read. Thanks Brash Books!This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,1,1,"Mar 18, 2024","Mar 18, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/202958207-murder-on-the-dodder
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cosmic Detective,"Lemire, Jeff",,,,168        pp,3.54,945,unknown,2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Does Jeff Lemire sleep? The man seems to put out too many books for conventional writing schedule. Although to be fair, this one was a co-writing effoDoes Jeff Lemire sleep? The man seems to put out too many books for conventional writing schedule. Although to be fair, this one was a co-writing effort. As such, it wasn’t as much Lemire as I would have liked. Still an interesting story, just didn’t quite wow me. Not sure I loved the art either. The faces looked weird, although the larger, more narrative/worldbuilding panels were pretty great. All-in-all, a pretty fun adventure for under sixty minutes. Perhaps too trippy and cyberpunk for my taste, but user mileage is going to vary depending on your preferences, same as with all other things....more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 17, 2024","Mar 19, 2024",,ebook,view (with text),/book/show/59604140-cosmic-detective
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Monster of Elendhaven,"Giesbrecht, Jennifer*",,,B07LF5NPMT,154        pp,3.56,"9,232","Sep 24, 2019","Sep 24, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The cover was pretty much irresistible. The plot considerably less so. The book begun very promisingly but ended up being too much of a gothic romanceThe cover was pretty much irresistible. The plot considerably less so. The book begun very promisingly but ended up being too much of a gothic romance for me or rather a gothic romance steeped in fantasy. Fantasy genre as a rule doesn’t quite work for me. The writing itself consistently elevated the book, most auspiciously so for a debut. Although what has the author bene up to since? It’s been years. In the end, despite how much I love all things monsters and magicians, I did not love this book. It was an entertaining and relatively quick read. ...more",Notes are private!,0,0,1,"Mar 15, 2024","Mar 17, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/43386724-the-monster-of-elendhaven
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road Volume 1,"Lemire, Jeff",1534399798,9781534399792,1534399798,132        pp,3.72,320,unknown,"Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m a huge fan of Jeff Lemire, so of course I was interested in this book. That said, the first volume of Phantom Road, albeit a very quick read, was I’m a huge fan of Jeff Lemire, so of course I was interested in this book. That said, the first volume of Phantom Road, albeit a very quick read, was much too introductory. Decent art and Lemire’s famous minimalistic script, sure, yes. But the reader only gets an idea of what’s going on. Surreal in-between world, zombie-like creatures, something, something. Doesn’t quite earn its mandatory “meets” comparison or strikes as particularly original. Maybe the next volume kicks it into a higher gear. ...more",Notes are private!,0,0,1,"Mar 14, 2024","Mar 14, 2024","Mar 19, 2024",,Paperback,view (with text),/book/show/65655663-phantom-road-volume-1
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death Strikes: The Emperor of Atlantis,"Maass, Dave",1506737315,9781506737317,B0C4X8M881,128        pp,4.07,60,unknown,"Jan 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not often does the story behind the book overshadows the book itself. Particularly when the book in question is actually good. But with this productioNot often does the story behind the book overshadows the book itself. Particularly when the book in question is actually good. But with this production, you really couldn’t have it any other way.Conceived and created in Terezin concentration camp by two creators who didn’t leave to see it ever produced, this was meant to be an opera. It is a story as tragic as it is cautionary and eerily, terrifyingly prescient/timely, all these decades later.A bloodthirsty, warmongering authoritarian dictator so out of touch with reality that he pisses off Death himself who decides to take a vacation or go on strike, but either way not do its job so that the world is at war and full of people who will not die.Simultaneously gruesomely realistic and surreal and drawn gorgeously in black-and-white, this story is as disturbing as it is unputdownable. The most effective, affecting thing about this book and the story behind it is the undeniably hopeful note. That such beauty could be born out of a darkness so deep, that it could be found in the bleakest of circumstances is a true testament to the resiliency of the spirit. An absolute must read, this is the sort of book someone might try to ban someday. And I mean it as the highest compliment. Recommended.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,1,1,"Mar 14, 2024","Mar 14, 2024","Mar 15, 2024",,Kindle Edition,view (with text),/book/show/152232787-death-strikes
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fall Through: A Graphic Novel,"Powell, Nate",1419760823,9781419760822,1419760823,192        pp,3.78,72,unknown,"Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nate Powell’s books just don’t work for me. I’ve tried and tried, this is my third. Actually, this one might have been the best out of three. I don’t Nate Powell’s books just don’t work for me. I’ve tried and tried, this is my third. Actually, this one might have been the best out of three. I don’t even think I can fault his writing and artistic style, both of which are objectively solid. It’s more like something about the way he tells a story that tends to lose my interest. In this tale of punk rock, based on the author’s personal experiences, he depicts the excitement of a live performance and living in the moment things really well, but then inexplicably muddles the plot with interdimensional traveling and time loops. Actually some might find that added to the story. This reader thought the only thing it added as an element of confusion. I liked the way it was drawn, I’m not sure I liked the way it was drawn out. An interesting read, especially for fans of music-based stories, but didn’t quite sing for me. User mileage may vary....more",Notes are private!,0,0,1,"Mar 13, 2024","Mar 13, 2024","Mar 15, 2024",,Hardcover,view (with text),/book/show/129807676-fall-through
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where I End,"White, Sophie",1645661873,9781645661870,B0CR6ZZ27L,0        pp,4.12,"1,194",unknown,"Sep 24, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a magnificently disturbing nightmare of a story!You know what else is magnificent here? A reminder that people CAN surprise you. I mean, I would What a magnificently disturbing nightmare of a story!You know what else is magnificent here? A reminder that people CAN surprise you. I mean, I would have never selected this book solely based on the romcom garbage the author had churned out before. But lo and behold, she turns around (a full 180) and produces this darkness-personified of a story—a portrait of psychopath as a young woman, if you will.Actually, I selected this book based on its award-winning status and praise from respectable sources. And yeah, totally worth it. A one-sit read, a mesmerizingly, viscerally disturbing book. It pulls you into its darkness slowly. The first 20% or so it just descriptions of the island where the story takes place—this is very much as location-as-character story. We don’t meet Rachel, the character who becomes a sort of catalyst for the plot until nearly 30%. The thing is, the author absolutely has the chops to work with a leisurely pace; her descriptions are cinematically vivid. The island comes to life as a forbidding rock populated by narrow-minded, superstitious, insular people who shun the protagonist, Aoileann, and have done so for all her nineteen years on earth.She has never left the island, never been to school, all she knows of the world is what she’s read in books. Aoileann’s entire life is dedicated to (with her grandmother) taking care of her mother who has been in a vegetative state more or less since Aoileann was born.This care is described in exhaustive, visceral detail to show you just how much of a nightmare the situation is. To make matters worse (and give the situation a slightly surreal atmosphere),at night, her mother apparently crawls around, etching letters into the floor with her bare fingers. When Rachel (with her newborn) shows up on the island for a temporarily artistic residency, Aoileann sees a window into a larger world open and grabs at it for dear life. It becomes a sort of toxic obsession where she can’t quite tell if she wants Rachel for a lover or a mother, but she wants Rachel and will stop at nothing to get her.Absolutely harrowing journey into a warped mind. Very well done.It seems the story had been reworked and expanded from the original, going by descriptions alone, and more importantly, it works. Sure, yeah, it checks A LOT of the current gotta-have-it boxes along the way: a tale of motherhood, mothers/daughters dynamics, reverential treatment of body fat, queer tones, etc. but it does so in a way that never seems gratuitous and really works within the story. It isn’t a fun read by any means, nor will it work for everyone, but it would be a deranged delight for connoisseurs of dark psychological fiction. Recommended. Thanks Netgalley.This and more at https://advancetheplot.weebly.com/...more",Notes are private!,0,3,1,"Mar 13, 2024","Mar 13, 2024","Mar 15, 2024",,Kindle Edition,view (with text),/book/show/204523373-where-i-end
