,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ffiamma's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siblings,"Reimann, Brigitte",0241555833,9780241555835,0241555833,144        pp,3.57,786,1963,"Feb 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 07, 2023",,Paperback,view,/book/show/61028412-siblings
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crimini imperfetti. Tutte le indagini di Marco Corvino,"Lugli, Massimo",8854158224,,B00DS7AWWI,"1,017        pp",3.76,17,"Jul 04, 2013","Jul 18, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Jun 17, 2018","Jun 19, 2018",,Kindle Edition,view,/book/show/19086830-crimini-imperfetti-tutte-le-indagini-di-marco-corvino
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deadly Secrets        (Detective Erika Foster, #6)","Bryndza, Robert*",1786814277,9781786814272,B07956JX2T,580        pp,4.34,"13,822","Apr 13, 2018","Apr 13, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Jun 11, 2018not set","Jun 19, 2018",,Kindle Edition,view,/book/show/38106314-deadly-secrets
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La ferita, quella vera","Bégaudeau, François",8806224174,9788806224172,8806224174,256        pp,3.28,74,"Jan 05, 2011","May 15, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jun 07, 2018","Jun 07, 2018",,Paperback,view,/book/show/40124266-la-ferita-quella-vera
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Il metodo Catalanotti        (Commissario Montalbano, #26)","Camilleri, Andrea",,,B07C44HVPW,213        pp,3.89,"3,039",2017,"May 31, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 05, 2018","Jun 07, 2018",,Kindle Edition,view,/book/show/39988328-il-metodo-catalanotti
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer that Melted Everything,"McDaniel, Tiffany*",1250078067,9781250078063,1250078067,310        pp,4.01,"13,374","Jul 26, 2016","Jul 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 04, 2018","Jun 07, 2018",,Hardcover,view,/book/show/26114523-the-summer-that-melted-everything
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Las Vegas,"Winslow, Don*",8806214357,9788806214357,8806214357,344        pp,3.74,"1,326",unknown,"May 22, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"May 28, 2018","May 29, 2018",,Paperback,view,/book/show/40191307-lady-las-vegas
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Outsider        (Holly Gibney, #4)","King, Stephen*",1473676355,9781473676350,1473676355,477        pp,4.01,"308,515","May 22, 2018","May 22, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,"May 26, 2018not set","May 29, 2018",,Hardcover,view,/book/show/36000789-the-outsider
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eleanor Oliphant sta benissimo,"Honeyman, Gail",,,B079P6LQBT,381        pp,4.24,"1,227,113","May 09, 2017","May 17, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,"May 21, 2018not set","May 21, 2018",,Kindle Edition,view,/book/show/39653412-eleanor-oliphant-sta-benissimo
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stella o croce,"Costa, Gian Mauro",8838937508,9788838937507,8838937508,256        pp,3.23,48,unknown,"Feb 15, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 15, 2018","May 21, 2018",,Paperback,view,/book/show/38348288-stella-o-croce
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"UNSUB        (UNSUB, #1)","Gardiner, Meg*",1101985526,9781101985526,1101985526,367        pp,4.05,"13,397","Jun 27, 2017","Jun 27, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 20, 2018","May 21, 2018",,Hardcover,view,/book/show/32811580-unsub
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Refuge,"Robertson, Craig*",1471137864,9781471137860,1471137864,unknown,3.74,459,"May 22, 2014","May 22, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 13, 2018","May 15, 2018",,Kindle Edition,view,/book/show/21411885-the-last-refuge
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'arcipelago della nuova vita,"Makine, Andreï",8893443090,9788893443098,B076DKCPML,234        pp,4.18,912,"Aug 18, 2016","Nov 16, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 11, 2018","May 15, 2018",,Kindle Edition,view,/book/show/39798334-l-arcipelago-della-nuova-vita
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Idaho,"Ruskovich, Emily",0701189096,9780701189099,0701189096,320        pp,3.51,"24,296",1950,"Jan 01, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 07, 2018","May 15, 2018",,Paperback,view,/book/show/30141401-idaho
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Contro natura. Dagli ogm al ""bio"", falsi allarmi e verità nascoste del cibo che portiamo in tavola","Bressanini, Dario",,,B00WSWJDPQ,306        pp,4.27,731,"May 07, 2015","May 07, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,"May 03, 2018not set","May 04, 2018",,Kindle Edition,view,/book/show/25503746-contro-natura-dagli-ogm-al-bio-falsi-allarmi-e-verit-nascoste-del-c
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'anello mancante,"Manzini, Antonio",,,B07C7G1GK6,194        pp,3.90,620,"Apr 26, 2018","Apr 26, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 24, 2018","May 03, 2018",,Kindle Edition,view,/book/show/39927610-l-anello-mancante
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All'ombra di Julius,"Howard, Elizabeth Jane",8893253666,9788893253666,,328        pp,3.60,836,1965,"Apr 09, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"May 02, 2018not set","May 03, 2018",,ebook,view,/book/show/39103572-all-ombra-di-julius
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Già noto alle forze di polizia,"Manotti, Dominique",8855801562,9788855801560,8855801562,192        pp,3.54,85,"Feb 04, 2010","Feb 10, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,"Apr 18, 2018not set","Apr 18, 2018",,Paperback,view,/book/show/13385156-gi-noto-alle-forze-di-polizia
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La manutenzione dei sensi,"Faggiani, Franco",8893252740,9788893252744,8893252740,250        pp,3.94,"1,239",2018,"Feb 01, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Apr 16, 2018not set","Apr 17, 2018",,Paperback,view,/book/show/37645296-la-manutenzione-dei-sensi
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La sostanza del male,"D'Andrea, Luca",8806221000,9788806221003,8806221000,456        pp,3.59,"4,817","Jun 21, 2016","Jun 21, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Apr 10, 2018not set","Apr 11, 2018",,Paperback,view,/book/show/30689459-la-sostanza-del-male
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Se la notte ti cerca,"De Marco, Romano",8858519574,9788858519578,,275        pp,3.64,99,unknown,"Mar 27, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,"Apr 08, 2018not set","Apr 11, 2018",,ebook,view,/book/show/39654225-se-la-notte-ti-cerca
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lo schiaffo,"Tsiolkas, Christos",8854504807,9788854504806,8854504807,544        pp,3.24,"30,807","Oct 11, 2008","Jun 16, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Apr 04, 2018not set","Apr 04, 2018",,Paperback,view,/book/show/11771840-lo-schiaffo
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A un passo dalla felicità: Una resa dei conti con la depressione,"Merkin, Daphne",889871386X,9788898713868,889871386X,304        pp,3.43,"1,423","Feb 07, 2017","Jan 18, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,2,not setnot set,"Mar 29, 2018not set","Mar 29, 2018",,Paperback,view,/book/show/37920915-a-un-passo-dalla-felicit
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La foresta assassina,"Blaedel, Sara*",8893253208,9788893253208,8893253208,246        pp,3.69,"5,711","Sep 14, 2015",Mar 2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 26, 2018","Mar 27, 2018",,Paperback,view,/book/show/39172166-la-foresta-assassina
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'angelo delle tenebre,"Carr, Caleb*",8804477237,9788804477235,8804477237,660        pp,3.99,"29,685",1997,2000,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 19, 2018","Mar 20, 2018",,Paperback,view,/book/show/10558569-l-angelo-delle-tenebre
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In te mi specchio. Per una scienza dell'empatia,"Gnoli, Antonio",8858685628,9788858685624,B01JIOV96M,115        pp,3.76,42,unknown,"Sep 01, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 17, 2018","Mar 20, 2018",,Kindle Edition,view,/book/show/31827149-in-te-mi-specchio-per-una-scienza-dell-empatia
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutto quello che è un uomo,"Szalay, David",,,B0774V5HQ9,429        pp,3.65,"8,344","Sep 22, 2016","Nov 09, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,"Mar 13, 2018","Mar 14, 2018",,Kindle Edition,view,/book/show/36582659-tutto-quello-che-un-uomo
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'Alienista,"Carr, Caleb*",8804414820,9788804414827,8804414820,532        pp,4.06,"173,091","Mar 15, 1994","May 21, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 12, 2018","Mar 12, 2018",,Paperback,view,/book/show/9667059-l-alienista
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apprendista per caso,"Swarup, Vikas",8823503124,9788823503120,8823503124,396        pp,3.44,"3,703","Jan 01, 2013","Jun 13, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ripetendo lo schema narrativo già utilizzato negli altri romanzi (divisione in episodi, flashback sul passato della protagonista) e innestandolo su unripetendo lo schema narrativo già utilizzato negli altri romanzi (divisione in episodi, flashback sul passato della protagonista) e innestandolo su una trama simil-gialla piuttosto improbabile, l'autore prova anche qui a raccontare le contraddizioni dell'india contemporanea e a denunciarne le immense ingiustizie. arrivato al terzo libro, l'espediente narrativo alla base del tutto risulta un po' frusto e la storia perde di incisività- tuttavia il prodotto è accattivante e, nonostante l'eccesso di coincidenze e le inverosimiglianze, si legge tutto di un fiato....more",Notes are private!,0,2,1,not set,"Mar 05, 2018","Mar 05, 2018",,Paperback,view (with text),/book/show/18071528-apprendista-per-caso
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Figli del tramonto,"Simi, Giampaolo",8878512044,9788878512047,8878512044,381        pp,2.90,10,"Jan 01, 2000",2000,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 28, 2018","Mar 02, 2018",,Paperback,view,/book/show/25995661-figli-del-tramonto
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il trucco c'è e si vede: Inganni e bugie sui cosmetici. E i consigli per difendersi,"Mautino, Beatrice",,,B07881XPLF,224        pp,4.25,"1,608","Jan 18, 2018","Jan 18, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"con chiarezza e precisione, beatrice mautino smaschera i trucchi del marketing in ambito cosmetico e sfata alcuni miti con cui qualsiasi donna prima ocon chiarezza e precisione, beatrice mautino smaschera i trucchi del marketing in ambito cosmetico e sfata alcuni miti con cui qualsiasi donna prima o poi si scontra. ovviamente, non tutto viene sviscerato a dovere e ci si rivolge soprattutto a chi ha un approccio ""classico"" e basa le proprie scelte su pubblicità, consigli di persone poco esperte e non perde molto tempo a scandagliare il web per farsi un'idea più chiara. in ogni caso, una lettura interessante e con alcuni spunti da approfondire....more",Notes are private!,0,2,1,not set,"Feb 28, 2018","Feb 28, 2018",,Kindle Edition,view (with text),/book/show/37921093-il-trucco-c-e-si-vede
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Safari artico,"Riel, Jørn",8870910776,9788870910773,8870910776,152        pp,4.01,189,1976,Jan 1999,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ambientati nella desolazione artica della groenlandia, i racconti di riel parlano di cacciatori solitari, del tempo dilatato e infinito, di vite estreambientati nella desolazione artica della groenlandia, i racconti di riel parlano di cacciatori solitari, del tempo dilatato e infinito, di vite estreme con una grazia e un'ironia sopraffine. si sorride molto osservando questa bislacca galleria di personaggi stralunati e le loro avventure hanno una componente buffa che stempera l'onnipresente senso di solitudine e di buio e gelo. divertente e delicato....more",Notes are private!,0,2,1,not set,"Feb 27, 2018","Feb 28, 2018",,Paperback,view (with text),/book/show/9794474-safari-artico
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La ragazza sbagliata,"Simi, Giampaolo",8838936617,9788838936616,8838936617,400        pp,3.78,260,"Jun 22, 2017","Jun 22, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 26, 2018","Feb 26, 2018",,Paperback,view,/book/show/35484350-la-ragazza-sbagliata
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Isola,"Jacobsen, Siri Ranva Hjelm*",8870914909,9788870914900,8870914909,224        pp,3.41,"1,213",Aug 2016,"Feb 07, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 25, 2018","Feb 25, 2018",,Paperback,view,/book/show/36629897-isola
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Soul to Take        (Þóra Guðmundsdóttir, #2)","Sigurdardottir, Yrsa",0061143383,9780061143380,0061143383,346        pp,3.75,"7,702",2006,"Apr 28, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 24, 2018","Feb 24, 2018",,Hardcover,view,/book/show/5704478-my-soul-to-take
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La morte nomade        (Yeruldelgger, #3)","Manook, Ian",8893259842,9788893259842,B078JZ1Y96,343        pp,3.51,382,"Nov 28, 2016","Feb 15, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Feb 20, 2018","Feb 21, 2018",,Kindle Edition,view,/book/show/38492388-la-morte-nomade
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Guardami,"Sigurdardottir, Yrsa",,9788865764824,,394        pp,3.86,"3,475",2009,2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"più che la storia (la riapertura di un caso giudiziario che sembrava risolto e il cui svolgimento viene affidato all'avvocato thora gudmundsdottir) è più che la storia (la riapertura di un caso giudiziario che sembrava risolto e il cui svolgimento viene affidato all'avvocato thora gudmundsdottir) è interessante l'ambientazione di questo romanzo- durante la crisi che ha messo in ginocchio l'islanda. l'autrice, nel raccontare una vicenda di corruzione e intrighi che emergono da un misterioso incendio, dà al libro una forte connotazione sociale, nel raccontare una realtà a noi poco nota e per certi versi di disarmante arretratezza. interessante, forse finora il migliore della serie....more",Notes are private!,0,1,1,not set,"Feb 18, 2018","Feb 19, 2018",,ebook,view (with text),/book/show/31180749-guardami
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La notte alle mie spalle,"Simi, Giampaolo",8866321354,9788866321354,8866321354,253        pp,3.72,109,"May 30, 2012","May 30, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ben scritto, ben congegnato, con un protagonista (il ""mostro"" furio guerri) molto più complesso di quello che sembra all'inizio. simi è molto bravo neben scritto, ben congegnato, con un protagonista (il ""mostro"" furio guerri) molto più complesso di quello che sembra all'inizio. simi è molto bravo nel raccontare una storia di banalità del male e nel descrivere il crescendo di angoscia che inevitabilmente è destinato a sfociare in una tragedia che rovinerà molte vite. descrivendo la grettezza della vita di provincia, fatta di piccole bassezze, traguardi minimi, soddisfazioni meschine- l'autore costruisce una storia credibile e triste, con l'unica pecca della concessione a qualche stereotipo nel raccontare i comprimari. un bel noir italiano....more",Notes are private!,0,3,1,not set,"Feb 16, 2018","Feb 16, 2018",,Paperback,view (with text),/book/show/13634121-la-notte-alle-mie-spalle
