,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jules Buono®'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Onyx Storm        (The Empyrean, #3)","Yarros, Rebecca*",1649374186,9781649374189,1649374186,unknown,4.38,355,"Jan 21, 2025","Jan 21, 2025",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Could NOT be more excited about Onyx Storm!I compiled everything we know so far here and will continue to keep it updated: https://www.julesbuono.com/Could NOT be more excited about Onyx Storm!I compiled everything we know so far here and will continue to keep it updated: https://www.julesbuono.com/onyx-storm/...more,Notes are private!,0,2,0,not set,not set,"Mar 28, 2024",,Hardcover,view (with text),/book/show/209439446-onyx-storm
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385550618,9780385550611,0385550618,352        pp,3.79,"2,207","Apr 02, 2024","Apr 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Husbands is a fun debut novel with a truly unique magical realism premise. After returning from a ""hen"" (an English bachelorette party), Lauren reThe Husbands is a fun debut novel with a truly unique magical realism premise. After returning from a ""hen"" (an English bachelorette party), Lauren returns home to her husband.Except, he's not her husband. She's not even married. After he climbs up to the attic to change a lightbulb, a new husband climbs down the stairs. Thereafter, husbands disappear and new ones emerge from the attic in the dozens.A commentary on modern dating and perpetually ""swiping"" for new possibilities, Lauren must confront living in the present versus an infinite array of futures.It's definitely unlike any other book I've read, but the array of husbands made it difficult for me to connect to Lauren and the male characters. While unique at first, the premise also became tiresome for me. Still, it's a good read overall.Thank you to the publisher for an ARC!...more",Notes are private!,0,1,1,"Mar 26, 2024",Apr 2024,"Mar 26, 2024",,Hardcover,view (with text),/book/show/193781998-the-husbands
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Nanny Diaries        (Nanny, #1)","McLaughlin, Emma*",0312291639,9780312291631,0312291639,306        pp,3.46,"382,155","Mar 13, 2002","Mar 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024","Mar 20, 2024","Mar 20, 2024",,Paperback,view,/book/show/228333.The_Nanny_Diaries
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing","Hardin, Lara Love*",1982197668,9781982197667,B0BPDNW33W,319        pp,4.48,"27,610","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/64631561-the-many-lives-of-mama-love
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,581","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/181344829-bride
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finlay Donovan Rolls the Dice        (Finlay Donovan, #4)","Cosimano, Elle*",1250846005,9781250846006,,320        pp,4.03,"11,753","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Feb 2024,Feb 2024,"Mar 01, 2024",,Hardcover,view,/book/show/150072956-finlay-donovan-rolls-the-dice
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,600","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/127279000-listen-for-the-lie
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",0340896965,9780340896969,0340896965,435        pp,3.83,"341,246","Jun 11, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/6280118-one-day
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cliffs,"Sullivan, J. Courtney*",059331915X,9780593319154,059331915X,384        pp,3.96,150,unknown,"Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/200634908-the-cliffs
