,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barry's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caledonian Road,"O'Hagan, Andrew",0571381359,9780571381357,,656        pp,3.97,63,"Apr 02, 2024","Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Hardcover,view,/book/show/203730620-caledonian-road
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil's Chessboard: Allen Dulles, the CIA and the Rise of America's Secret Government","Talbot, David",0062420860,9780062420862,,unknown,4.34,"5,113","Oct 13, 2015","Oct 13, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Audiobook,view,/book/show/24951866-the-devil-s-chessboard
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Closely Watched Trains,"Hrabal, Bohumil",,,,84        pp,3.75,"10,865",1965,"Mar 29, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,16,1,"Mar 30, 2024","Apr 04, 2024","Mar 30, 2024",,Paperback,view,/book/show/32321592-closely-watched-trains
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come and Get It,"Reid, Kiley",,,B0C2WWHQD2,13        pp,3.45,"13,028","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024",not set,"Mar 26, 2024",,Audible Audio,view,/book/show/144178658-come-and-get-it
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pure Invention: How Japan's Pop Culture Conquered the World,"Alt, Matt*",,,B082TV5TMH,unknown,4.19,"2,251","Jun 23, 2020","Jun 23, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"really loved this! and made me realise how many of the biggest crazes of my childhood were all Japanese. Pokemon, Digimon, Yu-Gi-Oh, Beyblade.....thenreally loved this! and made me realise how many of the biggest crazes of my childhood were all Japanese. Pokemon, Digimon, Yu-Gi-Oh, Beyblade.....then of course the succession of the GameCube and the GBA to the DS to the Wii.....kinda crazy really how pervading Japanese culture was in the late 90s/early 00s, even in rural Ireland of all places...more",Notes are private!,0,18,1,not set,"Mar 24, 2024","Mar 25, 2024",,Audible Audio,view (with text),/book/show/55664757-pure-invention
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some Strange Music Draws Me In,"Hansbury, Griffin*",191419876X,9781914198762,191419876X,368        pp,4.65,79,unknown,"Apr 25, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 13, 2024","Mar 29, 2024","Mar 13, 2024",,Paperback,view,/book/show/209959690-some-strange-music-draws-me-in
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Heavenly Favourite,"Rijneveld, Marieke Lucas",0571375499,9780571375493,0571375499,336        pp,3.89,"5,654","Nov 05, 2020","Feb 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Reviewed on my Substack: https://barrypierce.substack.com/p/my...Reviewed on my Substack: https://barrypierce.substack.com/p/my......more,Notes are private!,0,22,1,not set,"Feb 16, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/179849973-my-heavenly-favourite
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Never Did Like Politics: How Fiorello La Guardia Became America's Mayor, and Why He Still Matters","Golway, Terry",,,B0CV4HF1DM,unknown,4.11,53,unknown,"Feb 20, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,"Mar 13, 2024","Mar 13, 2024",,Audible Audio,view,/book/show/209831091-i-never-did-like-politics
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gentleman From Peru,"Aciman, André*",0571385117,9780571385119,0571385117,176        pp,3.45,"2,351","Aug 31, 2020","Mar 27, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought this was a new novel, which is how Faber are marketing it, but it looks like it's just the print version of an Audible original from a couplI thought this was a new novel, which is how Faber are marketing it, but it looks like it's just the print version of an Audible original from a couple years ago. Which is fine. But, odd. Anyway, it's a nice story but perhaps not substantial enough to justify its existence as a standalone book. ...more",Notes are private!,0,16,1,"Mar 11, 2024","Mar 11, 2024","Mar 11, 2024",,Hardcover,view (with text),/book/show/184374150-the-gentleman-from-peru
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ironweed,"Kennedy, William",0140113622,9780140113624,0140113622,227        pp,3.87,"16,845",1983,1985,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,just crazy to think novels were once written this well,Notes are private!,0,23,1,"Mar 06, 2024","Mar 10, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/1279155.Ironweed
