,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karolyn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bone People,"Hulme, Keri",0140089225,9780140089226,0140089225,450        pp,4.04,"22,580",1984,"Oct 07, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/460635.The_Bone_People
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Friend,"Nunez, Sigrid",0735219451,9780735219458,0735219451,212        pp,3.77,"42,682","Feb 06, 2018","Feb 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/40164365-the-friend
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,534","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Kindle Edition,view,/book/show/158875813-prophet-song
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Other Eden,"Harding, Paul",132403629X,9781324036296,132403629X,224        pp,3.80,"11,996","Jan 24, 2023","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/61089492-this-other-eden
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,572","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/194802722-funny-story
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,957","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/127305853-the-women
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"426,245","Jul 20, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is my first book by Lisa Jewell, but it won't be my last. While there was no great twist at the end, this is a well-told, gripping suspense novelThis is my first book by Lisa Jewell, but it won't be my last. While there was no great twist at the end, this is a well-told, gripping suspense novel about two women who randomly meet in a restaurant while celebrating their birthdays with their respective husbands. They are ""birthday twins."" One seems sane; the other not so much. I believe the original premise must have been, How can two people born on the same day in the same hospital end up with such different lives? I like that question.I listened to the audiobook, which was fantastically narrated and edited. FOUR disquieting STARS ...more",Notes are private!,0,0,1,"Jan 04, 2024","Jan 12, 2024","Jan 12, 2024",,Hardcover,view (with text),/book/show/62334530-none-of-this-is-true
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day: Stories of Women and Men,"Keegan, Claire",0802160859,9780802160850,,128        pp,4.03,"10,987","Feb 22, 2022","Nov 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was my third Claire Keegan book, and whoa, I did not expect this to be so disturbing. SO LATE IN THE DAY is three short stories about disenfranchThis was my third Claire Keegan book, and whoa, I did not expect this to be so disturbing. SO LATE IN THE DAY is three short stories about disenfranchised lovers, progressing from sad, to worrisome, to seriously creepy. It's Keegan's powerful use of dramatic irony that makes this book difficult to put down. She puts her characters in increasingly dangerous situations that we can sense will turn out badly, like a human train wreck. Keegan's writing is spare and beautiful, but I have to say I enjoyed FOSTER and SMALL THINGS LIKE THESE much more than this book. THREE icy STARS...more",Notes are private!,1,1,1,"Dec 20, 2023","Dec 27, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/126262032-so-late-in-the-day
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,497","Apr 25, 2023","Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Emily Henry's books are like popcorn: delicious, mindless munching. She is a good storyteller, the dialogue is solid, and the endings (though generallEmily Henry's books are like popcorn: delicious, mindless munching. She is a good storyteller, the dialogue is solid, and the endings (though generally predictable) always have a slight twist that keeps me engaged. And, if anyone likes audiobooks, Julia Whelan, the narrator, is phenomenal. Happy Place is highly entertaining and a perfect beach read/go for a walk/travel book. Four Fun Stars...more",Notes are private!,0,0,1,"Dec 18, 2023","Dec 24, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/61718053-happy-place
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,595","May 25, 2023","May 16, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's easy to know why the NYT, et al., liked this book so much; it's about the book industry. Agents and publishers are known to love books about bookIt's easy to know why the NYT, et al., liked this book so much; it's about the book industry. Agents and publishers are known to love books about books and writing. But this book, IMO, is unoriginal. What about Ladder to the Sky, by John Boyne? What about the movie called The Words? They are both stories (and I'm sure there are more) about young writers who steal manuscripts by known writers and publish them as their own. Enter YELLOWFACE, by R.F. Kuang. Same story. Same guilty complex. Same ending. Basically. This book brings racism to the mix. Maybe that's why it did so well. It's not just white men stealing from white men. Kuang is an Ivy League-educated writer/insider. She knows how the game (oops, I meant system) works. She makes fun of it, which I imagine the industry got a real kick out of. I kept reading this book (even though it was unoriginal) only to see if it had a redeeming twist at the end. What it does is spiral in on itself. TWO boring STARS...more",Notes are private!,0,0,1,"Jan 15, 2024",Feb 2024,"Dec 07, 2023",,Hardcover,view (with text),/book/show/62047984-yellowface
