,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,810","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 05, 2024",not set,"Feb 05, 2024",,Hardcover,view,/book/show/139400713-martyr
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vixen Amber Halloway,"LaHines, Carol*",1646034678,9781646034673,B0CD9N8JPF,211        pp,3.81,57,unknown,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468765-the-vixen-amber-halloway
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Best Self,"Friddle, Mindy*",1646034643,9781646034642,B0CD9R7RPF,368        pp,3.69,13,unknown,"May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468760-her-best-self
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder in Mennefer,"Sirois, A.L.*",1646034732,9781646034734,B0CD9YVLS3,204        pp,4.33,3,unknown,"Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468729-murder-in-mennefer
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ascenditure,"Dabney, Robyn*",1646034767,9781646034765,B0CD9J6NNZ,351        pp,4.64,28,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468780-the-ascenditure
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Bodies Electric,"Vernon, Zackary",1646034589,9781646034581,B0CD9DYTMM,254        pp,0.00,0,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468787-our-bodies-electric
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Gravity Seize the Dead,"Doyle, Darrin*",1646034465,9781646034468,B0CD9TP3X3,97        pp,5.00,1,unknown,"Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468767-let-gravity-seize-the-dead
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Long Man's Pillow,"Castillo, Julie*",,,B0CD96C3NT,182        pp,5.00,2,unknown,"Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/195468752-the-long-man-s-pillow
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Words That Remain,"Gardel, Stênio",1954404131,9781954404137,B09XVJPXQ5,149        pp,4.06,"2,678","Apr 19, 2021","Jan 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 26, 2023","Dec 16, 2023","Nov 26, 2023",,Kindle Edition,view,/book/show/61911382-the-words-that-remain
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Sorcery,"Morante, Elsa",1681376849,9781681376844,1681376849,800        pp,4.18,"1,265",1948,"Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Paperback,view,/book/show/62001844-lies-and-sorcery
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Face of Another,"Abe, Kōbō",0375726535,9780375726538,0375726535,238        pp,3.75,"4,708",1964,"Feb 04, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A man's face is destroyed in an accident so he creates a mask, and slowly the mask seems to take on a life of its own. There are many intriguing ideasA man's face is destroyed in an accident so he creates a mask, and slowly the mask seems to take on a life of its own. There are many intriguing ideas in this book--don't we all wear a mask? To use the language of Lacan, we navigate the symbolic world, adopting voluntarily or involutarily a symbolic form--a female, for instance, with all the accessories and assumptions. And then there is the experience that doesn't fit the symbolic. This is one thing the narrator discovers as he tries to find a way to belong in the world again. I love interior writing but there was far too much of it in this book for me. Things would almost happen, then the mind would intervene and the action would stop. Still, it brought awareness of the role of the face. ...more",Notes are private!,0,1,1,"Oct 24, 2023","Nov 18, 2023","Oct 24, 2023",,Paperback,view (with text),/book/show/10000.The_Face_of_Another
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Presence Is Mandatory,"Vasilyuk, Sasha*",,,,unknown,4.44,41,"Apr 23, 2024",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,,view,/book/show/61181042-your-presence-is-mandatory
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weathering,"Wood, Lucy",1408840936,9781408840931,1408840936,320        pp,3.63,831,"Jan 15, 2015","Jan 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The wildly original language pulled me in and sustained me throughout. While there is the ghost of a mother who appears, it isn't plot that makes thisThe wildly original language pulled me in and sustained me throughout. While there is the ghost of a mother who appears, it isn't plot that makes this novel enchanted, it's language. Here is the blueprint for language as a propulsion. The tension is: what new turn of phrase, what new metaphor, what new stylistic technique will appear on the next page? ...more",Notes are private!,0,0,1,"Oct 04, 2023","Oct 23, 2023","Oct 04, 2023",,Hardcover,view (with text),/book/show/22913003-weathering
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,476","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Keegan immerses you in a small Irish town, and the inner world of Bill Furlong, a coal merchant, who uncovers the ugly truth of the convent on the hilKeegan immerses you in a small Irish town, and the inner world of Bill Furlong, a coal merchant, who uncovers the ugly truth of the convent on the hill. A slender story, a story of defiance, a story that pits the status quo and economics against morality. Rarely does doing morality win. Usually earning a living, putting food on the table, and taking care of one's own takes precedence. Usually, not always. Furlong's turmoil is the engine of this story....more",Notes are private!,0,0,1,"Sep 24, 2023","Sep 26, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Hour,"Harrison, Tiffany Clarke",1593767498,9781593767495,1593767498,160        pp,3.88,"1,140","Apr 04, 2023","Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An amazing example of the art of compression. In a mere 137 pages, Harrison weaves in a zigzag motion of time, racism, parenting, raising a child who An amazing example of the art of compression. In a mere 137 pages, Harrison weaves in a zigzag motion of time, racism, parenting, raising a child who is a person of color in gun-happy America, pregnancy, miscarriage, guilt, and its crippling effects, on and on. I enjoyed the structure, which is hard to do--when do you move to the present, when do you jump to the past without losing the reader? On the back cover, it's called a ""fragmentary"" novel, but there is cohesion through the narrator as a thread, and the second person address to her husband. ...more",Notes are private!,0,1,1,"Sep 15, 2023","Sep 18, 2023","Sep 18, 2023",,Paperback,view (with text),/book/show/58957160-blue-hour
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eastbound,"Kerangal, Maylis de",,9781838490447,,140        pp,3.99,"4,469",2012,Sep 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Gorgeous, long sentences that feel like you're on a train, barreling across Russia. And you are on a train with the protagonist, a young conscript in Gorgeous, long sentences that feel like you're on a train, barreling across Russia. And you are on a train with the protagonist, a young conscript in the Russian army who desperately does not want to be on the train or a soldier being sent to Siberia, where he's sure it will be the end of him. A novella that sends you across Russia with the force of language and fear and desperation. ...more",Notes are private!,0,0,1,Sep 2023,"Sep 03, 2023","Sep 03, 2023",,Paperback,view (with text),/book/show/60853075-eastbound
