,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Conor's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","Sheldrake, Merlin*",0525510311,9780525510314,0525510311,352        pp,4.36,"35,224","May 12, 2020","May 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/52668915-entangled-life
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chip War: The Fight for the World's Most Critical Technology,"Miller, Chris",1982172002,9781982172008,1982172002,464        pp,4.45,"20,674","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/60321447-chip-war
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crook Manifesto        (Ray Carney, #2)","Whitehead, Colson*",0385545150,9780385545150,,336        pp,3.90,"13,332","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024",not set,"Mar 30, 2024",,Hardcover,view,/book/show/61812836-crook-manifesto
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Homeless If This Is Not My Home,"Moore, Lorrie",0307594149,9780307594143,,208        pp,3.34,"4,175","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024",not set,"Mar 26, 2024",,Hardcover,view,/book/show/61605476-i-am-homeless-if-this-is-not-my-home
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Life,"Crewe, Tom*",1668000830,9781668000830,1668000830,392        pp,3.81,"3,760","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/61273326-the-new-life
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loved and Missed,"Boyt, Susie",,,,unknown,4.28,"1,312","Sep 19, 2023",Aug 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,,view,/book/show/58283993-loved-and-missed
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The MANIAC,"Labatut, Benjamín",0593654471,9780593654477,,368        pp,4.36,"7,959","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/75665931-the-maniac
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behind You Is the Sea,"Darraj, Susan Muaddi*",0063324237,9780063324237,0063324237,256        pp,4.18,"1,390","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/134221617-behind-you-is-the-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mars House,"Pulley, Natasha",1639732330,9781639732333,1639732330,480        pp,4.06,499,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/150277127-the-mars-house
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Houses,"Barrett, Colin",0802160948,9780802160942,0802160948,272        pp,3.91,579,"Jan 25, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/128714412-wild-houses
