,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Three's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romanzo senza umani,"Di Paolo, Paolo",8858858468,9788858858462,B0C74SVCGR,192        pp,3.14,117,unknown,"Sep 19, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Feb 13, 2024","Feb 19, 2024",,Kindle Edition,view,/book/show/173817658-romanzo-senza-umani
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La donna in bianco,"Collins, Wilkie",8881129914,9788881129911,8881129914,691        pp,4.01,"154,419","Nov 26, 1859",Jan 2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 11, 2024",not set,"Feb 11, 2024",,Paperback,view,/book/show/9753732-la-donna-in-bianco
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Delitto in Cornovaglia,"Bude, John",8855055119,9788855055116,8855055119,272        pp,3.52,"3,268",1935,"Jul 01, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quando aveva sette o otto anni, mia sorella scrisse una crime story lunga due o tre facciate di foglio di quaderno, in cui il mistero veniva svelato pQuando aveva sette o otto anni, mia sorella scrisse una crime story lunga due o tre facciate di foglio di quaderno, in cui il mistero veniva svelato perché dopo un grosso furto due o tre persone vennero notate mentre uscivano dal negozio svaligiato portando dei grossi sacchi sulle spalle.In questo libro la complessità della vicenda ha più o meno lo stesso spessore.Però mia sorella scriveva meglio....more",Notes are private!,0,4,1,not set,"Jan 27, 2024","Jan 27, 2024",,Paperback,view (with text),/book/show/58515519-delitto-in-cornovaglia
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il signor Cardinaud,"Simenon, Georges",884593456X,9788845934568,884593456X,136        pp,3.59,243,1942,"Feb 20, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Un'altra famiglia rovinata, si potrebbe dire.Ma qui, a differenza di altre storie di Simenon (e non solo sue), c'è un uomo che non è un predatore né uUn'altra famiglia rovinata, si potrebbe dire.Ma qui, a differenza di altre storie di Simenon (e non solo sue), c'è un uomo che non è un predatore né una vittima sacrificale (penso, ai lati opposti del comportamento, a La morte di Belle e al piccolo libraio), che non cede al proprio sconforto né alla rabbia né alla delusione. Va avanti come gli pare giusto fare e arriva al suo risultato. Fa bene? Fa male? Di sicuro non dovrà rimproverarsi niente.PS: se un giorno aprissi una scuola di scrittura (ovviamente non lo farò mai, non ne ho i titoli né ho fiducia nelle scuole di scrittura), alla prima lezione farei studiare il primo capitolo di questo libro, per mostrare come in poche pagine possa entrare comodamente un mondo intero....more",Notes are private!,0,4,1,"Jan 05, 2024","Jan 06, 2024","Jan 05, 2024",,Paperback,view (with text),/book/show/51522962-il-signor-cardinaud
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La rettitudine degli assassini,"Schulze, Ingo",8807035030,9788807035036,8807035030,269        pp,3.47,475,2020,"Jun 14, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ho bisogno che qualcuno mi spieghi questo libro.... cioè: io stavo leggendo un libro in cui si narrava la storia di un uomo che fin dalla nascita ha  ho bisogno che qualcuno mi spieghi questo libro.... cioè: io stavo leggendo un libro in cui si narrava la storia di un uomo che fin dalla nascita ha vissuto letteralmente fra i libri, appassionandosi alla lettura da bambino e poi dedicando tutta la vita a leggere, a cercare libri antichi, rari, fuori commercio, per esporli e se necessario venderli nella sua libreria antiquaria, insieme con qualche libro contemporaneo che però lui disdegna non poco. E, in questa continua ricerca, Norbert Paulini - sempre chiamato con nome e cognome come Charlie Brown - deve anche spostare la sua attività, da un negozietto ad un magazzino, dalla città alla campagna, trasportando i libri su biciclette, carretti e anche qualche traballante automobile della Germania est. Intorno a lui ci sono pochi amici ed una specie di corte di pazzi fanatici (lo dico con ammirazione e un po' di invidia) per i libri, gente che arriva anche da altre città per cercare se NP ha una prima edizione di Goethe (NP non ama eccessivamente gli autori non di lingua tedesca) e disposta, nel caso, a spendere il proprio stipendio di un mese per il tesoro trovato.Nel frattempo succedono anche varie cose, NP si sposa ed ha un figlio, la Germania si riunifica, lo stile di vita della DDR viene travolto dalle abitudini occidentali, l'economia cambia, mantenere una libreria antiquaria diventa sempre più difficile economicamente. In più lui ha fatto qualche conto sbagliato e si è fatto del male da solo. Comunque gli viene spontaneo fare due più due e decidere che la sua crisi economica è colpa dei tempi che cambiano, naturalmente in peggio (c'è mai stata una persona che invecchiando si è compiaciuta del miglioramento dei tempi?) e così maturare un astio generale verso diavolerie come le elezioni ed altri portati del nuovo che avanza. Dal canto suo, il figlio ormai adulto manifesta più di qualche tendenza antisociale.E qui, ZAC! Con un colpo di scena che ad una persona banale e poco fantasiosa come me ha fatto pensare ad un errore dell’ebook, la narrazione si interrompe lasciando una frase a metà, e poi si passa ad una seconda parte in cui compare un personaggio mai nominato prima (scopriremo poi che si chiama Schulze, quindi è l’autore, o l’autore gli ha dato il proprio nome), e poi ad una terza parte in cui compare un terzo personaggio, anch’esso mai nominato prima, i quali raccontano in prima persona la vicenda dal loro punto di vista. Per l’esattezza il terzo personaggio parla di fatti - che non dirò, anche se la storia non è un giallo - avvenuti dopo la narrazione contenuta nelle prime due, tirando - in qualche modo - le somme.Va bè, una volta capito che l’ebook non aveva nessun vizio non ho poi avuto gran difficoltà a seguire il resto della narrazione. Quello che continua a lasciarmi perplessa è l’interpretazione che ho trovato da qualche parte (forse la quarta di copertina, forse una recensione) in cui si dice che dopo la riunificazione della Germania NP si trasforma da uomo mite in soggetto aggressivo e si avvicina al neonazismo: cose che potrebbero anche essere vere ma nel libro non ci sono. A me risultava che con il passare del tempo NP perdesse l’imperturbabile serenità con cui aveva vissuto e lavorato in gioventù; che maturasse un atteggiamento astioso verso il mondo com’era diventato e verso coloro che ne erano entusiasti; che adottasse l’aria io ho capito tutto e voi siete scemi e non avete capito un …  ,ma la sua presunta vicinanza al neonazismo io non l’ho proprio vista. E dov’è la rettitudine negli assassini?...more",Notes are private!,0,2,1,not set,"Dec 29, 2023","Jan 01, 2024",,Paperback,view (with text),/book/show/61251045-la-rettitudine-degli-assassini
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Free Love,"Hadley, Tessa",0063137771,9780063137776,0063137771,304        pp,3.55,"5,053","Jan 06, 2022","Feb 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"londra anni 60amore contro le convenzioni sgt. pepper’s in sottofondo con me, mrs. Tessa Hadley vince facile, e infatti ho comprato subito il libro.Chlondra anni 60amore contro le convenzioni sgt. pepper’s in sottofondo con me, mrs. Tessa Hadley vince facile, e infatti ho comprato subito il libro.Che poi mi è piaciuto fino a un certo punto, per l’impressione - magari sbagliata, non lo so - che fosse più il racconto di come vengono raccontati gli anni 60 che una storia veramente radicata là, in quel passato che le persone della mia generazione hanno solo sfiorato. C’erano veramente giovani signore con il tailleur color pastello ed il filo di perle che mollavano il monotono benessere, il placido marito, i figli poco più che bambini, per andare in una comune lercia, in compagnia di gente che le guardava con stupore, curiosità, degnazione, e totale estraneità ? Sinceramente ne dubito.Però mi ha affascinata la descrizione di un quartiere che oggi è fra i più desiderabili ed economicamente inaccessibili della città, all’epoca in cui andarci era una specie di viaggio, e non dei più raccomandabili. Mi piace constatare il passare del tempo attraverso il cambiamento delle città, o - all’inverso - ritrovare le città come erano prima che il tempo passasse. Il libro mi è piaciuto meno, ma non è male....more",Notes are private!,0,7,1,not set,"Nov 10, 2023","Nov 10, 2023",,Hardcover,view (with text),/book/show/57992949-free-love
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bournville,"Coe, Jonathan*",8858849345,9788858849347,B0BF9ZQZYT,432        pp,3.84,"5,087","Oct 26, 2022","Nov 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"si saranno messi d'accordo?qualche rivista avrà lanciato una sfida per un libro sul tema?sarà una pura combinazione ?Ci deve comunque essere un motivosi saranno messi d'accordo?qualche rivista avrà lanciato una sfida per un libro sul tema?sarà una pura combinazione ?Ci deve comunque essere un motivo per cui i due autori inglesi che preferisco hanno deciso, pressoché contemporaneamente, di scrivere un libro su una famiglia inglese più o meno negli ultimi settant'anni*, con ragazzi e ragazze che diventano adulti, poi genitori, poi maturi, poi vecchi e intanto i loro figli sono arrivati a loro volta ad essere maturi ed i nipoti sono già in rampa di lancio, mentre l'Inghilterra passa attraverso l'energia del dopoguerra, l'entusiasmo dei sixties, la folle corsa all'edonismo degli anni ottanta fino alla poco dignitosa epopea di un primo ministro con una capigliatura biondissima perennemente spettinata (ad ognuno il suo: a noi ne toccò uno con i capelli malamente trapiantati).Dal canto mio, nel corso della mia presenza su questo sito ho già avuto modo di dire che considero Coe un genio per i quattro libri che ha scritto in gioventù (lo so che li conoscete, ma li cito lo stesso: La banda dei brocchi, La famiglia Winshaw, La casa del sonno ed Il Circolo chiuso), e, siccome si tratta di libri che io non sarei stata in grado di scrivere neanche campando trecento anni, non posso certo rimangiarmi il giudizio. Però, per quanto mi dispiaccia dirlo, questo Bournville (e con lui Middle England che ho letto qualche tempo fa) è molto lontano da quel livello di inventiva che mi aveva entusiasmata in gioventù (di Coe e anche mia), ammesso che di inventiva questo libro ne abbia almeno un po'.Gli anni passano, Jonathan, non ci si può fare niente.*quello di McEwan, che pure non mi ha fatta impazzire, è migliore di questo...more",Notes are private!,0,17,1,not set,Oct 2023,"Oct 08, 2023",,Kindle Edition,view (with text),/book/show/63227125-bournville
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Estate caldissima,"Dal Lago, Gabriella",8832972964,9788832972962,8832972964,176        pp,3.54,323,unknown,"Jun 09, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** libro scritto molto bene, da un’autrice che non conoscevo e che immagino piuttosto giovane, a giudicare dalla naturalezza con cui tr**spoiler alert** libro scritto molto bene, da un’autrice che non conoscevo e che immagino piuttosto giovane, a giudicare dalla naturalezza con cui tratta non solo telefonini e video chiamate (quelli, anch’io), ma soprattutto le funzionalità delle app sul pc, e poi attività come le presentazioni, legami sociali definiti community, persone qualificate internet persons, cose così. E i nick che inventa – greatgreta, marniemonti – sono molto simpatici.Ci sono, è vero, alcune cose che non tornano: in questa estate caldissima compaiono spesso felpe e cappucci, maglioni, ci sono anche un pavimento gelido e addirittura una coperta (??): forse un po’ di attenzione in più non sarebbe stata inutile, però rimane che la Dal Lago scrive molto bene. Poi cominciano i guai. Capisco bene l’espediente letterario di mettere un gruppo di persone in un ambiente ristretto e creare così l’occasione per incontri e scontri fra i presenti, con la vita in comune a fare da accelerante alle deflagrazioni, ma non riesco mai a dimenticare che è un artificio. Non so se, fra i creativi, o i giovani in generale, succeda che ci si ritiri da qualche parte per lavorare insieme; a me, che non appartengo a nessuna delle due categorie, non è mai capitato, e se fosse capitato avrei pensato già prima di partire che sarebbe stato molto di più il tempo perso di quello dedicato al lavoro (come mi pare sia puntualmente successo ai nostri protagonisti). Senza contare che chi ha una vita privata può non essere disponibile a devolvere un’intera settimana, 24/7 (come direbbero loro!!), al lavoro. Ma questo è il meno, dato che parliamo di un libro di narrativa e non di un manuale per il lavoro di gruppo. Quello che rende fastidioso – a me – l’espediente del gruppo chiuso in una villa (a parte presupporre che qualcuno disponga di una villa avita, un po’ delabré come si conviene ma comunque ricca di oggetti, di passato, di ettari di alberi da frutto e di una piscina) è la disponibilità di tutti a lasciarsi trascinare un una situazione iperemotiva senza un minimo di resistenza (chiamiamola filtro o riservatezza o alterigia o – come preferirei io – equilibrio): no, assolutamente tutti hanno una crisi in atto, o pronta ad esplodere, o già esplosa con conseguenze ancora roventi, e tutti ne hanno avuto l’anima così scarnificata da non potere / volere mantenere con gli altri rapporti amichevolmente superficiali. No: devono parlarne, devono reagire ad ogni minimo stimolo emotivo, devono dirsi tutto ma proprio tutto il fastidio che provano l’uno per l’altro, creando un ambiente isterico.E così ci sono: la coppia in crisi che esplode (lui è, chiedo scusa per il termine, un perfetto coglione, lei è gelosa delle attenzioni che lui ha per un’altra, ma intanto chatta ossessivamente con il fidanzato dell’altra); la vittima di un rapporto tossico che crolla; il drogato che perde il controllo, ma poi si scoprirà che ha subito un abbandono molto doloroso, per cui un po’ va capito, e poi deve proprio avere avuto uno sviluppo incompleto, visto che si rivolge ad un altro personaggio chiamandola “cyberspazio”, perché, secondo lui, lei viene dal cyberspazio (ossia??), e ad un certo punto, in uno sbotto di sensibilità, le dice, tutto contrito: A proposito di questo. Mi dispiace se è una cosa che ti fa sentire distante. (Frase che troverei appropriata in un dialogo fra tredicenni). Non manca, naturalmente, la coppia estemporanea che si forma e rapidamente si dissolverà, ma almeno avrà avuto una notte di (che cosa?) pace, vitalità. Divertimento. Amore, forse, perché non è poi detto che sia amore solo se dura una vita.Bambino e gatto (sì, ci sono anche loro) hanno un ruolo un po’ diverso. Non hanno, per ragioni ovvie, crisi sentimentali in atto, così rompono un po’ lo schema. Del bambino si parla solo saltuariamente, si capisce che è un tipo solitario, non sembra cercare più di tanto la compagnia degli altri (né loro fanno niente per accattivarselo, anzi), e ad un certo punto scappa, senza un motivo particolare. Che non ne possa più di quel gruppo di esagitati è più che comprensibile, ma resta un colpo di testa un po’ così, giusto per dare una svolta al racconto, e si conclude in poche ore. Del gatto non si sa, è probabile che anche lui – anzi, lei – ne abbia fin sopra i capelli (si fa per dire) degli umani: fatto sta che scappa con il bambino e, a differenza di lui, non si farà trovare mai più. Durante la notte di ricerche angosciose, spicca la giovane compagna del padre del bambino, che in realtà cerca la gatta molto più di quanto cerchi il piccolo. Se non altro evita di ammetterlo.Trovato il bambino, la settimana è finita, il lavoro anche (non si capisce quando abbiano lavorato), si torna a casa. E qui c’è il punto che meno mi convince: per tutti, questa settimana, questo brevissimo frammento delle loro vite, invece di venire rapidamente archiviato alla voce ricordi non particolarmente entusiasmanti, esercita una funzione determinante: l’insopportabile donna della coppia in crisi decide che la coppia smetterà di essere tale; il bambino, tornando per la prima volta nella casa vent’anni più tardi, la considererà un luogo così intimo (??) ; la vittima del rapporto tossico decide di abbandonarsi al suo rapporto tossico, e così via. Come se in sette giorni, per giunta passati in compagnia di gente mal assortita e non particolarmente simpatica, ciascuno avesse trovato la ragione per dare una svolta alla propria vita.Poi ditemi che non è artificioso....more",Notes are private!,1,10,1,"Sep 07, 2023","Sep 15, 2023","Sep 07, 2023",,Paperback,view (with text),/book/show/175281070-estate-caldissima
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret e il cliente del sabato,"Simenon, Georges",,,B009VIZCHI,136        pp,3.81,976,1962,"Dec 24, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"un’altra infelicità, altre vite distrutte, le storie in cui si imbatte Maigret sono spesso queste. Eppure c’è sempre una sfumatura diversa, qui c’è laun’altra infelicità, altre vite distrutte, le storie in cui si imbatte Maigret sono spesso queste. Eppure c’è sempre una sfumatura diversa, qui c’è la sua sensibilità verso un uomo così fragile da poter fare di tutto....more",Notes are private!,0,4,1,"Sep 02, 2023","Sep 02, 2023","Sep 02, 2023",,Kindle Edition,view (with text),/book/show/23438706-maigret-e-il-cliente-del-sabato
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ferrovie del Messico,"Griffi, Gian Marco",,9791280845023,B09NR8D39T,824        pp,4.14,"1,324","May 26, 2022","May 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"perché l’ho comprato:perché adoro l’epica del Caso Letterario, dell'Autore Sconosciuto, del Libro Che Secondo Le Logiche Correnti Non Doveva Nemmeno Eperché l’ho comprato:perché adoro l’epica del Caso Letterario, dell'Autore Sconosciuto, del Libro Che Secondo Le Logiche Correnti Non Doveva Nemmeno Essere Pubblicato, o al massimo venire pubblicato da un editore che è lo stesso autore sotto mentite spoglie, e finire in unica copia sul ripiano più scomodo dell’ultima saletta di una libreria non molto frequentata in attesa di andare a nuotare nella vasca di un macero, e invece viene pubblicato da un ardimentoso editore vero, e si sistema comodo in pile altissime all’ingresso di tutte le librerie, comprese quelle delle grandi catene e compresi i reparti cartoleria dei supermercati, e rischia anche di vincere lo strega ma per sua fortuna non lo vince, restando puro agli occhi dei lettori snob e/o smaliziati come me. In più, il titolo è meraviglioso.perché non l’avrei dovuto comprare:perché diffido dei libri che superano le 300 pagine perché detesto i dialetti, i vernacoli, gli slang e tutti i gerghi che - senza la giustificazione della necessità di fornire un codice di linguaggio comune ad una determinata categoria di persone (poniamo gli informatici, o i botanici, o qualcun altro di molto specializzato) - vogliono identificare un gruppo ed escludere gli altri, e comunque alterano o sviliscono la lingua italiana che, come dimostrano alcuni secoli e parecchie centinaia di scrittori anche bravini, è più che idonea ad esprimere ogni idea o sentimento possibile in modo comprensibile a tutti quelli che in Italia vivono, indipendentemente dalla regione o dalla subregione in cui sono casualmente nati*.perchè i pinzocheri arricchiti, i miserabili lurchi, e quello che patatuccava avanti e indietro, e lo sguardo da badalucco io in un libro non li vorrei trovare mai, figuriamoci se li reggo tutti insieme a pag. 160, dalla quale non so se andrò avanti e, nel caso, per quante altre pagine.perchè sto comunque proseguendo la lettura:perchè per fortuna non tutte le pagine sono come la 160EDIT: alla fine, l'ho abbandonato* però ti piace Camilleri ogni regola ha la sua eccezione...more",Notes are private!,2,13,0,not set,not set,"Aug 30, 2023",,Paperback,view (with text),/book/show/61239278-ferrovie-del-messico
