,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jamie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Autists: Women on the Spectrum,"Törnvall, Clara",1922585890,9781922585899,1922585890,224        pp,4.02,"1,904",2021,"May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/62820205-the-autists
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death in the Spires,"Charles, K.J.*",1805082280,9781805082286,B0CX9NJRC2,273        pp,4.62,176,"Apr 11, 2024","Apr 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/209563735-death-in-the-spires
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Native Nations: A Millennium in North America,"DuVal, Kathleen*",0525511032,9780525511038,0525511032,752        pp,4.67,15,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/186872416-native-nations
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deviant Hollers: Queering Appalachian Ecologies for a Sustainable Future,"Foote, Stephanie",0813199301,9780813199306,0813199301,246        pp,0.00,0,unknown,"Apr 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/144053291-deviant-hollers
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dayspring,"Oliveira, Anthony*",,,,432        pp,4.55,56,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,,view,/book/show/59684094-dayspring
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Theoretically Straight,"Eberhart, Alexander C.*",,,,unknown,4.18,564,unknown,"Nov 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wasn’t quite in the mood for YA when I read this, but it was the last day of my annual KU trial and I wanted to zip through it quickly to get a feelI wasn’t quite in the mood for YA when I read this, but it was the last day of my annual KU trial and I wanted to zip through it quickly to get a feel for how the authors handled the Christianity and coming out stuff. Verdict: handled really well. Especially the diverging reactions of the parents, the mom who slowly, slowly changes her mind and the father who vehemently doesn’t. It felt realistic in a painful way. Also Theo’s sister swooping in with the extensive theological and historical research (she is me!) and the father just chucking it in the bin. Oof.Some of the rest was more meh; I didn’t get engrossed in the viral tiktok plot, but that’s me showing my age. Big points for how the ex-girlfriend who outed them was handled though. I like that it didn’t go straight to instant forgiveness and understanding, but really drove home the impact of it.Three stars because it was very YA when I wasn’t quite in the mood; four stars because it was well done YA. I may be counting down to forty, but part of me still needs to read the books that would have helped a lot at fourteen. (NGL, after the Alice Oseman kerfuffle, it was great to see praise for BL and yaoi right there in the text.)...more",Notes are private!,0,2,1,"Feb 24, 2024","Feb 24, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/201945730-theoretically-straight
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Can't Say No to the Lonely Girl 1,Kashikaze,,9798888771099,B0CB7P71WT,176        pp,3.92,262,unknown,"Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is SO CUTE. The art style, the characters, the story, all of it. It takes some suspension of belief re: the teacher bribing a student, but the teThis is SO CUTE. The art style, the characters, the story, all of it. It takes some suspension of belief re: the teacher bribing a student, but the teacher is so bizarre and funny that the plot gimmick works in this fun nonsensical way and I want to see more of her story.The way the loneliness is portrayed is genuinely moving, and the blossoming friendship(s) among the girls is just as good as the kissing parts. I want to read the rest asap and see where the story goes.ARC kindly provided by the publisher via NetGalley in exchange for an honest ....more",Notes are private!,0,0,1,"Mar 26, 2024","Mar 26, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/184590894-i-can-t-say-no-to-the-lonely-girl-1
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collapse Feminism: The Online Battle for Feminism's Future,"Cappelle, Alice",1915672023,9781915672025,B0BVTJLXBS,222        pp,4.14,200,"Nov 14, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Kindle Edition,view,/book/show/122825014-collapse-feminism
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elite Capture: How the Powerful Took Over Identity Politics,"Táíwò, Olúfẹ́mi O.",1642596884,9781642596885,1642596884,157        pp,4.01,"2,231",2022,"May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/59463840-elite-capture
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the World Beside,"Conley, Garrard*",0525537333,9780525537335,0525537333,352        pp,4.04,103,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/181350347-all-the-world-beside
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Infrastructure Works: Inside the Systems That Shape Our World,"Chachra, Deb",0593086597,9780593086612,B0BV1LSLCH,320        pp,3.70,352,unknown,"Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Kindle Edition,view,/book/show/112976320-how-infrastructure-works
