,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barbara's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redhead by the Side of the Road,"Tyler, Anne*",0525658416,9780525658412,0525658416,178        pp,3.61,"45,524","Apr 07, 2020","Apr 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Do you love this title? Do you love witty prose and quirky characters and off-kilter love stories, not to mention family dilemmas that are unique in tDo you love this title? Do you love witty prose and quirky characters and off-kilter love stories, not to mention family dilemmas that are unique in their very commonness? Do you love reading anything that has Anne Tyler’s name on it?If so, Redhead by the Side of the Road is for you. It was for me. I’m a long-time fan of the author and jumped when I saw she had a new book out. I downloaded the Audible edition the day it was published.The story is told from the POV of one Micah Mortimer, a good-natured forty-something oddball whose business, aptly named Tech Hermit, has him helping people with the simplest of computer chores. Micah is also the super of his apartment building, more quirky characters there.But Micah himself is the main voice, the one with whom we sympathize, even when we know that what he has just said or done will not bring the result that he wants. Poor guy, he doesn’t connect well with women, despite the best of intentions. His family knows him, loves him, and indulges his quirks. Women aren’t as forgiving.There’s humor here, and a family crisis, and a love story or two. But Tyler’s work shines brightest in characterization, and she remains in top form here.This book is charming, if short – actually, more novella than novel. So be forewarned. I wasn’t, which left me hungry at the end....more",Notes are private!,0,9,1,not set,not set,"May 19, 2020",,Hardcover,view (with text),/book/show/46014983-redhead-by-the-side-of-the-road
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disappearing Earth,"Phillips, Julia*",,,,312        pp,3.84,"52,889","May 22, 2019","May 14, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’ve said it before, but it bears repeating. The more glowing s a book gets pre-pub, the higher the expectation. Disappearing Earth is the latesI’ve said it before, but it bears repeating. The more glowing s a book gets pre-pub, the higher the expectation. Disappearing Earth is the latest.Though this book is billed as a novel, I found it to be more a collection of short stories, with each chapter focused on a separate woman who may or may not know the others. All live on the Kamchatka Peninsula, a remote area in Northeastern Russia. The author, who is American, lived there for two years while she was researching and writing the book. Indeed, location is a character here, and Julia Phillips does a masterful job painting its picture for the reader.Chapters are titled by month. In the first, “August”, two sisters, ages 11 and 8, who have spent the day alone in a barren beach area while their mother works, accept a ride home from a man in a black car – and are never seen again. The disappearance of these two little girls is, in theory, the mystery that keeps the plot moving, the thread tying all of these stories together, in the style of, say, Elizabeth Strout’s Olive Kitteridge.At least, that was one of the things the ers raved about. Oh, lovers of this book cry, but the girls’ disappearance deeply affects each of the other characters. I did not find that. I found the girls’ disappearance to be incidental to the predicaments of most of those others.Don’t get me wrong. There is brilliance here. Each of the stories stands alone. Taken together, they create a haunting picture of the perilous life of a woman living in Russia between the fall of Communism and the rise of Putin. It isn’t a pretty picture. This is a dark book, certainly not one I would have read mid-pandemic if my book group hadn’t been discussing it.The author is talented, and this is her first novel. I’ll be interested in seeing what she writes next....more",Notes are private!,0,3,1,not set,not set,"May 19, 2020",,Hardcover,view (with text),/book/show/34563821-disappearing-earth
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ten Thousand Doors of January,"Harrow, Alix E.*",0316421995,9780316421997,0316421995,374        pp,4.03,"137,986","Sep 10, 2019","Sep 10, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Let’s talk fantasy. I can’t read it all the time, but when an interesting one comes along, I’m game. The Ten Thousand Doors of January by Alix E. HarrLet’s talk fantasy. I can’t read it all the time, but when an interesting one comes along, I’m game. The Ten Thousand Doors of January by Alix E. Harrow is such a book.In a nutshell: Told in the first person by a young girl who is raised in a Vermont mansion by the older, wealthy man for whom her father works, January Scaller has no idea whether her mother is alive or dead, what her father actually does, or why the man who calls her his ward collects seemingly ancient relics to share with an oddly evil group of friends.When she finds a book hidden away in the attic, January reads what turns out to be her own story. In addition to telling who her parents really are, the book describes a large network of doors, strewn all over the world, leading to different times and places. Someone is trying to seal them off. When her father goes missing, January feels an increasingly personal connection with these doors and a compulsion to keep them open.Pros:There is a story, actually a story within a story. Both are fast-paced, suspenseful, and well-written, with beautiful descriptions and minimal repetition.The characters are eminently likable, from January to her dog Bad (Sinbad), to her friend and savior Samuel, to Jane, the mysteriously exotic companion her father has sent her.This book is meaty. No quick read, the plot is rich and full. You can sink your teeth into this one.The concept of doors is one I’ve read about in two other notable books – Exit West by Mohsin Hamid, and Erin Morgenstern’s The Starless Sea. This one holds its own.Cons:The plot moves back and forth between places and times. This may be a problem for some readers.Final word:I found The Ten Thousand Doors of January well worth the effort. It is engrossing and ultimately rewarding....more",Notes are private!,0,7,1,not set,not set,"May 19, 2020",,Hardcover,view (with text),/book/show/43521657-the-ten-thousand-doors-of-january
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterlife,"Alvarez, Julia*",1643750259,9781643750255,1643750259,256        pp,3.70,"16,160","Apr 07, 2020","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"‘A sunburst of a novel’ is what one er called Afterlife and the description is perfect. Julia Alvarez has outdone herself in this book. It’s a g‘A sunburst of a novel’ is what one er called Afterlife and the description is perfect. Julia Alvarez has outdone herself in this book. It’s a gem.In a nutshell: Antonia Vega, 66, is newly retired and newly widowed. Into the void of what-comes-next thuds a double whammy: a crisis with the oldest of her three sisters, and the challenge of an undocumented, pregnant teenager who arrives at a time of governmental paranoia. As Antonia struggles to find the right path, the different options that unfold reflect the many contradictions of our current world.Pros:Afterlife is well-paced, suspenseful in a grown-up way, and written with the exquisite skill of Julia Alvarez at her best.The book is set in Vermont, where the author lives. Without quite being a character in the book, the area is perfectly described.The main character’s memories of, sometimes obsession with her late husband are both positive and negative, rendering the marriage thoroughly realistic.“The Sisterhood.” I loved this theme. Antonia is one of four sisters, fondly known as “the sisterhood” in both their native Dominican Republic and now the US. Depictions of the four women and their interactions with each other are alternately hysterically funny, poignantly sad, and ultimately victorious.Though Antonia and her sisters came to the US from Dominica years before and are all acclimated citizens, they take pride in their origin. Through this lens, the plight of the undocumented immigrant is seen in subtle, realistic, and sympathetic ways.Afterlife is short, but as filled with thought and emotion as a novel twice as long.Cons:Are there any? If I were to nitpick, I might suggest that the title, while fitting the story, is quieter than titles are nowadays. But then, in its quiet too, it fits the book.Final word:Afterlife is a contemporary take on life, death, family, and hope. It’s a winner. Go for it!...more",Notes are private!,0,2,1,not set,not set,"May 19, 2020",,Hardcover,view (with text),/book/show/52898645-afterlife
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Watchman,"Erdrich, Louise",0062671200,9780062671202,,464        pp,4.11,"74,856","Mar 03, 2020","Mar 03, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Going way back to her 1984 debut novel, Love Medicine, I’ve been an admirer of Louise Erdrich’s work. She keeps getting better and better – her latestGoing way back to her 1984 debut novel, Love Medicine, I’ve been an admirer of Louise Erdrich’s work. She keeps getting better and better – her latest, The Night Watchman, being a case in point.It is loosely based on the life of her own grandfather, who was chairman of the Turtle Mountain band of Chippewa Indians at a time (the mid-1950’s) when the United States government was attempting to reclaim land owned by, lived on, and guaranteed by treaty to Native Americans.In a nutshell: Thomas Wazhashk is tribal chair of the Turtle Mountain band of Chippewa by day and, by night, a watchman at a jewel-bearing plant in rural North Dakota. His work is endless, particularly when a resolution is proposed in Congress that, if passed, would result in the destruction of the Turtle Mountain Chippewa as a cohesive people.Though Thomas leads the charge to fight it, many others of the band play instrumental roles in his carefully conceived, intelligently thorough, and quietly forceful campaign.Pros:The over-arching theme of the book is the plight of the Native American in a country that would see its various tribes assimilated into oblivion. Sub-themes, though, are universal – the age-old human search for acceptance, our need for friendship and family, and the role of tribal (small ‘t’) folklore as a source of strength.Erdrich is a master of prose that is descriptive, true to its speakers, and succinct. There is no self-consciousness here. She seamlessly blends Chippewa words and phrases into the dialogue. Likewise, she presents Native American customs in an understated, perfectly natural way.Erdrich is herself an enrolled member of the Turtle Mountain band, and she knows of what she speaks – of her tribe, of other Native American tribes, and of the often unforgiving land on which they live.Each character is unique and likable in his or her own way. Erdrich juggles her cast as beautifully as she does the various plot threads.These threads come together in a powerful David-versus-Goliath event.Cons:My lone con is more of a heads-up. One does not skim The Night Watchman. It is a dense book, and it isn’t short. Reading carefully is a must.Final word:There is a quiet command to The Night Watchman, one character to the next, one scene to the next, one setting to the next. There is also a quiet resignation that seeped into me as I read, instilling an understanding of, and compassion for, the Native American plight that has been with me ever since. ...more",Notes are private!,0,2,1,not set,not set,"May 19, 2020",,ebook,view (with text),/book/show/43721059-the-night-watchman
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dearly Beloved,"Wall, Cara*",198210452X,9781982104528,198210452X,342        pp,4.07,"28,433","Aug 13, 2019","Aug 13, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Starting this book, I had doubts. Finishing it, I had none. THE DEARLY BELOVED by Cara Wall is a brilliant character study of four people – two coupleStarting this book, I had doubts. Finishing it, I had none. THE DEARLY BELOVED by Cara Wall is a brilliant character study of four people – two couples whose lives become entwined when the men, Presbyterian ministers, are hired to share a congregation in New York.This book is not about religion. It’s about faith – in ourselves, in each other, and, yes, in God. These are issues with which Charles and his wife Lily, and James and his wife Nan struggle. The time is the 60s, and social change is rampant. New York is the epicenter of the clash between old and new, and these four people are its embodiment.On one hand, there is Charles, who feels a direct connection to God, but is married to Lily, who doesn’t believe in God at all. Then there is James, who sees God as the drive in men to make the world better. James’s wife Nan, the daughter of a minister, is primed for the traditional role of the minister’s wife, but traditional is not what she gets.Reviewing such a … full … book is difficult. We’re talking love and friendship, tragedy and hope, belief and disbelief, grief, joy, and fulfillment. The characters are very real and, in that, complex, but the author paints the four in vivid detail. They grow, they change, they think, and feel, and fear.Beautifully written, THE DEARLY BELOVED is also eminently readable. I heartily recommend it....more",Notes are private!,0,13,1,not set,not set,"Oct 01, 2019",,Hardcover,view (with text),/book/show/43822731-the-dearly-beloved
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Woman of Troublesome Creek,"Richardson, Kim Michele*",,,,309        pp,4.22,"217,300","May 07, 2019","May 07, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel is a work of historical fiction that explores life in Appalachian Kentucky in the 1930s through the eyes of one woman. The author sheds ligThis novel is a work of historical fiction that explores life in Appalachian Kentucky in the 1930s through the eyes of one woman. The author sheds light on the plight of impoverished Kentucky miners, the phenomenon of packhorse librarians who carried books and magazines through remote mountains to patrons hungry for them, and the plight of the Blue People of Kentucky.Blue People? I’d never heard of them, so I googled to see if they were real. Oh, yes. They are. (For those interested, it’s called methemoglobinemia, which causes methemoglobin levels in the red blood cells to rise above 1 percent. It turns the skin blue, the lips purple, and the blood a chocolate brown.)There was – is – a hill family carrying a genetic trait that causes an enzyme deficiency, giving their skin a blue hue. The protagonist of THE BOOK WOMAN OF TROUBLESOME CREEK (an actual place) is a Blue. Through her eyes, we experience the sense of being inferior and the fear of discrimination that was as bad for Blues as for African Americans with whom they were equated by whites.This same woman, Cussy Mary Carter, age 19, is a packhorse librarian. She loves her job – loves books – loves seeing those she visits on her route as they begin to read. Despite the color of her skin, her patrons love her right back. So, there is a feel-good quality here.That said, the book is about dire poverty and the illness it causes. It’s about having to live with injustice. It’s about rural Kentucky life, with its folk medicine and quaint rituals. And it’s about the ultimate triumph of good over evil … somewhat.I listened to THE BOOK WOMAN OF TROUBLESOME CREEK, and there were times when I felt a piece of dialogue dragged on. But the subject, the beauty of the prose, and the overall message won me over in the end.I did enjoy this book and do recommend it....more",Notes are private!,0,9,1,not set,not set,"Oct 01, 2019",,Paperback,view (with text),/book/show/40914165-the-book-woman-of-troublesome-creek
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Woman in the Room,"Benedict, Marie*",1492666866,9781492666868,1492666866,312        pp,3.85,"82,121","Jan 08, 2019","Jan 08, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Marie Benedict likens herself to an archaeologist digging up facts about women whose life achievements have been minimalized. Such is the case with THMarie Benedict likens herself to an archaeologist digging up facts about women whose life achievements have been minimalized. Such is the case with THE ONLY WOMAN IN THE ROOM.Here, she tells the story of Hedy Lamarr, an actress born in Austria, coming into her own through the turbulent 1930s and ’40s there, then the ’40s and ’50s in America. I grew up knowing her name, but I never knew that she was Jewish. Much of the world did not, and by design. At that time (sadly, now too, in some places), Jewish was a dangerous thing to be. Even in Hollywood, far from Hitler’s reach, Jewish actors, actresses, and directors who had fled their homelands for the safety of America were secretive about their roots.Hedy Lamarr’s heritage and the extent to which her family went to keep her safe is only half of the heart of this book. The other half is the role women were relegated to playing in those days – from the trophy wife who was expected to be silent and smile to the on-screen actress whose face and body mattered far more than her lines.But what about her mind? Hedy Lamarr was an inventor, creating not only torpedo-related technology that would eventually be adopted by the US Navy but also technology that would become the basis of cell phone mechanics.Did you know that? Nope. Me, neither. I only knew Hedy Lamarr as a beautiful face. Marie Benedict corrects that misperception in this book. She also makes Ms. Lamarr’s achievements personal, redemptive for someone who felt that she hadn’t done enough for the millions of Jews in Austria who died at Nazi hands.I wasn’t wild about the reader of the Audible version. She did multiple roles well, but was overly dramatic, I thought. Also, there was a bit more internal dialogue (as in CARNEGIE’S MAID) than I thought warranted.Still, the feminist in me gives this book a high rating....more",Notes are private!,0,7,1,not set,not set,"Oct 01, 2019",,Hardcover,view (with text),/book/show/39971465-the-only-woman-in-the-room
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Museum of Modern Love,"Rose, Heather*",1760291862,9781760291860,1760291862,296        pp,3.91,"10,235","Nov 27, 2018","Sep 01, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book, The Museum of Modern Love, is about art, contemporary life, and maybe about love, though not in the romantic sense. The main characters areThis book, The Museum of Modern Love, is about art, contemporary life, and maybe about love, though not in the romantic sense. The main characters are largely a cast of fictitious people whose lives intersect when they attend a non-fictitious exhibit of performance art at the Museum of Modern Art. This exhibit, called The Artist Is Present, actually happened in 2010, and the artist in question, Marina Abramovic, is quite real.Truly, the book – the exhibit – is about people communicating with each other in our increasingly-isolating world. The Artist is Present consists of the artist, Marina Abramovic, sitting in a chair facing an empty chair which is filled by one after another of the exhibit-goers, who wait in line for to take their turn to sit, and then hold the eye of the artist for as long as their own emotions can do it.What we see is wordless, soulful communication between two strangers. The book tells of the emotions of both the chair sitters and those who watch them sit.I have conflicted feelings about this book. The writing is exquisite, the subject matter beautiful but, occasionally, too dense to follow. It took me a long time to get the point of the whole thing. I only came to appreciate the story in the final pages of the book – more so, truly, when I was done, googled the artist, and listened to her voice tell the real-life purpose of the exhibit in question.If I had time, knowing what I know now, I would re-read this book. The fact that its point eluded me during much of the reading may have been a weakness of the author. Or a weakness of me. Or it may have been the fact that I listened to the audiobook.I suspect that this is a book better read than heard.The farther away I move from this book, the better I like it. My recommendation to you? Google the artist, Marina Abramovic, before you start reading. It’ll make the book far more meaningful....more",Notes are private!,0,1,1,not set,not set,"Oct 01, 2019",,Paperback,view (with text),/book/show/30741918-the-museum-of-modern-love
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under Currents,"Roberts, Nora*",1250207096,9781250207098,1250207096,448        pp,4.13,"40,272","Jul 09, 2019","Jul 09, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nora Roberts is a master. She knows her audience, and she writes for it well. She is an addict, a word she used, herself when we first met in 1981 at Nora Roberts is a master. She knows her audience, and she writes for it well. She is an addict, a word she used, herself when we first met in 1981 at the inaugural Romance Writers of America convention. And I believe it. She writes non-stop, multiple books a year, year after year after year. While I haven’t read her suspense or futuristic novels, I felt it was time to read her latest contemporary, UNDER CURRENTS.It’s a wonderful read, really two-books in one. Nora doesn’t skimp when it comes to giving her reader what she wants. The first part of UNDER CURRENTS is a heartrending tale that gives the background on one of the major characters. The second part introduces another character whose life will intersect with the first.UNDER CURRENTS is a love story – several, actually. But it’s also an exploration of domestic abuse, both perpetrators and victims. The theme isn’t new, but there is an emotional power here that some authors in other genres have missed.The book is long, but it held my attention throughout, or almost. There were slow moments, moments that were too sweet for me. There were also moments of bad-guy introspection that felt stereotypical, which leads to the only real problem I had with this book.There are many characters in this book, and they’re either very good or very bad. A little gray is more my cuppa. But then, Nora’s books sell way more copies than mine. So perhaps there’s a lesson here?Whatever, I do recommend UNDER CURRENTS. Kudos, Nora!...more",Notes are private!,0,18,1,not set,not set,"Oct 01, 2019",,Hardcover,view (with text),/book/show/42289976-under-currents
