,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Emma Deplores Goodreads Censorship's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Very Private School: A Memoir,"Spencer, Charles*",1668046385,9781668046388,1668046385,304        pp,4.27,451,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/176442861-a-very-private-school
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Witchcraft: A History in Thirteen Trials,"Gibson, Marion",1668002426,9781668002421,1668002426,320        pp,3.76,778,2023,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/176443387-witchcraft
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories of Katherine Anne Porter,"Porter, Katherine Anne",0156188767,9780156188760,,495        pp,3.97,"6,153",1965,"Sep 19, 1979",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/129671.The_Collected_Stories_of_Katherine_Anne_Porter
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Corn King and the Spring Queen,"Mitchison, Naomi",0939149990,9780939149995,0939149990,719        pp,3.78,224,1931,"Jul 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/827274.Corn_King_and_the_Spring_Queen
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Onyx Storm        (The Empyrean, #3)","Yarros, Rebecca*",1649374186,9781649374189,1649374186,unknown,4.39,354,"Jan 21, 2025","Jan 21, 2025",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/209439446-onyx-storm
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mongrel,"Footman, Hanako",1804440434,9781804440438,1804440434,352        pp,4.48,265,unknown,"Feb 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/122762546-mongrel
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shanghailanders,"Min, Juli*",1954118600,9781954118607,1954118600,288        pp,3.86,133,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/177772570-shanghailanders
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Abernathy You Are Kind,"McGhee, Molly*",1662602111,9781662602115,1662602111,296        pp,3.60,"1,385","Oct 10, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/123281229-jonathan-abernathy-you-are-kind
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",1635575567,9781635575569,1635575567,419        pp,4.20,"2,489,878","May 05, 2015","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/50659467-a-court-of-thorns-and-roses
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wolf in the Whale,"Brodsky, Jordanna Max*",0316417157,9780316417150,0316417157,544        pp,4.12,"4,759","Jan 29, 2019","Jan 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Paperback,view,/book/show/39603796-the-wolf-in-the-whale
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Infomocracy        (The Centenal Cycle, #1)","Older, Malka Ann*",0765385155,9780765385154,0765385155,380        pp,3.61,"6,583","Jun 07, 2016","Jun 07, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/26114433-infomocracy
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Looming Tower: Al-Qaeda and the Road to 9/11,"Wright, Lawrence*",037541486X,9780375414862,037541486X,469        pp,4.35,"32,612",2006,"Aug 08, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/110890.The_Looming_Tower
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lovely Creatures,"Bryski, KT*",,9798891160033,B0CYCNC5KF,0        pp,3.67,3,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/210122902-lovely-creatures
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cemetery of Untold Stories,"Alvarez, Julia*",1643753843,9781643753843,1643753843,256        pp,3.85,427,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/195820829-the-cemetery-of-untold-stories
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385550618,9780385550611,0385550618,352        pp,3.80,"2,139","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/193781998-the-husbands
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wives: A Memoir,"Gorrindo, Simone*",1982178493,9781982178499,1982178493,416        pp,4.26,240,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/176443920-the-wives
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Significant Others: Reimagining Life with Friendship at the Center,"Cohen, Rhaina*",1250280915,9781250280916,1250280915,320        pp,4.04,620,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/127305688-the-other-significant-others
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When the Tiger Came Down the Mountain        (The Singing Hills Cycle, #2)","Vo, Nghi*",1250786169,9781250786166,,128        pp,4.19,"14,773","Dec 08, 2020","Dec 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,ebook,view,/book/show/53265678-when-the-tiger-came-down-the-mountain
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World’s First Stock Exchange,"Petram, Lodewijk*",0231163789,9780231163781,0231163789,304        pp,4.06,99,"Oct 01, 2011","May 27, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/18847884-the-world-s-first-stock-exchange
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lesser Known Monsters of the 21st Century,"Fu, Kim*",1951142993,9781951142995,1951142993,232        pp,3.86,"6,793","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/58476152-lesser-known-monsters-of-the-21st-century
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Beauty in the World: The Metropolitan Museum of Art and Me,"Bringley, Patrick*",1982163305,9781982163303,1982163305,226        pp,4.09,"8,289","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/59366169-all-the-beauty-in-the-world
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Atlas,"Mitchell, David",0375507256,9780375507250,B00A2M3QD4,509        pp,4.01,"248,793",Mar 2004,"Aug 17, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/49628.Cloud_Atlas
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magic for Beginners,"Link, Kelly",0156031876,9780156031875,0156031876,297        pp,3.81,"9,758","Jul 01, 2005","Sep 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/66657.Magic_for_Beginners
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nabokov's Favorite Word Is Mauve: What the Numbers Reveal About the Classics, Bestsellers, and Our Own Writing","Blatt, Ben",1501105388,9781501105388,1501105388,271        pp,3.85,"1,952","Mar 14, 2017","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/30753786-nabokov-s-favorite-word-is-mauve
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gifts        (Annals of the Western Shore, #1)","Le Guin, Ursula K.",0152051244,9780152051242,0152051244,286        pp,3.76,"10,449","Sep 01, 2004","Apr 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/13648.Gifts
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Searoad,"Le Guin, Ursula K.",159030084X,9781590300848,159030084X,208        pp,3.75,"1,155",1991,"Jan 27, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/92616.Searoad
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pelican Girls,"Malye, Julia Sixtine Marie*",0063299755,9780063299757,0063299755,368        pp,3.46,258,"Jan 03, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/173955779-pelican-girls
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorrowland,"Solomon, Rivers*",0374266778,9780374266776,0374266778,355        pp,3.83,"12,388","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/48915089-sorrowland
