,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kim's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writing on Empty: A Guide to Finding Your Voice,"Goldberg, Natalie",1250342546,9781250342546,1250342546,176        pp,4.25,12,unknown,"Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/199674334-writing-on-empty
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cold Millions,"Walter, Jess",006286808X,9780062868084,006286808X,342        pp,3.96,"18,339","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2020",,Hardcover,view,/book/show/50358038-the-cold-millions
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rodham,"Sittenfeld, Curtis*",,,B08478DXS2,417        pp,3.83,"44,352","May 19, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2020",,Kindle Edition,view,/book/show/51011665-rodham
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chances Are...,"Russo, Richard*",1101947748,9781101947746,1101947748,320        pp,3.77,"20,345",2019,"Jul 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 10, 2019",,Hardcover,view,/book/show/44037144-chances-are
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"You Think It, I'll Say It","Sittenfeld, Curtis*",0399592865,9780399592867,0399592865,226        pp,3.65,"40,681","Feb 06, 2017","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2018",,Hardcover,view,/book/show/35952871-you-think-it-i-ll-say-it
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fourth Corner of the World,"Nadelson, Scott*",1938126939,9781938126932,1938126939,240        pp,3.90,10,unknown,"Feb 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2018",,Paperback,view,/book/show/34381250-the-fourth-corner-of-the-world
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sky in the Deep        (Sky and Sea, #1)","Young, Adrienne*",1250168457,9781250168450,1250168457,340        pp,3.94,"65,020","Apr 24, 2018","Apr 24, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 29, 2017",,Hardcover,view,/book/show/34726469-sky-in-the-deep
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Duke of Bannerman Prep,"Nelson, Katie*",151071040X,9781510710405,151071040X,312        pp,3.69,322,"May 09, 2017","May 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2017",,Hardcover,view,/book/show/31213230-the-duke-of-bannerman-prep
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Map for Wrecked Girls,"Taylor, Jessica*",0735228116,9780735228115,0735228116,368        pp,3.61,"2,436","Aug 15, 2017","Aug 15, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a steamy, sexy story of sisters wrecked on a desert island with a mysterious boy. Only, turns out, the island has nothing on how hard it is toThis is a steamy, sexy story of sisters wrecked on a desert island with a mysterious boy. Only, turns out, the island has nothing on how hard it is to understand and reconcile our deepest fears and regrets. The 16 year old girl in me just ate this up. ...more",Notes are private!,0,11,1,not set,not set,"Feb 05, 2017",,Hardcover,view (with text),/book/show/29359948-a-map-for-wrecked-girls
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summerlong,"Bakopoulos, Dean",0062321188,,,352        pp,3.39,"3,046","Jun 16, 2015","Jun 16, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bakopoulos infuses this gorgeously written and darkly hilarious novel with just the right amount of sadness, humor, wonder, restlessness -- the foundaBakopoulos infuses this gorgeously written and darkly hilarious novel with just the right amount of sadness, humor, wonder, restlessness -- the foundational emotions of midlife. There were so many lines in this novel that made me laugh out loud or nod in solidarity with these characters who, while so flawed, were real and funny and frustrating and I completely connected with them. As with both his other novels, Bakopoulos excels at exploring the humanity in the spaces of small lives and making these lives universal....more",Notes are private!,0,0,1,not set,not set,"Apr 25, 2015",,Hardcover,view (with text),/book/show/23213831-summerlong
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Longest Road: Overland in Search of America, from Key West to the Arctic Ocean","Caputo, Philip*",0805094466,9780805094466,0805094466,320        pp,3.62,"1,550","Jun 25, 2013","Jul 16, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2015",,Hardcover,view,/book/show/16044992-the-longest-road
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets She Keeps,"Caletti, Deb*",0345548108,9780345548108,0345548108,352        pp,3.25,774,"Jul 07, 2015","Jul 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2015",,Paperback,view,/book/show/22758459-the-secrets-she-keeps
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storied Life of A.J. Fikry,"Zevin, Gabrielle*",1616203218,9781616203214,1616203218,260        pp,4.03,"298,501","Apr 01, 2014","Apr 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Thank You Letter to Gabrielle:Thank you, Gabrielle, for writing this book. It filled me with joy and sadness and light and all the things a beautifuA Thank You Letter to Gabrielle:Thank you, Gabrielle, for writing this book. It filled me with joy and sadness and light and all the things a beautiful book can fill one with. Yes, ""We are what we love"" and yes, ""You tell a kid he doesn't like to read and he'll believe you"" (something that happens far too often and in multiple ways), Yes, we are our ""collected works"", and Yes, there are just no people quite like book people. And no place quite like a bookstore. You nailed it, gorgeous author.Mostly, thank you for reminding me why I love being a reader, a writer, a teacher of books. We need reminding, more now than maybe ever. This is a love letter to all of us book people. And to all of the people who grew us.Thank you....more",Notes are private!,0,2,1,not set,not set,"Apr 24, 2014",,Hardcover,view (with text),/book/show/18293427-the-storied-life-of-a-j-fikry
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shotgun Lovesongs,"Butler, Nickolas*",1250039819,9781250039811,1250039819,307        pp,3.79,"18,205","Mar 11, 2014","Mar 11, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Friendship, love, marriage, fame, the notion of what it means to be home --In this gorgeous atmospheric novel Butler writes with such clear eyes and wFriendship, love, marriage, fame, the notion of what it means to be home --In this gorgeous atmospheric novel Butler writes with such clear eyes and with such a big heart. This is a novel I will be recommending a lot this spring....more",Notes are private!,0,0,1,not set,not set,"Mar 23, 2014",,Hardcover,view (with text),/book/show/17934521-shotgun-lovesongs
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Criminal,"McVoy, Terra Elan*",1442421622,9781442421622,1442421622,288        pp,3.53,902,"Apr 08, 2013","May 07, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 26, 2014",,Hardcover,view,/book/show/16074719-criminal
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Live in Water,"Walter, Jess",0061926620,9780061926624,0061926620,179        pp,3.91,"6,282","Feb 12, 2013","Feb 12, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read a  somewhere that whereas his last novel was called Beautiful Ruins, this collection of short stories by Jess Walter should just be calleI read a  somewhere that whereas his last novel was called Beautiful Ruins, this collection of short stories by Jess Walter should just be called *Ruins* as it features so many rougher characters. I can see how one might say that, but what I loved most about this brilliant collection is that even as Jess Walter picks through some less desirable lives, he still manages in places to find shards of humanity and light. This author has a deep affection for people, flawed - yes, losers - often - but a deep understanding that sometimes humanity is only a small twitch in an otherwise difficult life; sometimes, as one of his stories showcases, it's the simple word *please*....more",Notes are private!,0,1,1,not set,not set,"Nov 24, 2013",,Paperback,view (with text),/book/show/15818259-we-live-in-water
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mr. Penumbra's 24-Hour Bookstore        (Mr. Penumbra's 24-Hour Bookstore, #1)","Sloan, Robin*",0374214913,9780374214913,0374214913,288        pp,3.73,"206,121","Sep 26, 2012","Oct 02, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought this book was a blast. It's like Nick Hornby, J.K. Rowling and the essence of The Never Ending Story got together, geeked out, and built a bI thought this book was a blast. It's like Nick Hornby, J.K. Rowling and the essence of The Never Ending Story got together, geeked out, and built a book. Robin Sloan writes with a blend of reverence for the past, for the enduring power of stories, and with a great affection for the future....more",Notes are private!,0,2,1,not set,not set,"Nov 24, 2013",,Hardcover,view (with text),/book/show/13538873-mr-penumbra-s-24-hour-bookstore
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Being Sloane Jacobs,"Morrill, Lauren*",0385741790,9780385741798,0385741790,352        pp,3.63,"4,267","Jan 07, 2014","Jan 07, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2013",,Hardcover,view,/book/show/16067180-being-sloane-jacobs
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meant to Be,"Morrill, Lauren*",0385741774,9780385741774,0385741774,292        pp,3.69,"16,584","Nov 13, 2012","Nov 13, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2013",,Hardcover,view,/book/show/11721314-meant-to-be
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sound of Letting Go,"Kehoe, Stasia Ward*",0670015539,9780670015535,0670015539,390        pp,3.71,"1,573","Feb 06, 2014","Feb 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2013",,Hardcover,view,/book/show/17987215-the-sound-of-letting-go
