,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tessa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Țara zăpezilor,"Kawabata, Yasunari",,9789735016470,,160        pp,3.59,"33,171",1948,2007,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,17,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/7713049-ara-z-pezilor
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cupa de cleştar,"Inoue, Yasushi",9736894002,9789736894008,9736894002,264        pp,4.16,37,2011,2011,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yasushi Inoue este un cunoscut autor japonez. Prolific, acesta a publicat nenumarate volume de poezii, nuvele, povestiri, eseuri, jurnale de calatorieYasushi Inoue este un cunoscut autor japonez. Prolific, acesta a publicat nenumarate volume de poezii, nuvele, povestiri, eseuri, jurnale de calatorie dar si patruzeci de romane. Mai multe dintre ele au fost si ecranizate cu succes. De la el am mai citit: ""Favorita"".Acest volum cuprinde 8 nuvele si povestiri in care se reflecta pasiunea autorului pentru istoria Asiei, precum si bogata sa experienta in acest domeniu dobandita in nenumaratele sale calatorii. In ceea ce urmeaza vom discuta despre ele mai pe larg:- Gisakuka no shogai - Viata unui falsificatorDin naratiunea la persoana I aflam ca in era Showa un ziarist este rugat de catre familia unui ilustru pictor, Keigaku Oonuki, sa-i scrie biografia. Dupa 10 ani acesta inca nu se achitase de aceasta sarcina insa descoperirile pe care le va face in timpul cercetarilor vor uimi familia. Ni se va dezvalui viata sordida a unui falsificator al picturilor lui Oonuki. Povestea are o nota de tristete si nostalgie, naratiunea este ampla, bogata, detaliata. - Togyu - Lupta cu tauriAceasta creatie a primit premiul Akutagawa in 1950 si prezinta perioada de dupa razboi din Japonia. Intr-un ziar din Osaka apare o stire care anunta ca va avea loc o mare lupta de tauri. Ziaristul Tsugami se avanta in aceasta afacere cu tauri alaturi de un ins cam alunecos si dubios Tashiro. Cititorul, alaturi de Tsugami asista neputincios la acest fiasco financiar ce duce spre ruina acestuia. Paralel ne este prezentata si degradarea relatiei amoroase cu amanta sa. Merita citita pentru invatamintele pe care le putem trage din ea.- Gyokuwanki - Cupa de clestarAceasta proza, ce da si numele colectiei, infatiseaza o poveste de dragoste din epoca Edo dintre imparatul Ankan si sotia sa, printesa Kasuga. Simbolul aceste iubiri este o cupa de clestar. Contine mai multe poezii suave, frumoase, elegante. - ObasuteAsa cum observam titlul face referire la Muntele Obasute dar termenul mai inseamna si ""abandonarea batranei"". Povestea aduce in discutie o legenda japoneza veche potrivit careia fiii isi carau parintii in spinare si ii abandonau pe acest munte. - Hira no Shakunage - Rododendronii din HiraEste o istorisire ampla ce il are in centru pe profesorul universitar Miike Shuntaro. Acesta este obsedat de cercetare si ajuns la varsta senectutii face o gramada de probleme familei disparand de acasa fara sa anunte. Avem niste descrieri superbe ale muntelui Hira.- Yuki - ViziuneaO povestire scurta din era Tensho ce il are ca protagonist pe comandantul Mitsuhide. Acestuia ii trece prin cap sa-si tradeze si sa-si ucida stapanul. Va fi oprit de niste strigoi ai unor vechi samurai.- Kita no Ekiji - Drumul cu statii din nordAceasta povestire evoca viata unui artist din perioada Edo care este autorul unei colectii de ilustratii din provincia Mutsu. Ofera niste lectii de viata pentru care merita citita.- Fudaraku Tokaiki - Traversarea spre FudarakuAceasta ultima povestire este cea a unui calugar, numit Shonin, din era Eroiku. Staretul Konko este pus in fata unei decizii vitale si anume traversarea spre Pamantul Pur de la Fudaraku (spatiu imaginar). Aceasta este aproape ca un mit si nu se stie daca cineva a ajuns vreodata acolo.In concluzie avem de-a face cu 8 povestiri variate din diferite perioade istorice ale Japoniei si aproape in fiecare evenimentele din trecut sunt puse in paralel cu situatii din prezent sau probleme contemporane. Este intr-adevar impresionant cum autorul reuseste sa imbine trecutul cu prezentul....more",Notes are private!,0,22,1,not set,"Apr 11, 2024","Apr 08, 2024",,Paperback,view (with text),/book/show/12058246-cupa-de-cle-tar
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manazuru,"Kawakami, Hiromi",2809701067,9782809701067,2809701067,230        pp,3.45,"1,656",2006,"Sep 16, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hiromi Kawatami este o autoare contemporana japoneza ce a debutat in 1994 cu ""Kamisama"". ""Manazuru"" a aparut in 2012 si este un roman al introspectieiHiromi Kawatami este o autoare contemporana japoneza ce a debutat in 1994 cu ""Kamisama"". ""Manazuru"" a aparut in 2012 si este un roman al introspectiei. Naratiunea este fragmentara si prezinta povestea lui Kei. Ea trecuse printr-o drama, sotul sau, Rei, disparand intr-o zi de acasa fara nicio urma. Dupa 12 ani ea pleaca subit lasandu-si mama, fetita si amantul, Seiji, luand trenul de la Tokyo spre un oras aflat la malul marii, Manazuru:""Am indurat singuratatea cat de bine am putut si apoi, neputand sa o mai suport, am coborat din tren. Statia in care m-am dat jos era Manazuru.""Acolo se va caza la o cabana si va incepe sa disece trecutul intorcandu-l pe toate partile. Acest lucru este extrem de greu dar si oarecum masochist, ea sfasiindu-se psihic in incercarea de a exorciza demonii trecutului.Manazuru reprezinta un laitmotiv pentru declansarea gandurilor, al introspectiei, a meditatiei asupra disparitia sotului. Practic devine un simbol pentru incercarea de a se regasi si de a accepta trecutul.Protagonista este extrem de paranoica si nesigura, de multe ori parandu-i-se ca cineva o urmareste, de exemplu in tren, insa nu e nimeni acolo:""Nu era nimeni acolo, nici macar o umbra.""Apoi, ajunsa la mare, pe promontoriu, i se pare ca o urmareste ""ceva"":""Din nou, ceva ma urmarea. De data asta era o femeie. Nu spusesem nimanui despre lucrurile acelea care ma urmareau.""Acest incident se repeta si la un magazin, unde i se pare ca e urmarita de ""lucruri"":""In magazin erau mereu estompate. Imposibil de numarat, mereu se risipeau ca o ceata si mai apoi reveneau, urmarindu-ma si disparand. Erau prea cetoase ca sa-mi dau seama daca erau femei sau barbati.""Evenimentele se repeta de foarte multe ori de-a lungul cartii. Mi s-a parut interesant acest element fantastic, straniu, specific operelor japoneze (Murakami) si am fost curioasa sa aflu ce o urmareste si ce se doreste de la ea. Am intuit ca ar fi fantome, spirite ratacite care se agata de durerea ei si pe care le poate vedea doar ea. Aceasta abordare ar fi fost punctul de atractie al cartii si ar fi dus-o intr-o zona de mister sau soft-horror. Am continuat asadar sa citesc pana la capat insa felul in care s-au desfasurat lucrurile nu a fost in aceasta directie. Ramane asadar o carte a introspectiei, a meditatiei asupra trecutului si a felului in care cineva pur si simplu face fata unei drame.P.S. M-a amuzat ca pe tot parcursul cartii, in loc de Manazuru eu i-am zis Pazuzu (Exorcistul)....more",Notes are private!,0,29,1,not set,"Apr 09, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/7825323-manazuru
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gunoaiele razboiului,"Jin, Ha",,9789734606184,,510        pp,3.80,"4,005","Jan 01, 2004",2007,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Autorul s-a nascut in China, si-a facut doctoratul in SUA, debutand cu un volum de poezii, ""Intre taceri"", in 1990. Are numeroase creatii pentru care Autorul s-a nascut in China, si-a facut doctoratul in SUA, debutand cu un volum de poezii, ""Intre taceri"", in 1990. Are numeroase creatii pentru care a primit prestigioase premii, cum ar fi National Book Award sau PEN/Faulkner Award.""War trash"" a aparut in 2004 si a fost nominalizata la premiul Pulitzer. Naratiunea la persoana intai se face din perspectiva unui soldat ce ajunge prizonier de lagar in timpul razboiului din Coreea. Povestea porneste din 1949 cand regimul comunist vine la putere in China, dupa cel nationalist al lui Kai-Shek. Pe atunci Yu Yuan era student la academia militara, ca mai apoi, in 1951, divizia sa sa participe la razboiul din Coreea, el luandu-si adio de la mama sa si proaspata logodnica. Dupa 3 luni de lupte de gherila, foamete crancena si cu efectivul decimat este capturat de catre fortele armate americane. Deoarece stia limba engleza va deveni interpret in lagarul de prizonieri.Cartea este plina de descrieri amanuntite realiste, date istorice dar si de detalii pe care numai un participant la un asemenea eveniment le putea cunoaste. Sunt teribile, atroce, dureroase si revoltatoare pentru cititor:""Am schiopatat in urma lor; inima mi-era stransa de teama, o simteam grea, parca era plina cu plumb. Nici nu-mi inchipuisem ca razboiul poate fi atat de haotic, de dur.""""Erau vreo 300 de barbati in vale, majoritatea raniti de artilerie, unii arsi de napalm, altii otraviti de ierburi si ciuperci, cu buzele vinete si fetele umflate. Cu cateva saptamani in urma, fusesera cu totii barbati puternici, mandri de tineretea si vitalitatea lor; acum erau demni de mila, ca o adunatura de leprosi. Pe moment am fost atat de ingrozit, ca n-am mai avut cuvinte.""Ororile razboiului sunt greu de digerat si ne dam seama ca multe, ridicol de multe vieti s-au pierdut din lipsa de tactica sau proasta gestionare a comandantilor. Iar lucrul acesta te infurie ca cititor. Este extrem de trist ca ranitii, nebunii, ciungii, prizonierii, toti sunt ramasite ale razboiului, sau, asa cum brutal se exprima autorul, ""gunoaiele"" razboiului, pe care nu le mai vrea nimeni.Totusi, in toata aceasta experienta infernala, eroul nostru intalneste si prieteni, oameni curajosi, doctori care-si fac meseria cu profesionalism si chiar si ofiteri sau comandanti omenosi. Iar, cu cat citesti mai mult, ajungi la un singur gand: razboiul trebuie sa inceteze, suntem prea avansati ca umanitate ca sa continuam cu asa ceva.Inchei cu vorbele de la pagina 86 ale unei doctorite chirurg din America:""Privind un barbat caruia ii fusese amputat un brat, adauga: Sper ca acesta va fi ultimul razboi al omenirii""....more",Notes are private!,0,31,1,not set,"Apr 07, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/32335463-gunoaiele-razboiului
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În slujba poporului,Yan Lianke,9789736819,,,228        pp,3.53,"1,358",2005,2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yan Lianke a debutat in 1978 si are nenumarate romane printre care: ""Xia Ri Luo"", ""Jianying Ru Shui"", ""Shouhuo"" etc. Multre dintre acestea sunt interzYan Lianke a debutat in 1978 si are nenumarate romane printre care: ""Xia Ri Luo"", ""Jianying Ru Shui"", ""Shouhuo"" etc. Multre dintre acestea sunt interzise de cenzura din China din cauza onestitatii si tonului critico-satiric al autoarei.""Wei Renmin Fuwu"" a aparut in 2005 si a fost interzisa in China pe motiv ca ""este insultatoare la adresa lui Mao Zedong si a armatei si la limita pornografiei"". Titlul duce la o lozinca celebra din perioada presedintelui Mao: ""In slujba poporului"".Il cunoastem pe Wu Dawang, ordonanta si bucatarul unui comandant din Armata Populara de Eliberare, fiind un ostas model. Comandantul are o sotie extrem de frumoasa, cu 20 de ani mai tanara ca el, pe numele ei Liu Lian. Aceasta ""floare gingasa"" pune ochii pe bucatar si nu se lasa pana nu-l seduce:""... ea se uita la picaturile de sudoare ce se adunau pe tamplele lui cu concentrarea unui bijutier care pune sub lupa un diamant sau un agat si ca ii admira pielea bronzata a gatului si umerilor ca pe o bucata nepretuita de jad"".Intr-o zi ea ii spune lui Wu ca de cate ori va muta tablita cu lozinca ""In slujba poporului"" el va trebui sa urce la ea in camera de la etaj. Acolo il asteapta in camasa de noapte si un ventilator care ii tot flutura rochia lasand la vedere tot ce trebuie. Este lesne de imaginat astfel ce urmeaza...Avem de-a face cu o satira a perioadei maoiste, cu tot ceea ce acest regim a presupus, unde insasi lozinca presedintelui devine un simbol pentru adulter si desfrau. Este asadar si o carte erotica in care, pe masura ce relatia dintre cei doi avanseaza, sunt batjocorite rand pe rand toate simbolurile comunismului. Mi-a placut foarte mult sfarsitul, motiv pentru care am si acordat 4 stele. As incheia cu un fel de motivare a autoarei:""Multe dintre adevarurile vietii pot fi transmise doar prin mijloacele fictiunii"".Este o situatie trista cand pana si fictiunea este cenzurata iar exprimarea nu este libera, autorii fiind interzisi chiar in propria lor tara....more",Notes are private!,0,29,1,not set,"Apr 04, 2024","Apr 02, 2024",,Paperback,view (with text),/book/show/10962760-n-slujba-poporului
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pontiful,"Stahl, Henriette Yvonne",,,,261        pp,3.64,22,"Jan 01, 1972",1972,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Pontiful"" a aparut in 1972 si face parte dintr-un triptic romanesc alaturi de ""Intre zi si noapte"" si ""Drum de foc"". Toate trei o au ca protagonista ""Pontiful"" a aparut in 1972 si face parte dintr-un triptic romanesc alaturi de ""Intre zi si noapte"" si ""Drum de foc"". Toate trei o au ca protagonista pe Ana Stavri.Naratiunea se face la persoana intai, cititorii afland nemijlocit toate gandurile, trairile si zbuciumul interior al unei iubiri neimpartasite.Povestea este sentimentalista - Ana o femeie intre doua varste, scriitoare, cade sub fascinatia unui medic ce pretinde ca ar avea puteri supranaturale. Ara Surenian facea pe viu demonstratii de parapsihologie, telepatie, hipnoza etc. Ea se indragosteste de el la prima vedere si il porecleste ""Pontiful"". Barbatul insa nu simte nimic pentru ea.Dragostea protagonistei pentru doctor devine obsesiva. Dincolo de timp si de alte vieti:""Cand l-am vazut, l-am recunoscut imediat, dar fara a-mi putea aminti unde si cand l-am mai intalnit...""Ana crede ca cei doi sunt suflete pereche, suflete calatoare. Faptul ca el e expert in fenomene oculte si misterul ce insoteste aceasta indeletnicire o atrage iremediabil. Ana spune ca inainte de aparitia acestui barbat ea era ""neutra"":""Nu eram nici indragostita, nici geloasa, nici saraca, nici bogata, nici vesela, nici trista, nici vie, nici moarta.""Ara si magnestismul sau o trezesc din aceasta stare de indisponibilitate sentimentala si asta va fi fatal pentru protagonista.Am considerat ca doctorul e ciudat. Nici macar nu se uita la ea cand Ana ii vorbeste, insa ea e atat de insistenta incat pana la urma el se complace cu situatia, mai ales ca cei doi ajung si in pat. Omul e pur si simplu asaltat de ea si pana la urma cedeaza. Urmeaza o lunga tanguire despre aceasta iubire, pe care ea o simte la modul spiritual, mental si iluzional. Iar daca va plac asemenea carti cu o analiza interioara atat de profunda si intensa atunci acesta opera va este potrivita. Altfel, drama o sa va enerveze sau o sa va plictiseasca, o sa va irite sau chiar o sa va adoarma precum un somnifer.La un moment dat este cat se poate de evident ca aceasta iubire nu e realizabila neavand nicio structura solida. Pana la urma, concluzia o trage prietena Anei, Marta:""Sa vedem daca rezista la atata fantezie."" - n-a rezistat....more",Notes are private!,0,41,1,not set,"Apr 02, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/25881744-pontiful
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tarmul Syrtelor,"Gracq, Julien",9731240950,9789731240954,9731240950,320        pp,4.01,"1,313",1951,Nov 2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"O carte superba! Autorului i-a fost decernat in 1951 prestigiosul premiu Goncourt insa acesta l-a refuzat motivand ca un scriitor nu trebuie sa intre O carte superba! Autorului i-a fost decernat in 1951 prestigiosul premiu Goncourt insa acesta l-a refuzat motivand ca un scriitor nu trebuie sa intre in vreo competitie de orice fel.""Le rivages des Syrtes"" este cel de-al treilea roman al lui Julien Gracq fiind si cel mai cunoscut si apreciat de catre critici.Autorul mai este celebru si pentru notele sale de calatorie iar talentul sau de a evidentia frumusetea naturii si a specificului francez se poate observa si in lucrarea de fata. Creatia sa are un lustru nobil si sofisticat cum rar am mai intalnit.Din naratiunea la persoana intai aflam ca tanarul aristocrat Aldo, descendent al unei vechi familii din Orsenna (regiune imaginara) duce o viata de huzur pana cand isi da seama de desertaciunea acesteia si decide sa calatoreasca obtinand o slujba intr-o provincie indepartata. Asa ajunge pe taramul Syrtelor. Acesta este un loc steril, nisipos, aspru, muntos si salbatic, un fel de Purgatoriu.Aldo va fi insarcinat sa supravegheze navele din flota Syrtelor. Care va fi soarta lui ramane sa aflati din carte.Intreg textul este ca o coada de paun. Acel evantai superb colorat, elegant, majestuos, etalat in toata superbitatea sa. Are toate culorile, tot sideful, dar nu numai, are si un soi de tensiune si mister indelung pregatite. Totul se misca cu incetinitorul iar noi cititorii primim doar mici mostre de informatie si mereu ne intrebam ce se intampla, ce urmeaza, ce nu este in regula pe acel taram.In ciuda multitudinii figurilor de stil frumoase ramane un text masculin, robust, bine lucrat, fara afectare, realist, insa cu un aer ce duce spre romantism. Imi place foarte mult aceasta combinatie. Insa ce-mi place si mai mult este faptul ca este dark:""respiratii tainice in intuneric"", ""sangelui sau putrezit"", ""cimitirul acesta de ape moarte"", ""groapa deschisa"", ""necropola"", ""camera mortuara"", ""opacitate funebra"", ""soare negru"". Cum sa nu-ti placa un asemenea text?...Las in incheiere cateva exemple care sa reflecte rafinamentul frantuzesc si frumusetea somptuoasa a textului:""Din toate campiile acestea napadite de belsugul toamnei, splendoarea matura si bogatia Orsennei iti napadeau inima; deasupra noastra, racoarea se scurgea agale de pe crengi diluandu-se ca o mireasma in aerul straveziu, mari paienjenisuri de soare se filtrau pana la drum. O plentitudine calma, o intampinare de tinerete pura se inalta din limpezimea profunda a diminetii. Sorbeam ca pe un vin rosu goana aceasta lina peste campii fara zare, dar imi umplea inima nu atat viitorul larg deschis, cat mai ales persistenta in jurul meu a unei prezente sigure si familiare, desi condamnata inca de pe acum: despartindu-ma cu toata viteza de orasul meu, respiram din plin Orsenna.""""Blocul urias al fortaretei se inalta in fata mea prin landa si mai impresionant in negrul aproape opac al iluziei pe care mi-o dadea, chiar in mijlocul beznei, ca arunca umbra, ca transmite taberei acesteia de somn pulsatia slaba si abia perceptibila a unei inimi a intunericului batand greoi, puternic, in spatele noptii.""""O apropiere amenintatoare parea ca pandeste pe dupa intunericul urzit anume, in maldarul acesta de vene legate in jurul unei inimi negre.""""In dezordinea prafuita a incaperii, pielea de aceeasi culoare, foarte pala, a bratelor si a bustului ei sugera privirii o materie nespus de pretioasa, radianta, ca rochia alba a unei femei in noaptea unei gradini.""...more",Notes are private!,0,30,1,not set,"Mar 31, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/9129576-tarmul-syrtelor
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carmen,"Mérimée, Prosper",2011552354,9782011552358,2011552354,64        pp,3.56,"6,531",1845,"Jan 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,28,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/193856.Carmen
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ultima arma,"Le Roy, Philip",6068255085,9786068255088,6068255085,0        pp,3.50,2,unknown,"Jan 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Philip Le Roy este un scriitor francez de thrillere, carti de actiune si de mister. Are si un erou demn de Hollywood - Nathan Love. Este aproape la fePhilip Le Roy este un scriitor francez de thrillere, carti de actiune si de mister. Are si un erou demn de Hollywood - Nathan Love. Este aproape la fel de stralucitor ca Jack Reacher, Ethan Hunt, Jason Bourne etc. Iar seria cu el este demna de urmarit: ""Le dernier Testament"", ""La legione delle bambole"", ""Le derniere frontiere"".""La derniere arme"" a aparut in 2008 si ne propune o enigma foarte incalcita: 6 femei frumoase si inteligente, ce se afla in pozitii cheie din diferite state dispar misterios si fara urma. Politia e disperata, serviciile cauta in zadar, presedintii ameninta, pistele sunt epuizate, insa fetele nu sunt de gasit. Si atunci cineva isi aduce aminte de eficienta lui Nathan Love. Acesta era retras pe o insula exotica unde practica yoga si relaxarea atunci cand e chemat sa rezolve cazurile. Si va avea mult de umblat: Paris, Washington, Tokyo, China, Moscova si New York.Cartea are un ritm nebun, actiunea curge in continuu avand multe rasturnari de situatie si puncte culminante. Scenele de bataie sunt si ele variate - ba Nathan imparte pumni, ba adversarii sunt in avantaj si asta e bine pentru ca ii da credibilitate eroului, e sifonabil.Cel mai mult mi-au placut descrierile oraselor si faptul ca aflam o gramada de informatii si detalii interesante despre foarte multe lucruri ce tin de ancheta dar si de cultura acestor tari. Urmarirea de pe strazile din Tokyo si multitudinea de cuvinte japoneze pe care le-am invatat au constituit pentru mine deliciul cartii. In ceea ce-l priveste pe Nathan Love, acesta nu e genul meu, fiind prea ""boho"". Prefer genul de eroi mai stilati precum Bond sau Reacher. Asta insa e un lucru bun deoarece m-am concentrat numai pe actiune nefiind distrasa de erou.Desigur ca acest ""tango"" nesfarsit de du-te-vino in toate colturile pamantului si luptat cu toata lumea poate deveni obositor pentru unii cititori pe care posibil sa ii lase pur si simplu bateria. Insa este indubitabil un thriller bun si merita citit, mai ales pentru personaje, acestea nefiind deloc comune sau plictisitoare....more",Notes are private!,0,39,1,not set,"Mar 28, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/94685059-ultima-arma
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Misterioasa disparitie a tinerei Marchize de Loria,"Donoso, José",9737071778,9789737071774,9737071778,142        pp,3.40,232,unknown,2008,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nu de mult am vazut un film horror argentinian in care oamenii erau posedati, devenind un fel de zombie si in care la fiecare a doua propozitie se auzNu de mult am vazut un film horror argentinian in care oamenii erau posedati, devenind un fel de zombie si in care la fiecare a doua propozitie se auzea cuvantul ""viciado"". Acesta s-ar traduce prin: stricat, statut, putrezit, corupt. Ei bine, cartea de fata si personajele din ea sunt clar 'viciado'.Desigur ne putem intreba cum ajunge cineva sa citeasca o asemenea opera, insa coperta, descrierea si titlul duceau cu gandul spre o poveste de epoca ce ar fi continut probabil niste descrieri erotice cel mult inofensive. Nimic mai departe de adevar.Cartea a aparut in 1997 si este o nuvela erotica. Frumoasa Blanca de 19 ani il seduce la un bal pe marchizul de Loria. Curand cei doi se casatoresc insa tanara descopera ca sotul ei este impotent. Dupa o casnicie de numai 5 luni Blanca se trezeste vaduva caci sotul ei moare de difterie. Libera, tanara si bogata se napusteste sa guste din placerile vietii.Ca aspect pozitiv pot sa mentionez ca textul nu contine limbaj licentios, totul este destul de voalat, discret si putin carnal. Exista o scena intr-o loja a operei in care viitorul sot o pipaie pe sub rochie iar ea se joaca intr-un mod sugestiv cu programul rulat ca un tub. Observam ca lucrurile porneau destul de bine cu sotul impotent desi e greu de imaginat ca cineva se poate excita pe Lohengrinul lui Wagner.Trecand la motivul pentru care am acordat o singura stea, trebuie sa subliniez ca si in cazul acestui roman partea erotica este cea care scartaie cel mai mult. Tanara Blanca porneste in aceasta aventura cu sotul impotent care moare rapid (asta n-ar fi un ghinion prea mare caci i-a lasat foarte multa avere). Apoi a doua experienta amoroasa o are cu un domn care face infarct in bratele sale in timpul actului. Urmeaza un pictor cam imberb iar spre final aproape ca are o aventura in trei cu... soacra ei si prietena acesteia. Da ati citit bine, cu soacra. Si ca si cum asta n-ar fi fost de ajuns in palmaresul ei intra si un... caine cu care are de 2 ori o 'interactiune'. Da, ati citit bine, un caine.Nu stiu asadar cati pot digera o asemenea poveste, mai ales ca apar si alte lucruri dezgustatoare si respingatoare intr-un text de doar 150 de pagini. Ma tem ca nu o pot recomanda nimanui, neoferind nimic calitativ nici ca poveste, nici ca erotism. In niciun caz nu poate fi luata in serios ramanand pentru mine doar cu titulatura de 'viciado'....more",Notes are private!,0,24,1,not set,"Mar 21, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/10365087-misterioasa-disparitie-a-tinerei-marchize-de-loria
