,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Connie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Son's Veto,"Hardy, Thomas",1484199057,9781484199053,1484199057,26        pp,3.42,113,"Jan 01, 1894","Apr 23, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/21377151-the-son-s-veto
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glimpses of the Moon,"Wharton, Edith",0451526686,9780451526687,0451526686,272        pp,3.86,"4,091",1922,"Sep 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Mass Market Paperback,view,/book/show/344230.The_Glimpses_of_the_Moon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wealth of Shadows,"Moore, Graham*",0593731921,9780593731925,0593731921,384        pp,4.15,34,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/197516645-the-wealth-of-shadows
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady into Fox,"Garnett, David",0486493199,9780486493190,0486493199,96        pp,3.65,"2,120",1922,"Dec 18, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Lady Into Fox"" is a novella about a woman who undergoes an instant metamorphosis into a fox while she was walking with her husband. Richard Tebrick a""Lady Into Fox"" is a novella about a woman who undergoes an instant metamorphosis into a fox while she was walking with her husband. Richard Tebrick and Sylvia Fox Tebrick were newlyweds in love when this supernatural event occurred. To protect the transformed Sylvia from unwanted gossip, Richard fired the staff at his manor house. At first, Sylvia retained some of her human qualities wanting to dress up, play cards, and listen to music. But she became more and more foxlike, running after ducks and wanting to go out into the wild. Richard still loved his vixen wife. He wanted to protect her from the fox hunters in 1880s England, but she resented his control when she wanted her freedom. To find out more about what happened to Sylvia, the book can be read on Project Gutenberg.I enjoyed reading ""Lady Into Fox,"" and felt that it could be looked at in several different ways. The story has beautiful themes of loyalty, love, and marriage. There is also the issue of control of one's life, and a woman's desire for freedom since Sylvia wants her freedom when she became more foxlike. It was written in 1922 around the time of the fight for women's rights.Sylvia loved both her husband and her fox family, and Richard loved her in all her forms. This may be influenced by the author's own life. David Garnett was married to artist Rachel Garnett who did the beautiful woodcut illustrations for the book. But he was bisexual and was part of the Bloomsbury Group who often had open relationships.It's also interesting to compare the story to Kafka's ""The Metamorphosis"" whose family had a different reaction to Gregor's change into a new form. Is ""Lady Into Fox"" a horror story like Kafka's, an allegorical fantasy about love, or a reflection on the social climate at the time when it was written? It was a delightful story from any of these views. I read this with The Short Story Club from the collection ""Black Water: The Book of Fantastic Literature.""...more",Notes are private!,4,21,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/17885612-lady-into-fox
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glassmaker,"Chevalier, Tracy*",0525558276,9780525558279,0525558276,416        pp,4.16,32,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/202167720-the-glassmaker
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of the Party,"Greene, Graham",,,,6        pp,3.79,694,1929,1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""I'm afraid of going. I won't go. I daren't go. They'll make me hide in the dark, and I'm afraid of the dark. I'll scream and scream and scream.""Young""I'm afraid of going. I won't go. I daren't go. They'll make me hide in the dark, and I'm afraid of the dark. I'll scream and scream and scream.""Young Francis Morton was thinking of what he would have liked to say to his mother as he left for a neighbor's birthday party. Francis was the quiet, introverted brother of his more confident, extroverted twin, Peter. Francis did not enjoy playing party games, and he was terrified of playing hide and seek in the dark. He feels pressured by both the insensitive adults and the teasing children into participating in the game. Since Peter has a strong connection to his twin, he tries to help Francis in the dark house.The ending of the game is shocking.Thanks to Nika for the recommendation. This short story is online on the classicshorts site....more",Notes are private!,2,15,1,"Mar 26, 2024","Mar 26, 2024","Mar 25, 2024",,Hardcover,view (with text),/book/show/13369893-the-end-of-the-party
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter's Tales,"Dinesen, Isak",0679743340,9780679743347,0679743340,313        pp,3.87,"2,378",1942,"Jun 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/12969.Winter_s_Tales
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rednecks,"Brown, Taylor*",1250329337,9781250329332,1250329337,320        pp,4.25,122,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/195790759-rednecks
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mary Barton,"Gaskell, Elizabeth",014043464X,9780140434644,014043464X,417        pp,3.74,"20,009",1848,"Oct 31, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/18622326-mary-barton
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Village Coquettes: An Operatic Burletta in Two Acts,"Dickens, Charles",,,,18        pp,2.76,21,unknown,1883,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""The Village Coquettes"" is a sentimental and comic operetta written by Charles Dickens with music composed by John Hullah. The two-act play is set in ""The Village Coquettes"" is a sentimental and comic operetta written by Charles Dickens with music composed by John Hullah. The two-act play is set in an English farming village. There are love triangles in this light play, and themes of class differences and honor.The play opened in December 1836 for a run of twenty-seven performances at the St James's Theatre in London with a cast of professional singers. The music was lost in a fire so it's difficult to evaluate the play now. Dickens' real genius shines in his novels, but he had a lifelong love of acting. ""The Village Coquettes"" is rarely read now, but his plays do show another side of the author who also loved the theatre. 2.5-3 stars, rounded up....more",Notes are private!,2,18,1,"Apr 02, 2024","Apr 09, 2024","Mar 22, 2024",,Paperback,view (with text),/book/show/51792947-the-village-coquettes
