,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Adam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Victoria Winters        (Dark Shadows, #2)","Ross, Marilyn",,,,160        pp,3.78,280,Mar 1967,Mar 1967,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 13, 2017","May 22, 2017",,Paperback,view,/book/show/4773074-victoria-winters
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Shadows        (Dark Shadows, #1)","Ross, Marilyn",,,,159        pp,3.79,514,Dec 1966,Dec 1966,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was the first Dark Shadows tie-in novel written by Dan Ross under the pen name ""Marilyn Ross"" (his wife's name was Marilyn).In addition to being This was the first Dark Shadows tie-in novel written by Dan Ross under the pen name ""Marilyn Ross"" (his wife's name was Marilyn).In addition to being an actor and a playwright, Ross wrote approximately 300 novels, and may be the most prolific Canadian author of all time. He churned out multiple series under different pen names in a variety of genres, including Gothic romances with titles like ""Haunting of Fog Island,"" ""Beware My Love!,"" and ""Secret of the Pale Lover,"" so he was a natural to write a series of tie-ins with ABC's Gothic daytime soap opera, Dark Shadows.This novel follows the framework established by the first six months or so of Dark Shadows, in which Victoria Winters leaves the foundling home in New York where she grew up to work as a governess in the remote mansion Collinwood (called ""Collins House"" in the novel). The members of the Collins clan are the same in the novel as the TV series, except for one major addition -- a violinist cousin named Ernest. (Remember, this was before the most famous Collins became a part of the series, the vampire Barnabas Collins.)Unless you love cheapjack Gothic romances, there's probably no reason to read this novel unless you're a Dark Shadows fan. If you are a Dark Shadows fan, it's a quick, entertaining read. ...more",Notes are private!,0,8,1,not set,"Dec 11, 2016","Dec 11, 2016",,Paperback,view (with text),/book/show/18593202-dark-shadows
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Train to Memphis: The Rise of Elvis Presley,"Guralnick, Peter",0316332259,9780316332255,0316332259,560        pp,4.16,"9,322","Mar 01, 1994","Sep 01, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 23, 2016","Nov 23, 2016",,Hardcover,view,/book/show/712665.Last_Train_to_Memphis
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scarf,"Bloch, Robert",,,,160        pp,3.76,133,1947,1966,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,"Oct 16, 2016","Nov 23, 2016",,Paperback,view,/book/show/5668416-the-scarf
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Places,"Flynn, Gillian*",0307341569,9780307341563,0307341569,424        pp,3.95,"751,209",2009,"May 05, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,"Dec 30, 2015","Jan 02, 2016",,Hardcover,view,/book/show/5886881-dark-places
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gorky Park        (Arkady Renko, #1)","Smith, Martin Cruz",0394517482,9780394517483,0394517482,365        pp,4.04,"67,582",1981,"Feb 12, 1981",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2015",not set,"Nov 27, 2015",,Hardcover,view,/book/show/1360945.Gorky_Park
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharp Objects,"Flynn, Gillian*",,,,254        pp,4.02,"1,040,800","Sep 26, 2006","Jul 31, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 23, 2015","Nov 27, 2015",,Paperback,view,/book/show/18045891-sharp-objects
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Parade's Gone By...,"Brownlow, Kevin",0520030680,9780520030688,0520030680,608        pp,4.38,711,1968,"Jun 23, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 26, 2015",not set,"Aug 26, 2015",,Paperback,view,/book/show/931166.The_Parade_s_Gone_By_
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Cronenberg's A History of Violence,"Beaty, Bart",0802099327,9780802099327,0802099327,112        pp,3.56,18,2008,"Oct 15, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2015","Apr 10, 2015","Mar 31, 2015",,Hardcover,view,/book/show/7531944-david-cronenberg-s-a-history-of-violence
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Not My Hat,"Klassen, Jon",0763655996,9780763655990,0763655996,40        pp,4.22,"24,333","Oct 09, 2012","Oct 09, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Surprisingly, this children's book is one of the best and most haunting noirs I have read in a long time.A small-time thief, a little fish who has stoSurprisingly, this children's book is one of the best and most haunting noirs I have read in a long time.A small-time thief, a little fish who has stolen a tiny hat from a big fish, swims away as the hand of inexorable fate moves closer and closer. The little fish anxiously engages in a chatty internal monologue, nervously telling itself that it will get away with this crime, that the big fish won't wake up anytime soon (as we see the big fish's eyes open), that the big fish won't notice its hat is missing for awhile (as we see the big fish's eyes look up to its head), and so on.If you've ever seen a film noir in which a small-time sad sack tries to get away with murder and/or a large sum of money while fate and big-time criminals or the unstoppable forces of the law conspire to take down the sad sack, you'll recognize all of those elements in this book. You may or may not find the ending ambiguous. You may or may not find it chilling. I thought it was brilliant....more",Notes are private!,0,1,1,not set,"Mar 15, 2015","Mar 16, 2015",,Hardcover,view (with text),/book/show/13531024-this-is-not-my-hat
