,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ayelet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drowning Ruth,"Schwarz, Christina*",0345439104,9780345439109,0345439104,368        pp,3.75,"83,248",2000,"Jul 31, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a lovely, sad, depressing book. The mystery was pretty obvious, but I didn't care. It was beautifully written, and a perfect post-partum book, ifWhat a lovely, sad, depressing book. The mystery was pretty obvious, but I didn't care. It was beautifully written, and a perfect post-partum book, if tragedy is your thing. I'm always drawn to misery when I've just had a baby.Merged :What a lovely, sad, depressing book. The mystery was pretty obvious, but I didn't care. It was beautifully written, and a perfect post-partum book, if tragedy is your thing. I'm always drawn to misery when I've just had a baby....more",Notes are private!,2,0,2,not setnot set,Nov 2001not set,"Sep 26, 2023",,Paperback,view (with text),/book/show/5171.Drowning_Ruth
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love and Trouble: A Midlife Reckoning,"Dederer, Claire",1101946504,9781101946503,1101946504,256        pp,3.54,"2,310","May 09, 2017","May 09, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It’s really peculiar and unsettling how similar parts of her life history are to my own.,Notes are private!,0,2,1,not set,not set,"May 08, 2018",,Hardcover,view (with text),/book/show/31626665-love-and-trouble
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,News of the World,"Jiles, Paulette*",0062409204,9780062409201,0062409204,209        pp,4.08,"105,402","Oct 04, 2016","Oct 04, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another Western, this one equally remarkable. Who knew there would be so many Westerns in the Zeitgeist right now.",Notes are private!,0,4,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/25817493-news-of-the-world
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moving Kings,"Cohen, Joshua",0399590196,9780399590191,B01M64VAFR,288        pp,3.19,841,"Jul 11, 2017","Jul 11, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had a boyfriend who worked for Moishe’s Moving in New York City for years, so this book is really close to my heart.",Notes are private!,0,1,1,not set,not set,"Apr 17, 2018",,Kindle Edition,view (with text),/book/show/33635186-moving-kings
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Recovering: Intoxication and Its Aftermath,"Jamison, Leslie*",0316259616,9780316259613,0316259616,534        pp,4.00,"6,150","Apr 03, 2018","Apr 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Jameson is really one of the finest essayists writing in America today.,Notes are private!,0,1,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/35959632-the-recovering
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From Broken Glass: My Story of Finding Hope in Hitler's Death Camps to Inspire a New Generation,"Ross, Steve",0316513040,9780316513043,0316513040,288        pp,4.60,"1,153","May 15, 2018","May 15, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don’t understand how this man managed to bring so much joy and optimism to his life after experiencing what he did in the Holocaust. To say he is anI don’t understand how this man managed to bring so much joy and optimism to his life after experiencing what he did in the Holocaust. To say he is an inspiration is so completely trite, but so completely true....more",Notes are private!,0,19,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/36204327-from-broken-glass
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcription,"Atkinson, Kate",0857525883,9780857525888,0857525883,337        pp,3.49,"55,721","Sep 06, 2018","Sep 06, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Twisty and weird and wonderful, like all the best Kate Atkinson novels.",Notes are private!,0,0,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/36991825-transcription
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sparsholt Affair,"Hollinghurst, Alan",1447208218,9781447208211,1447208218,454        pp,3.54,"6,069","Oct 05, 2017","Sep 26, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Again, I think this might be one of my favorite writers. When I bought this book, I did what I do every time I buy a book by Hollinghurst: I holed up Again, I think this might be one of my favorite writers. When I bought this book, I did what I do every time I buy a book by Hollinghurst: I holed up in bed, ignored my family, and cried when it was over....more",Notes are private!,0,4,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/35427341-the-sparsholt-affair
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Days Without End        (Days Without End #1),"Barry, Sebastian",0525427368,9780525427360,0525427368,259        pp,3.97,"24,462","Oct 20, 2016","Jan 24, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am writing a Western television show, and this remarkable book landed on my lap. I will have to steal everything in it and pretend I’ve stolen nothiI am writing a Western television show, and this remarkable book landed on my lap. I will have to steal everything in it and pretend I’ve stolen nothing....more",Notes are private!,0,5,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/30212107-days-without-end
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Warlight,"Ondaatje, Michael",1787330729,9781787330726,1787330729,290        pp,3.60,"44,609","May 08, 2018","May 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The point of writing novels is to get early galleys of incredible novels like this one. My book is kicking my ass so hard that I think one of the reasThe point of writing novels is to get early galleys of incredible novels like this one. My book is kicking my ass so hard that I think one of the reasons I’m still in this business is because I get to read books like this....more,Notes are private!,0,33,1,not set,not set,"Apr 17, 2018",,Paperback,view (with text),/book/show/35657511-warlight
