,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,L.K.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,184","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2023",,Hardcover,view,/book/show/61246258-pineapple-street
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wife,"Wolitzer, Meg",0743456661,9780743456661,0743456661,219        pp,3.69,"28,618","Mar 25, 2003","Apr 13, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2023",,Paperback,view,/book/show/394255.The_Wife
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night Passage        (Jesse Stone, #1)","Parker, Robert B.",0515123498,9780515123494,0515123498,324        pp,4.09,"13,727","Sep 22, 1997","Nov 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2023",,Paperback,view,/book/show/414491.Night_Passage
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart Goes Last,"Atwood, Margaret*",0385540353,9780385540353,0385540353,320        pp,3.40,"69,983",May 2013,"Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2022",,Hardcover,view,/book/show/24388326-the-heart-goes-last
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Swim-on Part in the Goldfish Bowl,"Thatcher, Carol",0755317084,9780755317080,0755317084,336        pp,3.92,24,"Jan 01, 2009","Jun 11, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 20, 2022",,Paperback,view,/book/show/4836977-a-swim-on-part-in-the-goldfish-bowl
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Missing Hearts,"Ng, Celeste*",0593492544,9780593492543,0593492544,335        pp,3.81,"174,145","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Hardcover,view,/book/show/60149573-our-missing-hearts
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,565","Apr 05, 2022","May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Hardcover,view,/book/show/58446227-sea-of-tranquility
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monkey Grip,"Garner, Helen",0140049533,9780140049534,0140049533,245        pp,3.71,"6,145","Jan 01, 1977","Feb 07, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Paperback,view,/book/show/634141.Monkey_Grip
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to End a Story: Diaries: 1995–1998,"Garner, Helen",1922458171,9781922458179,1922458171,304        pp,4.57,789,unknown,"Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Hardcover,view,/book/show/58420880-how-to-end-a-story
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Am, I Am, I Am: Seventeen Brushes with Death","O'Farrell, Maggie*",0525520228,9780525520221,0525520228,304        pp,3.99,"43,212","Aug 02, 2017","Aug 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 31, 2022",not set,"Aug 31, 2022",,Hardcover,view,/book/show/35137915-i-am-i-am-i-am
