,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Judy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scandalous Life of Ruby Devereaux,"Robotham, Mandy*",1035901099,9781035901098,B0C4Y1LLYM,318        pp,4.06,36,"Jan 18, 2024","Apr 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/152271503-the-scandalous-life-of-ruby-devereaux
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sleepwalkers,"Thomas, Scarlett*",1668032988,9781668032985,1668032988,304        pp,3.31,222,"Apr 09, 2024","Apr 09, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Scarlett Thomas is a new author for me, but I chose to read this book because it is set on a Greek island (and I've always secretly wanted to go to GrScarlett Thomas is a new author for me, but I chose to read this book because it is set on a Greek island (and I've always secretly wanted to go to Greece) and because the description says the book is ""very funny"" and I like humor in a book.Description:Still reeling from the chaos of their wedding, Evelyn and Richard arrive on a tiny Greek island for their honeymoon. It’s the end of the season and a storm is imminent. Determined to make the best of it, they check into the sun-soaked doors of the Villa Rosa. Already feeling insecure after seeing the “beautiful people,” the seemingly endless number of young models and musicians lounging along the Mediterranean, Evelyn is wary of the hotel’s owner, Isabella, who seems to only have eyes for Richard.Isabella ostensibly disapproves of every request Evelyn makes, seemingly annoyed at the fact that they are there at all. Isabella is also preoccupied with her chance to enthrall the only other guests—an American producer named Marcus and his partner Debbie—with the story of “the sleepwalkers,” a couple who had stayed at the hotel recently and drowned.Everyone seems to want to talk about the sleepwalkers, save for Hamza, a young Turkish man Evelyn had seen with some “beautiful people,” as well as the “dapper little man”—the strange yet fashionable owner of the island’s lone antiques and gift shop she sees everywhere.But what at first seemed eccentric, decorative, or simply ridiculous, becomes a living nightmare. Evelyn and Richard are separated the night of the storm and forced to face dark truths, but it’s their confessions around the origins of their relationship and the years leading up to their marriage that might save them.Exhilarating, suspenseful, and also very funny, The Sleepwalkers asks urgent questions about relationships, sexuality, and the darkest elements of contemporary society—where our most terrible secrets are hidden in plain sight.My Thoughts:The book is atmospheric and gave me a sense of being outside looking in. Evelyn seems to have some issues and some of that is revealed later on. I had some trouble with the prose stopping midsentence and the next paragraphs being seemingly unrelated, like some of the text was missing. This occurred at various times during the book. I failed to find any humor here. Maybe I'm dense, but even at the end I wasn't sure what I'd read and what really happened and what was imaginary. The writing was easy to read, but this book was just not for me. I do see some people really loved it though. I'm on the fence about whether I would recommend it to my friends. Some might find it interesting, it just seems too unfinished to me.Thanks to Simon & Schuster through Netgalley for an advance copy....more",Notes are private!,0,8,1,"Apr 09, 2024","Apr 11, 2024","Apr 09, 2024",,Hardcover,view (with text),/book/show/176442759-the-sleepwalkers
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Better World,"Langan, Sarah*",1982191066,9781982191061,1982191066,368        pp,3.96,244,"Apr 09, 2024","Apr 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I picked this book up solely on the description. It sounded intriguing. Sarah Langan is a new author for meDescription:You’ll be safe here. That’s whaI picked this book up solely on the description. It sounded intriguing. Sarah Langan is a new author for meDescription:You’ll be safe here. That’s what the greasy tour guide tells the Farmer-Bowens when they visit Plymouth Valley, a walled-off company town with clean air, pantries that never go empty, and blue-ribbon schools. On a very trial basis, the company offers to hire Linda Farmer’s husband, a numbers genius, and relocate her whole family to this bucolic paradise for the .0001%. Though Linda will have to sacrifice her medical career back home, the family jumps at the opportunity. They’d be crazy not to take it. With the outside world literally falling apart, this might be the Farmer-Bowens last chance.But fitting in takes work. The pampered locals distrust outsiders, cruelly snubbing Linda, Russell, and their teen twins. And the residents fervently adhere to a group of customs and beliefs called Hollow . . . but what exactly is Hollow?It’s Linda who brokers acceptance by volunteering her medical skills to the most powerful people in town with their pet charity, ActHollow. In the months afterward, everything seems fine. Sure, Russell starts hyperventilating through a paper bag in the middle of the night, and the kids have drifted like bridgeless islands, but living here’s worth sacrificing their family’s closeness, isn’t it? At least they’ll survive. The trouble is, the locals never say what they think. They seem scared. And Hollow’s ominous culminating event, the Plymouth Valley Winter Festival, is coming.Linda’s warned by her husband and her powerful new friends to stop asking questions. But the more she learns, the more frightened she becomes. Should the Farmer-Bowens be fighting to stay, or fighting to get out?My Thoughts:I like dystopian scenarios where people try to survive in different ways. This one was based upon a big corporation with a seemingly helpful product that was used world-wide. Their community, Plymouth Valley, seemed to be a protected oasis with many advantages for families who were allowed to live there. The Farmer-Bowens were so relieved after all their suffering to be allowed in. Once there they tried so hard to be accepted and fit-in, but the people there made it tough. As the plot moved along and Linda started piecing things together another picture of Plymouth Valley formed and she became more and more uneasy. This book falls into a few categories: mystery, thriller, horror, and dystopia I think, so if you enjoy books in these categories you would probably like it too.Thanks to Atria Books through Netgalley for an advance copy....more",Notes are private!,0,10,1,"Apr 06, 2024","Apr 09, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/176443112-a-better-world
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Limits,"Freudenberger, Nell*",059344888X,9780593448885,059344888X,368        pp,3.97,60,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I did not finish this book.,Notes are private!,1,2,0,not set,not set,"Apr 05, 2024",,Hardcover,view (with text),/book/show/179546868-the-limits
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter of Mine,"Miranda, Megan*",,,B0C7RMHSM4,365        pp,4.15,"1,440","Apr 09, 2024","Apr 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Megan Miranda has written some great thrillers and I've read most of them. It was a no brainer to want to read this one and I'm really glad I did.DescMegan Miranda has written some great thrillers and I've read most of them. It was a no brainer to want to read this one and I'm really glad I did.Description:When Hazel Sharp, daughter of Mirror Lake’s longtime local detective, unexpectedly inherits her childhood home, she’s warily drawn back to the town—and people—she left behind almost a decade earlier. But Hazel’s not the only relic of the past to a drought has descended on the region, and as the water level in the lake drops, long-hidden secrets begin to emerge…including evidence that may help finally explain the mystery of her mother’s disappearance.My Thoughts:This was a fast-paced and exciting mystery. My eyes flew wide a few times as events occurred that were so surprising to me. The characters are great and I really liked Hazel. The book has a terrific plot and I ate it up. The prose flows well and the book got better and better as secrets were revealed. There were quite a few suspects here and everyone seemed to have something to hide. Highly recommended for mystery and thriller fans.Thanks to Simon Element/S&S/Marysue Rucci Books through Netgalley for an advance copy....more",Notes are private!,2,20,1,"Apr 03, 2024","Apr 05, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/177058733-daughter-of-mine
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Lives of Booksellers and Librarians: True Stories of the Magic of Reading,"Patterson, James*",0316567531,9780316567534,0316567531,352        pp,4.17,153,"Apr 08, 2024","Apr 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Hardcover,view,/book/show/193767144-the-secret-lives-of-booksellers-and-librarians
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Come Back        (Nora McTavish, #2)","Hart, Joe*",1662515324,9781662515323,B0BXBF7NZJ,280        pp,4.20,416,"Apr 02, 2024","Apr 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am a Joe Hart fan, so of course I picked this book up as soon as I saw it. This is the second in the Nora McTavish series and both books have been gI am a Joe Hart fan, so of course I picked this book up as soon as I saw it. This is the second in the Nora McTavish series and both books have been good ones.Description:Needing to help the most vulnerable is in Nora McTavish’s DNA. Living within the echoes of her own traumatic past, she spends her days as a family advocate providing comfort and justice for those without anyone else to turn to. So when a long lost childhood friend calls asking for help and promising clues to the location of Nora’s missing mother, she has no choice but to say yes.Nora hasn’t seen Tess Grayson in over twenty years. Living the perfect suburban life in a college mountain town, Tess’s world is shattered when her husband Neil—a professor at the local university—is accused of killing a student he was allegedly having an affair with. When the charges against Neil are dropped and he petitions for custody of their daughter, Kendra, Nora steps in to help Tess any way she can.But as details emerge surrounding the murder and unsettling occurrences plague the quiet neighborhood, Nora begins to suspect Tess isn’t being fully honest with her. With Kendra’s safety and well-being hanging in the balance, Nora works to unearth the family’s secrets, and in doing so puts herself in the crosshairs of someone willing to kill to keep them buried.My Thoughts:Nora goes above and beyond as a family advocate, but when helping her friend Tess she gets some mixed feelings. Their past history together overshadows the present. It also makes the story more interesting. I couldn't help but love Kendra who was caught in the middle of her parents domestic situation. There were definitely red herrings in the book which kept me wondering what was actually going on here. This book is a slow burn moving from the domestic situation to a boiling point climax. I would recommend this to anyone who likes domestic thrillers.Thanks to Thomas & Mercer through Netgalley for an advance copy....more",Notes are private!,0,13,1,Apr 2024,"Apr 02, 2024","Apr 01, 2024",,Kindle Edition,view (with text),/book/show/92217371-never-come-back
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She's Not Sorry,"Kubica, Mary*",0778308065,9780778308065,,336        pp,3.98,"5,264","Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mary Kubica is an author I can count on for a great suspense thriller, so I was more than happy to be able to grab a copy of She's Not Sorry. The bookMary Kubica is an author I can count on for a great suspense thriller, so I was more than happy to be able to grab a copy of She's Not Sorry. The book exceeded my expectations.Description:An ICU nurse accidentally uncovers a patient’s frightening past in this chilling thriller.Meghan Michaels is trying to find balance between being a single mom to a teenage daughter and working as a full time nurse. While on duty at the hospital one day, a patient named Caitlin arrives in a coma with a traumatic brain injury, having jumped from a bridge and plunging over twenty feet to the train tracks below. But when a witness comes forward with shocking details about the fall, it calls everything they know into question. Was Caitlin pushed and if so, by whom and why? Meghan has always tried to stay emotionally detached from her patients, but this time, she mistakenly lets herself get too close until she’s deeply entangled in Caitlin’s and her family’s lives. Only when it’s too late, does she realize that she and her daughter could be the next victims.My Thoughts:This book is so twisty it left me reeling. So many surprise turns. I could not put the book down. It did start out a little slow but it built to a crescendo. Talk about characters that make bad choices, the ones in this book have some real problems. Well plotted and well written Mary Kubica! I highly recommend to anyone who likes a good thriller.Thanks to Harlequin Trade Publishing through Netgalley for an advance copy. Expected publication on April 2, 2024....more",Notes are private!,3,26,1,"Mar 30, 2024",Apr 2024,"Mar 30, 2024",,Hardcover,view (with text),/book/show/140111148-she-s-not-sorry
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All We Were Promised,"Lattimore, Ashton*",0593600150,9780593600153,0593600150,368        pp,4.18,409,"Apr 02, 2024","Apr 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ashton Lattimore is a new author for me. I chose to read this book because the description sounded like it dealt with the abolitionist movement and thAshton Lattimore is a new author for me. I chose to read this book because the description sounded like it dealt with the abolitionist movement and the fight for freedom.Description:Philadelphia, 1837. After Charlotte escaped from the crumbling White Oaks plantation down South, she’d expected freedom to feel different from her former life as an enslaved housemaid. After all, Philadelphia is supposed to be the birthplace of American liberty. Instead, she’s locked away playing servant to her white-passing father, as they both attempt to hide their identities from slavecatchers who would destroy their new lives.Longing to break away, Charlotte befriends Nell, a budding abolitionist from one of Philadelphia’s wealthiest Black families. Just as Charlotte starts to envision a future, a familiar face from her past reappears: Evie, her friend from White Oaks, has been brought to the city by the plantation mistress, and she’s desperate to escape. But as Charlotte and Nell conspire to rescue her, in a city engulfed by race riots and attacks on abolitionists, they soon discover that fighting for Evie’s freedom may cost them their own.My Thoughts:This book was enlightening for me as it is the first I've read during the pre-Civil War time period that was not set in what is considered the ""deep south"". The setting here is Philadelphia, Pennsylvania and many Blacks are free. Just a bit further south the environment at the time would be totally different. There are still major prejudices and segregation here though. I found the political standing of the abolitionists at this time to be brave considering the atmosphere in the city. Obviously, they were inviting trouble. The story of Charlotte and her father, as well as Evie was heartbreaking. It was easy to hate Kate for her role here. Sometimes I found the book a bit slow, but I felt it a good portrayal of what was happening during this time period.Thanks to Random House Publishing Group - Ballantine through Netgalley for an advance copy....more",Notes are private!,1,20,1,"Mar 27, 2024","Mar 30, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/182484361-all-we-were-promised
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reaper Follows        (Amy Larson & Hunter Forrest #4),"Graham, Heather*",,,B0C4PVT1YN,341        pp,3.99,159,"Apr 02, 2024","Apr 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Heather Graham is a new author for me. I like thrillers, so I thought I would give this one a try and see if I like her writing style and plot craft.DHeather Graham is a new author for me. I like thrillers, so I thought I would give this one a try and see if I like her writing style and plot craft.Description:Deep in the Florida Everglades, the body of a woman is discovered in pieces, presumably ravaged by an alligator. Upon closer inspection, it’s determined no animal could make such perfectly precise cuts. Only a blade could do that. Wielded by a human. Soon, dozens of oil drums emerge amid the river of grass. Each one packed to the brim with body parts.FDLE special agent Amy Larson and her partner, FBI special agent Hunter Forrest, share a bad feeling that extends beyond the horrifying nature of the grim discovery. They’ve seen this kind of sadistic killing before, and when a small beige horse is discovered at the bottom of one of the barrels, they know exactly what it means. The fourth horseman of the apocalypse rides a pale horse—and his name is Death.With so many bodies to identify, connecting one victim to the next is easier said than done. But finding a pattern in the chaos might be the only way Amy and Hunter can zero in on the killer, testing their skills as agents—and their relationship—like never before. And when the disturbing trail of clues signals these slayings are just the beginning, the agents will have to return to where it all started before it’s too late. The apocalypse is coming, and Hunter and Amy have only one chance to stop it, even if it means sacrificing each other.My Thoughts:This was a good story, but I found it kind of slow at times. The plot with the four horsemen and the apocolypse was made for an interesting read. I liked the romance between Larson and Hunt and the way they played to each other's strengths. I would have probably liked this more if I had read the first three books - but that's on me. Like I said a good story that I would recommend to thriller readers.Thanks to Harlequin Trade Publishing - MIRA through Netgalley for an advance copy....more",Notes are private!,0,12,1,"Mar 26, 2024","Mar 27, 2024","Mar 26, 2024",,Kindle Edition,view (with text),/book/show/151530893-the-reaper-follows
