,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Faith's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead Lions        (Slough House, #2)","Herron, Mick",1616952253,9781616952259,1616952253,348        pp,4.10,"24,903","May 07, 2013","May 07, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We discovered the miniseries of Slow Horses and were completely entertained, so while I wait for new seasons, I'm delving into the book series. DEAD LWe discovered the miniseries of Slow Horses and were completely entertained, so while I wait for new seasons, I'm delving into the book series. DEAD LIONS is the second installment, and a former agent is found dead on a bus; the cause is purportedly a heart attack, but there are reasons to be suspicious. Min and his partner (both romantically and occupationally) get called in to coordinate a mission for Spider, River is investigating undercover, and Jackson Lamb continues to intrigue. Is his disgusting demeanor a front, or is he truly a despicable individual with no care for others?There were necessary departures made when the book was converted to a miniseries, and I enjoyed noticing the differences. I cannot wait to continue experiencing more of the book series, and the audiobooks are expertly done....more",Notes are private!,0,0,1,not set,"Mar 28, 2024","Apr 11, 2024",,Hardcover,view (with text),/book/show/15823478-dead-lions
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Water Horse,"King-Smith, Dick",0375842314,9780375842313,0375842314,128        pp,3.87,"2,916","Jan 01, 1990","Nov 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/2251041.The_Water_Horse
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.19,336,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Liturgies for Wholeness: 60 Prayers to Encounter the Depth, Creativity, and Friendship of God in Ordinary Moments","Elledge, Audrey",0593442830,9780593442838,B0C56SBZC7,209        pp,4.73,26,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 25, 2024",not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/154544455-liturgies-for-wholeness
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chronicles of Avonlea        (Chronicles of Avonlea, #1)","Montgomery, L.M.",0553213784,9780553213782,0553213784,183        pp,3.94,"12,800",1912,"Sep 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Mass Market Paperback,view,/book/show/95694.Chronicles_of_Avonlea
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Anne of Green Gables Boxed Set,"Montgomery, L.M.",,,B0091P0TIS,0        pp,4.45,"105,118","Jan 01, 1921",1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/21849510-the-complete-anne-of-green-gables-boxed-set
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,442",Apr 1966,"May 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Through a trial surgery, Charlies, slow in cognition due to a low IQ, becomes vastly intelligent. He absorbs knowledge and languages, making astute coThrough a trial surgery, Charlies, slow in cognition due to a low IQ, becomes vastly intelligent. He absorbs knowledge and languages, making astute connections and becoming unrecognizable to his previous self. One could argue he became too smart, leading to isolation and lack of sympathy.Charlie sees his life as never before and enters into romantic relationships. What is the cost and gain of such scientific interventions? Was it really worth it? He realizes his ""friends"" at work were often teasing him at his expense, mocking him without his knowledge. Charlie delves into his childhood memories as they resurface. We are reminded that everyone has innate value, even if that was not fully seen before. The themes lead themselves to discussion and reflection, and the arc of the story is heartbreaking.I listened to this as an audiobook, and the narrator was exceptional, evolving and devolving as the text demanded. ...more",Notes are private!,0,1,1,not set,"Mar 24, 2024","Mar 18, 2024",,Paperback,view (with text),/book/show/18373.Flowers_for_Algernon
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Exvangelicals: Loving, Living, and Leaving the White Evangelical Church","McCammon, Sarah",1250284473,9781250284471,B0C1X8213B,310        pp,4.26,682,"Mar 19, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE EXVANGELICALS by Sarah McCammon is a relevant resource for those wanting to either understand the recent exodus from the white evangelical church THE EXVANGELICALS by Sarah McCammon is a relevant resource for those wanting to either understand the recent exodus from the white evangelical church or to connect with an individual who can sympathetically relate, if that was your experience. This is an excellent primer, part memoir, part historical account. Unlike some in power who want to castigate those who leave as doing so to spiral into unhealthy practices, McCammon understands the nuance of leaving due to hypocritical leaders seeking power over character. She articulates aspects of my own journey and thought processes. I continue to be a person of faith, but I felt a little spiritually homeless for many of the reasons articulated here. This book also reads as a who's who in recent evangelical circles: Joshua Harris, Jeff Chu, Tyler Huckabee, Sarah Bessey, Rachel Held Evans, Beth Moore, Abraham Piper, Russell Moore, and others are referenced.The audiobook is narrated by the author; people are often drawn to authors reading their own work, and as McCammon also worked as a journalist for NPR, she is well qualified to narrate her book. (I received a digital ALC from the publisher via NetGalley in exchange for my honest .)...more",Notes are private!,0,0,1,"Mar 16, 2024","Apr 04, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/126918658-the-exvangelicals
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Outer Order, Inner Calm: Declutter & Organize to Make More Room for Happiness","Rubin, Gretchen*",,9781984822802,1984822802,208        pp,3.54,"15,900","Mar 05, 2019","Mar 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A couple of my sisters have recommended various Gretchen Rubin books over the years; my first read of hers was THE FOUR TENDENCIES, which I find myselA couple of my sisters have recommended various Gretchen Rubin books over the years; my first read of hers was THE FOUR TENDENCIES, which I find myself thinking of often and bringing up with friends, and winter felt the right time to listen to OUTER ORDER, INNER CALM. Rubin takes a more relaxed approach than Marie Kondo as she suggests our demeanor is influenced by our surroundings. She offers helpful tips without judgment, reinforcing how what works and what is important is what matters to the individual. It's not about minimalism, unless that is of value to you; outer order is about wanting what we have.The audiobook was a quick listen and I have no doubt I'd pick up a physical copy were I to spot one at a book sale, as it could be valuable to revisit and flip through. I realized I'd heard of her one-minute rule before and had employed it (but had mistakenly internalized it as the two-minute rule, not that it was detrimental in any way to do so). I jotted down her top ten tips for creating outer order; I don't know if I'm ready to incorporate them all (honestly, this is the intensely busy time of year at work, which might be another reason why I was drawn to reflecting on establishing more inner calm), but I see myself revisiting them at different times of the year....more",Notes are private!,0,0,1,not set,"Mar 17, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/39901314-outer-order-inner-calm
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.01,"1,749","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/127823311-poor-deer
