,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheryl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sister Pact,"Ramey, Stacie*",1728297214,9781728297217,1728297214,320        pp,3.74,"1,271","Nov 03, 2015","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/193544912-the-sister-pact
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Beautiful Rival: A Novel of Helena Rubinstein and Elizabeth Arden,"Paul, Gill*",0063245116,9780063245112,0063245116,384        pp,3.97,"2,131","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024","Mar 25, 2024","Mar 18, 2024",,Paperback,view,/book/show/90586166-a-beautiful-rival
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Teacher,"McFadden, Freida*",1728296218,9781728296210,1728296218,400        pp,3.99,"218,628","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024",not set,"Mar 18, 2024",,Paperback,view,/book/show/195967140-the-teacher
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart Is a Lonely Hunter,"McCullers, Carson",,,B00Z9N882U,371        pp,3.99,"110,185","Jun 04, 1940","Jan 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Kindle Edition,view,/book/show/61335066-the-heart-is-a-lonely-hunter
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",059349721X,9780593497210,059349721X,544        pp,4.29,52,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/203164368-by-any-other-name
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Animal, Vegetable, Miracle: A Year of Food Life","Kingsolver, Barbara",,,B01JYX7LKU,383        pp,4.05,"110,232","May 01, 2007","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Kindle Edition,view,/book/show/40725379-animal-vegetable-miracle
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go as a River,"Read, Shelley*",1954118236,9781954118232,1954118236,320        pp,4.31,"64,838","Mar 07, 2023","Feb 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Great story. 4.5 stars.,Notes are private!,0,1,1,not set,"Feb 18, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/63922274-go-as-a-river
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Backyard Bird Chronicles,"Tan, Amy*",0593536134,9780593536131,,320        pp,4.32,94,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Flexibound,view,/book/show/194803881-the-backyard-bird-chronicles
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers in the Attic,"Andrews, V.C.",198210810X,9781982108106,198210810X,426        pp,3.85,"213,388",1979,Nov 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/63221977-flowers-in-the-attic
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Someone Else's Shoes,"Moyes, Jojo*",1984879316,9781984879318,1984879316,464        pp,3.97,"173,196","Feb 02, 2023","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/201815841-someone-else-s-shoes
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in the Window,"Finn, A.J.",,,B06Y55Z36S,455        pp,3.95,"779,680","Jan 02, 2018","Jan 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/59494926-the-woman-in-the-window
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Secret Daughter,"Gowda, Shilpi Somaya*",,,B00395ZYVS,356        pp,4.00,"75,041","Mar 09, 2010","Mar 09, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Kindle Edition,view,/book/show/8162430-secret-daughter
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone in My Family Has Killed Someone        (Ernest Cunningham, #1)","Stevenson, Benjamin*",0063279037,9780063279032,0063279037,384        pp,3.81,"100,296","Mar 29, 2022","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Paperback,view,/book/show/166998699-everyone-in-my-family-has-killed-someone
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Limits,"Freudenberger, Nell*",059344888X,9780593448885,059344888X,368        pp,3.97,59,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/179546868-the-limits
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Lie,"McFadden, Freida*",,,B0BBL2ZW73,286        pp,4.11,"510,368","Sep 19, 2022","Sep 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 18, 2023",,Kindle Edition,view,/book/show/62080187-never-lie
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,His Secret Daughter,"Wiesner, Melissa*",1803146923,9781803146928,B0BN95BYPJ,284        pp,4.23,"6,561","Jan 03, 2023","Jan 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 05, 2023","Nov 06, 2023","Nov 05, 2023",,Kindle Edition,view,/book/show/63852854-his-secret-daughter
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mania,"Shriver, Lionel*",0063345390,9780063345393,0063345390,288        pp,3.62,71,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 02, 2023",,Hardcover,view,/book/show/181109972-mania
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Flowers in the Attic        (Dollanganger, #1)","Andrews, V.C.",0743496310,9780743496315,B000FCSIOS,389        pp,3.85,"213,388",1979,1979,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2023",,Paperback,view,/book/show/43448.Flowers_in_the_Attic
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Good Enough Mother,"Thomas, Bev",0525561250,9780525561255,0525561250,384        pp,3.54,"4,349","Mar 07, 2019","Apr 30, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 18, 2023","Feb 07, 2024","Oct 18, 2023",,Hardcover,view,/book/show/40603516-a-good-enough-mother
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uphill,"Hill, Jemele",1250624363,9781250624369,1250624363,256        pp,4.09,"1,447",unknown,"Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Paperback,view,/book/show/77920730-uphill
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Digging to America,"Tyler, Anne*",0307263940,9780307263940,0307263940,277        pp,3.58,"22,438","May 02, 2006","May 02, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Hardcover,view,/book/show/698.Digging_to_America
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Amateur Marriage,"Tyler, Anne*",0345472454,9780345472458,0345472454,352        pp,3.67,"18,190","Jan 06, 2004","Jan 31, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 04, 2023","Oct 08, 2023","Oct 04, 2023",,Mass Market Paperback,view,/book/show/15764.The_Amateur_Marriage
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Riverbend Gap        (Riverbend, #1)","Hunter, Denise*",0785240500,9780785240501,0785240500,336        pp,4.18,"4,158","Oct 19, 2021","Oct 19, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 04, 2023",,Paperback,view,/book/show/57468111-riverbend-gap
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Me Without You,"Rimmer, Kelly*",1538757826,9781538757826,1538757826,352        pp,4.04,"11,343","Jun 01, 2014","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2023",,Paperback,view,/book/show/75673971-me-without-you
