,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Carlos's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haunting of Hajji Hotak and Other Stories,"Kochai, Jamil Jan",0593297199,9780593297193,0593297199,288        pp,3.98,"1,727","Nov 01, 2021","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2022",not set,"Dec 26, 2022",,Hardcover,view,/book/show/58988397-the-haunting-of-hajji-hotak-and-other-stories
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wall,"Haushofer, Marlen",0811231941,9780811231947,0811231941,248        pp,4.04,"17,961",1963,"Jun 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A dystopian story about existence and the philosophical questions life imposes on a woman facing sudden isolation by an invisible wall surrounding parA dystopian story about existence and the philosophical questions life imposes on a woman facing sudden isolation by an invisible wall surrounding part of the countryside in the Austrian alps and separating her from the rest of the world. The novel is a deep reflection on humanity and the need for survival, as the protagonist looks back at her past and her perception of reality is slowly transformed by the deep revelations of everyday life along her only companions, a dog, two cats, a cow and later a bull. ""If I think now about the woman I once was, before the wall entered my life, I don’t recognize myself in her."" Written in simple prose, where short and precise sentences abound, Marlen Haushofer (1920-1970) meticulously describes the chores the new life inflicts on the main character (who is in turn writing a report “out of fear of ceasing to be a human being”), perhaps overstating them a bit too much, in an effort to suggest the idea that routine (as a result of our ability to adapt to new challenges), keeps us going as human beings. This can very well describe what we all went through during the Covid pandemic.  ""On the long walk back, I thought about my former life and found it unsatisfactory in all respects. I had achieved little that I had wanted and everything I had achieved I had ceased to want."" A great translation by Shaun Whiteside with an enlightening Afterword by Claire-Louise Bennett.I also had the chance to watch Julian Pölsler’s 2012 film, with the superb Martina Gedeck, in what I believe is an accurate adaptation of the novel, filmed in Salzkammergut, Austria, with Bach’s violin music from the award-winning recording by Julia Fischer. Die Wand (2012)Julia Fischer - Bach Sarabande in D Minor___...more",Notes are private!,0,17,1,"Dec 22, 2022","Dec 26, 2022","Dec 22, 2022",,Paperback,view (with text),/book/show/59468837-the-wall
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stone Upon Stone,"Myśliwski, Wiesław",098262462X,9780982624623,098262462X,537        pp,4.42,"1,152",1984,Jan 2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is not difficult to imagine, after returning home from a long journey of hunting and making his way through the dreadful storm, carrying the dead cIt is not difficult to imagine, after returning home from a long journey of hunting and making his way through the dreadful storm, carrying the dead corpse of a huge mammoth, a precious trophy for his titanic determination, the exhilarating need of narrating what had happened in the mind of the cave man while he tried to assemble his thoughts using the very few words he knew, and searching for new ones, as his mate and offspring and perhaps two or three others who lived with them, gathered around the fire, on a magical night where thousands of stars glittered above them, to listen attentively to his incredible story. That was, most probably, the very beginning of literature. I remember when I first visited Stonehenge, the powerful impression I felt while slowly surrounding the magnificent monument in Salisbury Plain. The questions that were posed on my mind then, remained deep inside me for a long time, some having the transcendental ability to open new paths for me, enriched solely by that unforgettable experience, some thirty years ago. Therefore, I could very well relate to the importance of stones in this magnificent novel of epic proportions, as Szymek Pietruszka, the narrator, a stubborn Polish peasant, builds up his life Stone upon Stone, just as the tomb he is planning to build, carefully assembling the words that would constitute ultimately his life story. The ambitious project becomes a fascinating fresco of 20th Century Poland, covering the war and its devastating power over the lives of ordinary people, in a small and insignificant village. Trying to avoid or escape destiny, Pietruszka joins the army and later works for the new government, just to return at old age, to his peasant origins. The story can be seen and analyzed from different angles, but I believe the main quality of it rests on the way it is told, where the narrative follows a very peculiar path through the unexpected, as if in appearance, there was no direction. I can only relate it, in all fairness, to jazz improvisation. If I were to pick a recording that would encompass this concept, I would easily choose Miles Davis’ legendary Kind of Blue: as Coltrane’s impeccable line gives way to Cannonball’s solo, which in turn bows the first notes of the piano, in the masterful hands of Bill Evans, who will then prepare the scene for Miles’ tune, leaving us listeners in awe, in that same way, Wiesław Myśliwski builds his narrative through something very close to improvised lines, which transmute into an honest and vivid style that is at the center of this fantastic novel. The translation by Bill Johnston won him, rightfully so, the 2012 PEN Prize. ...more",Notes are private!,0,17,1,"Nov 04, 2022","Dec 08, 2022","Nov 04, 2022",,Paperback,view (with text),/book/show/7938070-stone-upon-stone
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Général de l'armée morte,"Kadare, Ismail",2253048119,9782253048114,2253048119,285        pp,4.02,"4,293",1963,"Dec 02, 1988",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Marche à travers les ténèbres de la MortLe texte qui est à l'origine du roman, a été reproduit en Albanie dans la revue Nëntori. Plus tard, en 1963, lMarche à travers les ténèbres de la MortLe texte qui est à l'origine du roman, a été reproduit en Albanie dans la revue Nëntori. Plus tard, en 1963, le roman a été publié, mais il semble avoir reçu un accueil tiède dans le pays. L'auteur a révisé le manuscrit à plusieurs reprises, ce qui reflète la nature évolutive de l'écriture et de sa conception. La dernière version semble être le résultat de plusieurs notes prises dans un important travail de modification, sur une période d'environ quinze ans. Après quelques publications à l'étranger, ce n'est qu'en 1970 qu'un éditeur français décide de publier le roman, faisant de Kadaré, du jour au lendemain, le premier écrivain albanais à être lu en Occident. Depuis lors, l'auteur a supervisé toutes les traductions françaises de son œuvre, réalisées par ce personnage charismatique et singulier, presque sorti d'un livre : Jusuf Vrioni, qui, au cours de sa longue vie, a été accusé d'espionnage et a passé 12 ans dans un camp, a été champion de polo et de hockey, ambassadeur de son pays à l'UNESCO et, enfin, le remarquable traducteur de l'œuvre du romancier albanais. Un officier italien est chargé de se rendre en Albanie, quinze ans après la guerre, pour recueillir les restes des soldats tombés sur le champ de bataille. Tout au long du roman, le général se plaint de cette terrible tâche, qu'il s'efforce pourtant de mener à bien avec rapidité et efficacité. Le titre suggestif reste dans l'esprit du lecteur, qui imagine un général vivant, l'uniforme couvert de décorations, à la tête d'une armée de morts. Une image sinistre en effet, accentuée par la géographie accidentée d'un pays qui reflète bien la personnalité particulière de ses habitants.A présent qu’il voyait pour la première fois cette terre étrangère, il éprouvait avec beaucoup plus d’acuité la crainte qu’éveillait en lui depuis plusieurs mois le sentiment d’irréalité qui s’attachait á sa mission. L’armée était là, en bas, hors du temps, figée, calcifiée, recouverte de terre. Il avait pour mission de la faire se relever de terre. Et cette tâche lui faisait peur. C’était une mission contre nature, qui devait recéler quelque chose d’aveugle, de sourd, d’absurde. Qui devait porter en soi des conséquences imprévisibles. L'influence des grands écrivains russes sur l'écriture de Kadaré est indéniable. Son récit, riche en descriptions détaillées, tente toujours d'aller au-delà des simples mots, amenant le lecteur à une compréhension intime des personnages. Le plan formel du roman est sans doute le reflet de la conception globale de l'œuvre d'art, dont l'exécution va de la virtuosité à la profondeur, sorte de sommet que l'auteur ne cesse de chercher à gravir. La figure rigide du général est opposée à celle du prêtre, son compagnon de voyage, lui aussi général mais d'une armée de croyants. Leur interaction pourrait bien représenter les doutes mêmes de l'être humain face aux questions incessantes sur le bien et le mal, le devoir, l'humilité, la vérité, la conscience, etc.L'intrigue fait penser aux Âmes mortes de Gogol, bien que les deux personnages, Tchitchikov et le général, soient en fait très différents. Les deux romans sont, avant tout, une critique de la faiblesse humain. Dans le cas de Kadaré, la guerre semble ne pas avoir de fin et l'inimitié entre deux peuples va au-delà du champ de bataille. Et finalement, on se demande quelles sont les différences entre les peuples qui provoquent de telles tempêtes : une immense allégorie sur l'ampleur de la guerre, sur la mort et sur ce que nous appelons le nationalisme, source de fierté qui peut aussi être la chute d'un pays....more",Notes are private!,0,7,1,"Oct 29, 2022","Nov 02, 2022","Oct 29, 2022",,Pocket Book,view (with text),/book/show/223671.Le_G_n_ral_de_l_arm_e_morte
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confabulario definitivo,"Arreola, Juan José",843760575X,9788437605753,843760575X,245        pp,4.03,"1,878",1952,1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"La figura un tanto enigmática de Juan José Arreola en las Letras Mexicanas obedece quizá a un gusto en mi país, por la leyenda, por la invención desboLa figura un tanto enigmática de Juan José Arreola en las Letras Mexicanas obedece quizá a un gusto en mi país, por la leyenda, por la invención desbordada, por una especie de religiosidad un tanto aberrante que produce santos por doquier y devotos de singular hechura, incapaces de ponerse de acuerdo en el porqué del nicho y la aureola que lo corona. Pero es indudable que su arte narrativo lo sitúa en la cima de ese monte Olimpo en donde se encuentran otros, quizá más agraciados o favorecidos, cuya obra ha sido celebrada y aplaudida, obedeciendo a eso que llamamos vientos literarios o simplemente gusto, que define en mayor o menor medida a una generación. Ahora que releo esta maravillosa colección de relatos cortos, que desde la adolescencia no abría, me vuelve a sorprender la calidad de su prosa, la riqueza de su inventiva y la minuciosa confección de un arte narrativo rico no solo en conocimiento, también y quizá por arriba de todo, en imaginación. En momentos me ha parecido que estoy leyendo a un Rulfo desinhibido y perspicaz, poseedor de toda una tradición oral y con un dominio del género muy profundo. El Guardagujas es sin duda una obra maestra que encierra su misterio detrás de una sátira que a simple vista raya en lo absurdo, pero que se desdobla en un cuento fantástico cuyas interpretaciones son diversas. La figura del forastero que indaga sobre el próximo tren contrasta con la otra, casi onírica, del hombre que simplemente no puede darle una respuesta concreta: el viejecillo se desvanece en la nada al final, tal y como apareció al comienzo, como un fantasma. Aquí el destino supuesto, bien podría ser una alegoría de la vida misma. En Pueblerina, de corte puramente kafkiano, Don Fulgencio amanece con unos cuernos en la cabeza. El tacto exquisito con que su mujer lo recibe al desayuno contrasta con su caminar hacia el trabajo esa mañana. Envolviendo el relato en lenguaje taurino, Arreola hace uso de toda una gama de descripciones que terminan en su entierro, que tuvo un no sé qué de jocunda y risueña mascarada. Mientras que, en El prodigioso miligramo la proeza de una hormiga causa una revolución de proporciones inimaginables, relato alegórico sobre el fanatismo y el alcance de ciertas creencias en una sociedad imperfecta. En El Faro el narrador describe a un Genaro descarado, que con sus carcajadas provoca la desesperación de Amelia y su amante, en un terceto de singular hechura, cuya perfecta narración conlleva justamente la sensación de lejanía, en ese mar que, visto desde el faro, provoca melancolía. He escogido estos relatos para mi reseña de manera un tanto azarosa; bien podría haber analizado cualquier otro, ya que el autor deja su marca bien puesta en todo lo que escribe. Confabulario definitivo es simple y llanamente, un caudal inagotable. Estupenda edición de Carmen de Mora, cuya introducción es un extenso análisis del arte narrativo de Arreola visto desde diferentes ángulos, que no hacen más que enriquecer la lectura de estos maravillosos relatos. Todos y cada uno aportan en mi opinión, razones suficientes para revivir la obra de este gran escritor mexicano. La colección de Letras Hispánicas de Cátedra es, como siempre, un deleite de erudición, que me trae a la memoria otras de estas inolvidables ediciones como Rayuela, Paradiso y La Muerte de Artemio Cruz que descansan, un tanto deteriorados por el paso de los años y el uso, en los estantes de mi biblioteca....more",Notes are private!,0,17,1,"Oct 17, 2022","Oct 25, 2022","Oct 17, 2022",,Paperback,view (with text),/book/show/1631959.Confabulario_definitivo
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Moons of Maali Almeida,"Karunatilaka, Shehan*",1908745908,9781908745903,1908745908,386        pp,3.93,"39,496","Aug 04, 2022","Aug 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What if seven is the magic number? At least it was, the year Marlon James won the Booker and the truth be said, as I was reading The seven moons of MaWhat if seven is the magic number? At least it was, the year Marlon James won the Booker and the truth be said, as I was reading The seven moons of Maali Almeida I thought of A Brief History of Seven Killings more than once. What if Maali could whisper the number seven to the jury tomorrow? After all, Maali was a compulsive gambler, loved numbers and was particularly good at whispering in people’s ears. He was also gay and loved living in the edge. Thoughts and whispers that come from without as well as within.As he recovers from what he thinks is a bad dream (caused perhaps by some pills he swallowed, but could not remember), he realizes he’s dead. The story takes place during the civil war in Siri Lanka in 1990 and our hero is a photographer that has witnessed and saved, images of horrible killings which if exposed, could dramatically change the course of the war. But now he is inside an administrative building where he is told he has died and has seven moons to remember how, and eventually, find the light. The novel describes the journey, in which reality and the afterlife interchange, providing feedback in the form of past events that gradually build the story of his life. Although both countries are members of the Commonwealth, Jamaica is not Siri Lanka. Still, I could find certain parallelisms between both novels, mainly in the form, where long sections are broken into smaller ones and above all, in the writing, which in both authors can only be described as daring and audacious. And perhaps tomorrow we'll know if there is one more thing both writers have in common. The style owes a lot to magical realism. In my reading experience, I have to say at first that the names of the groups involved in the conflict were confusing, since I knew very little about the civil war in that country. Also confusing were the different ethnic groups, Tamil, Sinhlese, Burgher which are at the core of the dispute. The story is rich in details and can become untidy at times. The reward, however, is immense for the reader, that seems to submerge in the writing, embarking on an awesome ride, propelled by the rhythmic intensity of Shehan Karunatilaka’s prose.Seven is indeed the magic number. ❤︎❤︎❤︎❤︎❤︎❤︎❤︎__...more",Notes are private!,0,16,1,"Oct 06, 2022","Oct 15, 2022","Oct 06, 2022",,Hardcover,view (with text),/book/show/57224204-the-seven-moons-of-maali-almeida
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0571368689,9780571368686,0571368689,116        pp,4.19,"153,394","Nov 05, 2021","Oct 21, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dissatisfaction, as it often happens in life, slowly appears in the mind of Bill Furlong. The signs are revealed in pieces of dialogue here and there,Dissatisfaction, as it often happens in life, slowly appears in the mind of Bill Furlong. The signs are revealed in pieces of dialogue here and there, until they seem to take over in this beautifully accomplished short novel, where it is precisely in the briefness of its plan that resides its masterful execution. And as the doors of the convent of the Good Shepherd nuns open, another door opens in Furlong’s heart and conscience: Claire Keegan has entered the realm of compassion. As they carried on along and met more people Furlong did and did not know, he found himself asking was there any point in being alive without helping one another? Was it possible to carry on along through all the years, the decades, through an entire life, without once being brave enough to go against what was there and yet call yourself a Christian, and face yourself in the mirror?...more",Notes are private!,0,11,1,"Oct 04, 2022","Oct 05, 2022","Oct 04, 2022",,Hardcover,view (with text),/book/show/56943582-small-things-like-these
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Name: Septology I-II,"Fosse, Jon",,,,351        pp,4.10,"3,489",Sep 2019,"Oct 10, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is always interesting to read the work of a writer that believes in a different form of narrative. This fresh approach arrives as the author reflecIt is always interesting to read the work of a writer that believes in a different form of narrative. This fresh approach arrives as the author reflects on the notion that the series of events he wants to convey, necessarily affect the way they will be accounted for (an idea I first read in Jean-Paul Sartre's Qu'est-ce que la littérature). In the first two parts of Septology by the Norwegian writer Jon Fosse, the main character is an old painter in search of enlightenment, by reflecting on life, love, identity, the meaning of art, and his relationship with God. In a near by village, lives another painter, a sort of doppelgänger in what could be a glimpse at parallel reality. There is a part when he stops his car and sees a younger version of himself, an image that will intensify his inner monologue. Both parts begin in the same way: the artist is working on a painting and suddenly stops to look at it closely and decide whether to continue or simply sign it and considered it finished. The meaning of a work of art, at different levels, is a recurring idea in the novel, where Fosse writes with superb technical control, in an incessant and never-ending sentence, only interrupted briefly by pieces of dialogue, that nonetheless, don’t seem to break the rhythmic drive of a forceful and dynamic prose. We shall see if he keeps the same level of intensity in the two other books of the series, which I intend to read in the next weeks. Fantastic novel....more",Notes are private!,0,11,1,"Sep 26, 2022",Oct 2022,"Sep 26, 2022",,Paperback,view (with text),/book/show/46024004-the-other-name
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ayer no te vi en Babilonia,"Lobo Antunes, António",,9788439720669,8439720661,448        pp,3.43,131,2006,"May 04, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Las noticias de los últimos días confirman la idea de que, con el inevitable paso de los años, nos vamos quedando huérfanos y lo que antaño fue una flLas noticias de los últimos días confirman la idea de que, con el inevitable paso de los años, nos vamos quedando huérfanos y lo que antaño fue una flotilla poderosa e invencible, poco a poco se va convirtiendo en un solitario barco a la deriva, buscando en vano el faro que lo dirigirá, sano y salvo a tierra. ¿Cuántas veces encontramos esa luz tan anhelada en las páginas de un libro? ¿Cuántas veces una imagen en la pantalla es suficiente para hacernos sentir completos? La afirmación definitiva de que esta vida y su supuesta realidad, jamás nos serán suficientes. Ayer fue Hilary Mantel y hace dos semanas Javier Marías. Ambos iniciando su séptima década en pleno uso de sus facultades, en medio de proyectos nuevos y totalmente entregados a su arte. La muerte los tomó por sorpresa y se los llevó con sus planes, que por siempre quedarán incompletos. Nosotros, sus lectores, de igual manera quedamos un tanto incompletos sin ellos. Jean-Luc Godard falleció también hace unos días, en su casa al borde del Lago Leman, en un pequeño y pintoresco pueblo llamado Rolle, donde el gran cineasta francosuizo, siempre del lado de la controversia, creó con su muerte por medio del suicidio asistido, su última obra. Y así, finalmente llego, tras varias bifurcaciones, al inmenso escritor portugués António Lobo Antunes. Porque bien visto, Godard y él están unidos por una búsqueda similar, donde el lenguaje se sitúa al centro de una transformación constante y la forma, es justo ese envoltorio que es menester maniobrar y manipular, con el solo propósito de lograr contener ese discurso innovador. En la obra de Lobo Antunes, el lenguaje es rey. Portentosa y vigorosa, su prosa es un ser vivo cuya capacidad de mutación es sorprendente. La exigencia estilística y emocional, tan presente en otras novelas suyas que he leído, se manifiesta en esta con mayor fuerza. Y es sorprendente cómo el escritor aprieta las tuercas de tal manera que, el lector, en un momento dado se siente perdido en ese inmenso mar de pensamientos, cuyo ir y venir incesante produce un efecto casi hipnótico. No deja de manifestarse a todo lo largo de la novela la gran mente creadora del autor. La trama es en sí misma una especie de laberinto: cuatro voces irrumpen en la aparente tranquilidad de una noche de insomnio, donde la ansiedad de alcanzar el tan anhelado sueño se ve poco a poco amenazada y aniquilada por el aplastante despliegue de ese inmenso aparato que esa la mente y que está compuesta de absolutamente todos los recuerdos que guardamos y amontonamos, en un desorden aparente, en los diversos rincones, escalafones, pasillos y anaqueles que la conforman. La entrada a cada una de las mentes de los personajes (finalmente puedo concluir que son tres personajes, un hombre y dos mujeres y que, sin embargo, cada sección del libro conforma cuatro voces, cuyo orden es aparentemente arbitrario, la cuarta es una especie de comodín, que el autor utiliza para redondear ideas) produce un efecto que va en ascenso y es directamente proporcional a las horas que marca el reloj (y a la angustia de cada personaje, que finalmente constata que es su mente -y todo el enorme bagaje que constituyen el miedo, la soledad, el desamor, la espera, la tristeza-, la que no va a permitirle sucumbir al sueño), y que conforman las seis grandes secciones o capítulos: medianoche, una de la mañana, dos de la mañana, etc. El progreso temporal es un planteamiento capital del libro. A todo lo largo de la novela, las ideas recurrentes sirven de guías al lector, algo así como las piedras que forman un camino para lograr cruzar un río, por ejemplo. Así, los nombres de lugares conforman un plano lingüístico, más que geográfico: Lisboa, Peniche, Alentejo, Montemor, Évora, Estremoz, Sintra y Luxemburgo. Cada lugar atado a un recuerdo específico y representando en el discurso de los personajes el movimiento. Luego vienen los diversos árboles que representan un plano más de este mapa semántico: manzano, árbol de la China, abeto, pomar, nogal, encina, olmo; después los pájaros: albatros, cuervos, milanos. Las personas, objetos y sitios: gitanos migrando, una niña ahorcada en la rama de un manzano, una muñeca, tres payasos, las olas de Peniche, las hierbas alrededor de un árbol, los perros (y particularmente una perra en celo, dentro de un garaje), un surtidor de gasolina y el empleado leyendo el periódico, un hospital, un hombre vestido de mujer (la transformación como idea germinal) y finalmente los nombres de personas: Ana Emilia, António, Elizabete, Lurdes, Laura, Marionela, Isménia. Las alusiones políticas, sobre una idea alegórica de la novela (representando el insomnio de un país entero), están también muy presentes y requerirían un estudio más completo. Es particularmente interesante y sorprendente la manera en cómo el autor se va introduciendo en los pensamientos de sus personajes, que en repetidas ocasiones se refieren al libro que escriben, dirigiéndose a sus lectores en una serie continua de paréntesis, que también van en ascenso y que, al final, logran el desdoblamiento definitivo, la metamorfosis suprema: el nombre del propio autor, a quien le tomó casi quinientas páginas romper el capullo para lograr volar libremente. La escritura como liberación, ni más ni menos.Un análisis riguroso y puntual se convertiría en un ensayo bastante más extenso que la presente reseña (más académico, más detallista y aburrido…) y creo que aquí no es lugar para hacerlo. Así que me detengo, tan solo para regresar a la idea inicial del presente texto sobre la pérdida y decirle a mi querido y muy admirado Javier Marías: estoy muy triste porque Ayer no te vi en Babilonia.__...more",Notes are private!,0,11,1,"Sep 07, 2022","Sep 20, 2022","Sep 07, 2022",,Hardcover,view (with text),/book/show/15711586-ayer-no-te-vi-en-babilonia
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Bal des folles,"Mas, Victoria*",2226442103,9782226442109,2226442103,256        pp,3.78,"29,243","Aug 21, 2019","Aug 21, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"À la fin du XIXe siècle, à la Salpêtrière, l'hospice et l'asile d'aliénés organisent chaque année, pendant le carême, un bal connu sous le nom de Bal À la fin du XIXe siècle, à la Salpêtrière, l'hospice et l'asile d'aliénés organisent chaque année, pendant le carême, un bal connu sous le nom de Bal des folles. Et c'est au cours de cette célébration que le premier roman de Victoria Mas trouve sa conclusion. Ce qui est surprenant, à mon avis, c'est que l'écriture claire et nette de l'ensemble du texte soutient la construction formelle et la met en valeur : l'exécution permet de maintenir un rythme précis, où le balancement des phrases semble trouver le juste équilibre. L'intrigue est portée sur deux plans. Dans le premier, les deux personnages principaux sont Eugénie et Geneviève, et dans le second, Louise et Thérèse. Le roman est une forte critique de la société parisienne, où les familles aisées se débarrassaient de leurs filles rebelles, les faisant interner à l'hôpital où exerçait le célèbre docteur Charcot et dont les autres patients étaient d'anciennes prostituées, des victimes de viols, des épouses infidèles, reflétant la condition précaire des femmes à l'époque. Un ouvrage bien documenté, écrit dans un style simple et élégant, à la manière de Zola, et qui réussit à nous donner un portrait précis d'un lieu et d'une époque....more",Notes are private!,0,15,1,"Sep 05, 2022","Sep 07, 2022","Sep 05, 2022",,Paperback,view (with text),/book/show/46137314-le-bal-des-folles
