,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cheryl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walking on My Grave        (Death on Demand #26),"Hart, Carolyn G.*",,,B01KGZVP3E,255        pp,3.64,907,"May 02, 2017","May 02, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’ve read too many mysteries. Had this figured out too soon to really enjoy the book. Plus, too many snobs in it.",Notes are private!,0,1,1,"Apr 10, 2024","Apr 11, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/31522515-walking-on-my-grave
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Water,"Brown, Steve",,,,unknown,4.16,44,2008,2008,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Sadly beautiful in its resilience and tenacity. What an amazing woman. A testament to love.,Notes are private!,0,0,1,"Apr 03, 2024","Apr 08, 2024","Apr 08, 2024",,,view (with text),/book/show/3421783-the-color-of-water
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Feel the Bern        (Bernie Sanders Mystery #1),"Shaffer, Andrew*",198486114X,9781984861146,198486114X,256        pp,3.59,"1,748","Dec 06, 2022","Dec 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh Bernie, I can so see this happening. Crash is hired on to intern for Senator Sanders with a weekend of activities in her hometown. It’s been years,Oh Bernie, I can so see this happening. Crash is hired on to intern for Senator Sanders with a weekend of activities in her hometown. It’s been years, but she settles into her old home, now a B&B her mother runs, along with the town grocery store/restaurant. It’s maple syrup country in Eagle Creek, Vermont. Bernie is a connoisseur, so enjoying the scene. It’s festival time and Bernie is supposed to be a headliner in a parade and several other events. Things get out of skew when the body of the town banker is found floating in the lake. Autopsy reports show that he drowned in Maple syrup. How did he drown from Maple syrup and get in the lake? Much is at play with a big wig buying up the local maple Farms and monopolizing, another local farmer disappearing, and what of the purported Loch Ness kind of creature that the Champs festival is named after that has historically been rumored to live in the lake? As expected with Shaffer’s books, it’s a slapstick read full of innuendo and heroic scenes. I certainly hope he continues putting popular people such as Obama and Sanders and Biden in these cozy mysteries....more",Notes are private!,0,0,1,"Apr 05, 2024","Apr 07, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/59208211-feel-the-bern
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Through the Grinder        (Coffeehouse Mystery, #2)","Coyle, Cleo*",042519714X,9780425197141,042519714X,270        pp,3.85,"9,505","Oct 05, 2004","Oct 05, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A tad more suspenseful than normal for a cozy, which actually made it more enjoyable. Good characters, good dialogue, and lots of good coffee brewing A tad more suspenseful than normal for a cozy, which actually made it more enjoyable. Good characters, good dialogue, and lots of good coffee brewing tips. Being a Java junkie, I appreciate that. Quite the surprise in reveal. Why a four and not a five? The overly repetitive use of “The genius” ...more",Notes are private!,0,1,1,"Mar 30, 2024","Mar 31, 2024","Mar 31, 2024",,Mass Market Paperback,view (with text),/book/show/518714.Through_the_Grinder
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder in the Book Lover's Loft        (A Book Retreat Mystery #9),"Adams, Ellery*",149672951X,9781496729514,B0BKTWP9VG,304        pp,4.36,"2,096","Jul 25, 2023","Jul 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In a box of books from my stepmother, this took up space. It’s an easy read, good characters, good dialogue, believable.. but one should probably starIn a box of books from my stepmother, this took up space. It’s an easy read, good characters, good dialogue, believable.. but one should probably start with the first in the series, as many references (even when nicely explained) would have been smoother had I read of them in context. But did appreciate that they were expounded upon, not many writers take space to do that. I also appreciated the not-so dramatic reveal scene. Sometimes easy is just as good. Now I have to go find the first book and read up to this (#9) ....more",Notes are private!,0,3,1,"Mar 26, 2024","Mar 28, 2024","Mar 28, 2024",,Kindle Edition,view (with text),/book/show/63259521-murder-in-the-book-lover-s-loft
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Devil to Die        (Thursday Murder Club, #4)","Osman, Richard",0241512441,9780241512449,0241512441,422        pp,4.51,"108,264","Sep 14, 2023","Sep 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just love this series, these characters, this author! Along with the many LOL’s throughout, there were some big old ugly tears. We all knew it was cI just love this series, these characters, this author! Along with the many LOL’s throughout, there were some big old ugly tears. We all knew it was coming, but it was still very sad. ...more",Notes are private!,0,2,1,"Mar 22, 2024","Mar 23, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/62226126-the-last-devil-to-die
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outside Looking In,"Boyle, T. Coraghessan*",0062883003,9780062883001,,400        pp,3.60,"3,416","Jan 28, 2019","Apr 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2024",not set,"Mar 19, 2024",,ebook,view,/book/show/39854442-outside-looking-in
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mona of the Manor        (Tales of the City, #10)","Maupin, Armistead",0062973592,9780062973597,0062973592,256        pp,4.23,814,"Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Please!!! Don’t really let this be the last!Mona was always my favorite character and to end the series with her was, well, sort of cathartic? Still, Please!!! Don’t really let this be the last!Mona was always my favorite character and to end the series with her was, well, sort of cathartic? Still, I want their lives to pace my own and share their tales. So many blossoms yet to fruit. More, please, just a few more? ...more",Notes are private!,0,0,1,"Apr 09, 2024","Apr 10, 2024","Mar 07, 2024",,Hardcover,view (with text),/book/show/173955333-mona-of-the-manor
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maybe the Moon,"Maupin, Armistead",0060924349,9780060924348,0060924349,303        pp,3.71,"3,378",1992,"Jan 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/95097.Maybe_the_Moon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lonely Hearts Book Club,"Gilmore, Lucy*",1728256216,9781728256214,1728256216,352        pp,3.88,"25,849","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Written in the voices of the main characters, it’s a collective of insecurities that find strength and reason when shoring up that of each other.",Notes are private!,0,2,1,"Mar 05, 2024","Mar 11, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/61341469-the-lonely-hearts-book-club
