,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Warm Hands of Ghosts,"Arden, Katherine*",0593128257,9780593128251,0593128257,325        pp,4.09,"6,191","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/154462576-the-warm-hands-of-ghosts
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shrines of Gaiety,"Atkinson, Kate",0385547978,9780385547970,0385547978,416        pp,3.86,"33,681","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 07, 2022",not set,"Sep 07, 2022",,Hardcover,view,/book/show/60371805-shrines-of-gaiety
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",125079076X,9781250790767,125079076X,320        pp,3.82,"113,986","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2022","Sep 05, 2022","Sep 06, 2022",,Hardcover,view,/book/show/55315487-the-plot
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ithaca        (The Songs of Penelope #1),"North, Claire",,,B09HQMF3M2,464        pp,3.70,"8,104","Sep 06, 2022","Sep 06, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ithaca is an interesting addition to the wave of retellings and companion stories of classic tales from Greek mythology. Claire North aims to reinIthaca is an interesting addition to the wave of retellings and companion stories of classic tales from Greek mythology. Claire North aims to reinvent the Penelopiad, with a feminist slant that captures the quiet, hidden power of Penelope, the maids of Ithaca, and the goddesses of Mount Olympus. The novel brings forward the layered resilience and despondency of the women of Ancient Greece, who ruled, created order and strength in a time of chaos, only to be relegated again into limited roles by returning men while secretly both suffering and maintaining the stability of their lands. It also puts into stark relief the oppressive chauvinism of Ancient Greece and its Lost Generation, those men who came of age during and following the Trojan War, too young to fight and die as heroes on foreign shores and without leaders, kings, fathers to guide them, or surviving a long and seemingly pointless war to be confronted with the limited fruits of victory. And in their rage and impotence, they begin grasping for dominion: on Ithaca that includes eating, drinking, harassing Ornelope and the maids, and serving as loutish obstacles to anything constructive or productive for the kingdom.There’s a lot that can be done - the Odyssey picks - and North covers a lot of ground, but perhaps too much. The plot expands to cover various maids that serve Penelope, though we perhaps don’t get to know any of them quite as much as we’d like (Priene is a standout for sure). It also brings Elektra and Orestes to Ithaca in pursuit of their mother Clytemnestra, a twist and non-Homeric or Aeschylean narrative choice, that sometimes works well, especially to reflect on the complicated relationship North draws between Penelope and her son Telemachus, but often their presence crowds out the Ithacans.Perhaps the largest problem is North’s choice of narrator. Hera, Queen of the Gods, a greatly diminished figure herself, is telling the audience these tales that the poets do not. North writes Hera’s voice inconsistently in a way that is very distracting: we go from a voice that sounds mythic and laden with description perhaps overly purple with some clunky allusions - The island of Ithaca guards the watery mouth of Greece like an old cracked tooth  - to very snarky modern tone and language - These eggs eventually hatch, producing Castor and Pollux, the little twerps. The writing and tone tip back and forth, but for me at least, it didn’t provide a more friendly connection to Hera which I think was what was intended, to render her accessible to the mortals in the story and those reading her tale. Instead I found the snarky, modern language jarring and disruptive from the more common pseudo-mythical narration North uses, and it had the effect of finding the Queen of the Gods more petty than I would otherwise and it broke my immersion to North’s world.Ultimately, I think three stars is the right rating for this book for me: I did like it, and found it to be something of a worthwhile addition to the recent trends of feminist retellings and expanded editions of Greek myths. But the storytelling itself - so key in the source material and so well executed by other modern authors - is uneven and distracting and detracting from the overall effort. That said, I would pick up North’s next book in this series to see how she next tackles The Odyssey and Odysseus’s homecoming and how Penelope and her maids factor in to this versions murder of the suitors, and would hope there’s more consistency in tone and style and less faux comic arch. A solid if not inspiring read for lovers of Greek mythology....more",Notes are private!,0,14,1,"Aug 30, 2022","Sep 02, 2022","Aug 30, 2022",,Kindle Edition,view (with text),/book/show/59416521-ithaca
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",,,,355        pp,4.02,"139,157","Aug 30, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 30, 2022","Sep 06, 2022","Aug 30, 2022",,Hardcover,view,/book/show/60353768-the-marriage-portrait
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury Pictures Presents,"Marra, Anthony*",0451495209,9780451495204,0451495209,416        pp,3.68,"10,979","Jul 19, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2022",,Hardcover,view,/book/show/59109471-mercury-pictures-presents
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Declaration of the Rights of Magicians        (The Shadow Histories, #1)","Parry, H.G.*",0316459089,9780316459082,0316459089,531        pp,3.74,"3,602","Jun 23, 2020","Jun 23, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 21, 2022","Aug 22, 2022","Aug 21, 2022",,Hardcover,view,/book/show/51862863-a-declaration-of-the-rights-of-magicians
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Radical Act of Free Magic        (The Shadow Histories, #2)","Parry, H.G.*",0316459143,9780316459143,0316459143,464        pp,4.34,"1,231","Jul 20, 2021","Jul 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 21, 2022",,Hardcover,view,/book/show/55527237-a-radical-act-of-free-magic
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,741","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 27, 2022",Sep 2022,"Aug 20, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,642","Apr 05, 2022","May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2022",,Hardcover,view,/book/show/58446227-sea-of-tranquility
