,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aviva's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Book,"Jansson, Tove",0954221710,9780954221713,0954221710,192        pp,4.03,"39,196",1972,"May 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/79550.The_Summer_Book
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Christ Stopped at Eboli: The Story of a Year,"Levi, Carlo",0374530092,9780374530099,0374530092,275        pp,4.10,"8,582",1945,"Jan 10, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Woweeee. I didn’t read and analyze this memoir as an accompaniment to a semester-long course meticulously examining Italian cities and their socio-polWoweeee. I didn’t read and analyze this memoir as an accompaniment to a semester-long course meticulously examining Italian cities and their socio-political, written, and artistic legacies at an elite liberal arts college BUT I did read this yearning, wishing I did. Levi commands artful, poetic prose that feels so rare and special in a memoir; in fact this often felt like a novel both because of the language, but also because the subject matter is so fantastical and unusual that it genuinely feels fictive. My one criticism is that this bitch is DENSE...more",Notes are private!,0,1,1,"Mar 12, 2024","Mar 28, 2024","Mar 12, 2024",,Paperback,view (with text),/book/show/65211.Christ_Stopped_at_Eboli
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Single Man,"Isherwood, Christopher",0816638624,9780816638628,0816638624,186        pp,4.07,"33,322",1964,"Apr 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/16842.A_Single_Man
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boulder,"Baltasar, Eva",8439736967,9788439736967,8439736967,128        pp,3.86,"6,517","Mar 12, 2020","Mar 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/49236083-boulder
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ties,"Starnone, Domenico",1609453859,9781609453855,1609453859,150        pp,3.95,"19,169","Oct 14, 2014","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/31243077-ties
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,756",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monsters: A Fan's Dilemma,"Dederer, Claire",0525655115,9780525655114,0525655115,257        pp,3.82,"9,402","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/61685822-monsters
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Understand Wool,"DeWitt, Helen",0811230074,9780811230070,0811230074,69        pp,4.16,"5,814","Aug 16, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Hardcover,view,/book/show/59468833-the-english-understand-wool
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hour of the Star,"Lispector, Clarice",0141392037,9780141392035,0141392037,96        pp,4.09,"34,674","Oct 26, 1977","Apr 28, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well this was brilliant. In pedantic tradition, the premise reminded me of Dante’s pathetic pining for Beatrice; the literary narrator lovingly devoteWell this was brilliant. In pedantic tradition, the premise reminded me of Dante’s pathetic pining for Beatrice; the literary narrator lovingly devotes all of his work, words, life to a woman who he never speaks to. In Lispector’s case, the woman is a fascinating, decrepit, optimistic shell of a person who sustains herself on hotdogs and the occasional coffee. In summary: so funny, so smart...more",Notes are private!,0,2,1,"Dec 03, 2023","Dec 10, 2023","Nov 17, 2023",,Paperback,view (with text),/book/show/17573223-hour-of-the-star
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Palestine,"Chomsky, Noam",024197352X,978024198081,024197352X,215        pp,4.24,"6,963","May 07, 2015","May 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Mass Market Paperback,view,/book/show/25893962-on-palestine
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Speak, Memory","Nabokov, Vladimir",,,,255        pp,4.08,"16,449",1966,Oct 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 08, 2023",,Paperback,view,/book/show/30594.Speak_Memory
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Life as Edgar,"Fabre, Dominique",1953861482,9781953861481,1953861482,198        pp,3.20,30,unknown,"Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Paperback,view,/book/show/61059997-my-life-as-edgar
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Friend: Essays,Ziwe,1419756346,9781419756344,1419756346,192        pp,4.32,"4,863","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 05, 2023",,Hardcover,view,/book/show/56969544-black-friend
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sirens & Muses,"Angress, Antonia*",,9780593496435,0593496434,368        pp,3.96,"9,560","Jul 12, 2022","Jul 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 22, 2023",,Hardcover,view,/book/show/59336344-sirens-muses
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Cities,"Calvino, Italo",0156453800,9780156453806,0156453800,165        pp,4.12,"83,832","Nov 03, 1972",1974,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Paperback,view,/book/show/9809.Invisible_Cities
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anna Karenina,"Tolstoy, Leo",0143035002,9780143035008,0143035002,838        pp,4.09,"848,002",1878,"May 31, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The disfigured, demonized woman is by far the most interesting character whilst the male ensemble-ish characters have somewhat boring identity crises The disfigured, demonized woman is by far the most interesting character whilst the male ensemble-ish characters have somewhat boring identity crises that the male author LOVES to give disproportionate airtime to (AK is one of many MANY such cases of this malady). But also I am a mere mortal and Tolstoy is Tolstoy so actually WHAT do I know...more",Notes are private!,0,6,1,"Dec 20, 2023","Feb 27, 2024","Sep 09, 2023",,Paperback,view (with text),/book/show/151.Anna_Karenina
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eugene Onegin,"Pushkin, Alexander",,,,240        pp,4.10,"64,509",1825,"Oct 22, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2023",,Paperback,view,/book/show/27822.Eugene_Onegin
