,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rusalka's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hunt on Dark Waters,"Robert, Katee*",1529917182,9781529917185,1529917182,400        pp,3.29,"5,780","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/152921723-hunt-on-dark-waters
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dirt Town,"Scrivenor, Hayley*",1760987190,9781760987190,1760987190,368        pp,3.84,"13,458","May 31, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/59633393-dirt-town
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",0349701474,9780349701479,0349701474,366        pp,4.15,"753,424","Jun 02, 2020","Jun 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/55298625-the-vanishing-half
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crown of Midnight,"Maas, Sarah J.*",1526660865,9781526660862,1526660865,0        pp,4.36,"1,004,322","Aug 15, 2013","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/135986133-crown-of-midnight
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Hammer, Chris",1761065041,9781761065040,1761065041,463        pp,4.04,"6,689","Oct 06, 2020","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Mass Market Paperback,view,/book/show/60473260-trust
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Dark Spaces,"Black, Cally*",1760128643,9781760128647,1760128643,320        pp,3.83,696,"Aug 01, 2017","Aug 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/33296199-in-the-dark-spaces
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wicked King        (The Folk of the Air, #2)","Black, Holly*",0316310336,9780316310338,0316310336,336        pp,4.31,"751,460","Jan 08, 2019","Jan 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,ebook,view,/book/show/26032887-the-wicked-king
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood Runs Cold        (DS Max Craigie Scottish Crime Thrillers, Book 4)","Lancaster, Neil*",0008551286,9780008551285,,352        pp,4.50,"1,361","Apr 13, 2022","Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/63202279-blood-runs-cold
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Rising Man        (Sam Wyndham, #1)","Mukherjee, Abir*",,,,400        pp,3.91,"11,226","May 05, 2016","May 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/25686321-a-rising-man
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Happened to Nina?,"McTiernan, Dervla*",,,B0C6Y2C7RD,328        pp,4.22,"3,678","Mar 05, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/171793386-what-happened-to-nina
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future,"Alderman, Naomi*",166802568X,9781668025680,166802568X,432        pp,3.88,"11,312","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/123163147-the-future
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place of Greater Safety,"Mantel, Hilary",0312426399,9780312426392,0312426399,749        pp,3.99,"10,081",1992,"Nov 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/101921.A_Place_of_Greater_Safety
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shark Caller,"Bethell, Zillah*",1474966845,9781474966849,1474966845,400        pp,4.41,972,2021,Feb 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/51610439-the-shark-caller
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scenes of a Graphic Nature,"O'Donoghue, Caroline*",0349009945,9780349009940,0349009945,352        pp,3.65,"4,429","Jun 18, 2020","Aug 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/52348961-scenes-of-a-graphic-nature
