,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Simona's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il magico studio fotografico di Hirasaka,"Hiiragi, Sanaka",8858858476,9788858858479,B0C74W5J2F,160        pp,4.04,"4,409","Feb 06, 2019","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 03, 2024","Apr 09, 2024","Apr 03, 2024",,Kindle Edition,view,/book/show/173818832-il-magico-studio-fotografico-di-hirasaka
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ethan Frome,"Wharton, Edith",,,,145        pp,3.44,"127,274",1911,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/9711396-ethan-frome
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Figli e figlie,"Bodrožić, Ivana",8838945799,9788838945793,B0C8BGX9CD,236        pp,4.42,546,Oct 2020,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/178750870-figli-e-figlie
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In,"Kirino, Natsuo",1846554241,9781846554247,1846554241,384        pp,3.28,294,May 2009,"May 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Mar 31, 2024",,Hardcover,view,/book/show/17186273-in
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nella casa del pianista,"Brokken, Jan",,,,432        pp,4.28,467,Sep 2008,"Jun 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/12617966-nella-casa-del-pianista
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frontiera: Perché sarà un nuovo secolo americano,"Costa, Francesco",8835732387,9788835732389,B0CW2ST9Y6,300        pp,3.88,458,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,ebook,view,/book/show/208926793-frontiera
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le cose da salvare,"Rossetti, Ilaria",8854520446,9788854520448,8854520446,208        pp,3.72,79,2020,2020,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 18, 2024","Mar 21, 2024","Mar 17, 2024",,Paperback,view,/book/show/52079192-le-cose-da-salvare
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'orizzonte della notte,"Carofiglio, Gianrico",8858444620,9788858444627,B0CT28ZWRB,288        pp,3.68,415,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,ebook,view,/book/show/205821138-l-orizzonte-della-notte
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ci vediamo in agosto,"García Márquez, Gabriel",8835731674,9788835731672,B0CSFF536C,78        pp,3.78,"7,227","Mar 06, 2024","Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/205432159-ci-vediamo-in-agosto
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cose che non si raccontano,"Lattanzi, Antonella",,,B0BVTBBWP4,205        pp,4.27,"1,496",unknown,"Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 09, 2024","Mar 12, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/122882530-cose-che-non-si-raccontano
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mansfield Park,"Austen, Jane",,,,488        pp,3.86,"349,609",May 1814,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Mar 21, 2024","Apr 07, 2024","Mar 07, 2024",,Paperback,view,/book/show/45032.Mansfield_Park
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'isola della memoria,"Michielsen, Dido",,,B0BY8QK5YJ,285        pp,4.25,"2,555","Sep 09, 2019","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Kindle Edition,view,/book/show/123334873-l-isola-della-memoria
