,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mira Margitta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Potomci medikusa,"Gordon, Noah",8633131609,9788633131605,B004HC71WM,412        pp,3.49,"7,169",1995,2007,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I dok su mi prvi i drugi dio dio bili veličanstveni, ovaj me razočarao.Odustala od čitanja.",Notes are private!,0,2,1,"Apr 06, 2024","Apr 08, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/37554663-potomci-medikusa
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pauk        (Joona Linna #9),"Kepler, Lars*",,9789533586250,,504        pp,4.10,"8,408","Oct 19, 2022",Sep 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 24, 2024","Mar 31, 2024","Mar 24, 2024",,Paperback,view,/book/show/199272555-pauk
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Šamanas        (Cole Family Trilogy, #2)","Gordon, Noah",,9786090133156,,608        pp,4.17,"14,444",1992,Jul 2018,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 09, 2024","Apr 06, 2024","Mar 09, 2024",,Hardcover,view,/book/show/40795044-amanas
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vidio sam čovjeka,"Sheers, Owen",,9789532592306,,317        pp,3.45,"4,044","Mar 04, 2014",2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 09, 2024","Mar 24, 2024","Mar 09, 2024",,Hardcover,view,/book/show/43881338-vidio-sam-ovjeka
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Otok morskih žena,"See, Lisa*",,9789533720067,,456        pp,4.31,"119,801","Mar 05, 2019",May 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 29, 2024","Mar 03, 2024","Feb 29, 2024",,Paperback,view,/book/show/62138388-otok-morskih-ena
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Koperhed,"Kingsolver, Barbara",,,,616        pp,4.51,"397,968","Oct 18, 2022",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 28, 2024","Mar 24, 2024","Feb 28, 2024",,,view,/book/show/200228097-demon-koperhed
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lincolnova cesta,"Towles, Amor*",,9789531433211,,526        pp,4.23,"259,091","Oct 05, 2021",2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Glavni protagonisti su mladi dečki od 18 godina i dječak od 8.Knjiga je puna lijepih misli, pouka itd., ali u pitanju su dečkići koji su tek zakoračilGlavni protagonisti su mladi dečki od 18 godina i dječak od 8.Knjiga je puna lijepih misli, pouka itd., ali u pitanju su dečkići koji su tek zakoračili u život.Šta oni znaju o pravdi, praštanju, dobrim odlukama?...more",Notes are private!,0,3,1,"Feb 21, 2024","Feb 29, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/63247256-lincolnova-cesta
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zavet vode,"Verghese, Abraham*",8652150427,9788652150427,8652150427,800        pp,4.47,"150,615","May 02, 2023","Oct 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Kakva knjiga!I jedno divno putovanje na 800 stranica kroz život jedne porodice.Ide u top 3 najboljih u ovoj godini.Preporuka.,Notes are private!,0,2,1,"Feb 14, 2024","Feb 28, 2024","Feb 14, 2024",,Paperback,view (with text),/book/show/201044827-zavet-vode
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ubistva u Istanbulu,"Ümit, Ahmet",8661051207,9788661051203,B00MJVSLMM,540        pp,4.15,"6,450","Jun 01, 2010","Jul 23, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 10, 2024","Feb 14, 2024","Feb 10, 2024",,Paperback,view,/book/show/22824062-ubistva-u-istanbulu
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moll Flanders,"Defoe, Daniel",,,,339        pp,3.52,"46,337",1722,"Oct 05, 1993",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lažljivica, kradljivica, žena koja je rađala i odbacivala svoju djecu....Ma nemam lijepu riječ za Moll.Dok sam čitala, ni trun empatije nisam imala zaLažljivica, kradljivica, žena koja je rađala i odbacivala svoju djecu....Ma nemam lijepu riječ za Moll.Dok sam čitala, ni trun empatije nisam imala za ovu smutljivicu.Ali piscu svaka čast, djelo je napisano prije više od 300 g, a ovakve situacije imamo i danas....more",Notes are private!,0,1,1,"Feb 08, 2024","Feb 10, 2024","Feb 08, 2024",,Paperback,view (with text),/book/show/38262.Moll_Flanders
