,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nandakishore's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memory of Fire,"Galeano, Eduardo",0704302195,9780704302198,0704302195,919        pp,4.42,279,"Jan 01, 1988",1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/2104355.Memory_of_Fire
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twilight World,"Herzog, Werner",0593490266,9780593490266,0593490266,144        pp,3.87,"5,698","Aug 23, 2021","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/59576066-the-twilight-world
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time Shelter,"Gospodinov, Georgi",1324090952,9781324090953,1324090952,304        pp,3.79,"15,040","Apr 29, 2020","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/58999261-time-shelter
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cursed Objects: Strange but True Stories of the World's Most Infamous Items,"Ocker, J.W.*",1683692365,9781683692362,1683692365,272        pp,3.69,"2,720","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/50526540-cursed-objects
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Barely Imagined Beings: A 21st Century Bestiary,"Henderson, Caspar",184708172X,9781847081728,184708172X,427        pp,4.06,"1,344","Oct 04, 2012","Oct 04, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/13562662-the-book-of-barely-imagined-beings
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breverton's Phantasmagoria: A Compendium Of Monsters, Myths And Legends","Breverton, Terry",0762770236,9780762770236,0762770236,384        pp,3.99,794,"Jul 01, 2011","Sep 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/11799375-breverton-s-phantasmagoria
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Madman's Library: The Strangest Books, Manuscripts and Other Literary Curiosities from History","Brooke-Hitching, Edward",179720730X,9781797207308,179720730X,256        pp,4.26,"1,460","Oct 01, 2020","Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/55278284-the-madman-s-library
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City on Fire: A Boyhood in Aligarh,"Khan, Zeyad Masroor",9356998256,9789356998254,B0CKP88DC5,347        pp,4.24,38,unknown,"Dec 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/199555477-city-on-fire
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadows At Noon,"Chatterji, Joya",1847925499,9781847925497,1847925499,864        pp,4.37,35,"Jul 13, 2023","Jul 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/61634087-shadows-at-noon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"India Is Broken: A People Betrayed, Independence to Today","Mody, Ashoka",1503630056,9781503630055,1503630056,528        pp,4.23,161,unknown,"Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/60332254-india-is-broken
