,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Katherine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Der Russe ist einer, der Birken liebt","Grjasnowa, Olga",3446238549,9783446238541,3446238549,288        pp,3.69,"2,507",2012,2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/13331786-der-russe-ist-einer-der-birken-liebt
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Mice and Men,"Steinbeck, John",0142000671,9780142000670,0142000671,107        pp,3.88,"2,546,672","Feb 25, 1937",2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 07, 2024","Mar 06, 2024",,Paperback,view,/book/show/890.Of_Mice_and_Men
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jesus and the Jewish Roots of the Eucharist: Unlocking the Secrets of the Last Supper,"Pitre, Brant",0385531842,9780385531849,0385531842,240        pp,4.60,"3,537",2011,"Feb 15, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024",not set,"Mar 06, 2024",,Hardcover,view,/book/show/8427566-jesus-and-the-jewish-roots-of-the-eucharist
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tuesdays with Morrie,"Albom, Mitch*",,,0751529818,210        pp,4.17,"1,027,236","Aug 18, 1997",2000,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024","Mar 06, 2024","Feb 26, 2024",,Paperback,view,/book/show/6900.Tuesdays_with_Morrie
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,158","Apr 20, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Feb 12, 2024",,Hardcover,view,/book/show/54814676-crying-in-h-mart
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winners        (Beartown, #3)","Backman, Fredrik*",,,B09R2J1DXF,671        pp,4.46,"110,868",2022,"Sep 27, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2024",Feb 2024,"Jan 12, 2024",,Kindle Edition,view,/book/show/60318890-the-winners
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Secondhand Time: The Last of the Soviets,"Alexievich, Svetlana",1922253995,9781922253996,B01DI6E5NK,496        pp,4.46,"17,977","Aug 15, 2013","May 16, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Kindle Edition,view,/book/show/30200112-secondhand-time
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Garlic and Sapphires: The Secret Life of a Critic in Disguise,"Reichl, Ruth",0143036610,9780143036616,0143036610,333        pp,3.94,"44,815","Apr 04, 2005","Mar 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/80642.Garlic_and_Sapphires
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,958","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,124","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/65650229-wellness
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,114","Apr 05, 2005","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/6334.Never_Let_Me_Go
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mouth to Mouth,"Wilson, Antoine*",198218180X,9781982181802,198218180X,179        pp,3.67,"15,396","Jan 11, 2022","Jan 11, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 05, 2023","Dec 07, 2023","Dec 05, 2023",,Hardcover,view,/book/show/58438631-mouth-to-mouth
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divorce,"Lewis, C.S.",,,,146        pp,4.31,"150,815",1946,"Apr 21, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024","Mar 04, 2024","Dec 04, 2023",,Paperback,view,/book/show/25845273-the-great-divorce
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",0452284236,9780452284234,B00A2MTYAI,368        pp,4.19,"4,598,257","Jun 08, 1949",Jul 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 23, 2023","Dec 04, 2023","Nov 23, 2023",,Paperback,view,/book/show/61439040-1984
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ice Cream Queen of Orchard Street,"Gilman, Susan Jane*",0446578932,9780446578936,0446578932,505        pp,3.73,"11,206","Jun 10, 2014","Jun 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Hardcover,view,/book/show/18656072-the-ice-cream-queen-of-orchard-street
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hundred-Foot Journey,"Morais, Richard C.*",1439165645,9781439165645,1439165645,256        pp,3.57,"28,352",2008,"Jul 06, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Hardcover,view,/book/show/7347109-the-hundred-foot-journey
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Man for Others: Maximilian Kolbe the ""Saint of Auschwitz""","Treece, Patricia",0913382671,9780913382677,0913382671,255        pp,4.51,211,"Jan 01, 1982","Sep 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Paperback,view,/book/show/6625758-a-man-for-others
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poland: A History,"Zamoyski, Adam",0007282753,9780007282753,0007282753,448        pp,4.00,"1,200","Jan 01, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 02, 2023",,Hardcover,view,/book/show/6404895-poland
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beware of Pity,"Zweig, Stefan",,,,353        pp,4.24,"15,382",1939,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 27, 2023",,Paperback,view,/book/show/59149.Beware_of_Pity
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Assault,"Mulisch, Harry",,,,185        pp,3.73,"16,953","Dec 01, 1982",Mar 1986,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2023",,Paperback,view,/book/show/88387.The_Assault
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart's Invisible Furies,"Boyne, John*",,,,582        pp,4.51,"162,336","Feb 09, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Hardcover,view,/book/show/33253215-the-heart-s-invisible-furies
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sentence,"Erdrich, Louise",006267112X,9780062671127,006267112X,387        pp,3.96,"68,603","Nov 09, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Hardcover,view,/book/show/56816904-the-sentence
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Balzac and the Little Chinese Seamstress,"Dai, Sijie",0385722206,9780385722209,0385722206,184        pp,3.64,"64,060",2000,"Oct 29, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 07, 2023","Dec 10, 2023","Sep 10, 2023",,Paperback,view,/book/show/533465.Balzac_and_the_Little_Chinese_Seamstress
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After I Do,"Reid, Taylor Jenkins*",,,,334        pp,3.95,"203,093","Jul 01, 2014","Jul 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5⭐️I read this relatively fast for my average pace. Sometimes it’s uncomfortable to read about rocky relationships and all of the complicated emotio3.5⭐️I read this relatively fast for my average pace. Sometimes it’s uncomfortable to read about rocky relationships and all of the complicated emotions that come with them, but this book made it possible. I enjoyed it more than I was expecting to. ...more",Notes are private!,0,0,1,"Sep 04, 2023","Sep 06, 2023","Sep 06, 2023",,Paperback,view (with text),/book/show/18775359-after-i-do
