,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sarah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Radical Mycology: A Treatise On Seeing & Working With Fungi,"McCoy, Peter",0986399604,9780986399602,0986399604,672        pp,4.76,166,unknown,"Feb 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/28927365-radical-mycology
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Haunt Sweet Home,"Pinsker, Sarah*",1250330270,9781250330277,B0CQHL3ZTM,192        pp,3.71,7,"Sep 03, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/203924647-haunt-sweet-home
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Model Home,"Solomon, Rivers*",1529901693,9781529901696,1529901693,304        pp,4.75,4,unknown,"Oct 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/61258011-model-home
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lone Women,"LaValle, Victor",052551208X,9780525512080,052551208X,285        pp,3.73,"24,691","Mar 28, 2023","Mar 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/60460704-lone-women
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Truth Is the Arrow, Mercy Is the Bow: A DIY Manual for the Construction of Stories","Almond, Steve*",1638931305,9781638931300,1638931305,256        pp,4.69,16,unknown,"Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/196841896-truth-is-the-arrow-mercy-is-the-bow
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conquest,"Allan, Nina",1529420806,9781529420807,B09XDKCRCJ,320        pp,3.69,182,"May 11, 2023","May 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Kindle Edition,view,/book/show/62358270-conquest
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twice Lost,"Paul, Phyllis",,,,unknown,3.65,66,"Oct 30, 1971",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2023",,Paperback,view,/book/show/22076187-twice-lost
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",1250228026,9781250228024,1250228026,352        pp,3.39,"4,831","Jan 31, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 11, 2023",,Paperback,view,/book/show/65214268-the-terraformers
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Haunting on the Hill,"Hand, Elizabeth",0316527327,9780316527323,0316527327,326        pp,3.38,"5,979","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 11, 2023",,Hardcover,view,/book/show/102188677-a-haunting-on-the-hill
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,747","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/63241104-tom-lake
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marigold,"Sullivan, Andrew F.*",,9781778521027,,360        pp,3.35,"1,104","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,ebook,view,/book/show/61773985-the-marigold
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"System Collapse        (The Murderbot Diaries, #7)","Wells, Martha*",1250826985,9781250826985,,256        pp,4.23,"33,848","Nov 13, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2023",,ebook,view,/book/show/70021719-system-collapse
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Airside,"Priest, Christopher",1399608835,9781399608831,1399608835,297        pp,3.42,170,"May 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2023",,Hardcover,view,/book/show/85053859-airside
