,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amanda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,216        pp,4.21,"671,364",Apr 1966,Oct 1972,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,ew ew ew,Notes are private!,0,0,2,not setnot set,Jan 1988not set,"Aug 18, 2023",,Mass Market Paperback,view (with text),/book/show/18306919-flowers-for-algernon
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Lettering,"Clayborn, Kate*",1496725174,9781496725172,1496725174,307        pp,3.69,"46,692","Dec 31, 2019","Dec 31, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"More about love than power. A little too ""romance-y"" but there's enough depth to the characters to excuse the sap. Glad to read a book that wasn't ruiMore about love than power. A little too ""romance-y"" but there's enough depth to the characters to excuse the sap. Glad to read a book that wasn't ruined by a crap ending....more",Notes are private!,0,0,2,not setnot set,"Jul 28, 2021not set","Jul 28, 2021",,Paperback,view (with text),/book/show/44792512-love-lettering
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Visit from the Goon Squad,"Egan, Jennifer*",0307592839,9780307592835,0307592839,274        pp,3.69,"226,754","Jun 08, 2010","Jun 08, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Did I skip some pages or something? I don't remember anything that happened or who any of the people are. Maybe I shoulda read this when it was writteDid I skip some pages or something? I don't remember anything that happened or who any of the people are. Maybe I shoulda read this when it was written......more,Notes are private!,0,0,1,not set,"Mar 18, 2018","Mar 18, 2018",,Hardcover,view (with text),/book/show/7331435-a-visit-from-the-goon-squad
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"M is for Malice        (Kinsey Millhone, #13)","Grafton, Sue",0449223604,9780449223604,0449223604,352        pp,4.10,"70,552","Nov 15, 1996","Nov 26, 1997",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I've been liking these Sue Grafton books. But this one was dumb til about 3/4 of the way through. Why would Kinsey have bothered to get involved with I've been liking these Sue Grafton books. But this one was dumb til about 3/4 of the way through. Why would Kinsey have bothered to get involved with these people? Put-lease....more,Notes are private!,0,0,1,not set,not set,"Nov 29, 2017",,Paperback,view (with text),/book/show/64854.M_is_for_Malice
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Little Harmless Sex        (Harmless, #1)","Schroeder, Melissa*",1599984237,9781599984230,1599984237,193        pp,3.67,"5,113","Feb 06, 2007","Aug 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A storyline!!! Yay!,Notes are private!,0,1,1,not set,"Oct 23, 2017","Nov 08, 2017",,Paperback,view (with text),/book/show/2107165.A_Little_Harmless_Sex
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,13 Reasons Why,"Asher, Jay*",0451479327,9780451479327,0451479327,336        pp,3.85,"970,263","Oct 18, 2007","Jun 27, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't understand what point the author was trying to make here. But here's a point I'll make. Life can be complicated and shitty and absolutely miseI don't understand what point the author was trying to make here. But here's a point I'll make. Life can be complicated and shitty and absolutely miserable sometimes. Happens to everybody. So give yourself some power back--own your own life. Own the role you play. Everyone else is chopped liver. If I was an angsty teen, I woulda freaking loved this book!...more",Notes are private!,0,1,1,"Oct 12, 2017","Oct 15, 2017","Oct 15, 2017",,Paperback,view (with text),/book/show/35128673-13-reasons-why
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"K is for Killer        (Kinsey Millhone, #11)","Grafton, Sue",1429911654,9781429911658,,286        pp,3.98,"43,161","May 15, 1994","Nov 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 26, 2017","Sep 26, 2017",,ebook,view,/book/show/7898365-k-is-for-killer
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"L is for Lawless        (Kinsey Millhone, #12)","Grafton, Sue",0449221490,9780449221495,0449221490,336        pp,3.93,"33,616","Sep 15, 1995","Jul 31, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Aug 25, 2017not set","Sep 26, 2017",,Paperback,view,/book/show/643962.L_is_for_Lawless
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Great Things,"Picoult, Jodi*",0345544951,9780345544957,0345544951,480        pp,4.36,"373,203",2016,"Oct 11, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 25, 2017","Sep 26, 2017",,Hardcover,view,/book/show/28587957-small-great-things
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"J is for Judgment        (Kinsey Millhone, #10)","Grafton, Sue",1429911611,9781429911610,1429911611,304        pp,4.03,"54,546","Apr 13, 1993","May 15, 1993",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Jun 16, 2017not set","Jun 16, 2017",,Kindle Edition,view,/book/show/9007384-j-is-for-judgment
