,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Heather's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Cannot Control Everything Forever: A Memoir of Motherhood, Science, and Art","Bloom, Emily C.",1250285682,9781250285683,1250285682,352        pp,4.51,37,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Hardcover,view,/book/show/127280334-i-cannot-control-everything-forever
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stolen Child,"Hood, Ann*",0393609804,9780393609806,0393609804,304        pp,4.21,52,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/199448166-the-stolen-child
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Quitter's Paradise,"Chang, Elysha",1638931615,9781638931614,1638931615,304        pp,2.84,"2,588","Jun 06, 2023","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/201924715-a-quitter-s-paradise
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Songs for the Brokenhearted,"Tsabari, Ayelet*",0812989007,9780812989007,0812989007,352        pp,3.67,3,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/203956664-songs-for-the-brokenhearted
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Business Secrets of the Trappist Monks: One CEO's Quest for Meaning and Authenticity,"Turak, August*",,,B00APDGI12,202        pp,4.24,266,"Jun 01, 2013","Jul 09, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/19321930-business-secrets-of-the-trappist-monks
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Leave the Dogs Behind: A Memoir,"Madia, Brianna",0063316099,9780063316096,0063316099,208        pp,4.45,527,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/181109973-never-leave-the-dogs-behind
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth about the Devlins,"Scottoline, Lisa*",0525539700,9780525539704,0525539700,384        pp,4.07,"3,171","Mar 26, 2024","Mar 26, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Devlins are a powerhouse legal family with one alcoholic ex con son. All of the other family members are successful attorneys. But when an accountThe Devlins are a powerhouse legal family with one alcoholic ex con son. All of the other family members are successful attorneys. But when an accountant from a client's company turns up dead, things take a turn for the Devlins. This has some great content regarding addiction and family dynamics. The mystery is good, too. A bit of a messy transition between cases but a strong detailed read overallCopy provided by the publisher and Netgalley...more",Notes are private!,0,0,1,"Apr 06, 2024","Apr 07, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/181350612-the-truth-about-the-devlins
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One by One,"McFadden, Freida*",,,B089XYQ8SH,295        pp,4.01,"126,705","Jul 13, 2020","Jul 13, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"McFadden is the Queen of fast paced easy to read mysteries. Six friends go on a,trip to an inn in the woods but never make it. Their relationships areMcFadden is the Queen of fast paced easy to read mysteries. Six friends go on a,trip to an inn in the woods but never make it. Their relationships are not what they seem. Told in alternating chapters from Claire's point of view with an anonymous narrator's backstory interspersed. The end is full of twists and this ending was a little too twisty. A book you want to read through to the crazy end.Copy provided by the publisher and netgalley...more",Notes are private!,0,1,1,"Apr 04, 2024","Apr 05, 2024","Apr 04, 2024",,Kindle Edition,view (with text),/book/show/54197718-one-by-one
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Worry,"Tanner, Alexandra*",1668018616,9781668018613,1668018616,304        pp,3.68,659,"Mar 26, 2024","Mar 26, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was drawn into this story of two sisters living together in Brooklyn from the very beginning. The dialogue is snappy and the sisters are on a relatiI was drawn into this story of two sisters living together in Brooklyn from the very beginning. The dialogue is snappy and the sisters are on a relationship rollercoaster. Add a Jews for Jesus right wing mother who is always there with a sharp retort. A clever incorporation of some of today' s prevalent issues including antisemitism and anti vaxers through an addiction to extremist mommy blogs adding wit and a reality check of the national climate.. Some heavy topics are covered through family exchanges hitting on mental health and class representation. This can be what you want it to be, a deep commentary on the state of the union or a comical reprieve about typical sisters and a three legged dog named Amy Klobuchar. You decide.Copy provided by the publisher and NetGalley...more",Notes are private!,2,3,1,"Mar 31, 2024",Apr 2024,"Mar 31, 2024",,Hardcover,view (with text),/book/show/176443441-worry
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trail of Lost Hearts,"Garvis-Graves, Tracey*",1250280273,9781250280275,,304        pp,4.11,"1,075","Mar 26, 2024","Mar 26, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was drawn to this story due to the hiking and geo caching, and the potential romance. The first half finds When on a solo trek after suffering a serI was drawn to this story due to the hiking and geo caching, and the potential romance. The first half finds When on a solo trek after suffering a serious relationship blow. He meets Marshall who is also on the hunt for the elusive trail canisters. I found the first part kind of slow but the descriptions of the surrounding and the geo cache hunt was interesting. The second half picks up with some sexy bits and a plot twist. Overall a good romance with a strong female lead and some seriously sappy moments. Copy provided by the publisher and netgalley...more",Notes are private!,0,0,1,not set,not set,"Mar 30, 2024",,Hardcover,view (with text),/book/show/205698090-the-trail-of-lost-hearts
