,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jolynn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The City We Became        (Great Cities, #1)","Jemisin, N.K.*",,,,437        pp,3.87,"69,328","Mar 24, 2020","Mar 24, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024",not set,"Feb 11, 2024",,Hardcover,view,/book/show/42074525-the-city-we-became
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nectar in a Sieve,"Markandaya, Kamala",0451528239,9780451528230,0451528239,186        pp,3.68,"10,280",unknown,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Mass Market Paperback,view,/book/show/101509.Nectar_in_a_Sieve
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Power of One        (The Power of One, #1)","Courtenay, Bryce",034541005X,9780345410054,034541005X,544        pp,4.35,"88,932","Jan 01, 1989","Sep 29, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/122.The_Power_of_One
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Summer Will Be Different,"Fortune, Carley*",0593638883,9780593638880,0593638883,320        pp,4.29,424,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/197577126-this-summer-will-be-different
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tools of Engagement        (Hot & Hammered, #3)","Bailey, Tessa*",0062872931,9780062872937,0062872931,368        pp,3.75,"65,234","Sep 22, 2020","Sep 22, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 03, 2023","Feb 03, 2024","Dec 03, 2023",,Paperback,view,/book/show/49203369-tools-of-engagement
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recitatif,"Morrison, Toni",,,,19        pp,4.33,"21,239",1983,1983,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 10, 2023","Nov 23, 2023","Nov 23, 2023",,Audiobook,view,/book/show/34842610-recitatif
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ten Thousand Doors of January,"Harrow, Alix E.*",,,B07M77XW56,385        pp,4.03,"138,001","Sep 10, 2019","Sep 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 28, 2023","Jan 14, 2024","Nov 23, 2023",,Kindle Edition,view,/book/show/43517459-the-ten-thousand-doors-of-january
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Banyan Moon,"Thai, Thao",0063267101,9780063267107,0063267101,336        pp,3.93,"21,586","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Hardcover,view,/book/show/62800971-banyan-moon
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,552","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Hardcover,view,/book/show/63241104-tom-lake
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,018","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Hardcover,view,/book/show/62039166-the-bee-sting
