,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Alan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here comes John,"O'Connor, Bridget",0330336762,9780330336765,0330336762,169        pp,3.50,8,"Jul 27, 1993","Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/3854234-here-comes-john
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Girls Are Made Of,"Arnold, Elana K.*",,,,200        pp,3.77,"3,110","Apr 01, 2017","Apr 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/29401474-what-girls-are-made-of
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Driver Is Waiting,"Guns, Priya*",038554930X,9780385549301,038554930X,320        pp,3.30,"4,965","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/61239463-your-driver-is-waiting
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stream System: The Collected Short Fiction of Gerald Murnane,"Murnane, Gerald",0374126003,9780374126001,0374126003,560        pp,4.00,275,"Apr 03, 2018","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/35259553-stream-system
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carbine: Stories,"Mulcahy, Greg",1558498184,9781558498181,1558498184,176        pp,4.20,5,"Jun 30, 2010","Apr 08, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/7945112-carbine
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charity,"Richard, Mark",0385425708,9780385425704,0385425708,160        pp,3.83,229,1998,"Aug 17, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/274161.Charity
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sonja's Blue,"Wilson, Rudy*",0982211554,9780982211557,0982211554,210        pp,5.00,5,2010,"Jan 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/7164344-sonja-s-blue
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Round Here Reads Tolstoy: Memoirs of a Working-Class Reader,"Hodkinson, Mark",1786899973,9781786899972,1786899973,368        pp,3.78,497,"Feb 03, 2022","Feb 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/56997246-no-one-round-here-reads-tolstoy
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Palfrey at the Claremont,"Taylor, Elizabeth",1844083217,9781844083213,1844083217,206        pp,4.00,"9,495",1971,"Apr 06, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 26, 2024","Apr 02, 2024","Mar 26, 2024",,Paperback,view,/book/show/643062.Mrs_Palfrey_at_the_Claremont
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thérèse Desqueyroux,"Mauriac, François",2253004219,9782253004219,2253004219,189        pp,3.68,"4,452","Dec 01, 1927","Nov 28, 1972",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Mar 26, 2024Mar 26, 2024","Mar 26, 2024",,Mass Market Paperback,view,/book/show/568674.Th_r_se_Desqueyroux
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whereabouts,"Lahiri, Jhumpa",0593318315,9780593318317,0593318315,157        pp,3.77,"29,429","Aug 30, 2018","Apr 27, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 20, 2024","Mar 26, 2024","Mar 20, 2024",,Hardcover,view,/book/show/53438824-whereabouts
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Look Left: A Diary of Genocide,"Saif, Atef Abu",1912697955,9781912697953,B0CQYGCKBV,297        pp,4.69,13,unknown,"Dec 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A book where the same things happen every day: get up search for food (increasingly hard to come by); pull relatives and friends out of the rubble (alA book where the same things happen every day: get up search for food (increasingly hard to come by); pull relatives and friends out of the rubble (alive if you're lucky); avoid if you can the Israeli bombs, bullets and tanks; try to get warm with one blanket in a tent; wash when you can (rarely, no water available); march (or push wheelchairs of the injured and maimed) to the next designated safe place for Gazans only to find it unsafe; try and communicate with others and find out what the world is saying about the conflict while the internet and power is cut; try to follow the logic of the IDF - why do they bomb schools, hospitals, refuges, kill aid workers and people doing what they were told to do? Why make random Gazans strip to their underwear and stand in the same place for hours? One of the writer's nieces loses her legs and a hand, her sister, her only carer, cannot cope and ends up in an Egyptian mental hospital. Many of his family and colleagues (he's a reporter/playwright and novelist) die as he writes a diary about his time there. After 85 days (on 30th Dec) he and his son Yasser are allowed to leave and are able to get to Egypt, but he feels extremely guilty about what he has left behind. His family are used to exile, having been forcibly removed from Jaffa in 1948 (before he was born) and have suffered earlier invasions (eg 2014), but this one is the longest, the worst so far (at the time of publication 15,000 dead, now double that). A terribly depressing but important document, a testimony and witness statement to unconscionable death and destruction....more",Notes are private!,0,2,1,"Mar 26, 2024","Apr 09, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/204357896-don-t-look-left
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good People,"Lopez, Robert",1942658028,9781942658023,1942658028,191        pp,3.72,76,"Jan 12, 2016","Jan 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/25330300-good-people
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Nights of Childhood,"Özlü, Tezer",1788168712,9781788168717,1788168712,96        pp,3.90,"5,952",1980,"Feb 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 17, 2024","Mar 12, 2024",,Paperback,view,/book/show/61157636-cold-nights-of-childhood
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valentino,"Ginzburg, Natalia",,,,178        pp,3.92,879,1957,"Sep 16, 1972",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Two hour read: a little dollop of perfection.,Notes are private!,0,3,1,"Mar 08, 2024","Mar 11, 2024","Mar 08, 2024",,Paperback,view (with text),/book/show/10659100-valentino
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Short Stories of Natalia Ginzburg,"Ginzburg, Natalia",0802099203,9780802099204,0802099203,102        pp,4.16,106,"Jan 01, 2011","Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/10079107-the-complete-short-stories-of-natalia-ginzburg
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loss Library and Other Unfinished Stories,"Vladislavić, Ivan",0857420127,9780857420121,0857420127,121        pp,4.08,75,"Jan 01, 2011","Feb 15, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/11345973-the-loss-library-and-other-unfinished-stories
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Wanted,"Didion, Joan",,,,240        pp,3.42,"3,235",unknown,"Sep 02, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/513180.The_Last_Thing_He_Wanted
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mud of a Century,"Ishii, Yuka",064890119X,9780648901198,064890119X,120        pp,4.25,8,unknown,"Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/200165993-the-mud-of-a-century
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Me Tell You,"Griffiths, Paul",1874400431,9781874400431,1874400431,144        pp,3.75,51,"Feb 01, 2009","Jan 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/5505486-let-me-tell-you
