,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Dagio_maya 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bella figura,"Reza, Yasmina",8845934195,9788845934193,8845934195,106        pp,3.40,335,2015,"Oct 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/52097401-bella-figura
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutte le cose della nostra vita,"Hwang, Sok-yong",8806244035,9788806244033,8806244035,176        pp,3.68,"1,501",2011,"Jul 14, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 09, 2024","Apr 11, 2024","Apr 10, 2024",,Hardcover,view,/book/show/54427637-tutte-le-cose-della-nostra-vita
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lucy davanti al mare,"Strout, Elizabeth*",885844454X,9788858444542,B0CSFD3M3Q,233        pp,3.92,"64,802","Sep 20, 2022","Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Siamo in perenne lockdown, ognuno di noi lo è. ""Davanti al mare Lucy scruta l’orizzonte. Cosa c’è oltre? Cosa ci attende in futuro quando tutto s""Siamo in perenne lockdown, ognuno di noi lo è. ""Davanti al mare Lucy scruta l’orizzonte. Cosa c’è oltre? Cosa ci attende in futuro quando tutto sta vacillando e le paure più recondite assumono forme concrete?E cosa veramente ha significato il nostro passato, quello che abbiamo costruito, demolito, perso?”Questo è il mare! Era come un paese straniero per me. Solo che i posti stranieri mi fanno sempre paura. A me piacciono i posti noti.”Lucy, famoso scrittrice, e William, parassitologo prossimo alla pensione lasciano New York.E’ il mese di marzo 2020. Le notizie inquietanti che arrivano dall’Italia sembrano a tutti un’eco lontana ed impalpabile. Non a William che sembra già sapere cosa succederà (e succede!!!) di lì a poco.Così, inaspettatamente, chiama Lucy, la sua ex moglie e la salva.La meta è il Maine, precisamente nella cittadina di Crosby (che i lettori della Strout già conoscono) dove li attende una grande casa affacciata sul mare.Ancora una volta Elizabeth Strout con grande eleganza commuove e smuove.Una storia che ha la capacità di essere contemporaneamente intima e collettiva.Ancora una volta il perno è la solitudine ed i rapporti genitori figli mentre nel mondo imperversa un clima luttuoso ed ogni certezza vacilla..” Era come se ogni giorno fosse un’immensa distesa di ghiaccio che dovevo attraversare. E dentro quel ghiaccio c’erano alberi e ramoscelli bloccati, non riesco a descriverlo in un altro modo, come se il mondo avesse cambiato paesaggio e io dovessi arrivare alla fine di ogni giornata senza sapere quanto sarebbe durata, e sembrava che non dovesse finire mai, perciò stavo molto male. Spesso mi svegliavo di notte e rimanevo ferma immobile; mi toglievo la mascherina per dormire e non mi muovevo; mi pareva di stare cosí per ore, ma non so di preciso. Mentre ero lí, mi tornavano in mente periodi diversi della mia vita.”PS- Per chi se lo stesse chiedendo, la risposta è sì. Olive Kitteridge c’è, una presenza nominata di sfuggita ma sempre iconica.....more",Notes are private!,2,12,1,"Apr 07, 2024","Apr 09, 2024","Apr 07, 2024",,Kindle Edition,view (with text),/book/show/205639683-lucy-davanti-al-mare
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Non per me sola,"Palumbo, Valeria",8858141261,9788858141267,8858141261,248        pp,4.38,80,"Jul 09, 2020","Jul 09, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tra le pagine…Premetto che ho grandissima stima per Valeria Palumbo ma ho faticato in questa lettura che ho trovato con troppa carne al fuoco.Il corpoTra le pagine…Premetto che ho grandissima stima per Valeria Palumbo ma ho faticato in questa lettura che ho trovato con troppa carne al fuoco.Il corpo delle donne come proprietà maschile, la mitologia legata al sentimento amoroso e alla fedeltà a senso unico, il lavoro, lo studio, la maternità come sacrificio, la moda, la guerra, la situazione particolare al sud, la religione.Queste le tematiche che al loro interno snocciolano altrettanti contenuti e che assieme si legano a formare l’idea di un’evoluzione ancora in atto. Non sono certo le argomentazioni trattate ad avermi fatto sentire spaesata durante questa lettura ma un accumulo di dati e riferimenti bibliografici. Interessante lo spunto di voler ritrarre la donna italiana attraverso i romanzi ma forse questo focus, mano a mano, si sfalda un po’ in elenchi statistici e in dati storici certo necessari ad inquadrare i contesti ma penalizzanti nei confronti della scorrevolezza.Un testo che, al di là di queste mie parole consiglio anche perché mi rendo conto che sono in un momento in cui ho bisogno di messaggi chiari e veloci dove non devo starci troppo sopra.Questo non toglie il valore oggettivo di un’opera che, a ragione, riconosce nella letteratura il radicamento di valori, pregiudizi e comportamenti appartenenti a determinate epoche.Accanto a nomi a noi noti (Aleramo, de Céspedes, Maraini, Morante, Fallaci tanto per dirne alcune) altri nomi a me sconosciuti che vanno ad allungare le liste di libri che mi incuriosiscono.Donne emotivamente instabili, giudicate dalla legislazione come minorenni anche in età avanzate ma, allo stesso tempo, pronte a procreare e quindi coniugabili già in età puberale.Bambine che subiscono incesti (ieri come oggi) con la complicità omertosa che segue il comandamento per cui i cosiddetti panni sporchi si lavano in casa. E’ solo nel 1996 (legge n. 66 del 15 febbraio ) che lo stupro passa da reato contro la morale a reato contro la persona!!!” Oggi che si parla tanto di violenza sulle donne, tacendone spesso le radici antiche, si evita di ricordare che i primi violenti sono stati da sempre i padri. E che la loro violenza era prima di tutto garantita dalla legge: lo “jus corrigendi” dell’art. 571 del codice penale autorizzava l’uso della violenza su moglie e figli e fu fatto decadere dalla Corte di Cassazione soltanto nel 1956.”Palumbo ci mostra come tra le pagine di romanzi spesso dimenticati possano trovare queste donne cresciute sotto il segno di libertà negate (amare, muoversi, lavorare, studiare), suddite della retorica maschile della fedeltà, della maternità..) radici di quello che siamo oggi. [image] ” In un autoritratto della fotografa austriaca Inge Morath (1923-2002), la prima donna ammessa nella mitica agenzia Magnum, il volto è in parte nascosto dietro una pianta secca. La foto fu trovata in un rullino non sviluppato, l’ultimo prima della sua morte. Di lei si riconoscono vagamente i tratti. Ciò che spicca è il suo occhio. Lo scegliamo a simbolo delle scrittrici di cui abbiamo parlato: hanno guardato, più che essere guardate. Hanno cioè invertito un destino che non ha smesso di ossessionare le donne: essere oggetto di uno sguardo altrui, maschile, che disegna il mondo e le giudica in base a quel disegno. Le scrittrici, narrando il mondo, hanno rovesciato lo sguardo e il racconto. E non solo il piccolo mondo in cui si volevano chiudere le donne. Come ha dimostrato Elsa Morante, hanno narrato la Storia, tutta, qualsiasi significato si intenda dare a questa parola.”...more",Notes are private!,0,6,1,"Mar 12, 2024","Apr 05, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/55351350-non-per-me-sola
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Volo di ritorno. Antologia di racconti afroamericani,"Fabi, Maria Giulia",8871662598,9788871662596,8871662598,486        pp,4.00,1,"Jan 01, 1996",1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/18169257-volo-di-ritorno-antologia-di-racconti-afroamericani
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'anima degli altri,"Céspedes, Alba de",8899729484,9788899729486,8899729484,136        pp,4.09,69,1935,"Feb 24, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Perché molti di loro hanno l’anima affamata di sorrisi.""Mi piace molto la scrittura di Alba de Céspedes anche se, mi rendo conto, che occorre far""Perché molti di loro hanno l’anima affamata di sorrisi.""Mi piace molto la scrittura di Alba de Céspedes anche se, mi rendo conto, che occorre farsi affascinare da un certo sapore antico. Seppur brevi, i racconti sono tanti (ben diciotto) e variano per genere di personaggi ed ambientazioni, eppure, più leggi, più senti un sapore uniforme un sapore agrodolce.Le storie narrate da una giovanissima scrittrice alle prime armi (aveva soli 24 anni) sono sentimentali nel senso più ampio.Ci raccontano un ventaglio di emozioni che possono essere quelle del marito tradito tanto quanto di un'adolescente preda delle sue passioni o di una madre che si strugge per il definitivo taglio del cordone ombelicale.L'agro è dato dal muro di tristezza che si erige davanti a chi si rende conto di non avere più speranze.Il dolce è, invece, la felice sensazione di una porta aperta sul domani.A differenza, di molte altre raccolte di racconti qui le storie non lasciano insoddisfatti sul finale. C'è poco di sospeso e c'è molto di definito. Sono piccole cornici che ci raccontano di un'italia di ieri (la raccolta è del 1935) quando facevi un numero telefonico per sapere l'ora esatta oppure quando le ragazze si stendevano al sole ""mostrando la peluria delle ascelle..Il tutto combinato con una grande abilità descrittiva che ci accompagna negli interni di case abitate da spose che oggi definiremmo bambine e nelle osterie dove gli avventori cercavano il calore domestico.Uno sguardo, insomma, di una penna, sì ancora acerba ma palesemente indirizzata a raccontare l'essenza umana, l'anima degli altri.""Ronzano le vespi battagliere, ostinate, insistenti, calano infine sui papaveri rossi, la corolla trema ed esse fanno l’altalena sugli steli sottilissimi.Le case sono trasparenti. Attraverso le pareti s’immaginano letti disfatti, donne discinte e uomini sudati, spoetizzanti. Le cucine attirano invece perché avanti all’acquaio le serve cantano sottovoce e lo zampillo rimbalza sul marmo e rinfresca la vista e il sangue nelle vene.A quell’ora Mariella esce di casa. Scavalca sulla porta il cane sdraiato, che non la degna neppure d’uno sguardo, e si siede nel giardino. Preferisce affrontare la caldura piuttosto di restare ancora nella casa silenziosa, dov’è d’obbligo dormire.""...more",Notes are private!,2,19,1,"Mar 09, 2024","Mar 11, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/60746902-l-anima-degli-altri
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gli otto peccati capitali della nostra civiltà,"Lorenz, Konrad",8845901688,9788845901683,8845901688,146        pp,3.77,952,"Jan 01, 1973","Jan 25, 1977",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"L’etologia che osserva, indaga, deduce non solo dal comportamento animale ma anche da quello umano, come il fine sia sempre quello della conservazioneL’etologia che osserva, indaga, deduce non solo dal comportamento animale ma anche da quello umano, come il fine sia sempre quello della conservazione della specie.Ma quindi la corsa agli armamenti, la cieca follia dell’odio Uomo vs Uomo, la cecità di fronte al palese sgretolarsi del pianeta terra, come possono essere inquadrati?Quelle che Lorenz chiama «disfunzioni di meccanismi comportamentali» vanno inserite in un quadro d’insieme dove l’istinto umano è simile a quello animale.Pubblicato nel 1973 (lo stesso anno in cui ricevette il Nobel per la medicina) questo breve saggio raccoglie un insieme di interventi che lo scienziato fece a vari convegni.Gli otto peccati capitali sono:1.	La sovrappopolazione della Terra.2.	La devastazione dell'habitat umano.3.	L'accelerazione di tutte le dinamiche sociali a causa della competizione fra uomini.4.	Il bisogno di soddisfazione immediata di tutte le esigenze, primarie o secondarie che siano.5.	Il deterioramento genetico causato dalla scomparsa della selezione naturale.6.	La graduale scomparsa di antiche tradizioni culturali.7.	L'indottrinamento favorito dal perfezionamento dei mezzi di comunicazione.8.	La corsa agli armamenti nucleari.Lorenz analizza questi punti con uno sguardo scientifico nuovo. L’accusa che muove alla scienza è, difatti, quella di essere disumanizzante.”La sovrappopolazione con le inevitabili conseguenze della perdita d'individualità e del livellamento, l'alienazione dalla natura che provoca la scomparsa dell'attitudine dell'uomo ad aver rispetto di qualche cosa, la competizione economica che, in omaggio al principio utilitaristico, considera il mezzo come fine a se stesso e fa dimenticare l'obiettivo originale, e, non da ultimo, il generale appiattimento dei sentimenti: tutti questi mali si manifestano nei fenomeni di disumanizzazione della scienza, ma ne sono la causa, non la conseguenza.”Testo – ahimé- profetico tranne nella nota d’introduzione che attenua alcune tesi e vuole essere più ottimistica.Pare che la realtà odierna ci dica tutt’altro.....more",Notes are private!,0,17,1,"Mar 02, 2024","Mar 08, 2024","Mar 02, 2024",,Paperback,view (with text),/book/show/9652080-gli-otto-peccati-capitali-della-nostra-civilt
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chi dice e chi tace,"Valerio, Chiara",8838946442,9788838946448,B0CT8WW5PM,288        pp,4.05,310,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,ebook,view,/book/show/205949708-chi-dice-e-chi-tace
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Resteranno i canti,"Arminio, Franco",8858778758,9788858778753,B07CVKNLDK,162        pp,3.96,327,"May 09, 2018","May 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""La poesia è una lucciolaalle due di pomeriggioPrima volta che leggo una silloge di Franco Arminio.Un’urgenza, un bisogno costante di scrivere: qu""La poesia è una lucciolaalle due di pomeriggioPrima volta che leggo una silloge di Franco Arminio.Un’urgenza, un bisogno costante di scrivere: questa la prima impressione.Suddivisa in sette sezioni, la raccolta è una geografia non solo di paesaggi montani in cui la vista coglie la forma di una pianta o la sagoma di un animale, qui l’autore scava negli animi di persone ed oggetti e ci consegna immagini che appartengono ad impressioni profonde ed intime. Operazione non certo facile. Tutti possiamo avere un attimo in cui la visione di una scena così come di un singolo oggetto ci riporta a sensazioni apparentemente slegate ma cogliere, decifrare e condividere questi momenti è il dono prezioso del poeta.In queste pagine sono custodite immagini veramente preziose.Una gamma di emozioni di ogni colore.La gioia colta in quei momenti in cui è più viva (”La gioia è un fatto), l’amore come continua meraviglia ma anche l’ansia, la paura di morire e la nostalgia (tanta) per un tempo in cui la vita era più semplice. Un tema fondamentale è quello dell’emigrazione che ha creato un’""anoressia demografica” e nei paesini regna ora  ""il silenzio di chi se n’è andato""....more",Notes are private!,0,13,1,"Feb 27, 2024",Mar 2024,"Feb 27, 2024",,Kindle Edition,view (with text),/book/show/40074673-resteranno-i-canti
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il gigante sepolto,"Ishiguro, Kazuo*",8806222325,9788806222321,8806222325,315        pp,3.57,"105,195","Mar 03, 2015","Sep 08, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Un fantasy avventuroso ed epico del premio Nobel (2017) Kazuo Ishiguro che trasporta il lettore in un’Inghilterra pervasa da gelide nebbie. Siamo in uUn fantasy avventuroso ed epico del premio Nobel (2017) Kazuo Ishiguro che trasporta il lettore in un’Inghilterra pervasa da gelide nebbie. Siamo in un’epoca successiva alle famose gesta di re Artù e i suoi cavalieri dove sassoni e britanni convivono pacificamente. E’ un mondo magico dove orchi, folletti e altre creature sembrano essere l’unico male da cui difendersi. Protagonisti principali sono una coppia di anziani coniugi: Axl e Beatrice. La loro memoria, da un po’, fa acqua da tutte le parti ma sembra che, quello della dimenticanza, sia un male diffuso. Un’amnesia collettiva fa sì che cose e persone si dissolvano da un momento all’altro. Axl e Beatrice, tuttavia, si convincono di dover fare un viaggio per raggiungere il loro unico figlio. Inizia cosi un cammino pieno d’imprevisti che porterà le loro strade ad incrociarsi con guerrieri, cavalieri e il Male stesso.Un romanzo veramente bello e coinvolgente che al di là dell’intrattenimento, ci porta a riflettere sul valore del ricordo e la brama di vendetta..” Ma siete proprio certa, mia buona signora, di volervi liberare di questa nebbia? Non è forse meglio che le cose rimangano nascoste alle nostre menti?”...more",Notes are private!,2,24,1,"Feb 10, 2024","Feb 15, 2024","Feb 10, 2024",,Hardcover,view (with text),/book/show/26225748-il-gigante-sepolto
