,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bob's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond Ethnic Loneliness: The Pain of Marginalization and the Path to Belonging,"Verma, Prasanta",151400741X,9781514007419,151400741X,224        pp,5.00,12,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/199459183-beyond-ethnic-loneliness
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ethics at Work: Dilemmas of the Near Future and How Your Organization Can Solve Them,"Østergaard, Kris",,,B09PL8MKBM,unknown,4.00,2,unknown,"Feb 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/60425358-ethics-at-work
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fundamentalists in the Public Square: Evolution, Alcohol, and Culture Wars after the Scopes Trial","Trammel, Madison",1683597184,9781683597186,1683597184,200        pp,4.00,2,unknown,"Dec 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/157497455-fundamentalists-in-the-public-square
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Case of the Late Pig,"Allingham, Margery",1504087305,9781504087308,B0C3SJGB6Z,87        pp,3.81,"2,273",1937,"Apr 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Summary: When Campion is invited to the second funeral in six months for an old school acquaintance, he finds him drawn into a murder investigation whSummary: When Campion is invited to the second funeral in six months for an old school acquaintance, he finds him drawn into a murder investigation where the murders keep coming.When Albert Campion finds himself staring at the corpse of a man he thought buried six months ago, he knows something strange is afoot. Only he doesn’t reckon how strange it is and that his involvement has placed him and Lugg in danger. Supposedly this man is Harris, the brother and heir of the man buried six months ago, R. I. “Pig” Peters. But one look is enough to persuade Campion that this is Pig, an old school nemesis. He died from a blow to the head from an urn that fell from a balustrade above the patio where he was sleeping off a hangover on a lounge chair.Six months ago, he was surprised to be invited to the funeral by means of a strange verse. Another attendee, Whippet had a similar invite. Campion also notices the fiancée of Pig. All these turn up again at the second death (including the notes in which moles feature prominently), occurring at the estate of old friend Leo Pursuivant. After Campion mentions the need for further examination of the body, it goes missing, only to turn up in the river. Then another grisly murder is found, of a man called Hayhoe, stabbed in the neck and hung on a gibbet like a scarecrow. Clearly, a clever and ruthless killer is abroad in the village of Kepesake. An investigator cannot be too careful, as Campion discovers to his regret.A unique feature is that this is written as a first-person account by Campion, unlike earlier numbers in the series. I thought it a refreshing change of pace. We also gain sympathy for Campion, who struggles to win the affections of Leo’s daughter Janet, and keeps getting on her wrong side. This is a short, briskly-paced story that works up to an edge-of-the-seat conclusion....more",Notes are private!,0,0,1,"Apr 06, 2024","Apr 10, 2024","Apr 06, 2024",,Kindle Edition,view (with text),/book/show/143106742-the-case-of-the-late-pig
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Down the Valley,"Humphrey, Edith M.",1666772062,9781666772067,1666772062,178        pp,0.00,0,unknown,"Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Paperback,view,/book/show/205979242-down-the-valley
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spirituality of Dreaming: Unlocking the Wisdom of Our Sleeping Selves,"Bulkeley, Kelly",1506483151,9781506483153,B0BRTGPD1M,255        pp,3.61,23,unknown,"Dec 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Summary: A dream researcher explores both the science and spirituality of dreaming.Kelly Bulkeley is a dream and philosophy of religion researcher whoSummary: A dream researcher explores both the science and spirituality of dreaming.Kelly Bulkeley is a dream and philosophy of religion researcher who believes dreaming and attention to our dreams can be a spiritual practice. I should mention at the outset that the “spiritual” here is not necessarily connected with a particular religious tradition but rather to the “spiritual” aspect of our lives. That said, the author does reference dream accounts from the Bible (Joseph, Jacob, and Samuel) as well as other religious texts as well as numerous patients and other contemporary persons. He contends that attention to our dreams connects our conscious and subconscious lives, allowing us to live with greater self and social awareness.He explores how we sleep. Surprisingly, in many societies, it is together with others rather than alone. He also notes our society’s aversion to sleep and proposes the idea of sleep as a form of resistance to our “always on” society. He discusses the neurophysiology of dreaming and the four categories into which many dreams fall: aggressive, sexual, gravitational and mystic and the metaphorical character of dreams that helps in our understanding. He explores dream sharing including the dream-sharing groups he facilitates. He also offers some cautions about sharing dreams and an alternative to imposed interpretations. He suggests if we do nothing more than to begin to attend to and reflect upon our dreams, we will find our dreams, our sleep, and ourselves changing.The second part of the book describes some of the work Bulkeley and others are engaged in in developing analytic tools to study dream accounts collected in the Sleep and Dreams Database (SDDb), an open access digital archive. In successive chapters, he considers dream content relating to animals and nature, gods and other spiritual beings, and dreams of the dying and those visited in dreams by the recently deceased. He notes how many dreams of the dying have journey themes and the comfort this affords those who are dying.The third part explores some cutting edge developments in the field of lucid dreaming. This is a state in which one becomes aware that one is dreaming, and some would introduce training to achieve this ability use brain monitoring to further enhance this experience or even control the dream experience and content. It’s obvious that the author has ethical and mental health concerns of anything beyond self-awareness of lucid dreaming as interrupting healthy sleep cycles or even being potentially manipulative. Instead he urges the idea of dreaming as creative play, using the example of Mary Shelley’s dreams and the creative social commentary that emerged in her Frankenstein. In the end Bulkeley eschews technology for the dream journal and the approach of collecting and subjecting to content analysis the accounts of dreams. He offers an example of one dream contributor, unknown to him, whose dream content over time offered an accurate and insightful account of her life. One can see how tools like the SDDb could enhance dream journaling.The book’s subtitle may be overstated: “Unlocking the Wisdom of Our Sleeping Selves.” My sense is that we often look for sources of “hidden knowledge.” I wonder if self-awareness or attunement might be a better descriptor–understanding the fears, longings, life-experiences and more that are expressed in our dreams. There may be a kind of “wisdom” in that, to be sure. And this is the value I found in Bulkeley’s book. I fear we are often disconnected from ourselves, and dreams help us find our way to ourselves. His descriptions were helpful of dream sharing groups and the playful approach to our dreams, as well as some warnings of rabbit holes one might fall into (similar to unsupported use of psychoactive drugs by unstable individuals).Like many, I know I dream, but forget most of these. This book makes me wonder about keeping pen and paper by the bedside. As a Christian, we are told that “old men will dream dreams” (I qualify). I am prompted to wonder if I miss things from God, or even my own subconscious. Bulkeley’s book has at least made me curious.____________________Disclosure of Material Connection: I received a complimentary copy of this book for  from the publisher through LibraryThing’s Early Reviewers Program....more",Notes are private!,0,1,2,"Apr 03, 2024Apr 03, 2024","Apr 11, 2024Apr 11, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/71327364-the-spirituality-of-dreaming
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,178","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Secular Age,"Taylor, Charles",0674976215,9780674976214,B002KFZLK2,872        pp,4.27,"1,630",2007,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Kindle Edition,view,/book/show/8360794-a-secular-age
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passenger to Frankfurt,"Christie, Agatha",0007154925,9780007154920,B007YTNL7O,363        pp,2.87,"13,806",Sep 1970,2003,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Summary: Sir Stafford Nye helps a woman in the Frankfurt airport by giving her his cloak, passport, and boarding ticket to England and finds himself cSummary: Sir Stafford Nye helps a woman in the Frankfurt airport by giving her his cloak, passport, and boarding ticket to England and finds himself caught up in a global plot.Sir Stafford Nye is a middle aged diplomat on his way home from Malaya when approached by a woman claiming that the re-routing of her flight jeopardizes her life, and asks that Nye help her by giving her his cloak, passport and boarding ticket. To make it all seem plausible, she says she will drug his beer while he leaves behind the cloak with passport and boarding ticket to step away for a moment. When he returns, they are gone, he drinks his beer and is eventually wakened, holding the stuffed Panda he had purchased for his niece, Sybil. Panda will return!He treats it as a strange embarrassment until a colleague in security tells him he saved Mary Ann, an important agent who is variously known as Daphne Theodofanous and Countess Renata Zerkowski. When his passport is returned, he places a “personal” and ends up meeting her at the opera Siegfried, where she leaves a program with an important clue. Before he knows it, he is involved with her in an espionage plot designed to thwart the rise of a fascist organization sowing mayhem in the world led by a child purportedly sired by Hitler, but masterminded by an obese Bavarian countess.Throughout, Nye tries to understand what is his part. He also learns rule number one in espionage–trust no one. Indeed, a traitor has infiltrated the intelligence organization directing “Mary Ann’s” efforts. At times, we wonder if Mary Ann is to be trusted.Indeed, it was puzzling to me what role Nye plays beyond his initial unusual act of trust, other than his connection to his Aunt Mathilda who actually seems to have more to do with the denouement than Nye.It’s an odd story, implausible at a number of points. The redeeming element is the mysterious Mary Ann. This was written when Christie had turned eighty and was the last of her spy stories. Perhaps the other element of the story is Christie’s prescient appreciation of the compelling attraction of fascism. Few would have credited this in 1970, when the horrors of fascism were still fresh. That aspect of this work is, sadly, far more plausible fifty years later....more",Notes are private!,0,0,1,"Mar 30, 2024","Apr 08, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/310224.Passenger_to_Frankfurt
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Creator: A Theological Interpretation of Genesis 1,"Leithart, Peter J.",1514002167,9781514002162,1514002167,360        pp,4.33,15,unknown,"Dec 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Summary: Considering philosophical discussions of the being of God, turns to Genesis 1 which reveals the Triune Creator who speaks and sees, who lovesSummary: Considering philosophical discussions of the being of God, turns to Genesis 1 which reveals the Triune Creator who speaks and sees, who loves and is good.The challenge of this book for the person without a background in philosophy is to get past the first three chapters which explore questions of God’s being, self-existence, and simplicity, and what may be said of God, wrestling with the challenge of apophaticism, in which we can only say what God is not. There are questions of how God relates to the physical world and how God can be an unmoved mover and yet retain God’s simplicity. Along the way, Peter J. Leithart invokes Aquinas and Aristotle, Plato and Plotinus, Augustine and Bulgakov, among others. It’s challenging reading, and important for its exploration of discussions of the being and nature of God.It also sets us up for the radical turn in the second half from the reasonings of pagan and Christian philosophers to the revelation of Genesis 1. We find here no discussions of the Absolute, the One, or Being. The first thing we learn of God is that God is almighty Creator. Scripture does not know of a God “without interplay with creatures, without a created playground” (p. 150). Creation reflects who God is from eternity. God’s transcendence is over creation, never apart from it. Unlike Greek philosophy, there is no God unrelated to creation.Furthermore, Leithart asserts, against those who propose that the “we” of Genesis 1 is a heavenly council, that Genesis 1 reveals a Triune Creator. There is a harmonious unity, creating, calling by Word, and forming or hovering–Father, Son, and Spirit. In this, the life of God is revealed as “justice, holiness, wisdom, power, goodness, and truth, all actualized in the infinitely mobile, infinitely lively, inexhaustibly energetic life of triune love, a;; actualized in relation to a contingent creation” (p. 209).What then do we say of God’s being, the question of ontology. We often speak of God as “I am” as one who is self sufficient, but utterly other. Yet a Triune Creator is both utterly sufficient, but also utterly related to creation, which reveals the self-giving love of the Triune loving Creator.Genesis 1 reveals a God who speaks and sees. Leithart notes: “All created action, all moments and periods and bodies of time, all created experience is suspended between God’s saying and his seeing.” A staggering thought indeed–that all of our existence is encompassed and sustained and directed by God’s saying and seeing.My experience of this book was to move from exasperation with my efforts to follow philosophical arguments to exultation in worship of the Triune Creator who speaks and sees all creation–and that so much may be found in Genesis 1 that is not mere polemical ammunition in origins debates.____________________Disclosure of Material Connection: I received a complimentary copy of this book from the publisher for ....more",Notes are private!,0,0,1,"Mar 29, 2024","Apr 09, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/156427745-creator
