,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jairo's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upgrade,"Crouch, Blake*",0593157532,9780593157534,0593157532,352        pp,3.81,"91,956","Jul 07, 2022","Jul 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Em ""Upgrade"", o autor logo de cara deixa claro que o foco central da narrativa será discutir as implicações éticas da manipulação genética. Ao invadirEm ""Upgrade"", o autor logo de cara deixa claro que o foco central da narrativa será discutir as implicações éticas da manipulação genética. Ao invadir um suposto laboratório clandestino, uma explosão infecta o agente Logan Ramsay com um vírus que consegue modificar sua estrutura genética, algo que ele próprio combate num tempo em que isso é tratado como um dos maiores crimes contra a Humanidade. Logan é filho e ex-assistente de uma brilhante cientista que, numa experiência mal sucedida, provoca uma crise sem precedentes, implicando uma fome generalizada que vitimou centenas de milhões de pessoas pelo mundo. Depois do suicídio da mãe e de cumprir pena, Logan assumiu esse trabalho como uma espécie de fiscal de atividades ilegais ligadas à experiências genéticas e biológicas para tentar redimir-se de seus erros do passado.Fato é que, depois desse acidente, Logan percebe-se diferente...ele fora alvo de uma mudança genética generalizada que deu um upgrade em seus sentidos, sensações, força e raciocínio e, assim, passou a ser alvo da agência governamental para a qual ele trabalha. Mais que isso, Logan descobre que existe um plano por trás de tudo isso para mudar o curso da evolução, criando uma geração de seres humanos super-desenvolvidos, supostamente capazes de impedir o esgotamento dos recursos naturais em curso e o fim da Humanidade.A dificuldade que Blake Crouch apresenta em retratar esse futuro alternativo se contrasta com a qualidade irrepreensível de sua descrição cinematográfica das diversas cenas de ação do livro. Achei que o autor se estendeu demais nas explicações das alterações do mapeamento genético, numa especificidade que cansa o leitor. Faltou também um capricho maior nessa transição do Logan, de uma pessoa medíocre para uma com poderes sobre-humanos...muito focado no afastamento da família, o autor deixou de lado os conflitos éticos e demais questionamentos que podiam ser melhor explorados para responder à pergunta central desse livro: o upgrade humano resolveria nossos problemas como espécie?Avaliação Final: 7,0/10Leitura Concluída: 11º livro de 2024Próxima Leitura: ""Tempos Ásperos"" (Mario Vargas Llosa)...more",Notes are private!,0,0,1,"Mar 13, 2024","Mar 19, 2024","Apr 11, 2024",,Hardcover,view (with text),/book/show/59838811-upgrade
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O verão em que mamãe teve olhos verdes,"Țîbuleac, Tatiana",6587955061,9786587955063,6587955061,239        pp,4.36,"22,740",2017,"Sep 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/58522892-o-ver-o-em-que-mam-e-teve-olhos-verdes
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Fantasma,"Harris, Robert*",8501081264,9788501081261,8501081264,322        pp,3.79,"17,735","Oct 23, 2007",2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/18218151-o-fantasma
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exílio,"Kline, Christina Baker*",,,,319        pp,4.15,"55,101","Aug 25, 2020","Mar 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/123213399-ex-lio
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antes de Partir,"Donlea, Charlie*",6559572641,9786559572649,6559572641,224        pp,4.27,"1,092","Sep 27, 2022","Mar 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/83520731-antes-de-partir
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Pacto da Água,"Verghese, Abraham*",8535937021,9788535937022,8535937021,632        pp,4.47,"150,518","May 02, 2023","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/209119425-o-pacto-da-gua
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amor Estragado,"Pedrosa, Ana Bárbara",9722545310,9789722545310,,208        pp,4.52,242,unknown,May 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/157208991-amor-estragado
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Nome Que a Cidade Esqueceu,"Tordo, João*",,9789897849275,,368        pp,4.39,327,Nov 2023,"Nov 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/201645520-o-nome-que-a-cidade-esqueceu
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A leste do Éden,"Steinbeck, John",8501073490,9788501073495,8501073490,641        pp,4.41,"538,895",1952,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/12623537-a-leste-do-den
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A rainha do sul,"Pérez-Reverte, Arturo",8535905383,,,528        pp,3.95,"14,556",2002,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 20, 2024",,Paperback,view,/book/show/13385982-a-rainha-do-sul
