,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paltia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truly Madly Guilty,"Moriarty, Liane*",,,B015MR0UJG,517        pp,3.59,"294,070","Jul 26, 2016","Jul 26, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hoarding, forgiveness, guilt, surrogates - wow. I found myself growing impatient with getting to the source of Dakota's guilt. Once I let myself surreHoarding, forgiveness, guilt, surrogates - wow. I found myself growing impatient with getting to the source of Dakota's guilt. Once I let myself surrender to the flow of the author's timing v.s. my own I was completely hooked. This book has a touching ending. I enjoyed it enough to look for other books by L.M....more",Notes are private!,0,0,1,not set,not set,"Mar 20, 2023",,Kindle Edition,view (with text),/book/show/27831371-truly-madly-guilty
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Water Wars: Privatization, Pollution, and Profit","Shiva, Vandana",089608650X,9780896086500,089608650X,158        pp,3.90,692,2002,"Feb 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2020",,Paperback,view,/book/show/278193.Water_Wars
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An American Sunrise,"Harjo, Joy*",1324003863,9781324003861,1324003863,116        pp,4.29,"6,851","Aug 13, 2019","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2020",,Hardcover,view,/book/show/43726586-an-american-sunrise
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running Hot,"Tamati, Lisa",1877505013,9781877505010,1877505013,256        pp,3.76,223,2009,"May 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2020",,Paperback,view,/book/show/7020883-running-hot
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power of the Dog,"Savage, Thomas",0316610895,9780316610896,0316610895,293        pp,4.19,"13,954",1967,"Jun 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/128073.The_Power_of_the_Dog
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Rock White City,"Patric, A.S.*",1921924837,9781921924835,1921924837,246        pp,3.51,"1,727",Apr 2015,Apr 2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A husband and wife flee Sarajevo to find hope in Melbourne. They are traumatized by war. Once in their new country they remain locked in, limited and A husband and wife flee Sarajevo to find hope in Melbourne. They are traumatized by war. Once in their new country they remain locked in, limited and trapped. The story follows their thoughts about this new life as contrasted to their memories. Separately, they take their knowledge and use their instincts in an effort to find a way forward. This can be hazardous but always a preferable option to what they left behind. They place limits on themselves while coming to realise it’s perhaps more unwise to allow others to place their free choice, self expression and destiny under the lock and key of others. They exist, both needing to wait, until the moment presents itself to remember who they are and what they mean to each other. To wait is a skill. To hesitate is a mistake. To know when to act - that is their lifetime’s work. ...more",Notes are private!,0,44,1,"Jan 19, 2020","Jan 21, 2020","Jan 21, 2020",,Paperback,view (with text),/book/show/24887441-black-rock-white-city
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,That Devil's Madness,"Wilson, Dominique*",,9781921924989,1921924985,352        pp,3.91,23,2016,"Feb 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2020",,Paperback,view,/book/show/27843320-that-devil-s-madness
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rings of Saturn,"Sebald, W.G.",,,,304        pp,4.23,"15,025",1995,"Jul 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2020",,Paperback,view,/book/show/25815.The_Rings_of_Saturn
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passion of Dolssa,"Berry, Julie*",0698157478,,B0125VU7HM,496        pp,3.90,"6,866","Apr 12, 2016","Apr 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2020",,Kindle Edition,view,/book/show/26003981-the-passion-of-dolssa
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fly Away Peter,"Malouf, David",014007015X,9780140070156,B002KPGE8K,144        pp,3.39,"1,808",1982,1982,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2020",,Paperback,view,/book/show/1272771.Fly_Away_Peter
