,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Novel Currents's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Thirteenth Tale,"Setterfield, Diane*",0743298020,9780743298025,0743298020,406        pp,3.98,"313,085","Sep 12, 2006","Sep 12, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2024","Apr 02, 2024",,Hardcover,view,/book/show/40440.The_Thirteenth_Tale
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Even Though I Knew the End,"Polk, C.L.*",,,B09NJVMJZH,144        pp,3.88,"11,097","Nov 07, 2022","Nov 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 16, 2024","Mar 12, 2024",,Kindle Edition,view,/book/show/58846190-even-though-i-knew-the-end
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leech,"Ennes, Hiron",125081118X,9781250811189,125081118X,323        pp,3.61,"7,642","Sep 27, 2022","Sep 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/59807968-leech
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Big Book of Science Fiction,"VanderMeer, Ann",,,B01CWZH7C4,"1,216        pp",4.17,745,"Jul 12, 2016","Jul 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024",not set,"Mar 03, 2024",,Kindle Edition,view,/book/show/29770783-the-big-book-of-science-fiction
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,972","Oct 25, 2022","Oct 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Profoundly beautiful. Profoundly sad. This novel stirred emotion deep within me, created a sense of dread and nihilism so intense that I felt as the sProfoundly beautiful. Profoundly sad. This novel stirred emotion deep within me, created a sense of dread and nihilism so intense that I felt as the story drew to the close physically nauseous and a deeply seated lack of hope that to this moment feels unshakable. Merged :Profoundly beautiful. Profoundly sad. This novel stirred emotion deep within me, created a sense of dread and nihilism so intense that I felt as the story drew to the close physically nauseous and a deeply seated lack of hope that to this moment feels unshakable. Merged :Profoundly beautiful. Profoundly sad. This novel stirred emotion deep within me, created a sense of dread and nihilism so intense that I felt as the story drew to the close physically nauseous and a deeply seated lack of hope that to this moment feels unshakable....more",Notes are private!,0,0,2,not setnot set,"May 16, 2023not set","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ink Blood Sister Scribe,"Törzs, Emma*",,,B0BGHVQGDS,484        pp,4.05,"33,738","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 23, 2024","Feb 14, 2024","Jan 23, 2024",,Kindle Edition,view,/book/show/62967342-ink-blood-sister-scribe
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Titanium Noir        (Titanium Noir #1),"Harkaway, Nick*",0593535367,9780593535363,0593535367,236        pp,4.05,"5,478","May 16, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 23, 2024","Jan 23, 2024",,Hardcover,view,/book/show/62052321-titanium-noir
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rotters,"Kraus, Daniel*",,,B004FGMD96,466        pp,3.66,"3,684","Apr 05, 2011","Apr 05, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 14, 2024","Feb 19, 2024","Jan 14, 2024",,Kindle Edition,view,/book/show/10053586-rotters
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whalefall,"Kraus, Daniel*",1665918160,9781665918169,1665918160,327        pp,3.76,"15,777","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Please. If you are young man born from trauma, or if you’re an old man born from trauma, or if you’re some age in between, this book could be for you.Please. If you are young man born from trauma, or if you’re an old man born from trauma, or if you’re some age in between, this book could be for you.Please. Don’t approach this book cynically. Let it wash over you. Let it do It’s work. And it might just hit for you like it hit for me.I never thought the book would be this good, this affecting, but above all this healing....more",Notes are private!,0,0,1,not set,"Jan 14, 2024","Jan 14, 2024",,Hardcover,view (with text),/book/show/62919162-whalefall
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blood Sugar Solution Cookbook: More than 175 Ultra-Tasty Recipes for Total Health and Weight Loss        (The Dr. Hyman Library Book 2),"Hyman, Mark*",,,B009V2QZFW,360        pp,3.88,494,"Jan 01, 2013","Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 13, 2024",not set,"Jan 13, 2024",,Kindle Edition,view,/book/show/18888966-the-blood-sugar-solution-cookbook
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Witch King,"Wells, Martha*",1250826799,9781250826794,1250826799,415        pp,3.72,"15,162","May 30, 2023","May 30, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/61885085-witch-king
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lords of Uncreation        (The Final Architecture, #3)","Tchaikovsky, Adrian*",1668628104,9781668628102,,608        pp,4.36,"8,612","Apr 27, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/62315578-lords-of-uncreation
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lone Women,"LaValle, Victor",,,B0B4R7NMQ7,282        pp,3.73,"24,699","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 16, 2023",not set,"Nov 16, 2023",,Kindle Edition,view,/book/show/199890756-lone-women
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hell House,"Matheson, Richard",0727860992,9780727860996,0727860992,301        pp,3.74,"51,510",1971,"Jul 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very much a product of its time. What is so cliché now would’ve been less so then. Also, some depictions of sexuality feel exploitative more than releVery much a product of its time. What is so cliché now would’ve been less so then. Also, some depictions of sexuality feel exploitative more than relevant to the story (the scene in the changing area comes to mind). Is it worth a read? Yes because the overlong story is still just barely good enough to warrant it, if you’re a fan of horror and terror in your books. And as a product of its time, it’s a milestone of the era that I believe, was published the same year the novel The Exorcist. There are similarities in the type of horror that is depicted.But feel free to skim here and there, to be sure. Much of the internal character dialogue, particularly when you reach the midpoint of the novel, and later, becomes rather repetitive....more",Notes are private!,0,0,1,not set,"Nov 16, 2023","Nov 16, 2023",,Hardcover,view (with text),/book/show/33547.Hell_House
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Likeness        (Dublin Murder Squad #2),"French, Tana*",,,B0015DYIOU,470        pp,4.06,"162,915","Jul 17, 2008","Jul 17, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023",not set,"Nov 06, 2023",,Kindle Edition,view,/book/show/50913508-the-likeness
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Stranger,"Waters, Sarah",,,,512        pp,3.56,"55,375","Apr 30, 2009","May 04, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 05, 2023","Nov 05, 2023",,Paperback,view,/book/show/7234875-the-little-stranger
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eyes of the Void        (The Final Architecture, #2)","Tchaikovsky, Adrian*",1668604906,9781668604908,1668604906,596        pp,4.20,"13,146","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 25, 2023","Oct 26, 2023",,ebook,view,/book/show/58950674-eyes-of-the-void
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ocean's Echo        (Winter's Orbit, #2)","Maxwell, Everina*",1250758866,9781250758866,1250758866,464        pp,4.14,"7,281","Nov 01, 2022","Nov 01, 2022",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 05, 2023","Oct 05, 2023",,Hardcover,view,/book/show/59808117-ocean-s-echo
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Just Out of Jupiter's Reach        (The Far Reaches, #5)","Okorafor, Nnedi*",1662516789,9781662516788,B0C4QR4SX7,45        pp,3.88,"5,108","Jun 27, 2023","Jun 27, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view,/book/show/151908136-just-out-of-jupiter-s-reach
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Long Game        (The Far Reaches, #4)","Leckie, Ann*",1662515677,9781662515675,B0C4QPCYZ4,31        pp,3.67,"5,517","Jun 27, 2023","Jun 27, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view,/book/show/151908306-the-long-game
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Falling Bodies        (The Far Reaches, #3)","Roanhorse, Rebecca*",1662515030,9781662515033,B0C4QJBCFV,35        pp,3.69,"4,823","Jun 27, 2023","Jun 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view,/book/show/151908270-falling-bodies
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Void        (The Far Reaches, #2)","Roth, Veronica*",1662516223,9781662516221,B0C4QLYVHG,50        pp,3.87,"5,705","Jun 27, 2023","Jun 27, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 23, 2023","Sep 23, 2023",,Kindle Edition,view,/book/show/151909273-void
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How It Unfolds        (The Far Reaches, #1)","Corey, James S.A.*",1662515723,9781662515729,B0C4R4V6KN,38        pp,4.01,"8,680","Jun 27, 2023","Jun 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 23, 2023","Sep 23, 2023",,Kindle Edition,view,/book/show/151908910-how-it-unfolds
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Time Between the Stars        (The Far Reaches, #6)","Scalzi, John*",1662515332,9781662515330,B0C4QX2FSF,28        pp,4.19,"9,045","Jun 27, 2023","Jun 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 22, 2023","Sep 22, 2023",,Kindle Edition,view,/book/show/151908304-slow-time-between-the-stars
