,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Allison's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,464","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,interesting read especially after watching quiet on set!! i was obsessed with icarly when i was little so it was insightful to see what these child acinteresting read especially after watching quiet on set!! i was obsessed with icarly when i was little so it was insightful to see what these child actors were really going through. ...more,Notes are private!,0,10,1,not set,"Mar 23, 2024","Mar 23, 2024",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rachel Incident,"O'Donoghue, Caroline*",0593535707,9780593535707,0593535707,304        pp,4.12,"49,632","Jun 22, 2023","Jun 27, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,…what did i just read? i was a few chapters in and thought the student-professor love interest couldn’t get worse but it just devolves into this mess …what did i just read? i was a few chapters in and thought the student-professor love interest couldn’t get worse but it just devolves into this mess of problematic relationships. it’s the type of content that makes you ask yourself “wtf is going on?” and not particularly in a good way. i just didn’t particularly like the characters much either in a story so fixated on their lives & how they grow and change over the course of two decades. unfortunately not the book for me. ...more,Notes are private!,0,6,1,not set,"Jan 17, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/63094957-the-rachel-incident
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This is How You Lose the Time War,"El-Mohtar, Amal*",,,,209        pp,3.91,"205,615","Jul 16, 2019","Jul 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"star-crossed forbidden love >>>this book felt very confusing at times, but my heart!! i loved the story being told in love letters and while i usuallystar-crossed forbidden love >>>this book felt very confusing at times, but my heart!! i loved the story being told in love letters and while i usually don’t like this type of flowery writing, the poeticness felt right. i feel like this is a book that you would definitely benefit from rereading, but i enjoyed it regardless. ...more",Notes are private!,0,8,1,not set,"Sep 27, 2023","Sep 27, 2023",,Kindle Edition,view (with text),/book/show/43352954-this-is-how-you-lose-the-time-war
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,B098PW8NP8,400        pp,4.30,"1,230,305","Mar 31, 2022","Apr 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*3.5/5 starsi think that this book read a bit too preachy and over-the-top with its feminist messaging, but it was an entertaining read. it was so sat*3.5/5 starsi think that this book read a bit too preachy and over-the-top with its feminist messaging, but it was an entertaining read. it was so satisfying seeing the different plotlines tie into each other and i absolutely loved six-thirty. plus calvin and elizabeth's relationship!! ...more",Notes are private!,0,1,1,not set,Aug 2023,"Aug 01, 2023",,Kindle Edition,view (with text),/book/show/57684325-lessons-in-chemistry
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,669","Aug 27, 2012","Jul 15, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"SUCH a heartwarming read!! i was skeptical when i was first reading it because i wasn't sure if ove and his unlikeability could be redeemed, but i wasSUCH a heartwarming read!! i was skeptical when i was first reading it because i wasn't sure if ove and his unlikeability could be redeemed, but i was proven wrong. the time jumps between past and present were amazing and my favorite part of the book by far has to be ove and sonya's relationship. it was just so beautiful to look back at their origin story and see how this unlikely duo came together and the evolution of their relationship. i loved seeing how they navigated all these life complications together until the very end. i swear to you all of these quotes had me screaming, crying, etc. ""people said ove saw the world in black and white. but she was color. all the color she had.""i did also appreciate all the side characters and the community they built around their little housing complex. you get to see ove and the new neighbors' relationship progress, but you also get to see the history behind his relationship with everyone else around him. i just loved seeing how these stories all tied together and how ove finally learned to love after sonya. i would say that the book does get a bit repetitive after a bit. however, i deeply appreciated it anyways, and it was a pleasant surprise....more",Notes are private!,0,5,1,not set,Jul 2023,"Jul 03, 2023",,Hardcover,view (with text),/book/show/18774964-a-man-called-ove
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,551","Aug 30, 2022","Aug 30, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"dnf @ 80%i physically could not read another page hearing carrie soto talk, think, or pretty much do anything. i don't know why there was no characterdnf @ 80%i physically could not read another page hearing carrie soto talk, think, or pretty much do anything. i don't know why there was no character development. girl complains about being called ""the bitch"" of tennis?? she literally is one. the way she talks and treats everyone around her is so unbearable. she's one of the most unlikeable characters i've read about in months. i think i dnfed this one a few months ago around 20%, but i wanted to pick it up again for the malibu rising references. unfortunately, it still disappointed. ...more",Notes are private!,0,5,1,not set,"May 15, 2023","May 15, 2023",,Hardcover,view (with text),/book/show/60435878-carrie-soto-is-back
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reminders of Him,"Hoover, Colleen*",1542025605,9781542025607,1542025605,320        pp,4.38,"1,197,834","Jan 18, 2022","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2023",,Paperback,view,/book/show/58346977-reminders-of-him
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unhoneymooners        (Unhoneymooners, #1)","Lauren, Christina*",1501128035,9781501128035,1501128035,432        pp,3.92,"834,675","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2023",,Paperback,view,/book/show/52709482-the-unhoneymooners
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The No-Show,"O'Leary, Beth*",0593438442,9780593438442,0593438442,337        pp,3.81,"92,253","Apr 12, 2022","Apr 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this book was not on my radar at all, but i was at the airport, and was finally decided to break through my reading slump. and it was an enjoyable reathis book was not on my radar at all, but i was at the airport, and was finally decided to break through my reading slump. and it was an enjoyable read overall! i thought that the twist was interesting, though it was strange that it completely shifted how you were meant to look at one of the characters. while some of it got predictable at times, i liked seeing how the stories of the three MCs intertwined with each other. but, it was still such a cute and heartwarming read and i am glad i picked it up! ...more",Notes are private!,0,5,1,not set,"Mar 11, 2023","Mar 11, 2023",,Paperback,view (with text),/book/show/58678549-the-no-show
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Happy Ever After Playlist        (The Friend Zone, #2)","Jimenez, Abby*",1538715643,9781538715642,1538715643,400        pp,4.17,"128,394","Apr 14, 2020","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Paperback,view,/book/show/52539131-the-happy-ever-after-playlist
