,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fantastic Mr. Fox,"Dahl, Roald",0142410349,9780142410349,0142410349,81        pp,4.07,"133,943","Sep 12, 1970","Aug 16, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2024",not set,"Mar 19, 2024",,Paperback,view,/book/show/109008.Fantastic_Mr_Fox
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alice Network,"Quinn, Kate*",,,,503        pp,4.32,"491,870","Jun 06, 2017","Jun 06, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 20, 2024","Mar 14, 2024","Feb 02, 2024",,Paperback,view,/book/show/32051912-the-alice-network
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power of Now: A Guide to Spiritual Enlightenment,"Tolle, Eckhart",,,,229        pp,4.15,"365,598",unknown,"Aug 19, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/6708.The_Power_of_Now
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storm We Made,"Chan, Vanessa*",1668015145,9781668015148,1668015145,352        pp,3.94,"8,777","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/60211228-the-storm-we-made
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fun Home: A Family Tragicomic,"Bechdel, Alison",0618871713,9780618871711,B001TODO72,232        pp,4.08,"180,866","Jun 08, 2006","Jun 05, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2023","Dec 30, 2023","Dec 15, 2023",,Paperback,view,/book/show/26135825-fun-home
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,918","Sep 01, 2005","Feb 13, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,2,1,"Jan 02, 2024","Jan 15, 2024","Dec 14, 2023",,Paperback,view,/book/show/7815.The_Year_of_Magical_Thinking
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blind Assassin,"Atwood, Margaret*",,,,637        pp,3.96,"155,486",Sep 2000,"Sep 03, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/78433.The_Blind_Assassin
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Penelopiad,"Atwood, Margaret*",,,B002VNFNGA,228        pp,3.72,"72,706","Oct 05, 2005",Sep 2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 14, 2023","Dec 03, 2023",,Kindle Edition,view,/book/show/55414860-the-penelopiad
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Austerlitz,"Sebald, W.G.",0140297995,9780140297997,0140297995,415        pp,4.00,"21,979",Nov 2001,"Jul 04, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Paperback,view,/book/show/88442.Austerlitz
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Myself: A Psychiatrist's Memoir,"Yalom, Irvin D.",0465098894,9780465098897,0465098894,352        pp,4.20,"7,283","Oct 03, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Hardcover,view,/book/show/34219966-becoming-myself
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen,"Yoshimoto, Banana",0571342728,9780571342723,0571342728,160        pp,3.90,"99,159","Jan 30, 1988","Jan 01, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 23, 2023","Dec 03, 2023","Oct 23, 2023",,Paperback,view,/book/show/36053646-kitchen
