,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Celeste's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thornhedge,"Kingfisher, T.",1250244099,9781250244093,1250244099,116        pp,4.03,"22,025","Aug 15, 2023","Aug 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thornhedge is a highly original take on the story of Sleeping Beauty, where the “evil” fairy responsible for the curse is actually the hero of the stoThornhedge is a highly original take on the story of Sleeping Beauty, where the “evil” fairy responsible for the curse is actually the hero of the story. Toadling, our perspective character, is that fairy. She’s guarded the tower beyond the thorns for years, decades, centuries. And she made my heart ache. Toadling is such a sweet, lovable, quietly heroic character who has no inkling of her own attributes. She is also a tragic character; thus the heart ache. When a knight refuses to be turned back from his quest for the tower by anything Toadling does, she panics. But she also ends up making a friend, quelling her loneliness for the first time in years beyond her measure.The fairy portrayal was a unique and interesting one. Toadling is (kind of) one of the low Fae, more akin to an animal spirit or a brownie than to one of the more beautiful, mysterious Fae so popular in modern fantasy. There is more to her than first appears, but what exactly that “more” is comes into play later in the book. I loved Toadling’s description of her Fae family, and why she found these creatures that would be described as ugly by the world’s standards to be so beautiful in her eyes.I was enthralled by the opening of the story. The way in which the progression of time was presented in the first chapter was absolutely fascinating. We are seeing the slow move of time through Toadling’s eyes. We can piece together what exactly is happening in history, but she has no context for it. I was also, yet again, impressed with range of Kingfisher’s writing, especially when it comes to tone. I’ve read a few of her books now, and each has been radically different in tone and voice. This particular story feels very much like a classic fairytale in setting, but the maudlin tone lends it this achingly lovely air, akin to some gothic novels. It made my heart hurt to read it, but in the best way.I was thoroughly impressed with Thornhedge. Novellas tend to be very hit-or-miss for me, but this one worked in every way. From setting to writing to characters to the actual story being told, I just loved everything about it. I also think this would make a wonderful Studio Ghibli movie, as I could just picture this story drawn in Miyazaki’s style. This was a beautiful little tale that I will be thinking about for a while, and it’s probably my favorite take on Sleeping Beauty I’ve ever read....more",Notes are private!,0,7,1,"Apr 09, 2024","Apr 10, 2024","Apr 09, 2024",,Hardcover,view (with text),/book/show/61884932-thornhedge
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Reading Well: Finding the Good Life through Great Books,"Prior, Karen Swallow",1587433966,9781587433962,1587433966,272        pp,4.36,"2,904",Sep 2018,"Jan 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/38509184-on-reading-well
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chosen: I Have Called You By Name        (The Chosen, #1)","Jenkins, Jerry B.*",1646070208,9781646070206,1646070208,320        pp,4.66,"1,132","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I absolutely love The Chosen. I think it’s a wonderfully, prayerfully crafted show. From casting to acting, from script writing to set and costume desI absolutely love The Chosen. I think it’s a wonderfully, prayerfully crafted show. From casting to acting, from script writing to set and costume design, you can tell how much care has been put into every element of the series, and how careful the show runners have been to stay true to the Bible. Unfortunately, like most incredibly popular pieces of art, it’s incredibly divisive. I find it heartbreaking how many Christians find the show blasphemous. Is the show word for word exactly the same as Scripture? Of course not. Characters have been written in and backstories have been expanded. The writers of the Gospels were more concerned with conveying the teachings of Jesus and the events of His life, death, and resurrection, than with telling a compelling story. And yet, the writers of the show are incredibly careful to never deviate from the Gospel. They are merely trying to showcase the unlikely cast of characters Jesus called to follow Him, the eponymous chosen, and give us an idea of who they might have been. The Chosen is not presenting itself as the fifth Gospel. It seeks to tell a good story, a story that has been expanded in terms of character development so that we can remember that the disciples were people like us. Such stories used to be more common, with Ben-Hur and The Robe serving as examples. We as a modern society have lost the distinction between truth and fact. A story can be true without being comprised of only fact. After all, Jesus most often taught in stories, though we fancy them up by calling them parables.And now, onto this actual book.The Chosen: I Have Called You By Name is a direct novelization of season 1 of the show. And I do mean direct. This is nearly word-for-word, scene for scene, the entire story of that season. As a lover of the show, this didn’t bother me. I might have hoped for a little bit of new or different or a slightly deeper dive into the internal monologues of the characters, but I was still happy with the story being told. I found it well written, though most of the chapters were almost obnoxiously short, and I say that as a reader who prefers short chapters. Some of these chapters were only a page long. I felt like they likely lined up exactly with the length of the scenes from the show. But overall, this was a fun way to revisit the show, and is among the better biblical fiction I’ve read....more",Notes are private!,0,2,1,"Mar 29, 2024","Apr 04, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/55459480-the-chosen
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hope in Times of Fear: The Resurrection and the Meaning of Easter,"Keller, Timothy J.",0525560815,9780525560814,0525560815,272        pp,4.43,"1,355",2021,"Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Paperback,view,/book/show/59798779-hope-in-times-of-fear
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Amazing Churches of the World: More Than 100 Cathedrals, Chapels & Basilicas","Kerrigan, Michael",1782749837,9781782749837,1782749837,224        pp,4.44,27,unknown,"Sep 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 3.5 starsMy mom has a thing for coffee table books. This is her most recent purchase, and she pushed it into my hands as soon as she fiActual rating: 3.5 starsMy mom has a thing for coffee table books. This is her most recent purchase, and she pushed it into my hands as soon as she finished it. I understand why, because it provides a fascinating overview of Christian churches across the globe through pictures. While I did find it interesting, and lovely to flip through, I had a few issues with it. Some of the descriptions mentioned the inside of a church while only providing a picture of the exterior, or vice versa. I wish that hadn’t been the case. If you’re going to detail this important piece of interior architecture, please let me see it! Also, some of the pictures themselves could have been better. I’ve personally seen better pictures of a handful of these churches elsewhere. If you’re publishing an art book of any kind, I think you should ensure that you’re presenting the loveliest photos possible. All of that being said, I still found this an interesting read. It was a tour around the world unlike any other I’ve experienced. ...more",Notes are private!,0,3,1,"Mar 27, 2024","Mar 30, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/51287172-amazing-churches-of-the-world
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Masquerade,"Sangoyomi, O.O.*",1250904293,9781250904294,,352        pp,4.36,56,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/195790999-masquerade
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Greenwild        (Greenwild, #1)","Thomson, Pari",0374391378,9780374391379,0374391378,364        pp,4.23,"1,130",2023,"Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 4.5 stars.Is there anything more delightful than finding a magical new story that can be loved by readers of any age? The last such booActual rating: 4.5 stars.Is there anything more delightful than finding a magical new story that can be loved by readers of any age? The last such book I found was Nevermoor: The Trials of Morrigan Crow, and the series that follows it. While created for middle grade readers, the writing and the story being told are well-crafted enough to appeal to any adult reader. I would put Greenwild in the same category. As an added bonus, the book itself is gorgeous, chock-full of illustrations, large and small. There’s even a full-colored map serving as the endpapers!Daisy Thistledown has lived life on the road. Her mom, Leila, is a famous investigative journalist specializing in environmental politics. The globetrotting nature of Daisy’s childhood has been charming but lonely, and she regrets that she’s never been able to put down roots. But when Leila goes missing and Daisy is being chased through London, she finds her way into a world within our world: Greenwild, the home of a botanical magic that Daisy never knew existed. While Daisy is terribly worried about her mother, she also finds her place in the world for the first time. In Greenwild, she finds not only magical plants, but friends and a sense of belonging and, for the first time in her life, a home.Greenwild was billed as The Secret Garden meets A Wrinkle in Time. I absolutely agree with that first comparison. The second is a bit more of a stretch; the only real commonality is the fact that the Greenwild, the magical world of this book, exists in pocket dimensions within our own world. The pockets are entered through various botanical gardens, which I thought was a really fun decision. I’ve also seen some Harry Potter comparisons that I think are fair. The magical school here feels very much life a Hogwarts that is completely focussed on Herbology. There’s a Snape character, a bit of a Draco and a somewhat Hermione. There were things about the story that felt very reminiscent of Harry Potter. However, I didn’t find it derivative. I thought it was unique enough to feel in part inspired by these stories while still being very much its own thing.There is going to be at least one more book in this series, and I can’t wait to see what happens never with Daisy and her friends. I really enjoyed my time with this story, and it’s one that I think my niece is going to love in a few years. I would recommend this to readers of any age who are looking for something fantastical and whimsical with plenty of plot. And if you happen to be a plant person, I think you’re really going to love Greenwild....more",Notes are private!,0,6,1,"Mar 26, 2024","Mar 28, 2024","Mar 26, 2024",,Hardcover,view (with text),/book/show/62711576-greenwild
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tale of Two Cities,"Dickens, Charles",0141439602,9780141439600,0141439602,489        pp,3.87,"947,087","Nov 26, 1859",2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m trying to slowly make my way through all of Dickens’ work, and this is one of the biggest omissions still on the list. While I read abridged versiI’m trying to slowly make my way through all of Dickens’ work, and this is one of the biggest omissions still on the list. While I read abridged versions as a child, I had never read A Tale of Two Cities in its entirety. I’m very glad that is no longer the case. I have to admit that this was a more difficult reading experience than most of the other books I’ve read from Dickens. Oliver Twist and Great Expectations and David Copperfield are all pretty straight forward. Bleak House is a bit denser and more convoluted, but I had a wonderful professor guide me through that one in college, thus giving me an advantage when it came to fully digesting the story being told. And then there’s A Christmas Carol, which I had experienced in so many different forms as a child that I had no problem following the story when I finally came to the original. But then I got to A Tale of Two Cities, which is quite possibly the most well known work ever penned. It’s also one of the most unusual in terms of writing and structure.In most of Dickens’ books, we follow a very specific main character. From Oliver Twist to Pip to David Copperfield to Ebenezer Scrooge, it’s always very clear whose story is being told, and who we’ll be following throughout the narrative. Not so with A Tale of Two Cities. The cast is expansive. While said cast is interesting and varied, I didn't know who was meant to be the focus. Was it Doctor Manette? Lucie? Charles Darney? Someone else entirely? The plot seems to be going in so many directions, none of them clear. It’s a story that feels unfocussed and unimportant and honestly unnecessary for a while. After the brilliant opening lines, of course, which are among the most famous in all literature. But for hundreds of pages after that, I found myself wondering what was the point. Through the first two thirds of the book, I was just trudging through, so I could check this off my list. It wasn’t horrible or anything, but I wasn’t seeing what made this story special in any way.Until I did see. When I reached the last third of the book, I was suddenly blown away by how everything came together. Every character, every seemingly divergent strand of plot, every detail that I thought was unimportant, suddenly mattered and braided together to make a cohesive, beautiful, heartbreaking, incredibly powerful whole. I was blown away by the plotting and the character development. The cast had been expansive and the storyline muddled because the French Revolution itself was the main character, and was the true story being told. We see the multitude of reasons why the Revolution occurred, and why it was even necessary in a way, but also why it failed. (Side note: we also meet one of Dickens' most disturbing villains, who personifies the Revolution perfectly.) We see a society so deeply in revolt against the vices that oppressed them that they throw out all virtue, as well. And yet we see that virtue fight back in the most unlikely and moving of ways. What seemed like a defeat of goodness at the novel was really a quiet victory for morality. I actually wept, and I can’t remember the last time a classic elicited that kind of emotion from me.In one chapter, there is the most poignant, heartbreaking, and yet subtle declarations of love I’ve ever read. In the final chapters, we see that love realized in breathtaking ways. We see selfishness and vice die in the life of someone so that selflessness and kindness can take root in their place. It was the kindness that surprised and moved me the most. I was reminded of Jesus, and that is the highest compliment I can pay a story or a character, because He is the epitome of good, and His is the Greatest Story Ever Told. When I was halfway into A Tale of Two Cities, I was disappointed that it felt so bloated and unfocussed. By the time I had reached the final pages, I was blown away by what a unique, powerful tale Dickens had penned. This still isn’t my favorite Dickens novel, but I have immense respect for it, and it is definitely one I will be revisiting in the future....more",Notes are private!,0,7,1,"Mar 11, 2024","Mar 26, 2024","Mar 11, 2024",,Paperback,view (with text),/book/show/1953.A_Tale_of_Two_Cities
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Swallows and Amazons        (Swallows and Amazons, #1)","Ransome, Arthur",0099572796,9780099572794,0099572796,528        pp,4.01,"31,447",1930,"Sep 10, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Swallows and Amazons is the installment in a twelve book series by the same name. These are classic adventure stories for children, in the same vein aSwallows and Amazons is the installment in a twelve book series by the same name. These are classic adventure stories for children, in the same vein as The Boxcar Children. We have a group of siblings embarking on an adventure, with a hint of a mystery in the mix. But, for the most part, we are along for the ride as they go through their day to day lives, enjoying life with a little distance from adults. In both series, there’s a delicious emphasis on the meals the children prepare for themselves. There are a few main differences between The Boxcar Children and Swallows and Amazons. In The Boxcar Children, the siblings are orphans, surviving the best they can on their own until they’re adopted at the end of the first book. In Swallows and Amazons, the siblings (both sets) have very supportive mothers who endorse their adventures. Also, in this series, there are two sets of siblings who become friends, versus the one set of siblings in The Boxcar Children. But the biggest difference had to be in the sailing emphasis in Swallows and Amazons. If seafaring and the minutia of nautical terms isn’t really your thing, it’s easy to get bogged down in those details. As I did.I thought this was a fun story, but I’m not sure I’ll be reading the other eleven books in the series. While I love the concept of these kids having an adventure on an “abandoned” island while still having the aid and support of the adults in their lives, I felt like it was difficult to wade through all of the sailing passages. But if you have a child in your life who is fascinated with boats and sailing and deserted islands, this would be a wonderful story to share with them....more",Notes are private!,0,2,1,"Mar 10, 2024","Mar 19, 2024","Mar 10, 2024",,Paperback,view (with text),/book/show/15796897-swallows-and-amazons
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road,"McCarthy, Cormac",,,B000OI0G1Q,324        pp,3.99,"904,360","Sep 26, 2006","Mar 20, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 4.5 stars.I knew going into The Road that I was in for bleak. But while this post-apocalyptic story is indeed bleak and heavy and hard,Actual rating: 4.5 stars.I knew going into The Road that I was in for bleak. But while this post-apocalyptic story is indeed bleak and heavy and hard, it’s also oddly hopeful. It’s a short book, less than 300 pages, and it’s stylistically unusual. It’s a surprisingly quiet story, balancing on a razor wire between gentleness and brutality, with lots of emotion and depth bubbling under the surface without ever coming fully into the light. It’s a story that inspires a lot of inner contemplation on the part of the reader. I think it’s a book that everyone should read at some point in their adult life, when they are the most willing to really spend time with a story and mull over it from a philosophical standpoint. I can absolutely see why The Road won a Pulitzer.We have two nameless main characters, the man and the boy. As this father and son traverse the post-apocalyptic hellscape that was once our world, they are frequently starving and always living in fear. There aren’t many people left, and there are even fewer animals. The only food remaining is what can be found in cans, and not all of that can be trusted. The world is cold, and covered in ash. The man is determined to get his son to the coast. He doesn’t know why, or what he hopes to find there, but he will not rest until they reach it. Thus, the man and the boy live on the road, terrified of meeting others but even more terrified of standing still. This is a story with layers. Our perspective character is the man, and we are seeing the world through his eyes. But we are sensing it through the eyes of the boy. The man trusts no one, cares for no one but his son, but is trying to put a braver, kinder face on the world for his child’s sake. The boy is more willing to trust, to be kind, to have faith, because of that. But the man has a hard time rectifying what he wants his son to believe with what the man in actuality believes. It leads to a tension that is at times heartbreaking. On this flip side of this, the man clings desperately to life, mostly out of a desire to not watch his son die, whereas the boy would rather die and see what comes after. Because, whatever it is, it has to be better than this existence, this life of hunger and endless journey. This life of the road. But the man tells the boy that they carry the fire, that they care keeping hope and humanity alive just by forcing one foot in front of the other, day after day, whether they want to or not. And isn’t that what life is sometimes?Stylistically, this is a weird one. There are no chapters. No quotation marks. It’s just one continuous stream of story, with tiny breaks here and there. This mirrors the story being told, as our characters endure this brutal monotony of life on the road, broken only be sleep or sickness. Even when something shakes them out of their norm, for good or ill, they always return to the road. I have to confess that these stylistic choices were a bit difficult for me to connect with, but I think that was the point.I found The Road very compelling. The balance of bleakness and hope resonated with me. McCarthy did so much in this story by refusing to lay everything out for us. He encourages readers to think, and deeply, about what’s going on and why. He also encourages them to never give up, even when it would be so much easier to stop striving. Carry the fire....more",Notes are private!,0,11,1,"Mar 10, 2024","Mar 15, 2024","Mar 10, 2024",,Kindle Edition,view (with text),/book/show/53368275-the-road
