,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,sydney's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,770","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024",not set,"Mar 30, 2024",,Hardcover,view,/book/show/60194162-demon-copperhead
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,"Davis, K.C.",,,B09JPHQZQZ,156        pp,4.26,"49,643","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Mar 26, 2024","Mar 28, 2024",,Kindle Edition,view,/book/show/60139504-how-to-keep-house-while-drowning
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Girls,"Díaz, Jaquira*",1616209135,9781616209131,1616209135,321        pp,4.04,"4,787","Oct 29, 2019","Oct 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",not set,"Mar 17, 2024",,Hardcover,view,/book/show/42152409-ordinary-girls
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stop-Time,"Conroy, Frank",0140044469,9780140044461,0140044469,288        pp,3.93,"2,389",1967,"Feb 24, 1977",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 16, 2024","Mar 03, 2024",,Paperback,view,/book/show/103638.Stop_Time
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"XOXO, Cody: An Opinionated Homosexual's Guide to Self-Love, Relationships, and Tactful Pettiness","Rigsby, Cody",0593722531,9780593722534,0593722531,240        pp,4.07,"12,347","Sep 12, 2023","Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024",Mar 2024,"Mar 02, 2024",,Hardcover,view,/book/show/123226898-xoxo-cody
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,565","Oct 24, 2023","Oct 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 24, 2024","Feb 27, 2024","Feb 27, 2024",,Hardcover,view,/book/show/87556695-let-us-descend
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy-Go-Lucky,"Sedaris, David",0316392456,9780316392457,0316392456,272        pp,4.18,"40,965","May 31, 2022","May 31, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 12, 2024","Feb 19, 2024","Feb 19, 2024",,Hardcover,view,/book/show/58989873-happy-go-lucky
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Need New Names,"Bulawayo, NoViolet",0316230812,9780316230810,0316230812,298        pp,3.75,"21,873","May 21, 2013","May 21, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 09, 2024","Feb 13, 2024","Feb 13, 2024",,Hardcover,view,/book/show/15852479-we-need-new-names
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Thousand Splendid Suns,"Hosseini, Khaled*",1594489505,9781594489501,B002FVPH5A,372        pp,4.43,"1,529,503",May 2007,"Jan 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2024","Feb 02, 2024","Feb 02, 2024",,Hardcover,view,/book/show/128029.A_Thousand_Splendid_Suns
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tender Bar: A Memoir,"Moehringer, J.R.",0786888768,9780786888764,0786888768,416        pp,3.98,"42,836",2005,"Aug 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Jan 25, 2024","Jan 25, 2024",,Paperback,view,/book/show/144977.The_Tender_Bar
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leslie F*cking Jones,"Jones, Leslie",1538706490,9781538706497,1538706490,288        pp,4.14,"8,513","Sep 19, 2023","Sep 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/123027172-leslie-f-cking-jones
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Ashes in the Fire: Coming of Age Black and Free in America,"Moore, Darnell L.*",1568589484,9781568589480,1568589484,243        pp,4.16,"2,670","May 29, 2018","May 29, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 22, 2023",Jan 2024,"Jan 01, 2024",,Hardcover,view,/book/show/36204938-no-ashes-in-the-fire
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Messy Roots: A Graphic Memoir of a Wuhanese American,"Gao, Laura",0063067773,9780063067776,0063067773,272        pp,4.25,"4,697","Mar 08, 2022","Mar 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Dec 2023,"Dec 23, 2023","Dec 23, 2023",,Hardcover,view,/book/show/55867756-messy-roots
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,629","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023","Dec 22, 2023","Dec 22, 2023",,Hardcover,view,/book/show/63241104-tom-lake
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Could Make This Place Beautiful,"Smith, Maggie*",1982185856,9781982185855,1982185856,320        pp,4.11,"23,011","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Hardcover,view,/book/show/61273812-you-could-make-this-place-beautiful
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebel Girl: My Life as a Feminist Punk,"Hanna, Kathleen",0062825232,9780062825230,0062825232,336        pp,4.49,45,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Hardcover,view,/book/show/78130090-rebel-girl
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Places We Left Behind: a memoir-in-miniature,"Lang, Jennifer*",3988320196,9783988320193,B0C5Y5YY91,96        pp,4.70,137,unknown,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Kindle Edition,view,/book/show/158809701-places-we-left-behind
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Awakenings: Stories of Body & Consciousness,"Gottlieb, Diane Diane",1942004605,9781942004608,B0CHK84H3Q,175        pp,4.71,7,unknown,"Oct 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/198713193-awakenings
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All Things Edible, Random & Odd: Essays on Grief, Love & Food","Squillante, Sheila*",1955904898,9781955904896,1955904898,216        pp,4.32,22,unknown,"Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/126133964-all-things-edible-random-odd
