,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steph's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Lake,"Fortune, Carley*",,,B0B845FVDJ,334        pp,3.71,"199,340","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",Apr 2024,"Mar 17, 2024",,Kindle Edition,view,/book/show/61848488-meet-me-at-the-lake
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"224,948","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/127305853-the-women
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Me,"Davis, Viola",0063037327,9780063037328,0063037327,304        pp,4.56,"116,042","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/58687126-finding-me
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Could Make This Place Beautiful,"Smith, Maggie*",1982185856,9781982185855,1982185856,320        pp,4.11,"23,010","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/61273812-you-could-make-this-place-beautiful
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Same As It Ever Was,"Lombardo, Claire*",0385549555,9780385549554,0385549555,512        pp,4.40,93,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/199344873-same-as-it-ever-was
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,"Felton, Tom",1538741369,9781538741368,1538741369,288        pp,4.30,"108,752","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/61062194-beyond-the-wand
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One in a Millennial: On Friendship, Feelings, Fangirls, and Fitting In","Kennedy, Kate",1250285127,9781250285126,1250285127,328        pp,3.96,"7,007","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/123921296-one-in-a-millennial
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alchemy: The Surprising Power of Ideas That Don't Make Sense,"Sutherland, Rory",0753556510,9780753556511,0753556510,384        pp,4.22,"5,823","May 07, 2019","May 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/26210508-alchemy
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hooked: How to Build Habit-Forming Products,"Eyal, Nir*",1591847788,9781591847786,1591847788,256        pp,4.11,"43,634","Dec 25, 2013","Nov 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/22668729-hooked
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Better Than Before: Mastering the Habits of Our Everyday Lives,"Rubin, Gretchen*",0385348614,9780385348614,0385348614,298        pp,3.82,"40,990","Mar 17, 2015","Mar 17, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/22889767-better-than-before
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What My Bones Know: A Memoir of Healing from Complex Trauma,"Foo, Stephanie*",0593238109,9780593238103,0593238109,352        pp,4.52,"43,007","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/58214328-what-my-bones-know
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",,,B09Q7XH3N8,464        pp,4.10,"387,847","Oct 04, 2022","Oct 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It wasn’t bad but it wasn’t good,Notes are private!,2,3,1,"Jan 18, 2024","Jan 25, 2024","Jan 18, 2024",,Kindle Edition,view (with text),/book/show/60214567-mad-honey
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Impossible Things,"El-Wardany, Salma*",1538709309,9781538709306,1538709309,400        pp,4.23,"11,223","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/59228196-these-impossible-things
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Local Woman Missing,"Kubica, Mary*",077831166X,9780778311669,077831166X,378        pp,4.15,"422,450","May 18, 2021","Nov 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Paperback,view,/book/show/57361474-local-woman-missing
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Social Climber,"Pellegrino, Amanda*",077838702X,9780778387022,077838702X,320        pp,3.91,"10,758","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/60666855-the-social-climber
